region_id,year,Capacity_CCNG,Capacity_Coal,Capacity_CombustionTurbine_Diesel,Capacity_DistributedGeneration,Capacity_FuelCells,Capacity_Geothermal,Capacity_Hydroelectric,Capacity_MunicipalWaste,Capacity_Nuclear,Capacity_OffshoreWind,Capacity_Oil_NatGas_Steam,Capacity_OnshoreWind,Capacity_PumpedStorage,Capacity_SolarPhotovoltaic,Capacity_SolarThermal,Capacity_WoodBiomass,ElectricityPrice_Commercial,ElectricityPrice_Residential,Emissions_CarbonDioxide,Emissions_NOx,Emissions_SulfurDioxide,Generation_Coal,Generation_DistributedGeneration,Generation_NaturalGas,Generation_Nuclear,Generation_Petroleum,Generation_PumpedStorage,Generation_Renewables,NaturalGasPrice,PlannedAdditions_CCNG,PlannedAdditions_Coal,PlannedAdditions_CombustionTurbine_Diesel,PlannedAdditions_DistributedGeneration,PlannedAdditions_DiurnalStorage,PlannedAdditions_FuelCells,PlannedAdditions_Geothermal,PlannedAdditions_Hydroelectric,PlannedAdditions_MunicipalWaste,PlannedAdditions_Nuclear,PlannedAdditions_OffshoreWind,PlannedAdditions_Oil_NatGas_Steam,PlannedAdditions_OnshoreWind,PlannedAdditions_PumpedStorage,PlannedAdditions_SolarPhotovoltaic,PlannedAdditions_SolarThermal,PlannedAdditions_WoodBiomass,Retirements_CCNG,Retirements_Coal,Retirements_CombustionTurbine_Diesel,Retirements_DiurnalStorage,Retirements_FuelCells,Retirements_Nuclear,Retirements_Oil_NatGas_Steam,Retirements_PumpedStorage,Retirements_RenewableGeneration,TotalGeneration_TWh,UnplannedAdditions_CCNG,UnplannedAdditions_Coal,UnplannedAdditions_CombustionTurbine_Diesel,UnplannedAdditions_DistributedGeneration,UnplannedAdditions_DiurnalStorage,UnplannedAdditions_FuelCells,UnplannedAdditions_Nuclear,UnplannedAdditions_Oil_NatGas_Steam,UnplannedAdditions_PumpedStorage,UnplannedAdditions_RenewableGeneration,ElectricityPrice_Commercial_Dollars_kWh-1,ElectricityPrice_Residential_Dollars_kWh-1,NaturalGasPrice_Dollars_kWh-1,Emissions_CarbonDioxide_kg,Emissions_SulfurDioxide_kg,Emissions_NOx_kg,CO2_kg_MWh-1,SO2_kg_MWh-1,NOx_kg_MWh-1
BASN,2019,7.2,7.4,2.2,0.0,0.0,0.53,2.49,0.02,0.0,0.0,0.6,2.73,0.0,2.56,0.18,0.02,8.5,11.1,70.49,0.06,0.01,41.0,0.0,50.0,0.0,0.2,0.0,27.0,2.77,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,118.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.085,0.111,0.0094516278,63947470649.99999,9071850.0,54431100.0,541.4688454699407,0.07681498729889924,0.46088992379339544
BASN,2020,7.2,7.4,2.2,0.0,0.0,0.56,2.49,0.02,0.0,0.0,0.6,3.73,0.0,3.56,0.18,0.02,8.7,11.8,68.81,0.06,0.01,41.3,0.0,46.7,0.0,0.2,0.0,29.5,2.61,0.0,0,0.0,0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.99,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,117.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.087,0.11800000000000001,0.008905685399999998,62423399850.0,9071850.0,54431100.0,530.8112232142857,0.07714158163265306,0.4628494897959184
BASN,2021,7.2,7.4,2.6,0.4,0.0,0.56,2.5,0.02,0.0,0.0,0.5,4.05,0.0,3.96,0.18,0.02,8.5,12.0,69.51,0.06,0.01,41.2,0.2,48.2,0.0,0.2,0.0,34.0,2.88,0.0,0,0.0,0,0.0,0.0,0.03,0.01,0.0,0.0,0.0,0.0,1.31,0,1.4,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.11,0,0.0,123.7,0.0,0.0,0.43,0.45,0.0,0.0,0,0,0,0.0,0.085,0.12,0.009826963199999999,63058429350.0,9071850.0,54431100.0,509.76903274050125,0.07333751010509297,0.44002506063055774
BASN,2022,8.4,7.4,2.6,0.5,0.0,0.56,2.5,0.07,0.0,0.0,0.2,7.01,0.0,3.96,0.18,0.02,8.6,12.1,66.4,0.05,0.01,40.7,0.2,44.9,0.0,0.2,0.0,42.4,2.94,0.0,0,0.0,0,0.0,0.0,0.03,0.01,0.05,0.0,0.0,0.0,4.27,0,1.4,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.35,0,0.0,128.4,1.17,0.0,0.43,0.47,0.0,0.0,0,0,0,2.51,0.086,0.121,0.010031691599999998,60237084000.0,9071850.0,45359250.0,469.13616822429907,0.07065303738317756,0.3532651869158878
BASN,2023,9.2,6.2,2.6,0.5,0.0,0.58,2.5,0.07,0.0,0.0,0.2,8.75,0.0,3.96,0.18,0.02,8.9,12.8,60.27,0.04,0.01,35.2,0.2,47.4,0.0,0.1,0.0,50.2,3.13,0.0,0,0.0,0,0.0,0.0,0.05,0.01,0.05,0.0,0.0,0.0,6.01,0,1.4,0.0,0.0,0.19,1.24,0.01,0,0,0.0,0.35,0,0.01,133.1,2.19,0.0,0.43,0.53,0.0,0.0,0,0,0,3.77,0.08900000000000001,0.128,0.010679998199999999,54676039950.0,9071850.0,36287400.0,410.7891806912096,0.06815815176558979,0.27263260706235914
BASN,2024,10.0,6.2,2.6,0.6,0.0,0.61,2.5,0.07,0.0,0.0,0.2,9.25,0.0,3.96,0.18,0.02,9.0,13.0,60.6,0.05,0.01,35.4,0.3,48.4,0.0,0.1,0.0,53.0,3.4,0.0,0,0.0,0,0.0,0.0,0.08,0.01,0.05,0.0,0.0,0.0,6.51,0,1.4,0.0,0.0,0.19,1.24,0.01,0,0,0.0,0.35,0,0.01,137.2,2.98,0.0,0.43,0.59,0.0,0.0,0,0,0,3.8,0.09,0.13,0.011601275999999999,54975411000.0,9071850.0,45359250.0,400.69541545189503,0.06612135568513121,0.330606778425656
BASN,2025,10.9,5.9,2.6,0.7,0.0,0.63,2.5,0.07,0.0,0.0,0.1,9.25,0.0,3.96,0.18,0.02,9.2,13.5,58.6,0.04,0.01,35.7,0.3,47.7,0.0,0.1,0.0,54.3,3.85,0.0,0,0.0,0,0.0,0.0,0.1,0.01,0.05,0.0,0.0,0.0,6.51,0,1.4,0.0,0.0,0.19,1.51,0.01,0,0,0.0,0.46,0,0.01,138.2,3.87,0.0,0.43,0.65,0.0,0.0,0,0,0,3.82,0.092,0.135,0.013136739,53161041000.0,9071850.0,36287400.0,384.66744573082497,0.06564290882778583,0.2625716353111433
BASN,2026,10.9,5.7,2.6,0.7,0.0,0.66,2.5,0.07,0.0,0.0,0.1,9.25,0.0,3.96,0.18,0.02,9.5,14.0,58.87,0.04,0.01,34.4,0.3,52.0,0.0,0.1,0.0,54.5,4.28,0.0,0,0.0,0,0.0,0.0,0.13,0.01,0.05,0.0,0.0,0.0,6.51,0,1.4,0.0,0.0,0.19,1.76,0.01,0,0,0.0,0.46,0,0.01,141.4,3.87,0.0,0.43,0.71,0.0,0.0,0,0,0,3.85,0.095,0.14,0.014603959199999999,53405980950.0,9071850.0,36287400.0,377.694349009901,0.0641573550212164,0.2566294200848656
BASN,2027,10.9,5.7,2.6,0.8,0.0,0.66,2.5,0.07,0.0,0.0,0.1,9.25,0.0,3.96,0.18,0.02,9.6,14.4,61.59,0.04,0.01,34.9,0.3,56.9,0.0,0.1,0.0,54.5,4.62,0.0,0,0.0,0,0.0,0.0,0.13,0.01,0.05,0.0,0.0,0.0,6.51,0,1.4,0.0,0.0,0.19,1.76,0.01,0,0,0.0,0.46,0,0.01,146.8,3.89,0.0,0.43,0.76,0.0,0.0,0,0,0,3.85,0.096,0.14400000000000002,0.0157640868,55873524150.0,9071850.0,36287400.0,380.6098375340599,0.06179734332425068,0.24718937329700272
BASN,2028,11.3,5.7,2.6,0.8,0.0,0.67,2.5,0.07,0.0,0.0,0.1,9.25,0.0,3.96,0.18,0.02,9.9,14.8,61.13,0.04,0.01,35.0,0.4,55.7,0.0,0.1,0.0,54.6,4.86,0.0,0,0.0,0,0.0,0.0,0.14,0.01,0.05,0.0,0.0,0.0,6.51,0,1.4,0.0,0.0,0.19,1.76,0.01,0,0,0.0,0.46,0,0.01,145.9,4.29,0.0,0.43,0.83,0.0,0.0,0,0,0,3.86,0.099,0.14800000000000002,0.0165830004,55456219050.0,9071850.0,36287400.0,380.0974575051405,0.062178546949965725,0.2487141877998629
