datetime,ETR,ETRN,GHI,GHISource,GHIUncertainty,DNI,DNISource,DNIUncertainty,DHI,DHISource,DHIUncertainty,GHillum,GHillumSource,GHillumUncertainty,DNillum,DNillumSource,DNillumUncertainty,DHillum,DHillumSource,DHillumUncertainty,Zenithlum,ZenithlumSource,ZenithlumUncertainty,TotCld,TotCldSource,TotCldUnertainty,OpqCld,OpqCldSource,OpqCldUncertainty,DryBulb,DryBulbSource,DryBulbUncertainty,DewPoint,DewPointSource,DewPointUncertainty,RHum,RHumSource,RHumUncertainty,Pressure,PressureSource,PressureUncertainty,Wdir,WdirSource,WdirUncertainty,Wspd,WspdSource,WspdUncertainty,Hvis,HvisSource,HvisUncertainty,CeilHgt,CeilHgtSource,CeilHgtUncertainty,Pwat,PwatSource,PwatUncertainty,AOD,AODSource,AODUncertainty,Alb,AlbSource,AlbUncertainty,Lprecipdepth,Lprecipquantity,LprecipSource,LprecipUncertainty,PresWth,PresWthSource,PresWthUncertainty
2020-01-01 00:30:00-05:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,12.2,A,7,7.8,A,7,75,A,7,988,A,7,190,A,7,4.1,A,7,24100,B,7,910,A,7,1.7,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8
2020-01-01 01:30:00-05:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,12.8,A,7,7.8,A,7,72,A,7,988,A,7,200,A,7,3.6,A,7,19300,B,7,910,A,7,1.7,E,8,0,F,8,0,?,0,0,1,D,9,2,C,8
2020-01-01 02:30:00-05:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,12.2,A,7,8.3,A,7,77,A,7,988,A,7,210,A,7,3.6,A,7,16100,B,7,850,A,7,1.7,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8
2020-01-01 03:30:00-05:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,11.7,A,7,8.9,A,7,83,A,7,988,A,7,190,A,7,2.6,A,7,19300,B,7,1160,A,7,1.8,E,8,0,F,8,0,?,0,0,1,D,9,61,C,8
2020-01-01 04:30:00-05:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,11.7,A,7,8.9,A,7,83,A,7,987,A,7,190,A,7,3.1,A,7,16100,B,7,1010,A,7,1.8,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8
2020-01-01 05:30:00-05:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,11.1,A,7,9.4,A,7,90,A,7,987,A,7,190,A,7,2.6,A,7,16100,B,7,1070,A,7,1.9,E,8,0,F,8,0,?,0,0,1,D,9,61,C,8
2020-01-01 06:30:00-05:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,11.1,A,7,9.4,A,7,90,A,7,987,A,7,200,A,7,3.1,A,7,16100,B,7,1070,A,7,1.9,E,8,0,F,8,0,?,0,0,1,D,9,61,C,8
2020-01-01 07:30:00-05:00,9,389,4,1,13,0,1,9,4,1,13,0,1,13,0,1,9,0,1,13,0,1,21,10,A,7,10,A,7,11.1,A,7,9.4,A,7,90,A,7,988,A,7,210,A,7,3.6,A,7,8000,B,7,1070,A,7,1.9,E,8,0,F,8,0,?,0,13,1,D,9,21,C,8
2020-01-01 08:30:00-05:00,191,1415,39,1,13,2,1,9,38,1,13,43,1,13,0,1,9,43,1,13,134,1,21,10,A,7,10,A,7,11.7,A,7,10,A,7,90,A,7,988,A,7,210,A,7,3.6,A,7,4000,B,7,820,A,7,1.9,E,8,0,F,8,0,?,0,10,1,D,9,61,C,8
2020-01-01 09:30:00-05:00,421,1415,140,1,9,4,1,9,139,1,13,154,1,9,3,1,9,153,1,13,456,1,18,10,A,7,10,A,7,12.2,A,7,10.6,A,7,90,A,7,988,A,7,180,A,7,3.1,A,7,11300,B,7,730,A,7,2,E,8,0,F,8,0,?,0,0,1,D,9,61,C,8
