datetime,ETR,ETRN,GHI,GHISource,GHIUncertainty,DNI,DNISource,DNIUncertainty,DHI,DHISource,DHIUncertainty,GHillum,GHillumSource,GHillumUncertainty,DNillum,DNillumSource,DNillumUncertainty,DHillum,DHillumSource,DHillumUncertainty,Zenithlum,ZenithlumSource,ZenithlumUncertainty,TotCld,TotCldSource,TotCldUnertainty,OpqCld,OpqCldSource,OpqCldUncertainty,DryBulb,DryBulbSource,DryBulbUncertainty,DewPoint,DewPointSource,DewPointUncertainty,RHum,RHumSource,RHumUncertainty,Pressure,PressureSource,PressureUncertainty,Wdir,WdirSource,WdirUncertainty,Wspd,WspdSource,WspdUncertainty,Hvis,HvisSource,HvisUncertainty,CeilHgt,CeilHgtSource,CeilHgtUncertainty,Pwat,PwatSource,PwatUncertainty,AOD,AODSource,AODUncertainty,Alb,AlbSource,AlbUncertainty,Lprecipdepth,Lprecipquantity,LprecipSource,LprecipUncertainty,PresWth,PresWthSource,PresWthUncertainty
2020-01-01 00:30:00-06:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,A,7,9,A,7,-12.2,A,7,-16.1,A,7,73,A,7,995,A,7,270,A,7,2.6,A,7,24100,B,7,2740,A,7,0.4,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8
2020-01-01 01:30:00-06:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-11.7,A,7,-15.6,A,7,73,A,7,996,A,7,250,A,7,2.6,A,7,24100,B,7,1680,A,7,0.5,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8
2020-01-01 02:30:00-06:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-11.1,A,7,-15,A,7,73,A,7,995,A,7,240,A,7,2.1,A,7,24100,B,7,1400,A,7,0.5,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8
2020-01-01 03:30:00-06:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-11.1,A,7,-15,A,7,73,A,7,995,A,7,230,A,7,2.6,A,7,24100,B,7,1400,A,7,0.5,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8
2020-01-01 04:30:00-06:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-10.6,A,7,-14.4,A,7,73,A,7,995,A,7,240,A,7,2.6,A,7,24100,B,7,1400,A,7,0.5,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8
2020-01-01 05:30:00-06:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-10.6,A,7,-14.4,A,7,73,A,7,995,A,7,210,A,7,2.6,A,7,24100,B,7,1830,A,7,0.5,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8
2020-01-01 06:30:00-06:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-10.6,A,7,-13.9,A,7,77,A,7,995,A,7,180,A,7,3.1,A,7,24100,B,7,1680,A,7,0.5,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8
2020-01-01 07:30:00-06:00,43,908,12,1,13,22,1,13,10,1,13,13,1,13,9,1,13,12,1,13,21,1,23,8,A,7,8,A,7,-10,A,7,-13.3,A,7,77,A,7,995,A,7,180,A,7,2.6,A,7,24100,B,7,2130,A,7,0.5,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8
2020-01-01 08:30:00-06:00,236,1415,115,1,13,397,1,9,47,1,13,116,1,13,280,1,9,68,1,13,83,1,21,0,A,7,0,A,7,-8.9,A,7,-13.3,A,7,71,A,7,995,A,7,190,A,7,3.1,A,7,24100,B,7,77777,A,7,0.5,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8
2020-01-01 09:30:00-06:00,410,1415,244,1,9,587,1,13,71,1,13,250,1,9,513,1,13,101,1,13,132,1,21,2,A,7,0,A,7,-6.7,A,7,-13.3,A,7,60,A,7,995,A,7,220,A,7,5.7,A,7,24100,B,7,77777,A,7,0.5,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8
