datetime,ETR,ETRN,GHI,GHISource,GHIUncertainty,DNI,DNISource,DNIUncertainty,DHI,DHISource,DHIUncertainty,GHillum,GHillumSource,GHillumUncertainty,DNillum,DNillumSource,DNillumUncertainty,DHillum,DHillumSource,DHillumUncertainty,Zenithlum,ZenithlumSource,ZenithlumUncertainty,TotCld,TotCldSource,TotCldUnertainty,OpqCld,OpqCldSource,OpqCldUncertainty,DryBulb,DryBulbSource,DryBulbUncertainty,DewPoint,DewPointSource,DewPointUncertainty,RHum,RHumSource,RHumUncertainty,Pressure,PressureSource,PressureUncertainty,Wdir,WdirSource,WdirUncertainty,Wspd,WspdSource,WspdUncertainty,Hvis,HvisSource,HvisUncertainty,CeilHgt,CeilHgtSource,CeilHgtUncertainty,Pwat,PwatSource,PwatUncertainty,AOD,AODSource,AODUncertainty,Alb,AlbSource,AlbUncertainty,Lprecipdepth,Lprecipquantity,LprecipSource,LprecipUncertainty,PresWth,PresWthSource,PresWthUncertainty
2020-01-01 00:30:00-08:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,5,A,7,1.7,A,7,79,A,7,988,A,7,150,A,7,5.7,A,7,24100,B,7,1250,A,7,1,E,8,0,F,8,0,?,0,0,1,D,9,61,C,8
2020-01-01 01:30:00-08:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,5,A,7,2.8,A,7,86,A,7,986,A,7,180,A,7,5.7,A,7,24100,B,7,1250,A,7,1.1,E,8,0,F,8,0,?,0,3,1,D,9,61,C,8
2020-01-01 02:30:00-08:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,5,A,7,2.8,A,7,86,A,7,986,A,7,190,A,7,4.1,A,7,24100,B,7,1100,A,7,1.1,E,8,0,F,8,0,?,0,5,1,D,9,61,C,8
2020-01-01 03:30:00-08:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,5.6,A,7,3.3,A,7,86,A,7,986,A,7,170,A,7,5.2,A,7,24100,B,7,1250,A,7,1.1,E,8,0,F,8,0,?,0,3,1,D,9,61,C,8
2020-01-01 04:30:00-08:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,6.1,A,7,3.9,A,7,86,A,7,986,A,7,220,A,7,4.1,A,7,24100,B,7,910,A,7,1.2,E,8,0,F,8,0,?,0,3,1,D,9,21,C,8
2020-01-01 05:30:00-08:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,A,7,8,A,7,7.8,A,7,4.4,A,7,80,A,7,986,A,7,190,A,7,6.2,A,7,24100,B,7,980,A,7,1.2,E,8,0,F,8,0,?,0,3,1,D,9,61,C,8
2020-01-01 06:30:00-08:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,6.7,A,7,5.6,A,7,93,A,7,987,A,7,190,A,7,3.6,A,7,16100,B,7,670,A,7,1.3,E,8,0,F,8,0,?,0,15,1,D,9,0,C,8
2020-01-01 07:30:00-08:00,0,35,0,1,0,0,1,0,0,1,0,0,1,1,0,1,2,0,1,2,0,1,1,8,A,7,7,A,7,6.7,A,7,5.6,A,7,93,A,7,987,A,7,190,A,7,5.7,A,7,24100,B,7,790,A,7,1.3,E,8,0,F,8,0,?,0,8,1,D,9,80,C,8
2020-01-01 08:30:00-08:00,93,1415,11,1,13,4,1,9,11,1,13,12,1,13,2,1,9,12,1,13,29,1,21,10,A,7,9,A,7,7.8,A,7,5,A,7,83,A,7,987,A,7,190,A,7,4.6,A,7,32200,B,7,910,A,7,1.3,E,8,0,F,8,0,?,0,0,1,D,9,80,C,8
2020-01-01 09:30:00-08:00,260,1415,58,1,13,8,1,9,56,1,13,65,1,13,2,1,9,64,1,13,199,1,21,10,A,7,10,A,7,7.8,A,7,5.6,A,7,86,A,7,989,A,7,220,A,7,3.1,A,7,32200,B,7,670,A,7,1.3,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8
2020-01-01 10:30:00-08:00,385,1415,101,1,9,1,1,9,101,1,13,113,1,9,1,1,9,113,1,13,357,1,18,10,A,7,10,A,7,8.9,A,7,5,A,7,77,A,7,989,A,7,190,A,7,3.1,A,7,32200,B,7,790,A,7,1.3,E,8,0,F,8,0,?,0,0,1,D,9,25,C,8
2020-01-01 11:30:00-08:00,456,1415,62,1,9,10,1,9,58,1,13,73,1,9,5,1,9,71,1,13,249,1,18,10,A,7,10,A,7,9.4,A,7,5,A,7,74,A,7,989,A,7,190,A,7,4.1,A,7,24100,B,7,790,A,7,1.3,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8
2020-01-01 12:30:00-08:00,469,1415,73,1,9,8,1,9,71,1,13,87,1,9,4,1,9,85,1,13,298,1,18,10,A,7,10,A,7,6.1,A,7,5.6,A,7,96,A,7,989,A,7,200,A,7,2.6,A,7,11300,B,7,850,A,7,1.3,E,8,0,F,8,0,?,0,28,1,D,9,80,C,8
2020-01-01 13:30:00-08:00,423,1415,106,1,9,6,1,9,104,1,13,119,1,9,3,1,9,118,1,13,383,1,18,10,A,7,10,A,7,6.7,A,7,4.4,A,7,86,A,7,988,A,7,180,A,7,6.2,A,7,48300,B,7,1520,A,7,1.2,E,8,0,F,8,0,?,0,5,1,D,9,80,C,8
2020-01-01 14:30:00-08:00,320,1415,72,1,13,2,1,9,72,1,13,82,1,13,1,1,9,82,1,13,260,1,21,10,A,7,10,A,7,6.7,A,7,4.4,A,7,86,A,7,989,A,7,190,A,7,4.1,A,7,48300,B,7,1980,A,7,1.2,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8
2020-01-01 15:30:00-08:00,169,1415,35,1,13,0,1,9,35,1,13,39,1,13,0,1,9,39,1,13,121,1,21,10,A,7,10,A,7,6.1,A,7,4.4,A,7,89,A,7,989,A,7,190,A,7,4.6,A,7,48300,B,7,2440,A,7,1.2,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8
2020-01-01 16:30:00-08:00,18,625,4,1,13,0,1,9,4,1,13,0,1,13,0,1,9,0,1,13,0,1,21,10,A,7,10,A,7,6.1,A,7,5,A,7,93,A,7,991,A,7,190,A,7,5.2,A,7,32200,B,7,980,A,7,1.3,E,8,0,F,8,0,?,0,0,1,D,9,2,C,8
2020-01-01 17:30:00-08:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,6.1,A,7,5,A,7,93,A,7,992,A,7,190,A,7,3.1,A,7,16100,B,7,700,A,7,1.3,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8
2020-01-01 18:30:00-08:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,6.1,A,7,4.4,A,7,89,A,7,993,A,7,200,A,7,5.7,A,7,16100,B,7,370,A,7,1.2,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8
2020-01-01 19:30:00-08:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,9,A,7,6.1,A,7,4.4,A,7,89,A,7,994,A,7,190,A,7,5.7,A,7,24100,B,7,1070,A,7,1.2,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8
2020-01-01 20:30:00-08:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,8,A,7,7,A,7,5.6,A,7,4.4,A,7,93,A,7,995,A,7,190,A,7,6.2,A,7,16100,B,7,1680,A,7,1.2,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8
2020-01-01 21:30:00-08:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,8,A,7,8,A,7,6.1,A,7,4.4,A,7,89,A,7,996,A,7,200,A,7,7.7,A,7,24100,B,7,980,A,7,1.2,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8
2020-01-01 22:30:00-08:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,A,7,9,A,7,6.1,A,7,4.4,A,7,89,A,7,998,A,7,200,A,7,6.7,A,7,24100,B,7,980,A,7,1.2,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8
2020-01-01 23:30:00-08:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,6.1,A,7,4.4,A,7,89,A,7,999,A,7,190,A,7,7.7,A,7,6400,B,7,430,A,7,1.2,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8
