,,,,,,,,,fraction of total / yr,,,,fraction of total,,$,,,$/kWh,,,
BES_id,model,manufacturer,chemistry,application,capacity_kWh,peak_power_kW,power_continuous_kW,depth_of_discharge_kWh,degradation_rate,roundtrip_efficiency,lifetime_yr,cycling_times,end_of_life_capacity,volt_nominal_V,battery_cost,install_cost,total_cost,specific_cost,warranty,Notes,source
Li_1,Powerwall1,Tesla,Li-Ion,residential,6.4,3.3,3.3,6.4,0.03,0.93,10,5000,,50,6500,1100,7600,469,10,,
Li2,PowerWall2,Tesla,Li-Ion,residential,14,7,5,13.5,0.03,0.9,10,3200,0.7,50,6500,1100,7600,542.86,10,,https://www.energysage.com/solar-batteries/tesla/6/powerwall-2/
Li3,Powerpack1,Tesla,Li-Ion,commercial,100,50,50,100,0.03,0.89,10,,,,,,,470,10,,https://www.tesla.com/powerpack
Li4,Powerpack2,Tesla,Li-Ion,commercial,200,50,50,200,0.03,0.89,10,,,,,,,398,10,,https://electrek.co/2016/11/14/tesla-powerpack-2-price/
LFP2,Sonnen_eco_4,Sonnen,Li-Fe-PO4,residential,4,6,4.5,4,0.07,0.86,10,10000,,,5950,500,6450,1612.5,10,Interpolated,https://www.energysage.com/solar-batteries/sonnen/17/eco-4/
LFP3,Sonnen_eco_6,Sonnen,Li-Fe-PO4,residential,6,6,4.5,6,0.07,0.86,10,10000,,,,,10041.67,1673.61,10,Interpolated,https://news.energysage.com/sonnen-eco-battery-review/
LFP4,Sonnen_eco_8,Sonnen,Li-Fe-PO4,residential,8,6,4.5,8,0.07,0.86,10,10000,,,,,13633.33,1704.17,10,Interpolated,
LFP5,Sonnen_eco_10,Sonnen,Li-Fe-PO4,residential,10,12,9,10,0.07,0.86,10,10000,,,,,17225,1722.5,10,Interpolated,
LFP6,Sonnen_eco_12,Sonnen,Li-Fe-PO4,residential,12,12,9,12,0.07,0.86,10,10000,,,,,20816.67,1734.72,10,Interpolated,
