BES_id,model,manufacturer,technology,type,chemistry,capacity_Ah,capacity_kWh,peak_power_kW,power_continuous_kW,lifetime_yr,cycling_times,volt_nominal_V
Li1,Powerwall1,Tesla,Li-Ion,solid state,Li-Ion,128,6.4,3.3,3.3,10,5000,50
Li2,PowerWall2,Tesla,Li-Ion,solid state,Li-Ion,280,14,7,5,10,3200,50
Li3,Powerpack1,Tesla,Li-Ion,solid state,Li-Ion,250,100,50,50,10,,400
Li4,Powerpack2,Tesla,Li-Ion,solid state,Li-Ion,500,200,50,50,10,,400
Li5,EC4S6P,Enerdel,Li-Ion,solid state,Li-Ion,99,1.425,4.3296,4.3296,,,14.4
FB1,Aspen 24S-83,"Aquion Energy, Inc",SWFB,flow battery,saltwater,,2.17,0.75,,8,3000,
Li6,ECHO-9,iDemand Energy Storage,Li-Ion,solid state,LiFePO4,180,9,18,18,25,10000,50
Li7,ALPHA-45,iDemand Energy Storage,Li-Ion,solid state,LiFePO4,900,45,90,90,25,10000,50
Li8,MEGA-792,iDemand Energy Storage,Li-Ion,solid state,LiFePO4,15840,792,1584,1584,25,10000,50
Li9,KBMS255-14S3P-36,Kokam,Li-Ion,solid state,NiMnCo,75,3.8,3,3,10,8000,48
Li10,Energy Storage Home,Mercedez-Benz,Li-Ion,solid state,NiMnCo,,10,5,5,10,,48
Li11,PHI 2.6 48V,SimpliPhi Power,Li-Ion,solid state,LiFePO4,51.2,2.621,3.072,3.072,10,10000,48
Li12,PHI 2.6 24V,SimpliPhi Power,Li-Ion,solid state,LiFePO4,102.4,2.621,1.536,1.536,10,10000,24
Li13,PHI 3.4,SimpliPhi Power,Li-Ion,solid state,LiFePO4,134,3.44,1.536,1.536,,,24
Li14,AccESS,SimpliPhi Power,Li-Ion,solid state,LiFePO4,201,10.2,12,12,2,10000,48
FB2,50kW/400kWh,ESS,FeFB,flow battery,Fe,,400,50,50,20,20000,
FB3,GS200,Jabil,ZFB,Flow Battery,ZnFe,2.4,3000,1000,1000,20,10000,
FB4,ZAC-2,Jabil,ZFB,Flow Battery,ZnFe,4.6,320,70,70,20,10000,
