CT_id,manufacturer,model,capacity_ton,capacity_kW,fan_motor_hp,hp_per_fan,num_fan,total_fan_hp,total_fan_kW,airflow_cfm,airflow_kg_per_hour,water_flow_gpm,waterflow_kg_per_hour,LG_ratio
CT1,EVAPCO,AT 14-2E4,33,145,2,2,1,2,1.491402067,9600,18326.41,99,22485.346,1.226936849
CT2,EVAPCO,AT 14-2F4,39,171,3,3,1,3,2.237103101,10900,20808.11,117,26573.59072,1.277078555
CT3,EVAPCO,AT 14-3E4,37,163,2,2,1,2,1.491402067,9500,18135.51,111,25210.84248,1.390137061
CT4,EVAPCO,AT 14-3F4,43,189,3,3,1,3,2.237103101,10700,20426.31,129,29299.08721,1.434379868
CT5,EVAPCO,AT 14-2F6,57,251,3,3,1,3,2.237103101,15300,29207.71,171,38838.3249,1.32972835
CT6,EVAPCO,AT 14-2G6,67,295,5,5,1,5,3.728505168,18000,34362.02,201,45652.06612,1.328561921
CT7,EVAPCO,AT 14-3F6,64,281,3,3,1,3,2.237103101,15100,28825.91,192,43607.94375,1.512803532
CT8,EVAPCO,AT 14-3G6,74,325,5,5,1,5,3.728505168,17700,33789.32,222,50421.68496,1.492237524
CT9,EVAPCO,AT 14-2E9,76,334,(2) 2,2,2,4,2.982804134,21200,40470.82,228,51784.43321,1.279549921
CT10,EVAPCO,AT 14-2F9,90,396,(2) 3,3,2,6,4.474206201,24100,46006.92,270,61323.6709,1.332922718
CT11,EVAPCO,AT 14-3E9,86,378,(2) 2,2,2,4,2.982804134,20800,39707.22,258,58598.17442,1.47575621
CT12,EVAPCO,AT 14-3F9,100,440,(2) 3,3,2,6,4.474206201,23600,45052.42,300,68137.41211,1.512402895
CT13,EVAPCO,AT 14-2F12,115,506,(2) 3,3,2,6,4.474206201,31000,59179.03,345,78358.02393,1.324084341
CT14,EVAPCO,AT 14-2G12,137,602,(2) 5,5,2,10,7.457010335,36400,69487.63,411,93348.25459,1.343379407
CT15,EVAPCO,AT 14-3F12,129,567,(2) 3,3,2,6,4.474206201,30400,58033.63,387,87897.26162,1.5145919
CT16,EVAPCO,AT 14-3G12,150,659,(2) 5,5,2,10,7.457010335,35700,68151.33,450,102206.1182,1.499693627
CT17,EVAPCO,AT 17-2G9,113,497,5,5,1,5,3.728505168,32100,61278.93,339,76995.27569,1.256472287
CT18,EVAPCO,AT 17-2H9,135,593,7.5,7.5,1,7.5,5.592757752,36500,69678.53,405,91985.50635,1.320141267
CT19,EVAPCO,AT 17-2I9,149,655,10,10,1,10,7.457010335,40100,76550.94,447,101524.744,1.326237791
CT20,EVAPCO,AT 17-2J9,171,752,15,15,1,15,11.1855155,45600,87050.44,513,116514.9747,1.338476563
CT21,EVAPCO,AT 17-3G9,129,567,5,5,1,5,3.728505168,31600,60324.43,387,87897.26162,1.457075752
CT22,EVAPCO,AT 17-3H9,152,668,7.5,7.5,1,7.5,5.592757752,36000,68724.03,456,103568.8664,1.507025463
CT23,EVAPCO,AT 17-3I9,168,739,10,10,1,10,7.457010335,39400,75214.64,504,114470.8523,1.521922589
CT24,EVAPCO,AT 17-3J9,193,848,15,15,1,15,11.1855155,44700,85332.34,579,131505.2054,1.541094566
