Power,PLR_E,Heat,PLR_H,Fuel,PLR_F
15,0.075,55.84,0.176887988,110.0349986,0.180599074
16,0.08,57.12,0.180942727,112.6421588,0.184878174
17,0.085,58.4,0.184997466,115.1394174,0.188976893
18,0.09,59.76,0.189305626,117.9555373,0.193598956
19,0.095,61.2,0.193867207,120.7479185,0.198182056
20,0.1,62.56,0.198175367,123.5177332,0.202728118
21,0.105,63.92,0.202483528,126.2655675,0.207238105
22,0.11,65.28,0.206791688,128.9925938,0.211713939
23,0.115,66.64,0.211099848,131.6996913,0.216157065
24,0.12,67.92,0.215154587,134.3877391,0.220568924
25,0.125,69.28,0.219462747,137.0570305,0.224949999
26,0.13,70.56,0.223517486,139.7087375,0.229302212
27,0.135,71.68,0.227065383,141.9140973,0.232921842
28,0.14,72.96,0.231120122,144.6162126,0.23735679
29,0.145,74.32,0.235428282,147.3051396,0.241770093
30,0.15,75.6,0.239483021,149.9814646,0.246162712
31,0.155,76.96,0.243791181,152.6507559,0.250543786
32,0.16,78.24,0.24784592,155.3077383,0.254904658
33,0.165,79.52,0.251900659,157.9532908,0.259246771
34,0.17,80.88,0.256208819,160.5871205,0.263569643
35,0.175,82.16,0.260263558,163.207469,0.267870388
36,0.18,83.44,0.264318297,165.8111123,0.272143715
37,0.185,84.72,0.268373036,168.403619,0.276398764
38,0.19,85.92,0.272174354,170.9852821,0.280636016
39,0.195,87.2,0.276229093,173.5561015,0.28485547
40,0.2,88.48,0.280283832,176.1166635,0.289058088
41,0.205,89.68,0.28408515,178.667554,0.293244833
42,0.21,90.96,0.288139888,181.2084802,0.297415224
43,0.215,92.16,0.291941206,183.7403212,0.301570703
44,0.22,93.44,0.295995945,186.2627839,0.305710789
45,0.225,94.56,0.299543842,188.6249367,0.309587761
46,0.23,95.76,0.30334516,191.1769996,0.313776431
47,0.235,97.04,0.307399899,193.7237872,0.317956441
48,0.24,98.24,0.311201216,196.2635411,0.322124908
49,0.245,99.52,0.315255955,198.7968474,0.326282792
50,0.25,100.72,0.319057273,201.3251715,0.330432499
51,0.255,101.92,0.322858591,203.8561333,0.334586535
52,0.26,103.2,0.32691333,206.3788891,0.338727103
53,0.265,104.4,0.330714648,208.8943181,0.342855645
54,0.27,105.6,0.334515966,211.4024203,0.346972162
55,0.275,106.8,0.338317283,213.9034888,0.351077134
56,0.28,108,0.342118601,216.3981097,0.355171525
57,0.285,109.12,0.345666498,218.5545267,0.358710825
58,0.29,110.32,0.349467816,221.1103995,0.362905747
59,0.295,111.6,0.353522554,223.6756505,0.367116062
60,0.3,112.88,0.357577293,226.2370917,0.371320123
61,0.305,114.08,0.361378611,228.795016,0.375518413
62,0.31,115.36,0.36543335,231.3491304,0.379710449
63,0.315,116.64,0.369488089,233.8994348,0.383896232
64,0.32,117.84,0.373289407,236.4462224,0.388076243
65,0.325,119.12,0.377344146,238.9892001,0.39225
66,0.33,120.4,0.381398885,241.5591403,0.396468011
67,0.335,121.6,0.385200203,244.0640187,0.400579237
68,0.34,122.88,0.389254942,246.5955666,0.404734235
69,0.345,124.08,0.39305626,249.1233046,0.40888298
70,0.35,125.36,0.397110998,251.6475258,0.413025953
71,0.355,126.56,0.400912316,254.1676439,0.417162191
72,0.36,127.84,0.404967055,256.6839521,0.421292177
73,0.365,129.04,0.408768373,259.1967434,0.42541639
74,0.37,130.32,0.412823112,261.7057249,0.42953435
75,0.375,131.52,0.41662443,264.2108964,0.433646057
76,0.38,132.72,0.420425748,266.712258,0.43775151
77,0.385,134,0.424480487,269.2098096,0.441850711
78,0.39,135.2,0.428281804,271.7035514,0.445943658
79,0.395,136.4,0.432083122,274.1937762,0.450030833
80,0.4,137.6,0.43588444,276.6801912,0.454111755
81,0.405,138.8,0.439685758,279.116491,0.458110423
82,0.41,140.08,0.443740497,281.6158011,0.46221251
83,0.415,141.28,0.447541814,284.1110082,0.466307862
84,0.42,142.48,0.451343132,286.6021123,0.470396481
85,0.425,143.68,0.45514445,289.0891134,0.474478364
86,0.43,144.96,0.459199189,291.5720115,0.478553514
87,0.435,146.16,0.463000507,294.0508066,0.48262193
88,0.44,147.36,0.466801825,296.5325324,0.486695156
89,0.445,148.56,0.470603142,299.0186543,0.490775596
90,0.45,149.84,0.474657881,301.5015524,0.494850746
91,0.455,151.04,0.478459199,303.9815198,0.498921086
92,0.46,152.24,0.482260517,306.4582634,0.502986134
93,0.465,153.44,0.486061835,308.9317832,0.507045892
94,0.47,154.64,0.489863153,311.4023724,0.511100839
95,0.475,155.76,0.493411049,313.5816488,0.514677658
96,0.48,156.96,0.497212367,316.0575132,0.518741264
97,0.485,158.16,0.501013685,318.5322053,0.522802945
98,0.49,159.36,0.504815003,321.0033806,0.526858854
99,0.495,160.56,0.50861632,323.4575578,0.530886865
100,0.5,161.76,0.512417638,325.9117349,0.534914875
101,0.505,162.96,0.516218956,328.3662051,0.538943366
102,0.51,164.16,0.520020274,330.8206753,0.542971858
103,0.515,165.36,0.523821591,333.2754386,0.54700083
104,0.52,166.56,0.527622909,335.730788,0.551030765
105,0.525,167.76,0.531424227,338.1864305,0.55506118
106,0.53,168.96,0.535225545,340.6426592,0.559092558
107,0.535,170.16,0.539026863,343.0991809,0.563124416
108,0.54,171.36,0.54282818,345.5565818,0.567157718
109,0.545,172.56,0.546629498,348.0174996,0.571196791
110,0.55,173.76,0.550430816,350.4781243,0.575235384
111,0.555,174.96,0.554232134,352.9384559,0.579273496
112,0.56,176.24,0.558286873,355.3982014,0.583310646
113,0.565,175.28,0.555245819,357.8573607,0.587346833
114,0.57,176.64,0.559553979,360.3165201,0.591383021
115,0.575,178,0.563862139,362.7812478,0.595428348
116,0.58,179.44,0.56842372,365.2653182,0.599505422
117,0.585,180.8,0.57273188,367.7930561,0.603654166
118,0.59,182.24,0.577293462,370.4183868,0.607963089
119,0.595,183.68,0.581855043,373.1322249,0.612417278
120,0.6,185.12,0.586416624,375.8484076,0.616875314
121,0.605,186.56,0.590978206,378.5672279,0.62133768
122,0.61,188,0.595539787,381.2886859,0.625804375
123,0.615,189.44,0.600101368,384.0127814,0.6302754
124,0.62,190.8,0.604409529,386.6932095,0.634674753
125,0.625,192.24,0.60897111,389.421115,0.63915203
126,0.63,193.76,0.613786113,392.1525373,0.64363508
127,0.635,195.2,0.618347694,394.8874766,0.648123901
128,0.64,196.64,0.622909275,397.6262257,0.652618976
129,0.645,198.08,0.627470857,400.3684917,0.657119823
130,0.65,199.52,0.632032438,403.1142746,0.661626443
131,0.655,201.04,0.63684744,405.8641604,0.666139796
132,0.66,202.48,0.641409022,408.6181493,0.670659884
