eGRID_region,PoG,total,grid_gross_loss
AKGD,3.92,5.601,0.055
AKMS,0,13.421,0.055
AZNM,11.68,153.802,0.053
CAMX,11.55,31.162,0.053
ERCT,5.86,22.962,0.052
FRCC,10.81,15.271,0.053
HIMS,6.4,8.822,0.056
HIOA,5.8,8.972,0.056
MROE,4.927,40.528,0.053
MROW,6.48,29.031,0.053
NEWE,8.08,11.49,0.053
NWPP,11.15,14.942,0.053
NYCW,5.78,9.12,0.053
NYLI,4.37,8.13,0.053
NYUP,7.41,10.611,0.053
RFCE,7.42,11.462,0.053
RFCM,6.58,36.671,0.053
RFCW,6.55,15.762,0.053
RMPA,4.69,8.152,0.053
SPNO,7.66,11.411,0.053
SPSO,4.27,18.722,0.053
SRMV,6.414,45.881,0.053
SRMW,7.872,47.632,0.053
SRSO,7.12,10.291,0.053
SRTV,5.86,12.382,0.053
SRVC,6.67,30.881,0.053
National,11.63,31.662,0.053
