technology,lifetime_yr,roundtrip_efficiency,depth_of_discharge_percent,end_of_life_capacity_percent,degradation_rate_percent,om_percent,A0,A1
PHS,40,82,100,100,0,1,nan,nan
CAES,40,80,100,100,0,1,nan,nan
Na,15,75,80,80,1.3,2,461,-13
Zn,10,75,80,80,2,2,342,-17
FWLD,20,80,100,100,0,2,800,-34
FWSD,20,80,100,100,0,2,nan,nan
VRFB,20,80,100,100,0,3,517,-29
ZBFB,20,70,100,100,0,3,488,-24
FeFB,20,70,100,100,0,3,479,-14
Ni,10,75,80,80,2,2,390,-94
Li-Ion,10,90,90,70,3,2,651,-48
PbA,5,80,50,80,4,3,423,-60
PbC,10,80,70,80,2,3,685,-90
