climate_zone,eGRID_subregion
1A,FRCC
2A,ERCT
2A,FRCC
2A,SPSO
2A,SRMV
2A,SRSO
2A,SRVC
2B,AZNM
2B,CAMX
2B,ERCT
3A,ERCT
3A,ERCT
3A,SPNO
3A,SPSO
3A,SPSO
3A,SRMV
3A,SRMV
3A,SRMW
3A,SRSO
3A,SRSO
3A,SRTV
3A,SRTV
3A,SRVC
3A,SRVC
3B,AZNM
3B,CAMX
3B,ERCT
3B,NWPP
3B,SPSO
3B-CA,CAMX
3C,CAMX
4A,NEWE
4A,NYCW
4A,NYLI
4A,NYUP
4A,RFCE
4A,RFCW
4A,RMPA
4A,SPNO
4A,SPSO
4A,SRMV
4A,SRMW
4A,SRSO
4A,SRTV
4A,SRVC
4B,AZNM
4B,AZNM
4B,CAMX
4B,ERCT
4B,NWPP
4B,NWPP
4B,RMPA
4B,SPNO
4B,SPSO
4C,CAMX
4C,NWPP
5A,MROE
5A,MROW
5A,NEWE
5A,NYCW
5A,NYUP
5A,RFCE
5A,RFCM
5A,RFCW
5A,RMPA
5A,SPNO
5A,SRMW
5A,SRTV
5A,SRVC
5B,AZNM
5B,CAMX
5B,NWPP
5B,RMPA
5B,SPNO
5B,SPSO
6A,MROE
6A,MROW
6A,NEWE
6A,NWPP
6A,NYUP
6A,RFCE
6A,RFCM
6A,RFCW
6A,RMPA
6B,AZNM
6B,CAMX
6B,MROW
6B,NWPP
6B,RMPA
7,MROE
7,MROW
7,NEWE
7,NWPP
7,RFCW
7,RMPA
