datetime,hour,CoolingDemand_kW,DryBulb_C,Pressure_kPa,RHum
2020-01-01 00:30:00-07:00,1,1172.1000739895999,2.8,84.3,0.42
2020-01-01 01:30:00-07:00,2,1162.7613466849998,2.2,84.3,0.42
2020-01-01 02:30:00-07:00,3,1127.6780846904,1.7,84.4,0.44
2020-01-01 03:30:00-07:00,4,1047.085477715,0.0,84.4,0.52
2020-01-01 04:30:00-07:00,5,961.3416591396,-1.1,84.4,0.56
2020-01-01 05:30:00-07:00,6,974.1245470380001,0.0,84.5,0.54
2020-01-01 06:30:00-07:00,7,956.1435083398,-1.1,84.5,0.58
2020-01-01 07:30:00-07:00,8,906.6336567124,-1.7,84.6,0.61
2020-01-01 08:30:00-07:00,9,1037.7821276086,2.2,84.6,0.5
2020-01-01 09:30:00-07:00,10,1243.2057770038,5.0,84.7,0.41
2020-01-01 10:30:00-07:00,11,1324.0371725212,8.3,84.7,0.34
2020-01-01 11:30:00-07:00,12,1364.1935371462,10.6,84.6,0.31
2020-01-01 12:30:00-07:00,13,1406.1496925564,13.3,84.5,0.27
2020-01-01 13:30:00-07:00,14,1415.9662896628,15.6,84.4,0.21
2020-01-01 14:30:00-07:00,15,1390.6068760389999,16.1,84.4,0.2
2020-01-01 15:30:00-07:00,16,1409.8236793732,15.6,84.4,0.22
2020-01-01 16:30:00-07:00,17,1468.3897303572,11.7,84.4,0.27
2020-01-01 17:30:00-07:00,18,1435.8840059724,7.8,84.5,0.36
2020-01-01 18:30:00-07:00,19,1396.3558739989999,6.7,84.5,0.38
2020-01-01 19:30:00-07:00,20,1377.5029914891998,7.8,84.6,0.39
2020-01-01 20:30:00-07:00,21,1377.4627021183999,7.2,84.6,0.4
2020-01-01 21:30:00-07:00,22,1374.2002098156,7.2,84.6,0.4
2020-01-01 22:30:00-07:00,23,1364.7769129334,5.0,84.6,0.45
2020-01-01 23:30:00-07:00,24,1228.718021051,2.2,84.6,0.55
2020-01-02 00:30:00-07:00,25,1101.2671032568,1.1,84.6,0.59
2020-01-02 01:30:00-07:00,26,1050.7088121164,0.6,84.5,0.61
2020-01-02 02:30:00-07:00,27,971.2014818843999,-1.1,84.5,0.66
2020-01-02 03:30:00-07:00,28,905.7943129898,-1.7,84.5,0.69
2020-01-02 04:30:00-07:00,29,869.1221126643999,-2.2,84.5,0.72
2020-01-02 05:30:00-07:00,30,772.5292938458,-4.4,84.4,0.85
2020-01-02 06:30:00-07:00,31,757.475223266,-3.3,84.4,0.78
2020-01-02 07:30:00-07:00,32,820.1203568937999,-2.2,84.5,0.75
2020-01-02 08:30:00-07:00,33,970.2776294792,1.1,84.5,0.62
2020-01-02 09:30:00-07:00,34,1184.2297340257999,4.4,84.5,0.51
2020-01-02 10:30:00-07:00,35,1327.8468882775999,7.8,84.5,0.4
2020-01-02 11:30:00-07:00,36,1370.0574600984,10.6,84.3,0.33
2020-01-02 12:30:00-07:00,37,1411.0139935923999,12.8,84.2,0.3
2020-01-02 13:30:00-07:00,38,1444.006483579,13.9,84.1,0.28
2020-01-02 14:30:00-07:00,39,1460.8233606802,14.4,84.1,0.27
2020-01-02 15:30:00-07:00,40,1463.756486197,14.4,84.1,0.27
2020-01-02 16:30:00-07:00,41,1468.4048802542,11.1,84.1,0.34
2020-01-02 17:30:00-07:00,42,1439.8509073076,7.2,84.1,0.44
2020-01-02 18:30:00-07:00,43,1359.114130882,3.9,84.1,0.53
2020-01-02 19:30:00-07:00,44,1265.0847533413998,3.9,84.1,0.53
2020-01-02 20:30:00-07:00,45,1209.0134286914,2.8,84.1,0.57
2020-01-02 21:30:00-07:00,46,1176.4074982382,2.8,84.2,0.59
2020-01-02 22:30:00-07:00,47,1175.6357172464,2.8,84.2,0.57
2020-01-02 23:30:00-07:00,48,1131.8539683099998,1.7,84.2,0.64
2020-01-03 00:30:00-07:00,49,1100.2095534946,1.7,84.2,0.73
2020-01-03 01:30:00-07:00,50,1075.782507981,1.1,84.2,0.7
2020-01-03 02:30:00-07:00,51,1042.9648100942,0.6,84.3,0.7
2020-01-03 03:30:00-07:00,52,1007.3177673772,0.0,84.3,0.72
2020-01-03 04:30:00-07:00,53,968.6029977169999,-0.6,84.3,0.75
2020-01-03 05:30:00-07:00,54,911.8141575952,-1.7,84.3,0.78
2020-01-03 06:30:00-07:00,55,883.5468999002,-1.7,84.3,0.78
2020-01-03 07:30:00-07:00,56,904.7637952306,-1.1,84.4,0.72
2020-01-03 08:30:00-07:00,57,1067.8920563565998,2.8,84.5,0.57
2020-01-03 09:30:00-07:00,58,1290.7730732291998,6.7,84.5,0.45
2020-01-03 10:30:00-07:00,59,1355.154529818,8.9,84.5,0.39
2020-01-03 11:30:00-07:00,60,1394.814607318,11.7,84.4,0.32
2020-01-03 12:30:00-07:00,61,1431.1449958004,13.9,84.3,0.27
2020-01-03 13:30:00-07:00,62,1428.7354242288,15.0,84.3,0.25
2020-01-03 14:30:00-07:00,63,1406.3588007386,15.6,84.3,0.25
2020-01-03 15:30:00-07:00,64,1422.9092872606,15.0,84.3,0.26
2020-01-03 16:30:00-07:00,65,1476.7204358151998,12.2,84.3,0.31
2020-01-03 17:30:00-07:00,66,1452.0072169641999,8.3,84.3,0.39
2020-01-03 18:30:00-07:00,67,1410.5681943922,6.1,84.3,0.43
2020-01-03 19:30:00-07:00,68,1370.9739136718001,5.0,84.3,0.47
2020-01-03 20:30:00-07:00,69,1292.3671984726,3.9,84.3,0.51
2020-01-03 21:30:00-07:00,70,1099.6241136347999,0.0,84.4,0.64
2020-01-03 22:30:00-07:00,71,1000.4908750667998,0.0,84.4,0.64
2020-01-03 23:30:00-07:00,72,1037.9732859208,1.1,84.4,0.64
2020-01-04 00:30:00-07:00,73,1044.1857200247998,0.6,84.4,0.64
2020-01-04 01:30:00-07:00,74,968.3380086728,-1.1,84.4,0.69
2020-01-04 02:30:00-07:00,75,967.7054043111999,0.0,84.4,0.67
2020-01-04 03:30:00-07:00,76,970.891112541,-0.6,84.4,0.64
2020-01-04 04:30:00-07:00,77,938.4343951108,-1.1,84.3,0.66
2020-01-04 05:30:00-07:00,78,883.7537091736,-2.2,84.3,0.72
2020-01-04 06:30:00-07:00,79,833.2334493072,-2.8,84.4,0.72
2020-01-04 07:30:00-07:00,80,775.2366424119999,-3.9,84.4,0.81
2020-01-04 08:30:00-07:00,81,930.5799390927999,1.1,84.5,0.64
2020-01-04 09:30:00-07:00,82,1162.3175546258,3.9,84.5,0.53
2020-01-04 10:30:00-07:00,83,1314.5314532172,6.7,84.5,0.45
2020-01-04 11:30:00-07:00,84,1363.3141937267999,10.0,84.4,0.38
2020-01-04 12:30:00-07:00,85,1409.1283309126,12.2,84.3,0.33
2020-01-04 13:30:00-07:00,86,1441.7655899489998,13.3,84.2,0.3
2020-01-04 14:30:00-07:00,87,1458.7100133472,13.3,84.1,0.3
2020-01-04 15:30:00-07:00,88,1461.0187099668,11.7,84.1,0.34
2020-01-04 16:30:00-07:00,89,1450.0969793233999,10.0,84.1,0.38
2020-01-04 17:30:00-07:00,90,1430.5957810936,7.8,84.1,0.44
2020-01-04 18:30:00-07:00,91,1405.4964082984,6.1,84.1,0.49
2020-01-04 19:30:00-07:00,92,1383.3822349242,5.6,84.1,0.51
2020-01-04 20:30:00-07:00,93,1284.2894105722,3.3,84.1,0.6
2020-01-04 21:30:00-07:00,94,1214.856575611,3.3,84.1,0.6
2020-01-04 22:30:00-07:00,95,1208.9439730666,3.3,84.0,0.62
2020-01-04 23:30:00-07:00,96,1252.0324813225998,4.4,84.0,0.6
2020-01-05 00:30:00-07:00,97,1235.8617119323999,3.3,83.9,0.65
2020-01-05 01:30:00-07:00,98,1143.2809801235999,1.7,83.9,0.7
2020-01-05 02:30:00-07:00,99,1164.1267985608,3.3,83.9,0.62
2020-01-05 03:30:00-07:00,100,1115.9037900065998,1.1,83.9,0.73
2020-01-05 04:30:00-07:00,101,1041.7535600941999,0.6,83.8,0.75
2020-01-05 05:30:00-07:00,102,1091.3162637936,2.2,83.9,0.64
2020-01-05 06:30:00-07:00,103,1044.893212666,0.0,83.9,0.75
2020-01-05 07:30:00-07:00,104,926.6475736243999,-1.7,83.9,0.82
2020-01-05 08:30:00-07:00,105,1139.8191900568,5.0,83.9,0.58
2020-01-05 09:30:00-07:00,106,1350.5057678219998,9.4,83.9,0.44
2020-01-05 10:30:00-07:00,107,1407.3074761763999,11.7,83.8,0.38
2020-01-05 11:30:00-07:00,108,1445.7026037407998,12.8,83.7,0.36
2020-01-05 12:30:00-07:00,109,1462.753275101,14.4,83.6,0.31
2020-01-05 13:30:00-07:00,110,1406.2951403988,16.1,83.4,0.27
2020-01-05 14:30:00-07:00,111,1385.3442874307998,16.1,83.4,0.27
2020-01-05 15:30:00-07:00,112,1390.9999914654,16.1,83.4,0.27
2020-01-05 16:30:00-07:00,113,1467.391836111,13.3,83.4,0.32
2020-01-05 17:30:00-07:00,114,1478.159635583,10.6,83.6,0.35
2020-01-05 18:30:00-07:00,115,1438.0908266249999,7.8,83.7,0.36
2020-01-05 19:30:00-07:00,116,1391.7321211216,6.1,83.7,0.34
2020-01-05 20:30:00-07:00,117,1349.3864643928,5.0,83.8,0.33
2020-01-05 21:30:00-07:00,118,1295.5516046133998,3.9,83.9,0.38
2020-01-05 22:30:00-07:00,119,1214.8433441592,2.8,84.0,0.46
2020-01-05 23:30:00-07:00,120,1161.1198769756,2.2,84.0,0.48
2020-01-06 00:30:00-07:00,121,1100.5534009254,1.1,84.0,0.54
2020-01-06 01:30:00-07:00,122,1052.2440551399998,0.6,84.0,0.56
2020-01-06 02:30:00-07:00,123,1038.4063812345998,0.6,84.1,0.56
2020-01-06 03:30:00-07:00,124,991.1527848132,-0.6,84.1,0.61
2020-01-06 04:30:00-07:00,125,941.4161972329999,-1.1,84.1,0.64
2020-01-06 05:30:00-07:00,126,927.1875138155999,-1.1,84.2,0.64
2020-01-06 06:30:00-07:00,127,902.8077688856,-1.7,84.3,0.66
2020-01-06 07:30:00-07:00,128,887.4357472556,-1.7,84.3,0.66
2020-01-06 08:30:00-07:00,129,926.8955322238,-0.6,84.4,0.64
2020-01-06 09:30:00-07:00,130,976.3077925742,0.0,84.4,0.61
2020-01-06 10:30:00-07:00,131,1078.1455087666,2.2,84.4,0.52
2020-01-06 11:30:00-07:00,132,1277.7153136798,6.7,84.3,0.42
2020-01-06 12:30:00-07:00,133,1350.4263176575998,10.0,84.2,0.33
2020-01-06 13:30:00-07:00,134,1390.9522149052,11.1,84.2,0.31
2020-01-06 14:30:00-07:00,135,1412.5187500596,10.6,84.1,0.32
2020-01-06 15:30:00-07:00,136,1415.090581065,9.4,84.2,0.35
2020-01-06 16:30:00-07:00,137,1396.2112062206,5.6,84.2,0.41
2020-01-06 17:30:00-07:00,138,1255.2960516284,2.2,84.3,0.5
2020-01-06 18:30:00-07:00,139,1172.2883052073998,2.8,84.3,0.5
2020-01-06 19:30:00-07:00,140,1138.4635456541998,1.7,84.3,0.52
2020-01-06 20:30:00-07:00,141,1065.4040556388,0.6,84.3,0.61
2020-01-06 21:30:00-07:00,142,1055.6263149764,1.1,84.3,0.59
2020-01-06 22:30:00-07:00,143,982.5285627496,-1.1,84.3,0.66
2020-01-06 23:30:00-07:00,144,929.15340064,-1.1,84.3,0.66
2020-01-07 00:30:00-07:00,145,903.5205139058,-1.7,84.3,0.69
2020-01-07 01:30:00-07:00,146,828.2788315204,-3.3,84.3,0.75
2020-01-07 02:30:00-07:00,147,685.968481263,-6.1,84.2,0.84
2020-01-07 03:30:00-07:00,148,695.4437976106,-3.9,84.2,0.78
2020-01-07 04:30:00-07:00,149,740.9871487419999,-3.9,84.2,0.81
2020-01-07 05:30:00-07:00,150,742.0853681789999,-3.9,84.2,0.81
2020-01-07 06:30:00-07:00,151,804.1523299714,-2.2,84.1,0.72
2020-01-07 07:30:00-07:00,152,864.597989213,-1.7,84.1,0.69
2020-01-07 08:30:00-07:00,153,967.3924896404,0.6,84.1,0.59
2020-01-07 09:30:00-07:00,154,1027.5383582636,0.6,84.2,0.59
2020-01-07 10:30:00-07:00,155,1180.1292940368,4.4,84.1,0.47
2020-01-07 11:30:00-07:00,156,1319.6224721636,6.7,84.0,0.42
2020-01-07 12:30:00-07:00,157,1348.5877412984,7.8,83.8,0.39
2020-01-07 13:30:00-07:00,158,1367.9050156027997,7.8,83.7,0.39
