datetime,hour,CoolingDemand_kW,DryBulb_C,Pressure_kPa,RHum
2020-01-01 00:30:00-07:00,1,223.89357837818,2.8,84.3,0.42
2020-01-01 01:30:00-07:00,2,193.49903394128,2.2,84.3,0.42
2020-01-01 02:30:00-07:00,3,174.082316933,1.7,84.4,0.44
2020-01-01 03:30:00-07:00,4,163.8357761967,0.0,84.4,0.52
2020-01-01 04:30:00-07:00,5,163.0554775752,-1.1,84.4,0.56
2020-01-01 05:30:00-07:00,6,167.69405605228,0.0,84.5,0.54
2020-01-01 06:30:00-07:00,7,202.55991383083997,-1.1,84.5,0.58
2020-01-01 07:30:00-07:00,8,308.92240252679994,-1.7,84.6,0.61
2020-01-01 08:30:00-07:00,9,376.9838045034,2.2,84.6,0.5
2020-01-01 09:30:00-07:00,10,363.86267308284,5.0,84.7,0.41
2020-01-01 10:30:00-07:00,11,360.56028527049995,8.3,84.7,0.34
2020-01-01 11:30:00-07:00,12,357.39935502353995,10.6,84.6,0.31
2020-01-01 12:30:00-07:00,13,350.83795070076,13.3,84.5,0.27
2020-01-01 13:30:00-07:00,14,342.89814837186,15.6,84.4,0.21
2020-01-01 14:30:00-07:00,15,350.07952336952,16.1,84.4,0.2
2020-01-01 15:30:00-07:00,16,354.24373122919997,15.6,84.4,0.22
2020-01-01 16:30:00-07:00,17,329.74740662169995,11.7,84.4,0.27
2020-01-01 17:30:00-07:00,18,251.19860543801997,7.8,84.5,0.36
2020-01-01 18:30:00-07:00,19,312.86315943716,6.7,84.5,0.38
2020-01-01 19:30:00-07:00,20,366.45874711316,7.8,84.6,0.39
2020-01-01 20:30:00-07:00,21,364.85051469428,7.2,84.6,0.4
2020-01-01 21:30:00-07:00,22,365.50891097941997,7.2,84.6,0.4
2020-01-01 22:30:00-07:00,23,370.36375300336,5.0,84.6,0.45
2020-01-01 23:30:00-07:00,24,287.11132795866,2.2,84.6,0.55
2020-01-02 00:30:00-07:00,25,218.43627277753998,1.1,84.6,0.59
2020-01-02 01:30:00-07:00,26,185.63894677015998,0.6,84.5,0.61
2020-01-02 02:30:00-07:00,27,170.2699706494,-1.1,84.5,0.66
2020-01-02 03:30:00-07:00,28,157.93060364599998,-1.7,84.5,0.69
2020-01-02 04:30:00-07:00,29,159.31257985866,-2.2,84.5,0.72
2020-01-02 05:30:00-07:00,30,185.61902890181997,-4.4,84.4,0.85
2020-01-02 06:30:00-07:00,31,291.166220233,-3.3,84.4,0.78
2020-01-02 07:30:00-07:00,32,380.0143156488,-2.2,84.5,0.75
2020-01-02 08:30:00-07:00,33,381.2150147018,1.1,84.5,0.62
2020-01-02 09:30:00-07:00,34,374.29055374264,4.4,84.5,0.51
2020-01-02 10:30:00-07:00,35,365.88898366392,7.8,84.5,0.4
2020-01-02 11:30:00-07:00,36,361.66807575153996,10.6,84.3,0.33
2020-01-02 12:30:00-07:00,37,356.83931001692,12.8,84.2,0.3
2020-01-02 13:30:00-07:00,38,347.63656039079996,13.9,84.1,0.28
2020-01-02 14:30:00-07:00,39,353.45834275774,14.4,84.1,0.27
2020-01-02 15:30:00-07:00,40,357.94778094192,14.4,84.1,0.27
2020-01-02 16:30:00-07:00,41,295.10727046422,11.1,84.1,0.34
2020-01-02 17:30:00-07:00,42,263.69574156607996,7.2,84.1,0.44
2020-01-02 18:30:00-07:00,43,347.56546949527996,3.9,84.1,0.53
2020-01-02 19:30:00-07:00,44,359.25989143758,3.9,84.1,0.53
2020-01-02 20:30:00-07:00,45,377.57304661812,2.8,84.1,0.57
2020-01-02 21:30:00-07:00,46,374.94887088897997,2.8,84.2,0.59
2020-01-02 22:30:00-07:00,47,350.39872705476,2.8,84.2,0.57
2020-01-02 23:30:00-07:00,48,249.46828360954,1.7,84.2,0.64
2020-01-03 00:30:00-07:00,49,207.2460348094,1.7,84.2,0.73
2020-01-03 01:30:00-07:00,50,180.87778032309998,1.1,84.2,0.7
2020-01-03 02:30:00-07:00,51,166.94438690024,0.6,84.3,0.7
2020-01-03 03:30:00-07:00,52,158.31347913829998,0.0,84.3,0.72
2020-01-03 04:30:00-07:00,53,159.87219706204,-0.6,84.3,0.75
2020-01-03 05:30:00-07:00,54,188.78976908932,-1.7,84.3,0.78
2020-01-03 06:30:00-07:00,55,293.64024734874,-1.7,84.3,0.78
2020-01-03 07:30:00-07:00,56,379.70241326874,-1.1,84.4,0.72
2020-01-03 08:30:00-07:00,57,379.29535646086,2.8,84.5,0.57
2020-01-03 09:30:00-07:00,58,368.53532382748,6.7,84.5,0.45
2020-01-03 10:30:00-07:00,59,364.47217060508,8.9,84.5,0.39
2020-01-03 11:30:00-07:00,60,362.53601286028,11.7,84.4,0.32
2020-01-03 12:30:00-07:00,61,345.9063073883,13.9,84.3,0.27
2020-01-03 13:30:00-07:00,62,350.15114251596,15.0,84.3,0.25
2020-01-03 14:30:00-07:00,63,354.04011156636,15.6,84.3,0.25
2020-01-03 15:30:00-07:00,64,357.42515070869996,15.0,84.3,0.26
2020-01-03 16:30:00-07:00,65,349.09625329716,12.2,84.3,0.31
2020-01-03 17:30:00-07:00,66,261.09415612329997,8.3,84.3,0.39
2020-01-03 18:30:00-07:00,67,345.44889071371995,6.1,84.3,0.43
2020-01-03 19:30:00-07:00,68,361.77014679116,5.0,84.3,0.47
2020-01-03 20:30:00-07:00,69,373.69303423307997,3.9,84.3,0.51
2020-01-03 21:30:00-07:00,70,380.1324027084,0.0,84.4,0.64
2020-01-03 22:30:00-07:00,71,343.00099699483997,0.0,84.4,0.64
2020-01-03 23:30:00-07:00,72,242.85027246592,1.1,84.4,0.64
2020-01-04 00:30:00-07:00,73,206.41008113025998,0.6,84.4,0.64
2020-01-04 01:30:00-07:00,74,178.9394943674,-1.1,84.4,0.69
2020-01-04 02:30:00-07:00,75,164.35372123701998,0.0,84.4,0.67
2020-01-04 03:30:00-07:00,76,153.77763658569998,-0.6,84.4,0.64
2020-01-04 04:30:00-07:00,77,153.261451667,-1.1,84.3,0.66
2020-01-04 05:30:00-07:00,78,182.33591915181998,-2.2,84.3,0.72
2020-01-04 06:30:00-07:00,79,290.80885433488,-2.8,84.4,0.72
2020-01-04 07:30:00-07:00,80,379.0579579543,-3.9,84.4,0.81
2020-01-04 08:30:00-07:00,81,299.5252124939,1.1,84.5,0.64
2020-01-04 09:30:00-07:00,82,285.96050996855996,3.9,84.5,0.53
2020-01-04 10:30:00-07:00,83,257.21065140184,6.7,84.5,0.45
2020-01-04 11:30:00-07:00,84,305.24659915002,10.0,84.4,0.38
2020-01-04 12:30:00-07:00,85,327.59572603744,12.2,84.3,0.33
2020-01-04 13:30:00-07:00,86,363.92460250554,13.3,84.2,0.3
2020-01-04 14:30:00-07:00,87,373.1635106851,13.3,84.1,0.3
2020-01-04 15:30:00-07:00,88,230.23791708506,11.7,84.1,0.34
2020-01-04 16:30:00-07:00,89,168.64253982492,10.0,84.1,0.38
2020-01-04 17:30:00-07:00,90,220.43769104479998,7.8,84.1,0.44
2020-01-04 18:30:00-07:00,91,297.78482075016,6.1,84.1,0.49
2020-01-04 19:30:00-07:00,92,314.80160382778,5.6,84.1,0.51
2020-01-04 20:30:00-07:00,93,345.43595615098,3.3,84.1,0.6
2020-01-04 21:30:00-07:00,94,372.30372070187997,3.3,84.1,0.6
2020-01-04 22:30:00-07:00,95,312.94183280176,3.3,84.0,0.62
2020-01-04 23:30:00-07:00,96,222.87303191702,4.4,84.0,0.6
2020-01-05 00:30:00-07:00,97,187.6798598799,3.3,83.9,0.65
2020-01-05 01:30:00-07:00,98,162.00091850533997,1.7,83.9,0.7
2020-01-05 02:30:00-07:00,99,151.45644367825997,3.3,83.9,0.62
2020-01-05 03:30:00-07:00,100,144.01269081932,1.1,83.9,0.73
2020-01-05 04:30:00-07:00,101,146.22045542535997,0.6,83.8,0.75
2020-01-05 05:30:00-07:00,102,181.20458498646,2.2,83.9,0.64
2020-01-05 06:30:00-07:00,103,311.93917621734,0.0,83.9,0.75
2020-01-05 07:30:00-07:00,104,321.05212962843996,-1.7,83.9,0.82
2020-01-05 08:30:00-07:00,105,290.93223489328,5.0,83.9,0.58
2020-01-05 09:30:00-07:00,106,353.11686159719994,9.4,83.9,0.44
2020-01-05 10:30:00-07:00,107,369.19665016152,11.7,83.8,0.38
2020-01-05 11:30:00-07:00,108,358.77063410281994,12.8,83.7,0.36
2020-01-05 12:30:00-07:00,109,350.97747701684,14.4,83.6,0.31
2020-01-05 13:30:00-07:00,110,354.29858437588,16.1,83.4,0.27
2020-01-05 14:30:00-07:00,111,355.45506023537996,16.1,83.4,0.27
2020-01-05 15:30:00-07:00,112,356.49343938974,16.1,83.4,0.27
2020-01-05 16:30:00-07:00,113,368.70525956148,13.3,83.4,0.32
2020-01-05 17:30:00-07:00,114,250.3811209175,10.6,83.6,0.35
2020-01-05 18:30:00-07:00,115,317.7049573626,7.8,83.7,0.36
2020-01-05 19:30:00-07:00,116,344.03076790051995,6.1,83.7,0.34
2020-01-05 20:30:00-07:00,117,372.78461684458,5.0,83.8,0.33
2020-01-05 21:30:00-07:00,118,370.96497255315995,3.9,83.9,0.38
2020-01-05 22:30:00-07:00,119,341.13462241507995,2.8,84.0,0.46
2020-01-05 23:30:00-07:00,120,241.22705519164,2.2,84.0,0.48
2020-01-06 00:30:00-07:00,121,199.08574805818,1.1,84.0,0.54
2020-01-06 01:30:00-07:00,122,173.61338068002001,0.6,84.0,0.56
2020-01-06 02:30:00-07:00,123,160.27653976855999,0.6,84.1,0.56
2020-01-06 03:30:00-07:00,124,150.66243730687998,-0.6,84.1,0.61
2020-01-06 04:30:00-07:00,125,151.88669626298,-1.1,84.1,0.64
2020-01-06 05:30:00-07:00,126,183.2417541633,-1.1,84.2,0.64
2020-01-06 06:30:00-07:00,127,289.9709588622,-1.7,84.3,0.66
2020-01-06 07:30:00-07:00,128,374.87714696931994,-1.7,84.3,0.66
2020-01-06 08:30:00-07:00,129,282.2066489883,-0.6,84.4,0.64
2020-01-06 09:30:00-07:00,130,242.22953834671998,0.0,84.4,0.61
2020-01-06 10:30:00-07:00,131,235.50218104144,2.2,84.4,0.52
2020-01-06 11:30:00-07:00,132,339.8509617845,6.7,84.3,0.42
2020-01-06 12:30:00-07:00,133,367.68274855921993,10.0,84.2,0.33
2020-01-06 13:30:00-07:00,134,365.86269663267996,11.1,84.2,0.31
2020-01-06 14:30:00-07:00,135,365.63718848838,10.6,84.1,0.32
2020-01-06 15:30:00-07:00,136,366.90805427841997,9.4,84.2,0.35
