datetime,hour,CoolingDemand_kW,DryBulb_C,Pressure_kPa,RHum
2020-01-01 00:30:00-07:00,1,0.19674327106345998,2.8,84.3,0.42
2020-01-01 01:30:00-07:00,2,0.0792255986006,2.2,84.3,0.42
2020-01-01 02:30:00-07:00,3,0.0037016561303133996,1.7,84.4,0.44
2020-01-01 03:30:00-07:00,4,0.0,0.0,84.4,0.52
2020-01-01 04:30:00-07:00,5,0.0,-1.1,84.4,0.56
2020-01-01 05:30:00-07:00,6,0.0,0.0,84.5,0.54
2020-01-01 06:30:00-07:00,7,0.0,-1.1,84.5,0.58
2020-01-01 07:30:00-07:00,8,0.011851697984166,-1.7,84.6,0.61
2020-01-01 08:30:00-07:00,9,0.29473194595077995,2.2,84.6,0.5
2020-01-01 09:30:00-07:00,10,0.8602006593849999,5.0,84.7,0.41
2020-01-01 10:30:00-07:00,11,1.9212856794002,8.3,84.7,0.34
2020-01-01 11:30:00-07:00,12,3.213919391477,10.6,84.6,0.31
2020-01-01 12:30:00-07:00,13,4.254993107844,13.3,84.5,0.27
2020-01-01 13:30:00-07:00,14,5.412885095788,15.6,84.4,0.21
2020-01-01 14:30:00-07:00,15,6.047935984826,16.1,84.4,0.2
2020-01-01 15:30:00-07:00,16,5.964913344134,15.6,84.4,0.22
2020-01-01 16:30:00-07:00,17,4.643426952787999,11.7,84.4,0.27
2020-01-01 17:30:00-07:00,18,2.9717664007384,7.8,84.5,0.36
2020-01-01 18:30:00-07:00,19,2.4950801258825996,6.7,84.5,0.38
2020-01-01 19:30:00-07:00,20,2.2732860707038003,7.8,84.6,0.39
2020-01-01 20:30:00-07:00,21,1.9799181502269998,7.2,84.6,0.4
2020-01-01 21:30:00-07:00,22,1.576964573759,7.2,84.6,0.4
2020-01-01 22:30:00-07:00,23,0.8898570413293999,5.0,84.6,0.45
2020-01-01 23:30:00-07:00,24,0.42179899433379997,2.2,84.6,0.55
2020-01-02 00:30:00-07:00,25,0.1598436129384,1.1,84.6,0.59
2020-01-02 01:30:00-07:00,26,0.032349795224852,0.6,84.5,0.61
2020-01-02 02:30:00-07:00,27,0.0,-1.1,84.5,0.66
2020-01-02 03:30:00-07:00,28,0.0,-1.7,84.5,0.69
2020-01-02 04:30:00-07:00,29,0.0,-2.2,84.5,0.72
2020-01-02 05:30:00-07:00,30,0.0,-4.4,84.4,0.85
2020-01-02 06:30:00-07:00,31,0.0,-3.3,84.4,0.78
2020-01-02 07:30:00-07:00,32,0.0,-2.2,84.5,0.75
2020-01-02 08:30:00-07:00,33,0.21241746895528,1.1,84.5,0.62
2020-01-02 09:30:00-07:00,34,0.7222836058901999,4.4,84.5,0.51
2020-01-02 10:30:00-07:00,35,1.715013453031,7.8,84.5,0.4
2020-01-02 11:30:00-07:00,36,3.0419256906828,10.6,84.3,0.33
2020-01-02 12:30:00-07:00,37,4.091294023866,12.8,84.2,0.3
2020-01-02 13:30:00-07:00,38,5.317822233338,13.9,84.1,0.28
2020-01-02 14:30:00-07:00,39,5.814383900129999,14.4,84.1,0.27
2020-01-02 15:30:00-07:00,40,5.559135990364,14.4,84.1,0.27
2020-01-02 16:30:00-07:00,41,4.01761990062,11.1,84.1,0.34
2020-01-02 17:30:00-07:00,42,2.7114930218777995,7.2,84.1,0.44
2020-01-02 18:30:00-07:00,43,2.0861791233244,3.9,84.1,0.53
2020-01-02 19:30:00-07:00,44,1.6069432819557998,3.9,84.1,0.53
2020-01-02 20:30:00-07:00,45,1.2339367974566,2.8,84.1,0.57
2020-01-02 21:30:00-07:00,46,0.8515340126165999,2.8,84.2,0.59
2020-01-02 22:30:00-07:00,47,0.5597737317792,2.8,84.2,0.57
2020-01-02 23:30:00-07:00,48,0.32895928097452,1.7,84.2,0.64
2020-01-03 00:30:00-07:00,49,0.12159135634747999,1.7,84.2,0.73
2020-01-03 01:30:00-07:00,50,0.012524558784968,1.1,84.2,0.7
2020-01-03 02:30:00-07:00,51,0.0,0.6,84.3,0.7
2020-01-03 03:30:00-07:00,52,0.0,0.0,84.3,0.72
2020-01-03 04:30:00-07:00,53,0.0,-0.6,84.3,0.75
2020-01-03 05:30:00-07:00,54,0.0,-1.7,84.3,0.78
2020-01-03 06:30:00-07:00,55,0.0,-1.7,84.3,0.78
2020-01-03 07:30:00-07:00,56,0.009333366288463998,-1.1,84.4,0.72
2020-01-03 08:30:00-07:00,57,0.28920624138906,2.8,84.5,0.57
2020-01-03 09:30:00-07:00,58,0.87233488465,6.7,84.5,0.45
2020-01-03 10:30:00-07:00,59,1.9041803055694,8.9,84.5,0.39
2020-01-03 11:30:00-07:00,60,3.4184721575942,11.7,84.4,0.32
2020-01-03 12:30:00-07:00,61,4.806485621246,13.9,84.3,0.27
2020-01-03 13:30:00-07:00,62,5.718625648244,15.0,84.3,0.25
2020-01-03 14:30:00-07:00,63,6.125910018553999,15.6,84.3,0.25
