datetime,hour,CoolingDemand_kW,DryBulb_C,Pressure_kPa,RHum
2020-01-01 00:30:00-07:00,1,9.527199494953999,2.8,84.3,0.42
2020-01-01 01:30:00-07:00,2,8.18071424383,2.2,84.3,0.42
2020-01-01 02:30:00-07:00,3,6.3233430660479995,1.7,84.4,0.44
2020-01-01 03:30:00-07:00,4,5.1802116470540005,0.0,84.4,0.52
2020-01-01 04:30:00-07:00,5,4.274854332206,-1.1,84.4,0.56
2020-01-01 05:30:00-07:00,6,3.8029385113479997,0.0,84.5,0.54
2020-01-01 06:30:00-07:00,7,5.5817802603599995,-1.1,84.5,0.58
2020-01-01 07:30:00-07:00,8,10.638805945836,-1.7,84.6,0.61
2020-01-01 08:30:00-07:00,9,21.049052347828,2.2,84.6,0.5
2020-01-01 09:30:00-07:00,10,20.597143181892,5.0,84.7,0.41
2020-01-01 10:30:00-07:00,11,16.713300974262,8.3,84.7,0.34
2020-01-01 11:30:00-07:00,12,19.385113503781998,10.6,84.6,0.31
2020-01-01 12:30:00-07:00,13,22.296931709374,13.3,84.5,0.27
2020-01-01 13:30:00-07:00,14,24.969453664124,15.6,84.4,0.21
2020-01-01 14:30:00-07:00,15,27.238613365857997,16.1,84.4,0.2
2020-01-01 15:30:00-07:00,16,26.806560298312,15.6,84.4,0.22
2020-01-01 16:30:00-07:00,17,22.701045322292,11.7,84.4,0.27
2020-01-01 17:30:00-07:00,18,21.424562535006,7.8,84.5,0.36
2020-01-01 18:30:00-07:00,19,24.693416554986,6.7,84.5,0.38
2020-01-01 19:30:00-07:00,20,28.020032473483997,7.8,84.6,0.39
2020-01-01 20:30:00-07:00,21,31.926093503603997,7.2,84.6,0.4
2020-01-01 21:30:00-07:00,22,31.375711706641997,7.2,84.6,0.4
2020-01-01 22:30:00-07:00,23,21.571576311843998,5.0,84.6,0.45
2020-01-01 23:30:00-07:00,24,12.395362690835999,2.2,84.6,0.55
2020-01-02 00:30:00-07:00,25,8.992960464046,1.1,84.6,0.59
2020-01-02 01:30:00-07:00,26,7.2793952055119995,0.6,84.5,0.61
2020-01-02 02:30:00-07:00,27,5.750075749972,-1.1,84.5,0.66
2020-01-02 03:30:00-07:00,28,4.681534400524,-1.7,84.5,0.69
2020-01-02 04:30:00-07:00,29,3.960521343592,-2.2,84.5,0.72
2020-01-02 05:30:00-07:00,30,3.7249990193654,-4.4,84.4,0.85
2020-01-02 06:30:00-07:00,31,10.234242889058,-3.3,84.4,0.78
2020-01-02 07:30:00-07:00,32,16.214320151318,-2.2,84.5,0.75
2020-01-02 08:30:00-07:00,33,12.329439421319998,1.1,84.5,0.62
2020-01-02 09:30:00-07:00,34,14.625912704648,4.4,84.5,0.51
2020-01-02 10:30:00-07:00,35,13.273613703715998,7.8,84.5,0.4
2020-01-02 11:30:00-07:00,36,16.018410923203998,10.6,84.3,0.33
