datetime,hour,CoolingDemand_kW,DryBulb_C,Pressure_kPa,RHum
2020-01-01 00:30:00-05:00,1,2072.115804374,12.2,98.8,0.75
2020-01-01 01:30:00-05:00,2,2175.1712964204,12.8,98.8,0.72
2020-01-01 02:30:00-05:00,3,2213.5972526552,12.2,98.8,0.77
2020-01-01 03:30:00-05:00,4,2224.6250914396,11.7,98.8,0.83
2020-01-01 04:30:00-05:00,5,2228.9790881082,11.7,98.7,0.83
2020-01-01 05:30:00-05:00,6,2230.8468170338,11.1,98.7,0.9
2020-01-01 06:30:00-05:00,7,2232.1961935035997,11.1,98.7,0.9
2020-01-01 07:30:00-05:00,8,2232.6288134526003,11.1,98.8,0.9
2020-01-01 08:30:00-05:00,9,2237.5441291313996,11.7,98.8,0.9
2020-01-01 09:30:00-05:00,10,2250.9683567098,12.2,98.8,0.9
2020-01-01 10:30:00-05:00,11,2266.7067223368,12.8,98.8,0.9
2020-01-01 11:30:00-05:00,12,2265.8048548543998,13.9,98.8,0.9
2020-01-01 12:30:00-05:00,13,2239.2516647591997,13.9,98.7,0.93
2020-01-01 13:30:00-05:00,14,2265.3158734878,12.8,98.7,0.97
2020-01-01 14:30:00-05:00,15,2283.8245576026,12.8,98.6,0.97
2020-01-01 15:30:00-05:00,16,2273.6281296912002,8.9,98.7,0.96
2020-01-01 16:30:00-05:00,17,2197.8366689602,7.2,98.7,0.96
2020-01-01 17:30:00-05:00,18,2143.6812520184,6.7,98.8,0.96
2020-01-01 18:30:00-05:00,19,2115.5856216084,6.7,98.8,0.93
2020-01-01 19:30:00-05:00,20,2102.5568035582,6.7,98.8,0.93
2020-01-01 20:30:00-05:00,21,2093.0059333534,6.1,98.8,0.93
2020-01-01 21:30:00-05:00,22,2076.9529145366,5.6,98.8,0.93
2020-01-01 22:30:00-05:00,23,2056.0360854081996,5.0,98.8,0.89
2020-01-01 23:30:00-05:00,24,2016.6263381445997,4.4,98.9,0.93
2020-01-02 00:30:00-05:00,25,1907.2319590483999,3.9,98.9,0.93
2020-01-02 01:30:00-05:00,26,1838.7129055652,3.9,98.9,0.93
2020-01-02 02:30:00-05:00,27,1824.931818653,3.9,99.0,0.89
2020-01-02 03:30:00-05:00,28,1772.7592457126,3.3,98.9,0.89
2020-01-02 04:30:00-05:00,29,1712.4061611628,3.3,98.9,0.89
2020-01-02 05:30:00-05:00,30,1923.3462725758,3.3,98.9,0.89
2020-01-02 06:30:00-05:00,31,1947.8604405564,3.3,99.0,0.86
2020-01-02 07:30:00-05:00,32,1948.8278341215998,3.3,99.1,0.89
2020-01-02 08:30:00-05:00,33,1957.4299373086,3.9,99.2,0.89
2020-01-02 09:30:00-05:00,34,1981.2337525475998,5.6,99.2,0.83
2020-01-02 10:30:00-05:00,35,2016.9000268365996,6.7,99.2,0.8
2020-01-02 11:30:00-05:00,36,2043.3624148146,7.2,99.2,0.74
2020-01-02 12:30:00-05:00,37,2046.4897564998,7.8,99.1,0.58
2020-01-02 13:30:00-05:00,38,2041.9816438961998,8.9,99.1,0.56
2020-01-02 14:30:00-05:00,39,2048.1738193223996,8.3,99.1,0.58
2020-01-02 15:30:00-05:00,40,2046.0607153718,8.3,99.0,0.58
2020-01-02 16:30:00-05:00,41,2047.2043825427997,8.3,99.1,0.61
2020-01-02 17:30:00-05:00,42,2046.9265900332,7.2,99.1,0.66
2020-01-02 18:30:00-05:00,43,2038.7173005829998,7.2,99.0,0.66
2020-01-02 19:30:00-05:00,44,2032.6700138444,6.7,99.1,0.68
2020-01-02 20:30:00-05:00,45,2021.4414531358002,6.1,99.1,0.68
2020-01-02 21:30:00-05:00,46,2006.6735974502,6.1,99.1,0.65
2020-01-02 22:30:00-05:00,47,1995.0915749156,5.6,99.0,0.68
2020-01-02 23:30:00-05:00,48,1983.6636493882,5.0,99.0,0.7
2020-01-03 00:30:00-05:00,49,1972.9237881735999,5.0,99.0,0.7
2020-01-03 01:30:00-05:00,50,1970.3837989832,5.0,98.9,0.73
2020-01-03 02:30:00-05:00,51,1973.8282569003998,4.4,98.9,0.82
