datetime,hour,CoolingDemand_kW,DryBulb_C,Pressure_kPa,RHum
2020-01-01 00:30:00-05:00,1,1.3146166481608,12.2,98.8,0.75
2020-01-01 01:30:00-05:00,2,0.0,12.8,98.8,0.72
2020-01-01 02:30:00-05:00,3,0.0,12.2,98.8,0.77
2020-01-01 03:30:00-05:00,4,0.0,11.7,98.8,0.83
2020-01-01 04:30:00-05:00,5,0.0,11.7,98.7,0.83
2020-01-01 05:30:00-05:00,6,0.0,11.1,98.7,0.9
2020-01-01 06:30:00-05:00,7,0.0,11.1,98.7,0.9
2020-01-01 07:30:00-05:00,8,0.0,11.1,98.8,0.9
2020-01-01 08:30:00-05:00,9,0.0,11.7,98.8,0.9
2020-01-01 09:30:00-05:00,10,0.0,12.2,98.8,0.9
2020-01-01 10:30:00-05:00,11,0.0,12.8,98.8,0.9
2020-01-01 11:30:00-05:00,12,0.0,13.9,98.8,0.9
2020-01-01 12:30:00-05:00,13,0.0,13.9,98.7,0.93
2020-01-01 13:30:00-05:00,14,0.0,12.8,98.7,0.97
2020-01-01 14:30:00-05:00,15,0.0,12.8,98.6,0.97
2020-01-01 15:30:00-05:00,16,0.0,8.9,98.7,0.96
2020-01-01 16:30:00-05:00,17,0.0,7.2,98.7,0.96
2020-01-01 17:30:00-05:00,18,0.0,6.7,98.8,0.96
2020-01-01 18:30:00-05:00,19,0.0,6.7,98.8,0.93
2020-01-01 19:30:00-05:00,20,0.9118265638883999,6.7,98.8,0.93
2020-01-01 20:30:00-05:00,21,3.98577616643,6.1,98.8,0.93
2020-01-01 21:30:00-05:00,22,3.535641620786,5.6,98.8,0.93
2020-01-01 22:30:00-05:00,23,3.5991460266892,5.0,98.8,0.89
2020-01-01 23:30:00-05:00,24,2.5537983338749997,4.4,98.9,0.93
2020-01-02 00:30:00-05:00,25,2.513475117558,3.9,98.9,0.93
2020-01-02 01:30:00-05:00,26,1.8734846015773998,3.9,98.9,0.93
2020-01-02 02:30:00-05:00,27,1.8842134753656,3.9,99.0,0.89
2020-01-02 03:30:00-05:00,28,1.4166541116876,3.3,98.9,0.89
2020-01-02 04:30:00-05:00,29,1.2564470869994,3.3,98.9,0.89
2020-01-02 05:30:00-05:00,30,1.0456327314184,3.3,98.9,0.89
2020-01-02 06:30:00-05:00,31,38.39211338312,3.3,99.0,0.86
2020-01-02 07:30:00-05:00,32,0.0,3.3,99.1,0.89
2020-01-02 08:30:00-05:00,33,0.0,3.9,99.2,0.89
2020-01-02 09:30:00-05:00,34,0.0,5.6,99.2,0.83
2020-01-02 10:30:00-05:00,35,0.18175019235895998,6.7,99.2,0.8
2020-01-02 11:30:00-05:00,36,2.8758386026715996,7.2,99.2,0.74
2020-01-02 12:30:00-05:00,37,6.328646726465999,7.8,99.1,0.58
2020-01-02 13:30:00-05:00,38,10.921953643397998,8.9,99.1,0.56
2020-01-02 14:30:00-05:00,39,12.210302276065999,8.3,99.1,0.58
2020-01-02 15:30:00-05:00,40,11.69393460237,8.3,99.0,0.58
2020-01-02 16:30:00-05:00,41,12.128212387972,8.3,99.1,0.61
2020-01-02 17:30:00-05:00,42,9.290198763008,7.2,99.1,0.66
2020-01-02 18:30:00-05:00,43,6.362387717321999,7.2,99.0,0.66
2020-01-02 19:30:00-05:00,44,4.532301225706,6.7,99.1,0.68
2020-01-02 20:30:00-05:00,45,1.4607575430614,6.1,99.1,0.68
2020-01-02 21:30:00-05:00,46,0.41817487973539996,6.1,99.1,0.65
2020-01-02 22:30:00-05:00,47,0.0,5.6,99.0,0.68
2020-01-02 23:30:00-05:00,48,0.0,5.0,99.0,0.7
2020-01-03 00:30:00-05:00,49,0.0,5.0,99.0,0.7
2020-01-03 01:30:00-05:00,50,0.0,5.0,98.9,0.73
2020-01-03 02:30:00-05:00,51,0.0,4.4,98.9,0.82
2020-01-03 03:30:00-05:00,52,0.0,3.3,98.9,0.89
2020-01-03 04:30:00-05:00,53,0.0,3.3,98.9,0.89
2020-01-03 05:30:00-05:00,54,0.0,2.8,98.8,0.93
2020-01-03 06:30:00-05:00,55,41.77567246916,2.8,98.9,0.93
2020-01-03 07:30:00-05:00,56,0.0,2.8,98.8,0.93
2020-01-03 08:30:00-05:00,57,0.0,1.7,98.8,0.92
2020-01-03 09:30:00-05:00,58,0.0,1.7,98.8,0.92
2020-01-03 10:30:00-05:00,59,0.0,1.7,98.8,0.96
2020-01-03 11:30:00-05:00,60,0.0,2.2,98.7,0.93
2020-01-03 12:30:00-05:00,61,0.0,2.2,98.6,0.96
2020-01-03 13:30:00-05:00,62,0.0,2.8,98.4,0.93
2020-01-03 14:30:00-05:00,63,0.0,2.8,98.4,0.96
2020-01-03 15:30:00-05:00,64,0.0,2.8,98.4,0.96
2020-01-03 16:30:00-05:00,65,0.0,2.8,98.4,0.96
2020-01-03 17:30:00-05:00,66,0.0,2.8,98.3,0.96
2020-01-03 18:30:00-05:00,67,0.0,2.8,98.3,0.96
2020-01-03 19:30:00-05:00,68,0.0,2.8,98.5,0.96
2020-01-03 20:30:00-05:00,69,0.0,3.3,98.4,0.96
2020-01-03 21:30:00-05:00,70,0.0,3.9,98.4,0.93
2020-01-03 22:30:00-05:00,71,0.0,3.9,98.3,0.96
2020-01-03 23:30:00-05:00,72,0.0,3.9,98.3,0.96
2020-01-04 00:30:00-05:00,73,0.0,3.9,98.3,0.96
2020-01-04 01:30:00-05:00,74,0.0,3.9,98.3,1.0
2020-01-04 02:30:00-05:00,75,0.0,3.9,98.3,1.0
2020-01-04 03:30:00-05:00,76,0.0,3.9,98.3,1.0
2020-01-04 04:30:00-05:00,77,0.0,3.9,98.3,0.96
2020-01-04 05:30:00-05:00,78,0.0,3.9,98.4,0.93
2020-01-04 06:30:00-05:00,79,43.99488451287999,3.9,98.5,0.89
2020-01-04 07:30:00-05:00,80,0.0,3.9,98.6,0.82
2020-01-04 08:30:00-05:00,81,0.0,3.3,98.7,0.79
2020-01-04 09:30:00-05:00,82,0.0,3.9,98.8,0.76
2020-01-04 10:30:00-05:00,83,0.0,4.4,98.8,0.68
2020-01-04 11:30:00-05:00,84,0.0,5.0,98.9,0.62
2020-01-04 12:30:00-05:00,85,1.7943455226346,5.6,98.8,0.63
2020-01-04 13:30:00-05:00,86,6.496481299524,6.7,98.7,0.56
2020-01-04 14:30:00-05:00,87,8.821382908772,6.7,98.7,0.54
2020-01-04 15:30:00-05:00,88,7.120246800552,6.1,98.7,0.53
2020-01-04 16:30:00-05:00,89,5.570340821984,5.6,98.8,0.53
2020-01-04 17:30:00-05:00,90,4.255914290658,5.0,98.8,0.55
2020-01-04 18:30:00-05:00,91,0.09888705823065999,4.4,98.9,0.6
2020-01-04 19:30:00-05:00,92,0.0,3.3,98.9,0.62
2020-01-04 20:30:00-05:00,93,0.0,2.8,98.9,0.57
2020-01-04 21:30:00-05:00,94,0.0,2.2,99.0,0.62
2020-01-04 22:30:00-05:00,95,0.0,1.7,99.0,0.64
2020-01-04 23:30:00-05:00,96,0.0,1.1,99.0,0.52
2020-01-05 00:30:00-05:00,97,0.0,0.6,99.1,0.59
2020-01-05 01:30:00-05:00,98,0.0,-0.6,99.1,0.56
2020-01-05 02:30:00-05:00,99,0.0,-1.1,99.1,0.54
2020-01-05 03:30:00-05:00,100,0.0,-1.7,99.1,0.51
2020-01-05 04:30:00-05:00,101,0.0,-2.2,99.1,0.47
2020-01-05 05:30:00-05:00,102,0.0,-2.2,99.1,0.47
2020-01-05 06:30:00-05:00,103,40.32358453054,-2.8,99.2,0.47
2020-01-05 07:30:00-05:00,104,0.0,-2.8,99.3,0.39
2020-01-05 08:30:00-05:00,105,0.0,-2.8,99.4,0.41
2020-01-05 09:30:00-05:00,106,0.0,-2.2,99.5,0.34
