datetime,hour,CoolingDemand_kW,DryBulb_C,Pressure_kPa,RHum
2020-01-01 00:30:00-05:00,1,9.264280062157999,12.2,98.8,0.75
2020-01-01 01:30:00-05:00,2,9.765065914476,12.8,98.8,0.72
2020-01-01 02:30:00-05:00,3,8.280340846848,12.2,98.8,0.77
2020-01-01 03:30:00-05:00,4,7.675319860533999,11.7,98.8,0.83
2020-01-01 04:30:00-05:00,5,7.3442131015020005,11.7,98.7,0.83
2020-01-01 05:30:00-05:00,6,7.03959710995,11.1,98.7,0.9
2020-01-01 06:30:00-05:00,7,10.121132058619999,11.1,98.7,0.9
2020-01-01 07:30:00-05:00,8,17.530821790292,11.1,98.8,0.9
2020-01-01 08:30:00-05:00,9,36.014032733608,11.7,98.8,0.9
2020-01-01 09:30:00-05:00,10,38.07133746915999,12.2,98.8,0.9
2020-01-01 10:30:00-05:00,11,28.355833372592,12.8,98.8,0.9
2020-01-01 11:30:00-05:00,12,28.882766013843998,13.9,98.8,0.9
2020-01-01 12:30:00-05:00,13,28.974970778037996,13.9,98.7,0.93
2020-01-01 13:30:00-05:00,14,28.205383914598,12.8,98.7,0.97
2020-01-01 14:30:00-05:00,15,28.061717464318,12.8,98.6,0.97
2020-01-01 15:30:00-05:00,16,24.626264854263997,8.9,98.7,0.96
2020-01-01 16:30:00-05:00,17,17.827524669748,7.2,98.7,0.96
2020-01-01 17:30:00-05:00,18,12.842144828372,6.7,98.8,0.96
2020-01-01 18:30:00-05:00,19,19.061173165661998,6.7,98.8,0.93
2020-01-01 19:30:00-05:00,20,22.834356128244,6.7,98.8,0.93
2020-01-01 20:30:00-05:00,21,27.067671822892,6.1,98.8,0.93
2020-01-01 21:30:00-05:00,22,26.200217130118,5.6,98.8,0.93
2020-01-01 22:30:00-05:00,23,16.140522221792,5.0,98.8,0.89
2020-01-01 23:30:00-05:00,24,9.032066446256,4.4,98.9,0.93
2020-01-02 00:30:00-05:00,25,6.921585890939999,3.9,98.9,0.93
2020-01-02 01:30:00-05:00,26,5.539847946336,3.9,98.9,0.93
2020-01-02 02:30:00-05:00,27,4.489628553388,3.9,99.0,0.89
2020-01-02 03:30:00-05:00,28,3.8095003845220003,3.3,98.9,0.89
2020-01-02 04:30:00-05:00,29,3.288094325254,3.3,98.9,0.89
2020-01-02 05:30:00-05:00,30,3.5811349484969996,3.3,98.9,0.89
2020-01-02 06:30:00-05:00,31,11.111605242868,3.3,99.0,0.86
2020-01-02 07:30:00-05:00,32,16.262836831323998,3.3,99.1,0.89
2020-01-02 08:30:00-05:00,33,12.001457242802,3.9,99.2,0.89
2020-01-02 09:30:00-05:00,34,19.841111697034002,5.6,99.2,0.83
2020-01-02 10:30:00-05:00,35,17.20885168875,6.7,99.2,0.8
2020-01-02 11:30:00-05:00,36,17.814719505862,7.2,99.2,0.74
2020-01-02 12:30:00-05:00,37,20.527594760522,7.8,99.1,0.58
2020-01-02 13:30:00-05:00,38,20.888935317738,8.9,99.1,0.56
2020-01-02 14:30:00-05:00,39,19.415284265285997,8.3,99.1,0.58
