datetime,hour,CoolingDemand_kW,DryBulb_C,Pressure_kPa,RHum
2020-01-01 00:30:00-05:00,1,1150.5611545068,3.3,99.6,0.96
2020-01-01 01:30:00-05:00,2,1482.3738980132,2.2,99.7,0.96
2020-01-01 02:30:00-05:00,3,1386.9484544098,1.1,100.0,0.96
2020-01-01 03:30:00-05:00,4,1280.5552644924,1.1,100.0,0.96
2020-01-01 04:30:00-05:00,5,1295.2760647513999,1.7,100.1,0.92
2020-01-01 05:30:00-05:00,6,1344.5639111486,1.7,100.4,0.96
2020-01-01 06:30:00-05:00,7,1393.4341524797999,2.2,100.5,0.92
2020-01-01 07:30:00-05:00,8,1447.3452362045998,2.2,100.8,0.92
2020-01-01 08:30:00-05:00,9,1461.901548611,2.2,101.1,0.89
2020-01-01 09:30:00-05:00,10,1467.7793113456,2.2,101.2,0.85
2020-01-01 10:30:00-05:00,11,1517.4622392474,2.8,101.2,0.76
2020-01-01 11:30:00-05:00,12,1623.2617859562,3.3,101.2,0.67
2020-01-01 12:30:00-05:00,13,1781.2487435109997,4.4,101.2,0.65
2020-01-01 13:30:00-05:00,14,1932.5292650656,5.0,101.3,0.62
2020-01-01 14:30:00-05:00,15,1960.6991235659998,5.0,101.4,0.62
2020-01-01 15:30:00-05:00,16,1969.1951753459996,4.4,101.5,0.68
2020-01-01 16:30:00-05:00,17,1827.8779332841998,2.8,101.6,0.7
2020-01-01 17:30:00-05:00,18,1604.779996786,2.2,101.7,0.7
2020-01-01 18:30:00-05:00,19,1422.0468385538,1.1,101.7,0.73
2020-01-01 19:30:00-05:00,20,1299.0825348518,1.1,101.7,0.73
2020-01-01 20:30:00-05:00,21,1182.7891916002,-0.6,101.8,0.75
2020-01-01 21:30:00-05:00,22,1061.375588691,-1.1,101.8,0.78
2020-01-01 22:30:00-05:00,23,968.2744357482,-2.2,101.9,0.82
2020-01-01 23:30:00-05:00,24,897.1747605941999,-2.8,101.9,0.81
2020-01-02 00:30:00-05:00,25,893.7516909162,-2.2,102.0,0.85
2020-01-02 01:30:00-05:00,26,907.2915157333999,-2.2,102.0,0.82
2020-01-02 02:30:00-05:00,27,885.2405350786,-2.8,102.0,0.85
2020-01-02 03:30:00-05:00,28,824.0385403061999,-3.9,102.0,0.85
2020-01-02 04:30:00-05:00,29,788.6230489172,-3.9,102.0,0.85
2020-01-02 05:30:00-05:00,30,916.3463985989999,-2.8,102.0,0.78
2020-01-02 06:30:00-05:00,31,883.1937945218,-3.3,102.1,0.72
2020-01-02 07:30:00-05:00,32,827.2838368337999,-3.9,102.2,0.72
2020-01-02 08:30:00-05:00,33,865.0803776708,-2.2,102.2,0.72
2020-01-02 09:30:00-05:00,34,972.8035760963999,-1.7,102.3,0.63
2020-01-02 10:30:00-05:00,35,1022.9590657471999,-1.7,102.2,0.63
2020-01-02 11:30:00-05:00,36,1063.3373534426,-1.1,102.1,0.64
