datetime,hour,CoolingDemand_kW,DryBulb_C,Pressure_kPa,RHum
2020-01-01 00:30:00-05:00,1,137.69729313474,3.3,99.6,0.96
2020-01-01 01:30:00-05:00,2,130.79091098414,2.2,99.7,0.96
2020-01-01 02:30:00-05:00,3,225.97096266013997,1.1,100.0,0.96
2020-01-01 03:30:00-05:00,4,184.05831181897997,1.1,100.0,0.96
2020-01-01 04:30:00-05:00,5,171.81464150643998,1.7,100.1,0.92
2020-01-01 05:30:00-05:00,6,167.93554968546,1.7,100.4,0.96
2020-01-01 06:30:00-05:00,7,295.17142101504,2.2,100.5,0.92
2020-01-01 07:30:00-05:00,8,245.74224131587997,2.2,100.8,0.92
2020-01-01 08:30:00-05:00,9,357.76276274952,2.2,101.1,0.89
2020-01-01 09:30:00-05:00,10,406.7257484182,2.2,101.2,0.85
2020-01-01 10:30:00-05:00,11,392.26126545899996,2.8,101.2,0.76
2020-01-01 11:30:00-05:00,12,397.92832672459997,3.3,101.2,0.67
2020-01-01 12:30:00-05:00,13,410.6500042116,4.4,101.2,0.65
2020-01-01 13:30:00-05:00,14,391.8984199282,5.0,101.3,0.62
2020-01-01 14:30:00-05:00,15,387.65901654979996,5.0,101.4,0.62
2020-01-01 15:30:00-05:00,16,371.06328448648003,4.4,101.5,0.68
2020-01-01 16:30:00-05:00,17,287.66468649288,2.8,101.6,0.7
2020-01-01 17:30:00-05:00,18,224.05091882028,2.2,101.7,0.7
2020-01-01 18:30:00-05:00,19,234.61932736139997,1.1,101.7,0.73
2020-01-01 19:30:00-05:00,20,274.09704383344,1.1,101.7,0.73
2020-01-01 20:30:00-05:00,21,276.81724172382,-0.6,101.8,0.75
2020-01-01 21:30:00-05:00,22,266.55621464956,-1.1,101.8,0.78
2020-01-01 22:30:00-05:00,23,225.51361821824,-2.2,101.9,0.82
2020-01-01 23:30:00-05:00,24,154.05377240094,-2.8,101.9,0.81
2020-01-02 00:30:00-05:00,25,128.77398319966,-2.2,102.0,0.85
2020-01-02 01:30:00-05:00,26,113.09682742241999,-2.2,102.0,0.82
2020-01-02 02:30:00-05:00,27,105.1274723343,-2.8,102.0,0.85
2020-01-02 03:30:00-05:00,28,98.30737976404,-3.9,102.0,0.85
2020-01-02 04:30:00-05:00,29,101.63591452365999,-3.9,102.0,0.85
2020-01-02 05:30:00-05:00,30,132.25816562222,-2.8,102.0,0.78
2020-01-02 06:30:00-05:00,31,236.9403709163,-3.3,102.1,0.72
2020-01-02 07:30:00-05:00,32,338.67733378216,-3.9,102.2,0.72
2020-01-02 08:30:00-05:00,33,270.56689822322,-2.2,102.2,0.72
2020-01-02 09:30:00-05:00,34,403.5321909882,-1.7,102.3,0.63
2020-01-02 10:30:00-05:00,35,319.22056582761996,-1.7,102.2,0.63
2020-01-02 11:30:00-05:00,36,264.47861606317997,-1.1,102.1,0.64
2020-01-02 12:30:00-05:00,37,243.31433712953995,-0.6,102.1,0.61
2020-01-02 13:30:00-05:00,38,218.65927251675998,0.0,102.0,0.59
2020-01-02 14:30:00-05:00,39,186.89710322155997,0.0,102.0,0.61
2020-01-02 15:30:00-05:00,40,161.90036818544,0.0,102.0,0.61
2020-01-02 16:30:00-05:00,41,146.1310864185,0.0,102.0,0.61
2020-01-02 17:30:00-05:00,42,139.25075434975997,0.0,102.0,0.64
2020-01-02 18:30:00-05:00,43,181.64958457964,-0.6,101.9,0.66
2020-01-02 19:30:00-05:00,44,167.9956207155,-1.7,101.8,0.72
2020-01-02 20:30:00-05:00,45,210.76407730219998,-1.1,101.8,0.69
2020-01-02 21:30:00-05:00,46,309.61238687092003,-0.6,101.7,0.75
2020-01-02 22:30:00-05:00,47,308.17164484994,0.0,101.6,0.75
2020-01-02 23:30:00-05:00,48,241.44444351721998,0.0,101.5,0.79
2020-01-03 00:30:00-05:00,49,66.82273326318,1.1,101.4,0.79
2020-01-03 01:30:00-05:00,50,68.26987045388,2.2,101.3,0.79
2020-01-03 02:30:00-05:00,51,70.64274989655999,2.8,101.3,0.79
2020-01-03 03:30:00-05:00,52,73.91823257118,2.8,101.2,0.82
2020-01-03 04:30:00-05:00,53,83.33320615263999,2.8,101.1,0.82
2020-01-03 05:30:00-05:00,54,114.27646435867999,2.8,101.0,0.82
2020-01-03 06:30:00-05:00,55,402.23256789939995,2.8,100.9,0.85
2020-01-03 07:30:00-05:00,56,312.69299475012,3.3,100.9,0.86
2020-01-03 08:30:00-05:00,57,274.63581759412,3.9,100.8,0.89
2020-01-03 09:30:00-05:00,58,237.52380075812,3.9,100.8,0.93
2020-01-03 10:30:00-05:00,59,187.55240652976,4.4,100.7,0.89
2020-01-03 11:30:00-05:00,60,152.41069459728,4.4,100.5,0.93
2020-01-03 12:30:00-05:00,61,138.47704372708,5.0,100.3,0.93
2020-01-03 13:30:00-05:00,62,147.35510163499998,5.6,100.2,0.93
2020-01-03 14:30:00-05:00,63,154.10295223426,6.7,100.2,0.93
2020-01-03 15:30:00-05:00,64,150.84122285746,6.1,100.4,0.96
2020-01-03 16:30:00-05:00,65,141.15524512858,5.6,100.4,0.96
2020-01-03 17:30:00-05:00,66,161.3055439376,5.0,100.5,0.96
2020-01-03 18:30:00-05:00,67,226.8926582982,5.0,100.6,0.89
2020-01-03 19:30:00-05:00,68,247.74649977495997,4.4,100.6,0.82
2020-01-03 20:30:00-05:00,69,256.07841798661997,3.3,100.6,0.76
2020-01-03 21:30:00-05:00,70,304.11646064402,3.3,100.7,0.73
2020-01-03 22:30:00-05:00,71,276.00839172442,3.3,100.8,0.67
2020-01-03 23:30:00-05:00,72,192.48800107271998,2.2,100.8,0.59
2020-01-04 00:30:00-05:00,73,55.12628863028,1.7,100.8,0.57
2020-01-04 01:30:00-05:00,74,66.05991177381999,1.1,100.8,0.59
2020-01-04 02:30:00-05:00,75,70.24192360592,0.6,101.0,0.52
2020-01-04 03:30:00-05:00,76,69.84219092412,-0.6,101.0,0.49
2020-01-04 04:30:00-05:00,77,76.38594836268,-1.1,101.1,0.49
2020-01-04 05:30:00-05:00,78,107.50134808492,-2.2,101.1,0.51
2020-01-04 06:30:00-05:00,79,308.26814524307997,-2.2,101.2,0.51
2020-01-04 07:30:00-05:00,80,120.64412623055999,-2.8,101.3,0.51
2020-01-04 08:30:00-05:00,81,109.667837417,-2.2,101.4,0.49
2020-01-04 09:30:00-05:00,82,202.09620656786,-2.2,101.5,0.45
2020-01-04 10:30:00-05:00,83,255.25873394592,-1.7,101.5,0.43
2020-01-04 11:30:00-05:00,84,278.9281061334,-1.7,101.5,0.43
2020-01-04 12:30:00-05:00,85,314.09938758006,-1.1,101.4,0.41
2020-01-04 13:30:00-05:00,86,317.36114553209995,-1.1,101.5,0.41
2020-01-04 14:30:00-05:00,87,297.7936438801,-1.1,101.5,0.41
2020-01-04 15:30:00-05:00,88,273.34139287986,-1.1,101.6,0.41
2020-01-04 16:30:00-05:00,89,158.92541995984,-2.8,101.7,0.43
2020-01-04 17:30:00-05:00,90,103.30380683423999,-3.3,101.8,0.44
2020-01-04 18:30:00-05:00,91,163.05107186432,-3.9,101.9,0.46
2020-01-04 19:30:00-05:00,92,181.66808726604,-4.4,102.0,0.48
2020-01-04 20:30:00-05:00,93,215.99006087557999,-5.0,102.1,0.5
2020-01-04 21:30:00-05:00,94,271.66418838085997,-5.6,102.1,0.52
2020-01-04 22:30:00-05:00,95,215.92444349816,-5.9,102.2,0.54
2020-01-04 23:30:00-05:00,96,137.06657004066,-6.1,102.2,0.55
2020-01-05 00:30:00-05:00,97,103.72977493682,-6.1,102.3,0.55
2020-01-05 01:30:00-05:00,98,79.12356038499999,-6.7,102.3,0.54
2020-01-05 02:30:00-05:00,99,67.14624957602,-6.7,102.4,0.54
2020-01-05 03:30:00-05:00,100,60.2503987496,-7.2,102.5,0.57
2020-01-05 04:30:00-05:00,101,62.195149013359995,-7.8,102.5,0.59
2020-01-05 05:30:00-05:00,102,92.10260900034,-7.8,102.6,0.59
2020-01-05 06:30:00-05:00,103,197.11034439978,-7.8,102.6,0.59
2020-01-05 07:30:00-05:00,104,288.50648146856,-7.8,102.7,0.62
2020-01-05 08:30:00-05:00,105,234.58376459817998,-6.7,102.8,0.6
2020-01-05 09:30:00-05:00,106,237.31218569274,-5.0,102.7,0.55
2020-01-05 10:30:00-05:00,107,224.35787554137997,-3.3,102.9,0.51
2020-01-05 11:30:00-05:00,108,311.26975258566,-2.2,102.8,0.47
2020-01-05 12:30:00-05:00,109,371.92584105476,-2.2,102.7,0.45
2020-01-05 13:30:00-05:00,110,357.11089246506,-1.7,102.7,0.45
2020-01-05 14:30:00-05:00,111,333.64610651412,-1.7,102.7,0.43
2020-01-05 15:30:00-05:00,112,287.60348566545997,-1.7,102.7,0.43
2020-01-05 16:30:00-05:00,113,145.785975786,-3.3,102.8,0.46
2020-01-05 17:30:00-05:00,114,122.83585405114,-4.4,102.8,0.53
2020-01-05 18:30:00-05:00,115,184.22500287548,-4.4,102.8,0.53
2020-01-05 19:30:00-05:00,116,198.83983446297998,-4.4,102.9,0.58
2020-01-05 20:30:00-05:00,117,234.00719670819998,-4.4,102.8,0.58
2020-01-05 21:30:00-05:00,118,290.10300973354,-5.0,102.9,0.6
2020-01-05 22:30:00-05:00,119,229.53620239478,-5.0,102.9,0.6
2020-01-05 23:30:00-05:00,120,147.54851792696,-5.6,102.9,0.62
