datetime,hour,CoolingDemand_kW,DryBulb_C,Pressure_kPa,RHum
2020-01-01 00:30:00-05:00,1,373.74951979934,3.3,99.6,0.96
2020-01-01 01:30:00-05:00,2,302.79272912516,2.2,99.7,0.96
2020-01-01 02:30:00-05:00,3,373.36190142026,1.1,100.0,0.96
2020-01-01 03:30:00-05:00,4,296.60719286591996,1.1,100.0,0.96
2020-01-01 04:30:00-05:00,5,367.52228543937997,1.7,100.1,0.92
2020-01-01 05:30:00-05:00,6,293.73810325014,1.7,100.4,0.96
2020-01-01 06:30:00-05:00,7,364.43778938688,2.2,100.5,0.92
2020-01-01 07:30:00-05:00,8,291.38854298397996,2.2,100.8,0.92
2020-01-01 08:30:00-05:00,9,367.23429680626,2.2,101.1,0.89
2020-01-01 09:30:00-05:00,10,306.01261513521996,2.2,101.2,0.85
2020-01-01 10:30:00-05:00,11,396.8576466628,2.8,101.2,0.76
2020-01-01 11:30:00-05:00,12,334.44087023955996,3.3,101.2,0.67
2020-01-01 12:30:00-05:00,13,474.303974064,4.4,101.2,0.65
2020-01-01 13:30:00-05:00,14,363.96077878522,5.0,101.3,0.62
2020-01-01 14:30:00-05:00,15,461.6551597454,5.0,101.4,0.62
2020-01-01 15:30:00-05:00,16,376.57194157902,4.4,101.5,0.68
2020-01-01 16:30:00-05:00,17,456.3722306378,2.8,101.6,0.7
2020-01-01 17:30:00-05:00,18,344.9492597164,2.2,101.7,0.7
2020-01-01 18:30:00-05:00,19,410.79247976999994,1.1,101.7,0.73
2020-01-01 19:30:00-05:00,20,321.6834501171,1.1,101.7,0.73
2020-01-01 20:30:00-05:00,21,390.87058047359994,-0.6,101.8,0.75
2020-01-01 21:30:00-05:00,22,306.60934056752,-1.1,101.8,0.78
2020-01-01 22:30:00-05:00,23,376.44099543646,-2.2,101.9,0.82
2020-01-01 23:30:00-05:00,24,298.5250548214,-2.8,101.9,0.81
2020-01-02 00:30:00-05:00,25,370.78897819947997,-2.2,102.0,0.85
2020-01-02 01:30:00-05:00,26,298.88292302973997,-2.2,102.0,0.82
2020-01-02 02:30:00-05:00,27,370.45178765124,-2.8,102.0,0.85
2020-01-02 03:30:00-05:00,28,295.21088299854,-3.9,102.0,0.85
2020-01-02 04:30:00-05:00,29,364.0270926426,-3.9,102.0,0.85
2020-01-02 05:30:00-05:00,30,291.86812784016,-2.8,102.0,0.78
2020-01-02 06:30:00-05:00,31,757.8779010276,-3.3,102.1,0.72
2020-01-02 07:30:00-05:00,32,0.0,-3.9,102.2,0.72
2020-01-02 08:30:00-05:00,33,0.0,-2.2,102.2,0.72
2020-01-02 09:30:00-05:00,34,0.0,-1.7,102.3,0.63
2020-01-02 10:30:00-05:00,35,0.0,-1.7,102.2,0.63
2020-01-02 11:30:00-05:00,36,0.0,-1.1,102.1,0.64
