datetime,hour,CoolingDemand_kW,DryBulb_C,Pressure_kPa,RHum
2020-01-01 00:30:00-05:00,1,51.303363387599994,3.3,99.6,0.96
2020-01-01 01:30:00-05:00,2,42.02507346648,2.2,99.7,0.96
2020-01-01 02:30:00-05:00,3,51.391242912639996,1.1,100.0,0.96
2020-01-01 03:30:00-05:00,4,38.01221265698,1.1,100.0,0.96
2020-01-01 04:30:00-05:00,5,49.72048889464,1.7,100.1,0.92
2020-01-01 05:30:00-05:00,6,65.9039861956,1.7,100.4,0.96
2020-01-01 06:30:00-05:00,7,42.96688298182,2.2,100.5,0.92
2020-01-01 07:30:00-05:00,8,40.7528111088,2.2,100.8,0.92
2020-01-01 08:30:00-05:00,9,43.74309087291999,2.2,101.1,0.89
2020-01-01 09:30:00-05:00,10,47.77583696082,2.2,101.2,0.85
2020-01-01 10:30:00-05:00,11,48.6279899746,2.8,101.2,0.76
2020-01-01 11:30:00-05:00,12,50.049255895099996,3.3,101.2,0.67
2020-01-01 12:30:00-05:00,13,52.24298713875999,4.4,101.2,0.65
2020-01-01 13:30:00-05:00,14,54.49143758404,5.0,101.3,0.62
2020-01-01 14:30:00-05:00,15,55.50204040584,5.0,101.4,0.62
2020-01-01 15:30:00-05:00,16,55.49527067011999,4.4,101.5,0.68
2020-01-01 16:30:00-05:00,17,55.497990339619996,2.8,101.6,0.7
2020-01-01 17:30:00-05:00,18,55.50957238469999,2.2,101.7,0.7
2020-01-01 18:30:00-05:00,19,56.72356880164,1.1,101.7,0.73
2020-01-01 19:30:00-05:00,20,57.022038080239994,1.1,101.7,0.73
2020-01-01 20:30:00-05:00,21,40.41612072226,-0.6,101.8,0.75
2020-01-01 21:30:00-05:00,22,36.874945294208,-1.1,101.8,0.78
2020-01-01 22:30:00-05:00,23,54.06380848056,-2.2,101.9,0.82
2020-01-01 23:30:00-05:00,24,56.2695431836,-2.8,101.9,0.81
2020-01-02 00:30:00-05:00,25,54.6381767185,-2.2,102.0,0.85
2020-01-02 01:30:00-05:00,26,60.994609855620006,-2.2,102.0,0.82
2020-01-02 02:30:00-05:00,27,59.00174101569999,-2.8,102.0,0.85
2020-01-02 03:30:00-05:00,28,63.949668278539995,-3.9,102.0,0.85
2020-01-02 04:30:00-05:00,29,75.99293442819999,-3.9,102.0,0.85
2020-01-02 05:30:00-05:00,30,89.9153863545,-2.8,102.0,0.78
2020-01-02 06:30:00-05:00,31,66.13100241664,-3.3,102.1,0.72
2020-01-02 07:30:00-05:00,32,67.34889824765999,-3.9,102.2,0.72
2020-01-02 08:30:00-05:00,33,71.18673585238,-2.2,102.2,0.72
2020-01-02 09:30:00-05:00,34,73.15843627892,-1.7,102.3,0.63
2020-01-02 10:30:00-05:00,35,75.47333703653999,-1.7,102.2,0.63
2020-01-02 11:30:00-05:00,36,77.28061352838,-1.1,102.1,0.64
2020-01-02 12:30:00-05:00,37,80.17779046035999,-0.6,102.1,0.61
