datetime,hour,CoolingDemand_kW,DryBulb_C,Pressure_kPa,RHum
2020-01-01 00:30:00-05:00,1,4.186098907051999,3.3,99.6,0.96
2020-01-01 01:30:00-05:00,2,3.8394723751699997,2.2,99.7,0.96
2020-01-01 02:30:00-05:00,3,2.6421544177737997,1.1,100.0,0.96
2020-01-01 03:30:00-05:00,4,2.1173540034518,1.1,100.0,0.96
2020-01-01 04:30:00-05:00,5,1.821222333133,1.7,100.1,0.92
2020-01-01 05:30:00-05:00,6,1.5901216670677998,1.7,100.4,0.96
2020-01-01 06:30:00-05:00,7,3.0504310914432,2.2,100.5,0.92
2020-01-01 07:30:00-05:00,8,8.015337555877998,2.2,100.8,0.92
2020-01-01 08:30:00-05:00,9,18.555612362734,2.2,101.1,0.89
2020-01-01 09:30:00-05:00,10,22.887398117707995,2.2,101.2,0.85
2020-01-01 10:30:00-05:00,11,18.7354921156,2.8,101.2,0.76
2020-01-01 11:30:00-05:00,12,19.000790335286,3.3,101.2,0.67
2020-01-01 12:30:00-05:00,13,19.222260994254,4.4,101.2,0.65
2020-01-01 13:30:00-05:00,14,19.404350312182,5.0,101.3,0.62
2020-01-01 14:30:00-05:00,15,19.408545339548,5.0,101.4,0.62
2020-01-01 15:30:00-05:00,16,18.527682204084,4.4,101.5,0.68
2020-01-01 16:30:00-05:00,17,13.275863871283999,2.8,101.6,0.7
2020-01-01 17:30:00-05:00,18,7.786982041140001,2.2,101.7,0.7
2020-01-01 18:30:00-05:00,19,11.385562441158,1.1,101.7,0.73
2020-01-01 19:30:00-05:00,20,13.527005074727999,1.1,101.7,0.73
2020-01-01 20:30:00-05:00,21,16.205295237502,-0.6,101.8,0.75
2020-01-01 21:30:00-05:00,22,15.424821800155998,-1.1,101.8,0.78
2020-01-01 22:30:00-05:00,23,9.228706462402,-2.2,101.9,0.82
2020-01-01 23:30:00-05:00,24,4.521571632612,-2.8,101.9,0.81
2020-01-02 00:30:00-05:00,25,3.3019049586976,-2.2,102.0,0.85
2020-01-02 01:30:00-05:00,26,2.5080390799486,-2.2,102.0,0.82
2020-01-02 02:30:00-05:00,27,1.7434635785136,-2.8,102.0,0.85
2020-01-02 03:30:00-05:00,28,1.1058353840762,-3.9,102.0,0.85
2020-01-02 04:30:00-05:00,29,0.6794510934501999,-3.9,102.0,0.85
2020-01-02 05:30:00-05:00,30,0.7229134430614,-2.8,102.0,0.78
2020-01-02 06:30:00-05:00,31,5.743150331748,-3.3,102.1,0.72
2020-01-02 07:30:00-05:00,32,10.675718422848,-3.9,102.2,0.72
2020-01-02 08:30:00-05:00,33,6.382558704611999,-2.2,102.2,0.72
2020-01-02 09:30:00-05:00,34,14.063382228874,-1.7,102.3,0.63
2020-01-02 10:30:00-05:00,35,10.9026200026,-1.7,102.2,0.63
2020-01-02 11:30:00-05:00,36,10.509444473842,-1.1,102.1,0.64
2020-01-02 12:30:00-05:00,37,10.146855593065998,-0.6,102.1,0.61
2020-01-02 13:30:00-05:00,38,10.148630291105999,0.0,102.0,0.59
2020-01-02 14:30:00-05:00,39,10.113761676280001,0.0,102.0,0.61
2020-01-02 15:30:00-05:00,40,9.96424456322,0.0,102.0,0.61
