datetime,hour,CoolingDemand_kW,DryBulb_C,Pressure_kPa,RHum
2020-01-01 00:30:00-06:00,1,24.608711760884,-12.2,99.5,0.73
2020-01-01 01:30:00-06:00,2,18.419190614392,-11.7,99.6,0.73
2020-01-01 02:30:00-06:00,3,24.162712372427997,-11.1,99.5,0.73
2020-01-01 03:30:00-06:00,4,19.100058591502,-11.1,99.5,0.73
2020-01-01 04:30:00-06:00,5,32.552102664586,-10.6,99.5,0.73
2020-01-01 05:30:00-06:00,6,47.70079524672,-10.6,99.5,0.73
2020-01-01 06:30:00-06:00,7,49.77946689762,-10.6,99.5,0.77
2020-01-01 07:30:00-06:00,8,50.621676000339995,-10.0,99.5,0.77
2020-01-01 08:30:00-06:00,9,51.97252578752,-8.9,99.5,0.71
2020-01-01 09:30:00-06:00,10,54.26277070266,-6.7,99.5,0.6
2020-01-01 10:30:00-06:00,11,57.54161902854,-5.0,99.4,0.63
2020-01-01 11:30:00-06:00,12,59.196788032819995,-3.3,99.3,0.63
2020-01-01 12:30:00-06:00,13,59.201117049059995,-2.2,99.2,0.63
2020-01-01 13:30:00-06:00,14,55.539829476579996,-1.1,99.2,0.61
2020-01-01 14:30:00-06:00,15,51.5410920165,-1.1,99.2,0.64
2020-01-01 15:30:00-06:00,16,53.24448298012,-1.1,99.2,0.69
2020-01-01 16:30:00-06:00,17,55.11791540628,-1.1,99.2,0.69
2020-01-01 17:30:00-06:00,18,52.4535003607,-1.7,99.2,0.72
2020-01-01 18:30:00-06:00,19,40.54773708906,-2.2,99.2,0.75
2020-01-01 19:30:00-06:00,20,42.18747268366,-1.1,99.2,0.72
2020-01-01 20:30:00-06:00,21,44.04538929904,-1.7,99.1,0.78
2020-01-01 21:30:00-06:00,22,38.52776310716,-1.1,99.1,0.75
2020-01-01 22:30:00-06:00,23,29.620743119962,-1.7,99.0,0.78
2020-01-01 23:30:00-06:00,24,34.302300819197995,-1.7,99.0,0.72
2020-01-02 00:30:00-06:00,25,26.640045846356,-3.9,99.0,0.85
2020-01-02 01:30:00-06:00,26,33.76246441774,-2.8,99.0,0.78
2020-01-02 02:30:00-06:00,27,27.31491145967,-3.3,98.9,0.78
2020-01-02 03:30:00-06:00,28,34.369803776073994,-2.8,98.9,0.78
2020-01-02 04:30:00-06:00,29,35.888865271606,-1.1,98.9,0.72
2020-01-02 05:30:00-06:00,30,45.15053618734,-1.1,98.9,0.72
2020-01-02 06:30:00-06:00,31,42.0272135425,-0.6,99.0,0.69
2020-01-02 07:30:00-06:00,32,40.2951661135,-0.6,98.9,0.69
2020-01-02 08:30:00-06:00,33,37.84536181979,0.0,99.0,0.69
2020-01-02 09:30:00-06:00,34,36.093330006832,0.6,99.0,0.67
2020-01-02 10:30:00-06:00,35,37.22163177413,1.7,98.9,0.62
2020-01-02 11:30:00-06:00,36,39.35959513226,1.7,98.8,0.64
2020-01-02 12:30:00-06:00,37,41.4261081238,1.7,98.6,0.67
2020-01-02 13:30:00-06:00,38,42.232616721279996,0.0,98.5,0.92
2020-01-02 14:30:00-06:00,39,42.25627719062,-0.6,98.4,0.96
2020-01-02 15:30:00-06:00,40,42.235162195739996,0.6,98.3,0.89
2020-01-02 16:30:00-06:00,41,42.20908386543999,0.6,98.3,0.92
2020-01-02 17:30:00-06:00,42,42.22991617034,-0.6,98.3,1.0
2020-01-02 18:30:00-06:00,43,29.610584360892002,0.6,98.1,0.92
2020-01-02 19:30:00-06:00,44,28.155011310678,1.1,98.1,0.89
2020-01-02 20:30:00-06:00,45,27.872826223605998,1.7,97.9,0.89
2020-01-02 21:30:00-06:00,46,23.820312603156,2.2,97.9,0.89
2020-01-02 22:30:00-06:00,47,19.82538762999,0.0,97.8,0.96
2020-01-02 23:30:00-06:00,48,25.42307088598,0.0,97.8,0.96
2020-01-03 00:30:00-06:00,49,19.697174894348,0.0,97.9,0.96
2020-01-03 01:30:00-06:00,50,25.135133332611996,0.0,98.1,0.96
2020-01-03 02:30:00-06:00,51,19.525169080974,0.6,98.3,0.92
2020-01-03 03:30:00-06:00,52,23.947072625018,0.0,98.4,0.89
2020-01-03 04:30:00-06:00,53,25.836372708556,-1.1,98.6,0.85
2020-01-03 05:30:00-06:00,54,39.1062159043,-2.2,98.8,0.85
2020-01-03 06:30:00-06:00,55,41.35371480184,-3.3,99.0,0.85
2020-01-03 07:30:00-06:00,56,42.16444832938,-3.3,99.1,0.85
2020-01-03 08:30:00-06:00,57,43.522522690239995,-4.4,99.2,0.88
2020-01-03 09:30:00-06:00,58,45.5852374693,-4.4,99.4,0.88
2020-01-03 10:30:00-06:00,59,46.38678282332,-3.9,99.4,0.85
2020-01-03 11:30:00-06:00,60,47.72717371546,-3.3,99.4,0.85
2020-01-03 12:30:00-06:00,61,49.8079032879,-2.8,99.4,0.81
2020-01-03 13:30:00-06:00,62,50.5728583359,-2.8,99.5,0.81
2020-01-03 14:30:00-06:00,63,49.47170102998,-2.8,99.5,0.81
2020-01-03 15:30:00-06:00,64,48.671490150080004,-2.8,99.5,0.81
2020-01-03 16:30:00-06:00,65,44.89407272434,-2.8,99.6,0.85
2020-01-03 17:30:00-06:00,66,39.796155025,-2.8,99.6,0.81
2020-01-03 18:30:00-06:00,67,22.968455321906,-2.8,99.6,0.81
2020-01-03 19:30:00-06:00,68,19.779127541641998,-2.8,99.7,0.85
2020-01-03 20:30:00-06:00,69,20.809101449933998,-2.8,99.6,0.89
2020-01-03 21:30:00-06:00,70,17.697012543845997,-2.8,99.6,0.89
2020-01-03 22:30:00-06:00,71,12.525926626698,-2.8,99.5,0.89
2020-01-03 23:30:00-06:00,72,12.594112934572001,-2.8,99.5,0.85
2020-01-04 00:30:00-06:00,73,8.268488191342,-2.8,99.4,0.85
2020-01-04 01:30:00-06:00,74,11.673811445034,-2.8,99.3,0.85
2020-01-04 02:30:00-06:00,75,8.699389296411999,-2.8,99.3,0.85
2020-01-04 03:30:00-06:00,76,7.553275988309999,-3.3,99.2,0.88
2020-01-04 04:30:00-06:00,77,0.43048577988619996,-3.3,99.2,0.88
2020-01-04 05:30:00-06:00,78,1.1995259315540001,-3.3,99.0,0.88
2020-01-04 06:30:00-06:00,79,0.0,-2.8,98.9,0.92
2020-01-04 07:30:00-06:00,80,0.0,-2.8,98.9,0.92
2020-01-04 08:30:00-06:00,81,0.0,-2.2,98.8,0.89
2020-01-04 09:30:00-06:00,82,4.8722242350439995,-1.7,98.7,0.85
2020-01-04 10:30:00-06:00,83,13.480545581836,-1.7,98.5,0.89
2020-01-04 11:30:00-06:00,84,20.700815202399998,-1.1,98.4,0.89
2020-01-04 12:30:00-06:00,85,25.66922564837,-0.6,98.2,0.85
2020-01-04 13:30:00-06:00,86,29.871515637602,-0.6,98.2,0.85
2020-01-04 14:30:00-06:00,87,35.414893139306,-1.1,98.2,0.92
2020-01-04 15:30:00-06:00,88,39.46421319674,-1.1,98.3,0.89
2020-01-04 16:30:00-06:00,89,37.93907711408,-2.8,98.3,0.85
2020-01-04 17:30:00-06:00,90,34.847175019166,-3.9,98.5,0.85
2020-01-04 18:30:00-06:00,91,19.986037929280002,-5.0,98.6,0.85
2020-01-04 19:30:00-06:00,92,15.113860057313998,-5.0,98.7,0.85
2020-01-04 20:30:00-06:00,93,10.625621358372,-4.4,98.8,0.85
2020-01-04 21:30:00-06:00,94,6.476808312645999,-5.0,98.9,0.88
2020-01-04 22:30:00-06:00,95,4.194215783052,-6.1,99.1,0.78
2020-01-04 23:30:00-06:00,96,3.665753296513,-7.2,99.1,0.77
2020-01-05 00:30:00-06:00,97,0.43932715482319995,-7.2,99.2,0.74
2020-01-05 01:30:00-06:00,98,0.4611347799326,-6.7,99.2,0.78
2020-01-05 02:30:00-06:00,99,0.133812305081,-7.2,99.3,0.77
2020-01-05 03:30:00-06:00,100,0.0,-8.9,99.3,0.81
2020-01-05 04:30:00-06:00,101,0.0,-12.2,99.4,0.8
2020-01-05 05:30:00-06:00,102,0.0,-14.4,99.4,0.8
2020-01-05 06:30:00-06:00,103,0.0,-15.0,99.4,0.73
2020-01-05 07:30:00-06:00,104,0.0,-13.9,99.4,0.87
2020-01-05 08:30:00-06:00,105,0.0,-13.9,99.4,0.87
2020-01-05 09:30:00-06:00,106,1.1719193941622,-11.7,99.4,0.73
2020-01-05 10:30:00-06:00,107,4.777572755996,-9.4,99.2,0.67
