datetime,hour,CoolingDemand_kW,DryBulb_C,Pressure_kPa,RHum
2020-01-01 00:30:00-06:00,1,0.18106981240768,-12.2,99.5,0.73
2020-01-01 01:30:00-06:00,2,0.12269799476655999,-11.7,99.6,0.73
2020-01-01 02:30:00-06:00,3,0.08791307877969999,-11.1,99.5,0.73
2020-01-01 03:30:00-06:00,4,0.062349238701760006,-11.1,99.5,0.73
2020-01-01 04:30:00-06:00,5,0.041856139255919994,-10.6,99.5,0.73
2020-01-01 05:30:00-06:00,6,0.023620265154826,-10.6,99.5,0.73
2020-01-01 06:30:00-06:00,7,0.05141865243006,-10.6,99.5,0.77
2020-01-01 07:30:00-06:00,8,0.18760096383872,-10.0,99.5,0.77
2020-01-01 08:30:00-06:00,9,5.0066155708440006,-8.9,99.5,0.71
2020-01-01 09:30:00-06:00,10,10.730658186386,-6.7,99.5,0.6
2020-01-01 10:30:00-06:00,11,9.67357230075,-5.0,99.4,0.63
2020-01-01 11:30:00-06:00,12,10.108213028684,-3.3,99.3,0.63
2020-01-01 12:30:00-06:00,13,8.79594519182,-2.2,99.2,0.63
2020-01-01 13:30:00-06:00,14,8.819629757112,-1.1,99.2,0.61
2020-01-01 14:30:00-06:00,15,8.978170020978,-1.1,99.2,0.64
2020-01-01 15:30:00-06:00,16,8.881763417385999,-1.1,99.2,0.69
2020-01-01 16:30:00-06:00,17,5.684963778024,-1.1,99.2,0.69
2020-01-01 17:30:00-06:00,18,0.964875182992,-1.7,99.2,0.72
2020-01-01 18:30:00-06:00,19,3.2513430245618,-2.2,99.2,0.75
2020-01-01 19:30:00-06:00,20,4.974647322244,-1.1,99.2,0.72
2020-01-01 20:30:00-06:00,21,7.7547285771559995,-1.7,99.1,0.78
2020-01-01 21:30:00-06:00,22,8.103206627535998,-1.1,99.1,0.75
2020-01-01 22:30:00-06:00,23,3.4238316749304,-1.7,99.0,0.78
2020-01-01 23:30:00-06:00,24,0.5678973308342,-1.7,99.0,0.72
2020-01-02 00:30:00-06:00,25,0.22242486187401997,-3.9,99.0,0.85
2020-01-02 01:30:00-06:00,26,0.15751592914493998,-2.8,99.0,0.78
