datetime,hour,CoolingDemand_kW,DryBulb_C,Pressure_kPa,RHum
2020-01-01 00:30:00-07:00,1,113.82280207992,-18.0,83.7,0.85
2020-01-01 01:30:00-07:00,2,75.71088395704,-16.6,83.5,0.83
2020-01-01 02:30:00-07:00,3,63.23536205076,-15.3,83.4,0.85
2020-01-01 03:30:00-07:00,4,58.13890632048,-14.4,83.1,0.9
2020-01-01 04:30:00-07:00,5,65.86695917381999,-13.0,83.4,0.86
2020-01-01 05:30:00-07:00,6,78.08263553996,-11.1,83.0,0.88
2020-01-01 06:30:00-07:00,7,119.0642618145,-9.7,82.9,0.84
2020-01-01 07:30:00-07:00,8,218.10737060006,-7.7,82.8,0.82
2020-01-01 08:30:00-07:00,9,332.28902078557996,-5.9,82.9,0.8
2020-01-01 09:30:00-07:00,10,324.36435462351994,-2.2,82.7,0.66
2020-01-01 10:30:00-07:00,11,296.33195383054,1.4,82.4,0.5
2020-01-01 11:30:00-07:00,12,298.09149720606,2.8,82.3,0.42
2020-01-01 12:30:00-07:00,13,272.22392728532,4.4,82.3,0.34
2020-01-01 13:30:00-07:00,14,277.6150625029,3.3,82.2,0.37
2020-01-01 14:30:00-07:00,15,259.95657365745996,3.9,82.2,0.35
2020-01-01 15:30:00-07:00,16,238.75840788638,2.2,82.1,0.36
2020-01-01 16:30:00-07:00,17,185.26537851564,-0.6,82.0,0.54
2020-01-01 17:30:00-07:00,18,183.16580091964,-2.2,82.1,0.62
2020-01-01 18:30:00-07:00,19,211.9434624744,-5.0,82.1,0.68
2020-01-01 19:30:00-07:00,20,252.47716707964,-5.6,82.1,0.65
2020-01-01 20:30:00-07:00,21,281.72962017362,-6.1,82.0,0.64
2020-01-01 21:30:00-07:00,22,283.6965176084,-6.1,82.1,0.64
2020-01-01 22:30:00-07:00,23,274.93703884715995,-6.1,82.3,0.55
2020-01-01 23:30:00-07:00,24,187.45614929976,-5.0,81.9,0.5
2020-01-02 00:30:00-07:00,25,131.50851259472,-5.0,81.9,0.48
2020-01-02 01:30:00-07:00,26,101.075863472,-5.6,82.0,0.46
2020-01-02 02:30:00-07:00,27,88.63133772758,-5.0,81.9,0.41
2020-01-02 03:30:00-07:00,28,79.04431700672,-6.7,81.9,0.48
2020-01-02 04:30:00-07:00,29,85.15955910504,-5.6,82.4,0.43
2020-01-02 05:30:00-07:00,30,120.56751710879999,-6.1,81.9,0.45
2020-01-02 06:30:00-07:00,31,231.58879496906,-4.4,81.9,0.37
2020-01-02 07:30:00-07:00,32,328.52752520252,-2.8,82.0,0.34
2020-01-02 08:30:00-07:00,33,254.31201700342,-1.7,82.3,0.36
