datetime,hour,CoolingDemand_kW,DryBulb_C,Pressure_kPa,RHum
2020-01-01 00:30:00-07:00,1,25.551247736208,-18.0,83.7,0.85
2020-01-01 01:30:00-07:00,2,15.524172365853998,-16.6,83.5,0.83
2020-01-01 02:30:00-07:00,3,20.087558719818,-15.3,83.4,0.85
2020-01-01 03:30:00-07:00,4,13.995657980556,-14.4,83.1,0.9
2020-01-01 04:30:00-07:00,5,19.918854817567997,-13.0,83.4,0.86
2020-01-01 05:30:00-07:00,6,31.61258599241,-11.1,83.0,0.88
2020-01-01 06:30:00-07:00,7,35.559493104350004,-9.7,82.9,0.84
2020-01-01 07:30:00-07:00,8,41.4820805392,-7.7,82.8,0.82
2020-01-01 08:30:00-07:00,9,46.11678975748,-5.9,82.9,0.8
2020-01-01 09:30:00-07:00,10,55.38989737236,-2.2,82.7,0.66
2020-01-01 10:30:00-07:00,11,67.26012224524,1.4,82.4,0.5
2020-01-01 11:30:00-07:00,12,77.94313864652,2.8,82.3,0.42
2020-01-01 12:30:00-07:00,13,83.20009260978,4.4,82.3,0.34
2020-01-01 13:30:00-07:00,14,83.86214052657999,3.3,82.2,0.37
2020-01-01 14:30:00-07:00,15,84.96504997526,3.9,82.2,0.35
2020-01-01 15:30:00-07:00,16,81.7258712968,2.2,82.1,0.36
2020-01-01 16:30:00-07:00,17,76.8112748041,-0.6,82.0,0.54
2020-01-01 17:30:00-07:00,18,72.18984532649999,-2.2,82.1,0.62
2020-01-01 18:30:00-07:00,19,51.79909390722,-5.0,82.1,0.68
2020-01-01 19:30:00-07:00,20,42.50171198012,-5.6,82.1,0.65
2020-01-01 20:30:00-07:00,21,37.031791836096,-6.1,82.0,0.64
2020-01-01 21:30:00-07:00,22,30.63036435088,-6.1,82.1,0.64
2020-01-01 22:30:00-07:00,23,28.341891666211996,-6.1,82.3,0.55
2020-01-01 23:30:00-07:00,24,37.580092053933996,-5.0,81.9,0.5
2020-01-02 00:30:00-07:00,25,27.51977118107,-5.0,81.9,0.48
2020-01-02 01:30:00-07:00,26,34.026053557102,-5.6,82.0,0.46
2020-01-02 02:30:00-07:00,27,25.949919069001997,-5.0,81.9,0.41
2020-01-02 03:30:00-07:00,28,31.246255839455998,-6.7,81.9,0.48
2020-01-02 04:30:00-07:00,29,34.399546762838,-5.6,82.4,0.43
2020-01-02 05:30:00-07:00,30,47.895651490919995,-6.1,81.9,0.45
2020-01-02 06:30:00-07:00,31,49.76010041878,-4.4,81.9,0.37
2020-01-02 07:30:00-07:00,32,50.748080683859996,-2.8,82.0,0.34
2020-01-02 08:30:00-07:00,33,59.035539300219995,-1.7,82.3,0.36
2020-01-02 09:30:00-07:00,34,68.74484873573999,2.2,82.4,0.3
2020-01-02 10:30:00-07:00,35,72.75478311431999,5.6,82.4,0.25
2020-01-02 11:30:00-07:00,36,74.55313274267999,8.9,82.4,0.15
2020-01-02 12:30:00-07:00,37,73.31029660574,9.4,82.4,0.16
2020-01-02 13:30:00-07:00,38,69.9628994863,9.4,82.3,0.19
2020-01-02 14:30:00-07:00,39,64.26764034882,10.0,82.3,0.25
2020-01-02 15:30:00-07:00,40,56.10162687258,7.8,82.3,0.25
2020-01-02 16:30:00-07:00,41,47.07697594552,6.7,82.1,0.26
2020-01-02 17:30:00-07:00,42,37.28235941901399,5.0,82.1,0.3
2020-01-02 18:30:00-07:00,43,22.112806380364,1.1,82.3,0.39
2020-01-02 19:30:00-07:00,44,17.863617899288002,0.0,82.2,0.43
2020-01-02 20:30:00-07:00,45,12.090387151947999,-1.7,82.2,0.46
2020-01-02 21:30:00-07:00,46,7.820185340964,-1.1,82.1,0.38
2020-01-02 22:30:00-07:00,47,2.9977389290026,0.6,82.4,0.3
2020-01-02 23:30:00-07:00,48,1.3237539224402,0.0,82.1,0.32
2020-01-03 00:30:00-07:00,49,0.24726585500568002,-0.6,82.1,0.33
2020-01-03 01:30:00-07:00,50,0.10124539710368,-0.6,82.1,0.33
2020-01-03 02:30:00-07:00,51,0.0,-1.1,82.2,0.35
2020-01-03 03:30:00-07:00,52,0.0,-1.7,82.4,0.36
2020-01-03 04:30:00-07:00,53,0.0,-1.7,82.8,0.36
2020-01-03 05:30:00-07:00,54,4.685427626228,-1.1,82.6,0.33
2020-01-03 06:30:00-07:00,55,9.872283857446,-1.1,82.7,0.35
2020-01-03 07:30:00-07:00,56,17.566889872876,-0.6,82.8,0.35
2020-01-03 08:30:00-07:00,57,28.025763609202,3.3,83.0,0.25
2020-01-03 09:30:00-07:00,58,43.94272029826,5.6,83.2,0.23
2020-01-03 10:30:00-07:00,59,59.173804892579994,6.1,83.5,0.32
2020-01-03 11:30:00-07:00,60,65.34910002756,6.7,83.3,0.22
2020-01-03 12:30:00-07:00,61,73.89799853523999,5.6,83.4,0.29
2020-01-03 13:30:00-07:00,62,82.38312392216,4.6,83.4,0.27
2020-01-03 14:30:00-07:00,63,87.62791999784,2.3,83.4,0.32
2020-01-03 15:30:00-07:00,64,87.55236740755998,-0.3,83.5,0.38
2020-01-03 16:30:00-07:00,65,80.61684752766,-3.0,83.6,0.42
2020-01-03 17:30:00-07:00,66,76.9254673349,-5.8,83.5,0.58
2020-01-03 18:30:00-07:00,67,64.4596127069,-5.6,83.5,0.48
2020-01-03 19:30:00-07:00,68,63.74591669299999,-7.2,83.5,0.64
2020-01-03 20:30:00-07:00,69,62.88956466364,-8.8,83.2,0.65
2020-01-03 21:30:00-07:00,70,49.21629690666,-9.9,83.3,0.67
2020-01-03 22:30:00-07:00,71,40.722905886659994,-11.4,83.6,0.71
2020-01-03 23:30:00-07:00,72,58.63925069977999,-12.4,83.2,0.81
2020-01-04 00:30:00-07:00,73,44.97381831214,-13.5,83.2,0.88
2020-01-04 01:30:00-07:00,74,59.2803977346,-16.2,83.2,0.9
2020-01-04 02:30:00-07:00,75,52.984750241840004,-16.2,83.2,0.86
2020-01-04 03:30:00-07:00,76,64.39269915556,-14.7,83.2,0.82
2020-01-04 04:30:00-07:00,77,72.08669599812,-14.2,83.6,0.8
2020-01-04 05:30:00-07:00,78,82.78442205006,-13.3,83.4,0.76
2020-01-04 06:30:00-07:00,79,75.68423731812,-11.8,83.4,0.65
2020-01-04 07:30:00-07:00,80,79.15093164705999,-9.1,83.3,0.64
2020-01-04 08:30:00-07:00,81,83.68871419998,-5.9,83.7,0.56
2020-01-04 09:30:00-07:00,82,91.31063517448,-0.5,83.7,0.42
2020-01-04 10:30:00-07:00,83,101.30141130692,3.3,83.5,0.36
2020-01-04 11:30:00-07:00,84,114.83734428116,3.8,83.6,0.38
2020-01-04 12:30:00-07:00,85,121.47216843852,8.0,83.6,0.32
2020-01-04 13:30:00-07:00,86,109.3083151553,9.6,83.5,0.31
2020-01-04 14:30:00-07:00,87,90.86250193106,11.1,83.5,0.29
2020-01-04 15:30:00-07:00,88,82.60391670042,10.0,83.3,0.31
2020-01-04 16:30:00-07:00,89,75.40227595126001,7.2,83.0,0.42
2020-01-04 17:30:00-07:00,90,71.82129536034,7.2,83.0,0.4
2020-01-04 18:30:00-07:00,91,58.18058495683999,6.1,83.0,0.37
2020-01-04 19:30:00-07:00,92,53.2628641619,7.2,82.9,0.28
2020-01-04 20:30:00-07:00,93,48.919697314699995,6.1,82.9,0.29
2020-01-04 21:30:00-07:00,94,36.078845929378,5.6,82.7,0.29
2020-01-04 22:30:00-07:00,95,29.50465477452,5.0,82.6,0.31
2020-01-04 23:30:00-07:00,96,37.499282914838,10.0,82.6,0.21
2020-01-05 00:30:00-07:00,97,28.838895544095998,5.0,82.4,0.31
2020-01-05 01:30:00-07:00,98,38.14495652102,10.6,82.4,0.25
2020-01-05 02:30:00-07:00,99,30.451406393236002,11.1,82.4,0.25
2020-01-05 03:30:00-07:00,100,36.71965293332,9.4,82.6,0.28
2020-01-05 04:30:00-07:00,101,39.27756095076,9.4,82.8,0.28
2020-01-05 05:30:00-07:00,102,51.494186494199994,9.4,82.7,0.29
2020-01-05 06:30:00-07:00,103,52.28395691437999,5.0,82.8,0.42
2020-01-05 07:30:00-07:00,104,51.45627564638,10.0,82.8,0.33
2020-01-05 08:30:00-07:00,105,51.46879891308,8.9,82.9,0.35
2020-01-05 09:30:00-07:00,106,52.60286953748,12.8,83.0,0.26
2020-01-05 10:30:00-07:00,107,53.42779521876,12.8,82.9,0.23
2020-01-05 11:30:00-07:00,108,55.575813143379996,15.0,83.0,0.2
2020-01-05 12:30:00-07:00,109,58.2696777531,14.4,83.0,0.2
2020-01-05 13:30:00-07:00,110,57.93132015304,12.8,83.1,0.23
2020-01-05 14:30:00-07:00,111,58.278681913519996,10.0,83.1,0.36
2020-01-05 15:30:00-07:00,112,56.971221709279995,8.3,83.1,0.39
2020-01-05 16:30:00-07:00,113,53.10166967658,5.6,83.1,0.51
2020-01-05 17:30:00-07:00,114,49.251910109179995,5.6,83.1,0.3
2020-01-05 18:30:00-07:00,115,32.90928894556,3.9,83.2,0.32
2020-01-05 19:30:00-07:00,116,27.111567942107996,3.3,83.2,0.35
2020-01-05 20:30:00-07:00,117,22.061035824198,1.7,83.2,0.41
2020-01-05 21:30:00-07:00,118,14.696270640398,0.0,83.2,0.47
2020-01-05 22:30:00-07:00,119,10.641437548892,0.6,83.6,0.41
2020-01-05 23:30:00-07:00,120,12.088487742316,0.0,83.1,0.4
2020-01-06 00:30:00-07:00,121,7.7704896610639995,0.0,83.2,0.37
2020-01-06 01:30:00-07:00,122,11.299890154136,1.1,83.2,0.29
2020-01-06 02:30:00-07:00,123,5.94948410275,0.6,83.3,0.27
2020-01-06 03:30:00-07:00,124,1.9696215664832,0.0,83.3,0.29
2020-01-06 04:30:00-07:00,125,0.0,-0.6,83.8,0.33
2020-01-06 05:30:00-07:00,126,0.0,0.0,83.5,0.3
2020-01-06 06:30:00-07:00,127,0.0,-0.6,83.5,0.35
2020-01-06 07:30:00-07:00,128,27.719362892208,-0.6,83.6,0.33
2020-01-06 08:30:00-07:00,129,48.20223883606,-0.6,83.8,0.38
2020-01-06 09:30:00-07:00,130,54.76548985092,0.0,83.9,0.52
2020-01-06 10:30:00-07:00,131,60.428223391139994,0.0,84.0,0.52
2020-01-06 11:30:00-07:00,132,66.93082814146,1.1,84.0,0.43
2020-01-06 12:30:00-07:00,133,71.02430871546001,1.7,84.0,0.46
2020-01-06 13:30:00-07:00,134,70.75641405750001,1.1,84.0,0.48
2020-01-06 14:30:00-07:00,135,69.97359198596,1.7,84.0,0.44
2020-01-06 15:30:00-07:00,136,58.20808805572,0.6,84.0,0.49
2020-01-06 16:30:00-07:00,137,57.618325359619995,-0.6,83.9,0.54
2020-01-06 17:30:00-07:00,138,59.581629516679996,-1.7,83.7,0.63
2020-01-06 18:30:00-07:00,139,58.537560741259995,-3.3,83.8,0.68
2020-01-06 19:30:00-07:00,140,56.402088545139996,-4.4,83.8,0.75
2020-01-06 20:30:00-07:00,141,51.24392197538,-6.1,83.8,0.86
2020-01-06 21:30:00-07:00,142,35.650310824692,-7.8,83.7,0.91
2020-01-06 22:30:00-07:00,143,27.766731783012,-7.8,83.9,0.82
2020-01-06 23:30:00-07:00,144,38.26676131936,-8.9,83.7,0.86
2020-01-07 00:30:00-07:00,145,31.78244896667,-8.9,83.5,0.86
2020-01-07 01:30:00-07:00,146,39.168791860519995,-8.3,83.5,0.86
2020-01-07 02:30:00-07:00,147,28.06887293078,-10.6,83.4,0.87
2020-01-07 03:30:00-07:00,148,31.341947107905998,-12.2,83.4,0.91
2020-01-07 04:30:00-07:00,149,21.448046647827997,-13.9,83.7,0.96
2020-01-07 05:30:00-07:00,150,24.99262836795,-12.8,83.4,0.86
2020-01-07 06:30:00-07:00,151,18.202226037984,-12.8,83.4,0.86
2020-01-07 07:30:00-07:00,152,24.526700859514,-2.8,83.4,0.42
2020-01-07 08:30:00-07:00,153,27.678291831122,-0.6,83.5,0.33
2020-01-07 09:30:00-07:00,154,46.345213356399995,1.1,83.7,0.25
2020-01-07 10:30:00-07:00,155,41.73692036708,2.8,83.6,0.27
2020-01-07 11:30:00-07:00,156,56.4132401152,5.0,83.7,0.22
2020-01-07 12:30:00-07:00,157,48.78284958404,5.6,83.7,0.18
2020-01-07 13:30:00-07:00,158,65.3915760829,5.0,83.7,0.16
2020-01-07 14:30:00-07:00,159,48.30710231024,5.0,83.6,0.16
2020-01-07 15:30:00-07:00,160,55.726040362439996,4.4,83.5,0.19
2020-01-07 16:30:00-07:00,161,40.3159164999,5.0,83.3,0.18
2020-01-07 17:30:00-07:00,162,41.85274670484,5.6,83.4,0.16
2020-01-07 18:30:00-07:00,163,27.584739012862,5.0,83.3,0.17
2020-01-07 19:30:00-07:00,164,31.258734618833994,4.4,83.3,0.19
2020-01-07 20:30:00-07:00,165,24.349677468304,2.2,83.1,0.23
2020-01-07 21:30:00-07:00,166,29.65776108049,-0.6,83.0,0.38
2020-01-07 22:30:00-07:00,167,22.988312876151998,0.0,83.2,0.37
2020-01-07 23:30:00-07:00,168,27.752445082346,1.7,83.0,0.29
2020-01-08 00:30:00-07:00,169,20.352210862174,1.7,83.0,0.28
2020-01-08 01:30:00-07:00,170,25.071001402209998,1.1,82.9,0.31
2020-01-08 02:30:00-07:00,171,19.79913406098,-0.6,82.8,0.35
2020-01-08 03:30:00-07:00,172,24.957534217728,-1.7,82.8,0.4
2020-01-08 04:30:00-07:00,173,27.380117978886002,-3.3,83.0,0.48
2020-01-08 05:30:00-07:00,174,40.09643163945999,-3.3,82.8,0.44
2020-01-08 06:30:00-07:00,175,38.421727839899994,-4.4,82.8,0.5
2020-01-08 07:30:00-07:00,176,44.01932747518,-2.8,82.7,0.42
2020-01-08 08:30:00-07:00,177,53.08816932614,2.2,82.9,0.3
2020-01-08 09:30:00-07:00,178,59.70376728774,5.0,83.0,0.27
2020-01-08 10:30:00-07:00,179,64.85171470179999,7.2,82.8,0.24
2020-01-08 11:30:00-07:00,180,65.22016292942,7.8,82.9,0.21
2020-01-08 12:30:00-07:00,181,64.38588328024,10.6,82.7,0.22
2020-01-08 13:30:00-07:00,182,65.50131126576,10.6,82.6,0.19
2020-01-08 14:30:00-07:00,183,67.26950561145999,7.8,82.5,0.23
2020-01-08 15:30:00-07:00,184,67.00376499756,6.7,82.4,0.25
2020-01-08 16:30:00-07:00,185,64.2261156421,4.4,82.2,0.31
2020-01-08 17:30:00-07:00,186,59.44848974166,0.6,82.2,0.41
2020-01-08 18:30:00-07:00,187,43.8741111835,-0.6,82.3,0.54
2020-01-08 19:30:00-07:00,188,41.89233261697999,-1.7,82.3,0.59
2020-01-08 20:30:00-07:00,189,37.756052144192,-1.1,82.2,0.54
2020-01-08 21:30:00-07:00,190,29.377601934386,-2.2,82.1,0.59
2020-01-08 22:30:00-07:00,191,23.298117435926,-1.7,82.0,0.59
2020-01-08 23:30:00-07:00,192,26.127478335603996,-2.8,82.1,0.62
2020-01-09 00:30:00-07:00,193,18.466770873546,-3.3,82.0,0.68
2020-01-09 01:30:00-07:00,194,22.503321986566,-3.3,82.0,0.65
2020-01-09 02:30:00-07:00,195,16.693900742605997,-3.3,82.0,0.65
2020-01-09 03:30:00-07:00,196,20.108245107454,-3.3,82.0,0.65
2020-01-09 04:30:00-07:00,197,19.9154412344,-3.9,82.1,0.68
2020-01-09 05:30:00-07:00,198,29.854803047107996,-3.3,82.1,0.59
2020-01-09 06:30:00-07:00,199,32.180732596826005,-5.0,82.1,0.75
2020-01-09 07:30:00-07:00,200,35.056349215574,-1.1,82.2,0.49
2020-01-09 08:30:00-07:00,201,42.808335590940004,0.6,82.3,0.43
2020-01-09 09:30:00-07:00,202,54.41497289572,2.8,82.5,0.35
2020-01-09 10:30:00-07:00,203,64.31705608994,3.9,82.4,0.35
2020-01-09 11:30:00-07:00,204,71.18562386864,3.3,82.4,0.39
2020-01-09 12:30:00-07:00,205,75.49079285143999,3.3,82.3,0.41
2020-01-09 13:30:00-07:00,206,76.95374536968,3.9,82.3,0.39
2020-01-09 14:30:00-07:00,207,76.02687444246,4.4,82.2,0.34
2020-01-09 15:30:00-07:00,208,74.25586735271999,3.9,82.3,0.39
2020-01-09 16:30:00-07:00,209,68.19526555586,2.8,82.2,0.42
2020-01-09 17:30:00-07:00,210,59.228250160559995,1.1,82.3,0.48
2020-01-09 18:30:00-07:00,211,41.020531441379994,0.0,82.2,0.6
2020-01-09 19:30:00-07:00,212,34.659203271674,0.6,82.1,0.66
2020-01-09 20:30:00-07:00,213,35.00525447017999,-1.7,82.1,0.69
2020-01-09 21:30:00-07:00,214,27.655497006987996,-1.7,82.1,0.72
2020-01-09 22:30:00-07:00,215,19.472346657258,-2.8,82.1,0.76
2020-01-09 23:30:00-07:00,216,22.609744599796,-4.4,81.9,0.82
2020-01-10 00:30:00-07:00,217,15.659341601781998,-4.4,81.8,0.82
2020-01-10 01:30:00-07:00,218,18.575026658114,-5.0,81.9,0.75
2020-01-10 02:30:00-07:00,219,13.724496204955999,-5.0,81.9,0.75
2020-01-10 03:30:00-07:00,220,18.411361531544,-5.6,81.9,0.72
2020-01-10 04:30:00-07:00,221,21.82032661548,-6.1,81.9,0.75
2020-01-10 05:30:00-07:00,222,37.20608400402,-6.7,81.9,0.71
2020-01-10 06:30:00-07:00,223,39.858868654460004,-5.6,81.8,0.62
2020-01-10 07:30:00-07:00,224,41.144839323279996,-5.0,81.8,0.61
2020-01-10 08:30:00-07:00,225,45.35671497462,-1.7,82.1,0.46
2020-01-10 09:30:00-07:00,226,53.252933826719996,1.7,82.4,0.34
2020-01-10 10:30:00-07:00,227,68.7584889676,4.4,82.3,0.26
2020-01-10 11:30:00-07:00,228,78.05294232893999,6.1,82.5,0.19
2020-01-10 12:30:00-07:00,229,84.05392012396,7.2,82.4,0.17
2020-01-10 13:30:00-07:00,230,90.70820508718,7.2,82.4,0.18
2020-01-10 14:30:00-07:00,231,94.15134048278,6.7,82.5,0.18
2020-01-10 15:30:00-07:00,232,89.4194289707,6.1,82.5,0.21
2020-01-10 16:30:00-07:00,233,82.63251447062,3.3,82.6,0.26
2020-01-10 17:30:00-07:00,234,79.51743709351999,0.6,82.4,0.35
2020-01-10 18:30:00-07:00,235,67.51573571056001,-1.1,82.4,0.42
2020-01-10 19:30:00-07:00,236,62.29086829978,-2.2,82.4,0.46
2020-01-10 20:30:00-07:00,237,57.4560718276,-1.1,82.2,0.42
2020-01-10 21:30:00-07:00,238,48.40232532198,-3.3,82.1,0.53
2020-01-10 22:30:00-07:00,239,40.57224269968,-4.4,82.6,0.61
2020-01-10 23:30:00-07:00,240,48.6060948971,-5.0,82.0,0.59
2020-01-11 00:30:00-07:00,241,36.381780879514,-5.6,82.0,0.62
2020-01-11 01:30:00-07:00,242,40.01887142026,-6.1,82.1,0.64
2020-01-11 02:30:00-07:00,243,26.755310560113998,-6.1,82.0,0.61
2020-01-11 03:30:00-07:00,244,29.004000866448,-5.6,82.0,0.59
2020-01-11 04:30:00-07:00,245,25.236827034132,-5.0,82.4,0.53
2020-01-11 05:30:00-07:00,246,33.510020690348,-3.9,82.1,0.46
2020-01-11 06:30:00-07:00,247,32.736741910042,-3.9,82.1,0.46
2020-01-11 07:30:00-07:00,248,35.564413223547994,-3.3,82.3,0.46
2020-01-11 08:30:00-07:00,249,45.958987067799995,-1.7,82.7,0.4
2020-01-11 09:30:00-07:00,250,56.919765933979996,1.1,83.0,0.29
2020-01-11 10:30:00-07:00,251,68.19333610928,7.2,83.0,0.19
2020-01-11 11:30:00-07:00,252,76.59906297341999,7.8,82.9,0.13
2020-01-11 12:30:00-07:00,253,78.84373662264,10.6,83.0,0.11
2020-01-11 13:30:00-07:00,254,80.84275636068,11.7,82.9,0.08
2020-01-11 14:30:00-07:00,255,81.21530406743999,12.2,83.0,0.09
2020-01-11 15:30:00-07:00,256,80.44450527912,10.0,83.0,0.1
2020-01-11 16:30:00-07:00,257,73.2075216906,8.3,82.3,0.09
2020-01-11 17:30:00-07:00,258,63.79875320095999,7.8,82.9,0.11
2020-01-11 18:30:00-07:00,259,50.00974313219999,7.2,82.8,0.14
2020-01-11 19:30:00-07:00,260,48.65675847424,5.6,82.5,0.19
2020-01-11 20:30:00-07:00,261,41.5520346404,4.4,82.1,0.23
2020-01-11 21:30:00-07:00,262,29.407697341624,6.1,82.2,0.18
2020-01-11 22:30:00-07:00,263,24.092762898906,4.4,82.2,0.24
2020-01-11 23:30:00-07:00,264,31.354508068858,3.9,82.0,0.26
2020-01-12 00:30:00-07:00,265,27.115889647337998,2.8,81.9,0.3
2020-01-12 01:30:00-07:00,266,41.9618801786,0.0,82.1,0.35
2020-01-12 02:30:00-07:00,267,35.082543131689995,-1.1,82.3,0.4
2020-01-12 03:30:00-07:00,268,43.6545636242,-3.3,82.3,0.51
2020-01-12 04:30:00-07:00,269,51.233666858759996,-5.0,82.5,0.59
2020-01-12 05:30:00-07:00,270,62.37957977971999,-5.6,82.2,0.59
2020-01-12 06:30:00-07:00,271,61.54230476571999,-6.1,82.4,0.61
2020-01-12 07:30:00-07:00,272,62.848147842719996,-4.4,82.5,0.53
2020-01-12 08:30:00-07:00,273,68.71673201172,-0.6,82.8,0.41
2020-01-12 09:30:00-07:00,274,75.91520923428,2.2,83.1,0.3
2020-01-12 10:30:00-07:00,275,81.75723457514,6.1,83.0,0.25
2020-01-12 11:30:00-07:00,276,83.82541774078,7.8,83.4,0.21
2020-01-12 12:30:00-07:00,277,84.9069895541,7.8,83.3,0.19
