datetime,hour,CoolingDemand_kW,DryBulb_C,Pressure_kPa,RHum
2020-01-01 00:30:00-06:00,1,526.701522573,-5.2,96.4,0.92
2020-01-01 01:30:00-06:00,2,637.803896356,-5.4,96.4,0.92
2020-01-01 02:30:00-06:00,3,635.7317252416,-5.6,96.3,0.92
2020-01-01 03:30:00-06:00,4,628.5021051844,-5.8,96.3,0.92
2020-01-01 04:30:00-06:00,5,622.1792034388,-5.9,96.3,0.92
2020-01-01 05:30:00-06:00,6,614.4732993692,-6.1,96.2,0.92
2020-01-01 06:30:00-06:00,7,609.1792211262,-6.1,96.3,0.92
2020-01-01 07:30:00-06:00,8,608.6285483214,-6.1,96.3,0.92
2020-01-01 08:30:00-06:00,9,608.3917709788,-6.1,96.3,0.92
2020-01-01 09:30:00-06:00,10,616.4033183774,-5.9,96.3,0.92
2020-01-01 10:30:00-06:00,11,625.6358284885999,-5.8,96.3,0.92
2020-01-01 11:30:00-06:00,12,636.5589762774,-5.6,96.2,0.92
2020-01-01 12:30:00-06:00,13,642.5869662246,-5.6,96.2,0.92
2020-01-01 13:30:00-06:00,14,643.5837716378,-5.6,96.2,0.92
2020-01-01 14:30:00-06:00,15,644.0794612242,-5.6,96.2,0.92
2020-01-01 15:30:00-06:00,16,629.0793224217999,-6.0,96.2,0.91
2020-01-01 16:30:00-06:00,17,607.0211684348001,-6.3,96.3,0.89
2020-01-01 17:30:00-06:00,18,583.2105316562,-6.7,96.3,0.88
2020-01-01 18:30:00-06:00,19,544.4879970912,-7.4,96.4,0.87
2020-01-01 19:30:00-06:00,20,491.98223440519996,-8.2,96.5,0.85
2020-01-01 20:30:00-06:00,21,439.6191962118,-8.9,96.5,0.84
2020-01-01 21:30:00-06:00,22,402.64749025659995,-9.3,96.6,0.84
2020-01-01 22:30:00-06:00,23,377.3544361449,-9.6,96.6,0.84
2020-01-01 23:30:00-06:00,24,349.48545572714,-10.0,96.7,0.84
2020-01-02 00:30:00-06:00,25,318.86892388241995,-10.4,96.7,0.83
2020-01-02 01:30:00-06:00,26,293.34149578333995,-10.7,96.8,0.81
2020-01-02 02:30:00-06:00,27,265.04888506213996,-11.1,96.8,0.8
2020-01-02 03:30:00-06:00,28,220.51647404244,-12.0,96.9,0.81
2020-01-02 04:30:00-06:00,29,184.63829545866,-13.0,96.9,0.82
2020-01-02 05:30:00-06:00,30,148.72647109006,-13.9,97.0,0.83
2020-01-02 06:30:00-06:00,31,128.94305018716,-14.1,97.1,0.83
2020-01-02 07:30:00-06:00,32,122.68595906683998,-14.2,97.1,0.83
2020-01-02 08:30:00-06:00,33,115.20810396783999,-14.4,97.2,0.83
2020-01-02 09:30:00-06:00,34,141.45365226881998,-13.1,97.2,0.8
2020-01-02 10:30:00-06:00,35,183.89740306439998,-11.9,97.2,0.76
2020-01-02 11:30:00-06:00,36,241.91647375642,-10.6,97.3,0.73
2020-01-02 12:30:00-06:00,37,323.14628689759996,-9.5,97.3,0.69
2020-01-02 13:30:00-06:00,38,402.25198874939997,-8.3,97.3,0.66
2020-01-02 14:30:00-06:00,39,480.22498232239997,-7.2,97.3,0.62
2020-01-02 15:30:00-06:00,40,464.064982649,-8.5,97.3,0.67
2020-01-02 16:30:00-06:00,41,382.29944076199996,-9.8,97.4,0.72
2020-01-02 17:30:00-06:00,42,291.025189712,-11.1,97.4,0.77
2020-01-02 18:30:00-06:00,43,210.82885113776,-12.4,97.5,0.79
2020-01-02 19:30:00-06:00,44,163.3783558004,-13.7,97.5,0.81
2020-01-02 20:30:00-06:00,45,110.78391116122,-15.0,97.5,0.83
2020-01-02 21:30:00-06:00,46,89.83658297328,-15.0,97.5,0.78
2020-01-02 22:30:00-06:00,47,90.14667873757999,-15.0,97.5,0.74
2020-01-02 23:30:00-06:00,48,89.35224792595999,-15.0,97.5,0.69
2020-01-03 00:30:00-06:00,49,93.4946129646,-14.8,97.6,0.71
2020-01-03 01:30:00-06:00,50,100.15193159056,-14.6,97.6,0.74
2020-01-03 02:30:00-06:00,51,106.99820992966,-14.4,97.6,0.76
2020-01-03 03:30:00-06:00,52,113.67978936643999,-14.2,97.6,0.74
2020-01-03 04:30:00-06:00,53,118.21826999607998,-14.1,97.6,0.71
2020-01-03 05:30:00-06:00,54,123.6084084064,-13.9,97.6,0.69
2020-01-03 06:30:00-06:00,55,138.46454645883998,-13.3,97.6,0.71
2020-01-03 07:30:00-06:00,56,156.45724219055998,-12.8,97.6,0.74
2020-01-03 08:30:00-06:00,57,175.28785601255998,-12.2,97.6,0.76
2020-01-03 09:30:00-06:00,58,209.66986833922,-11.1,97.5,0.76
2020-01-03 10:30:00-06:00,59,281.50271803922,-10.0,97.5,0.77
2020-01-03 11:30:00-06:00,60,356.36018784152,-8.9,97.5,0.77
2020-01-03 12:30:00-06:00,61,397.17748162379996,-8.7,97.4,0.75
2020-01-03 13:30:00-06:00,62,416.37581203319996,-8.5,97.4,0.73
2020-01-03 14:30:00-06:00,63,434.58118865999995,-8.3,97.3,0.71
2020-01-03 15:30:00-06:00,64,435.6376759498,-8.5,97.3,0.72
2020-01-03 16:30:00-06:00,65,425.57941016359996,-8.7,97.3,0.73
2020-01-03 17:30:00-06:00,66,413.79228431999996,-8.9,97.3,0.74
2020-01-03 18:30:00-06:00,67,392.71775397179994,-9.3,97.2,0.76
2020-01-03 19:30:00-06:00,68,369.32781580158,-9.6,97.2,0.78
2020-01-03 20:30:00-06:00,69,343.54640803425997,-10.0,97.2,0.8
2020-01-03 21:30:00-06:00,70,302.148790993,-10.7,97.2,0.81
2020-01-03 22:30:00-06:00,71,246.23443103122,-11.5,97.1,0.83
2020-01-03 23:30:00-06:00,72,209.30135607362,-12.2,97.1,0.84
2020-01-04 00:30:00-06:00,73,207.75401034945997,-11.8,97.1,0.84
2020-01-04 01:30:00-06:00,74,218.01102491138,-11.5,97.1,0.84
2020-01-04 02:30:00-06:00,75,236.82656326622,-11.1,97.1,0.84
2020-01-04 03:30:00-06:00,76,229.98246187339998,-11.5,97.0,0.85
2020-01-04 04:30:00-06:00,77,214.13224763806,-11.8,97.0,0.87
2020-01-04 05:30:00-06:00,78,201.77318060284,-12.2,97.0,0.88
2020-01-04 06:30:00-06:00,79,205.33354448528,-11.7,97.0,0.91
2020-01-04 07:30:00-06:00,80,228.46656890428,-11.1,97.0,0.93
2020-01-04 08:30:00-06:00,81,266.4143565961,-10.6,97.0,0.96
2020-01-04 09:30:00-06:00,82,314.57355014137994,-9.8,96.9,0.93
2020-01-04 10:30:00-06:00,83,364.95080804716,-9.1,96.9,0.91
2020-01-04 11:30:00-06:00,84,416.6335872904,-8.3,96.9,0.88
2020-01-04 12:30:00-06:00,85,447.7459837784,-8.1,96.8,0.86
2020-01-04 13:30:00-06:00,86,460.77160212219997,-8.0,96.8,0.83
2020-01-04 14:30:00-06:00,87,474.6250138302,-7.8,96.8,0.81
2020-01-04 15:30:00-06:00,88,482.0544633854,-7.8,96.8,0.81
2020-01-04 16:30:00-06:00,89,484.4623766712,-7.8,96.8,0.81
2020-01-04 17:30:00-06:00,90,485.22879242019997,-7.8,96.8,0.81
2020-01-04 18:30:00-06:00,91,486.1641228242,-7.8,96.8,0.81
2020-01-04 19:30:00-06:00,92,486.6995657686,-7.8,96.9,0.81
2020-01-04 20:30:00-06:00,93,486.62661518499993,-7.8,96.9,0.81
2020-01-04 21:30:00-06:00,94,495.59835335139996,-7.6,96.9,0.82
2020-01-04 22:30:00-06:00,95,509.47115824160005,-7.4,96.9,0.83
2020-01-04 23:30:00-06:00,96,522.5939112581999,-7.2,96.9,0.84
