datetime,hour,CoolingDemand_kW,DryBulb_C,Pressure_kPa,RHum
2020-01-01 00:30:00-06:00,1,92.44028201937999,-5.2,96.4,0.92
2020-01-01 01:30:00-06:00,2,77.38615439093999,-5.4,96.4,0.92
2020-01-01 02:30:00-06:00,3,64.30222917166,-5.6,96.3,0.92
2020-01-01 03:30:00-06:00,4,56.89451548612,-5.8,96.3,0.92
2020-01-01 04:30:00-06:00,5,61.15169431793999,-5.9,96.3,0.92
2020-01-01 05:30:00-06:00,6,67.49768846555999,-6.1,96.2,0.92
2020-01-01 06:30:00-06:00,7,104.94172503476,-6.1,96.3,0.92
2020-01-01 07:30:00-06:00,8,196.3856777266,-6.1,96.3,0.92
2020-01-01 08:30:00-06:00,9,300.2916515198,-6.1,96.3,0.92
2020-01-01 09:30:00-06:00,10,233.71721775743998,-5.9,96.3,0.92
2020-01-01 10:30:00-06:00,11,156.55607000883998,-5.8,96.3,0.92
2020-01-01 11:30:00-06:00,12,131.4547708253,-5.6,96.2,0.92
2020-01-01 12:30:00-06:00,13,109.85850709062,-5.6,96.2,0.92
2020-01-01 13:30:00-06:00,14,104.5696756733,-5.6,96.2,0.92
2020-01-01 14:30:00-06:00,15,99.40395669587998,-5.6,96.2,0.92
2020-01-01 15:30:00-06:00,16,91.05893305866,-6.0,96.2,0.91
2020-01-01 16:30:00-06:00,17,80.37820125728,-6.3,96.3,0.89
2020-01-01 17:30:00-06:00,18,106.34163363703999,-6.7,96.3,0.88
2020-01-01 18:30:00-06:00,19,146.57239986576,-7.4,96.4,0.87
2020-01-01 19:30:00-06:00,20,190.17828528476,-8.2,96.5,0.85
2020-01-01 20:30:00-06:00,21,216.71973185008,-8.9,96.5,0.84
2020-01-01 21:30:00-06:00,22,216.9282275897,-9.3,96.6,0.84
2020-01-01 22:30:00-06:00,23,212.92921304996,-9.6,96.6,0.84
2020-01-01 23:30:00-06:00,24,131.6330244021,-10.0,96.7,0.84
2020-01-02 00:30:00-06:00,25,77.29079585068,-10.4,96.7,0.83
2020-01-02 01:30:00-06:00,26,46.40935436694,-10.7,96.8,0.81
2020-01-02 02:30:00-06:00,27,31.24741376588,-11.1,96.8,0.8
2020-01-02 03:30:00-06:00,28,20.439681608256,-12.0,96.9,0.81
2020-01-02 04:30:00-06:00,29,20.709086880254,-13.0,96.9,0.82
2020-01-02 05:30:00-06:00,30,49.7822067949,-13.9,97.0,0.83
2020-01-02 06:30:00-06:00,31,158.54810893408,-14.1,97.1,0.83
2020-01-02 07:30:00-06:00,32,244.99825290885997,-14.2,97.1,0.83
2020-01-02 08:30:00-06:00,33,182.01109234856,-14.4,97.2,0.83
2020-01-02 09:30:00-06:00,34,210.3415771085,-13.1,97.2,0.8
2020-01-02 10:30:00-06:00,35,238.71397592847998,-11.9,97.2,0.76
2020-01-02 11:30:00-06:00,36,278.47374312324,-10.6,97.3,0.73
2020-01-02 12:30:00-06:00,37,309.80985597384,-9.5,97.3,0.69
2020-01-02 13:30:00-06:00,38,324.3983970037,-8.3,97.3,0.66
2020-01-02 14:30:00-06:00,39,319.92478126673996,-7.2,97.3,0.62
2020-01-02 15:30:00-06:00,40,258.17637482713997,-8.5,97.3,0.67
2020-01-02 16:30:00-06:00,41,152.6922371802,-9.8,97.4,0.72
2020-01-02 17:30:00-06:00,42,153.64382486504,-11.1,97.4,0.77
2020-01-02 18:30:00-06:00,43,210.25449517002,-12.4,97.5,0.79
2020-01-02 19:30:00-06:00,44,200.15337825214,-13.7,97.5,0.81
2020-01-02 20:30:00-06:00,45,218.34743521892,-15.0,97.5,0.83
2020-01-02 21:30:00-06:00,46,265.91669776419997,-15.0,97.5,0.78
2020-01-02 22:30:00-06:00,47,192.97380026535998,-15.0,97.5,0.74
2020-01-02 23:30:00-06:00,48,103.2768940779,-15.0,97.5,0.69
2020-01-03 00:30:00-06:00,49,67.78558934984,-14.8,97.6,0.71
2020-01-03 01:30:00-06:00,50,46.84674890118,-14.6,97.6,0.74
2020-01-03 02:30:00-06:00,51,40.59197218948,-14.4,97.6,0.76
2020-01-03 03:30:00-06:00,52,37.856334974416,-14.2,97.6,0.74
2020-01-03 04:30:00-06:00,53,40.059113001120004,-14.1,97.6,0.71
2020-01-03 05:30:00-06:00,54,67.66028098114,-13.9,97.6,0.69
2020-01-03 06:30:00-06:00,55,180.15954343118,-13.3,97.6,0.71
2020-01-03 07:30:00-06:00,56,269.66192439016,-12.8,97.6,0.74
2020-01-03 08:30:00-06:00,57,179.84274228492,-12.2,97.6,0.76
2020-01-03 09:30:00-06:00,58,170.30312398956,-11.1,97.5,0.76
2020-01-03 10:30:00-06:00,59,156.1655190759,-10.0,97.5,0.77
2020-01-03 11:30:00-06:00,60,136.07715841818,-8.9,97.5,0.77
2020-01-03 12:30:00-06:00,61,131.19023979244,-8.7,97.4,0.75
2020-01-03 13:30:00-06:00,62,118.87446088243999,-8.5,97.4,0.73
2020-01-03 14:30:00-06:00,63,94.0721616988,-8.3,97.3,0.71
