datetime,hour,CoolingDemand_kW,DryBulb_C,Pressure_kPa,RHum
2020-01-01 00:30:00-06:00,1,0.0,-5.2,96.4,0.92
2020-01-01 01:30:00-06:00,2,0.0,-5.4,96.4,0.92
2020-01-01 02:30:00-06:00,3,0.0,-5.6,96.3,0.92
2020-01-01 03:30:00-06:00,4,0.0,-5.8,96.3,0.92
2020-01-01 04:30:00-06:00,5,0.0,-5.9,96.3,0.92
2020-01-01 05:30:00-06:00,6,0.0,-6.1,96.2,0.92
2020-01-01 06:30:00-06:00,7,0.0,-6.1,96.3,0.92
2020-01-01 07:30:00-06:00,8,0.0,-6.1,96.3,0.92
2020-01-01 08:30:00-06:00,9,0.0,-6.1,96.3,0.92
2020-01-01 09:30:00-06:00,10,0.0,-5.9,96.3,0.92
2020-01-01 10:30:00-06:00,11,0.0,-5.8,96.3,0.92
2020-01-01 11:30:00-06:00,12,0.0,-5.6,96.2,0.92
2020-01-01 12:30:00-06:00,13,0.0,-5.6,96.2,0.92
2020-01-01 13:30:00-06:00,14,0.0,-5.6,96.2,0.92
2020-01-01 14:30:00-06:00,15,0.0,-5.6,96.2,0.92
2020-01-01 15:30:00-06:00,16,0.0,-6.0,96.2,0.91
2020-01-01 16:30:00-06:00,17,0.0,-6.3,96.3,0.89
2020-01-01 17:30:00-06:00,18,0.0,-6.7,96.3,0.88
2020-01-01 18:30:00-06:00,19,0.0,-7.4,96.4,0.87
2020-01-01 19:30:00-06:00,20,0.0,-8.2,96.5,0.85
2020-01-01 20:30:00-06:00,21,0.0,-8.9,96.5,0.84
2020-01-01 21:30:00-06:00,22,0.0,-9.3,96.6,0.84
2020-01-01 22:30:00-06:00,23,0.0,-9.6,96.6,0.84
2020-01-01 23:30:00-06:00,24,0.0,-10.0,96.7,0.84
2020-01-02 00:30:00-06:00,25,0.0,-10.4,96.7,0.83
2020-01-02 01:30:00-06:00,26,0.0,-10.7,96.8,0.81
2020-01-02 02:30:00-06:00,27,0.0,-11.1,96.8,0.8
2020-01-02 03:30:00-06:00,28,0.0,-12.0,96.9,0.81
2020-01-02 04:30:00-06:00,29,0.0,-13.0,96.9,0.82
2020-01-02 05:30:00-06:00,30,0.0,-13.9,97.0,0.83
2020-01-02 06:30:00-06:00,31,0.0,-14.1,97.1,0.83
2020-01-02 07:30:00-06:00,32,0.0,-14.2,97.1,0.83
2020-01-02 08:30:00-06:00,33,0.0,-14.4,97.2,0.83
2020-01-02 09:30:00-06:00,34,0.0,-13.1,97.2,0.8
2020-01-02 10:30:00-06:00,35,0.0,-11.9,97.2,0.76
2020-01-02 11:30:00-06:00,36,0.0,-10.6,97.3,0.73
2020-01-02 12:30:00-06:00,37,0.0,-9.5,97.3,0.69
2020-01-02 13:30:00-06:00,38,0.0,-8.3,97.3,0.66
2020-01-02 14:30:00-06:00,39,0.0,-7.2,97.3,0.62
2020-01-02 15:30:00-06:00,40,0.0,-8.5,97.3,0.67
2020-01-02 16:30:00-06:00,41,0.0,-9.8,97.4,0.72
2020-01-02 17:30:00-06:00,42,0.0,-11.1,97.4,0.77
2020-01-02 18:30:00-06:00,43,0.0,-12.4,97.5,0.79
2020-01-02 19:30:00-06:00,44,0.0,-13.7,97.5,0.81
