datetime,hour,CoolingDemand_kW,DryBulb_C,Pressure_kPa,RHum
2020-01-01 00:30:00-06:00,1,0.11737590858517999,-5.2,96.4,0.92
2020-01-01 01:30:00-06:00,2,0.10412540263518,-5.4,96.4,0.92
2020-01-01 02:30:00-06:00,3,0.07088637612888,-5.6,96.3,0.92
2020-01-01 03:30:00-06:00,4,0.04933748323752,-5.8,96.3,0.92
2020-01-01 04:30:00-06:00,5,0.03239214486506,-5.9,96.3,0.92
2020-01-01 05:30:00-06:00,6,0.016671326219595998,-6.1,96.2,0.92
2020-01-01 06:30:00-06:00,7,0.05185322254438,-6.1,96.3,0.92
2020-01-01 07:30:00-06:00,8,0.1458870634677,-6.1,96.3,0.92
2020-01-01 08:30:00-06:00,9,1.3503981573814,-6.1,96.3,0.92
2020-01-01 09:30:00-06:00,10,7.774881789375999,-5.9,96.3,0.92
2020-01-01 10:30:00-06:00,11,8.355749451556,-5.8,96.3,0.92
2020-01-01 11:30:00-06:00,12,8.451164374809998,-5.6,96.2,0.92
2020-01-01 12:30:00-06:00,13,7.778885787093999,-5.6,96.2,0.92
2020-01-01 13:30:00-06:00,14,7.6619294146820005,-5.6,96.2,0.92
2020-01-01 14:30:00-06:00,15,7.722997144632,-5.6,96.2,0.92
2020-01-01 15:30:00-06:00,16,7.735130116904,-6.0,96.2,0.91
2020-01-01 16:30:00-06:00,17,4.52159934358,-6.3,96.3,0.89
2020-01-01 17:30:00-06:00,18,0.24437227278705997,-6.7,96.3,0.88
2020-01-01 18:30:00-06:00,19,0.23432672086758,-7.4,96.4,0.87
2020-01-01 19:30:00-06:00,20,0.5883274625252001,-8.2,96.5,0.85
2020-01-01 20:30:00-06:00,21,1.3123664178852,-8.9,96.5,0.84
2020-01-01 21:30:00-06:00,22,1.5761799959822,-9.3,96.6,0.84
2020-01-01 22:30:00-06:00,23,0.30947910608625995,-9.6,96.6,0.84
2020-01-01 23:30:00-06:00,24,0.13357400978773998,-10.0,96.7,0.84
2020-01-02 00:30:00-06:00,25,0.09541669979466,-10.4,96.7,0.83
2020-01-02 01:30:00-06:00,26,0.062489738966959994,-10.7,96.8,0.81
2020-01-02 02:30:00-06:00,27,0.032026996978214,-11.1,96.8,0.8
2020-01-02 03:30:00-06:00,28,0.0065611921943919994,-12.0,96.9,0.81
2020-01-02 04:30:00-06:00,29,0.0,-13.0,96.9,0.82
2020-01-02 05:30:00-06:00,30,0.0,-13.9,97.0,0.83
2020-01-02 06:30:00-06:00,31,0.08717481833498,-14.1,97.1,0.83
2020-01-02 07:30:00-06:00,32,0.18525081648472,-14.2,97.1,0.83
2020-01-02 08:30:00-06:00,33,0.22639126959453998,-14.4,97.2,0.83
2020-01-02 09:30:00-06:00,34,5.8645620308419995,-13.1,97.2,0.8
2020-01-02 10:30:00-06:00,35,6.780004680286,-11.9,97.2,0.76
2020-01-02 11:30:00-06:00,36,7.272967487804,-10.6,97.3,0.73
2020-01-02 12:30:00-06:00,37,7.3015762125679995,-9.5,97.3,0.69
2020-01-02 13:30:00-06:00,38,8.127293492482,-8.3,97.3,0.66
2020-01-02 14:30:00-06:00,39,8.452193705966,-7.2,97.3,0.62
2020-01-02 15:30:00-06:00,40,7.855409684164,-8.5,97.3,0.67
2020-01-02 16:30:00-06:00,41,3.818318358546,-9.8,97.4,0.72
2020-01-02 17:30:00-06:00,42,0.36595250806062,-11.1,97.4,0.77
2020-01-02 18:30:00-06:00,43,0.8237787880876,-12.4,97.5,0.79
2020-01-02 19:30:00-06:00,44,1.1777981963526,-13.7,97.5,0.81
2020-01-02 20:30:00-06:00,45,2.7755792454009995,-15.0,97.5,0.83
2020-01-02 21:30:00-06:00,46,3.1766738796187997,-15.0,97.5,0.78
2020-01-02 22:30:00-06:00,47,0.23963676064045997,-15.0,97.5,0.74
2020-01-02 23:30:00-06:00,48,0.0570063606528,-15.0,97.5,0.69
2020-01-03 00:30:00-06:00,49,0.021180962533743998,-14.8,97.6,0.71
2020-01-03 01:30:00-06:00,50,0.0006361570441328,-14.6,97.6,0.74
2020-01-03 02:30:00-06:00,51,0.0,-14.4,97.6,0.76
2020-01-03 03:30:00-06:00,52,0.0,-14.2,97.6,0.74
2020-01-03 04:30:00-06:00,53,0.0,-14.1,97.6,0.71
2020-01-03 05:30:00-06:00,54,0.0,-13.9,97.6,0.69
2020-01-03 06:30:00-06:00,55,0.03851697718032,-13.3,97.6,0.71
