datetime,hour,CoolingDemand_kW,DryBulb_C,Pressure_kPa,RHum
2020-01-01 00:30:00-09:00,1,54.112366600819996,-14.4,96.8,0.87
2020-01-01 01:30:00-09:00,2,30.720922434246,-15.0,96.7,0.91
2020-01-01 02:30:00-09:00,3,19.352492781882,-14.4,96.7,0.91
2020-01-01 03:30:00-09:00,4,15.89247168599,-13.9,96.7,0.84
2020-01-01 04:30:00-09:00,5,21.36187643875,-13.9,96.7,0.91
2020-01-01 05:30:00-09:00,6,26.179879128458,-15.0,96.6,0.96
2020-01-01 06:30:00-09:00,7,60.54383292712,-15.6,96.7,0.91
2020-01-01 07:30:00-09:00,8,153.07292833027998,-15.0,96.7,0.87
2020-01-01 08:30:00-09:00,9,251.86182066656,-16.1,96.7,0.87
2020-01-01 09:30:00-09:00,10,172.93580210583997,-16.1,96.7,0.79
2020-01-01 10:30:00-09:00,11,83.9057829581,-16.7,96.7,0.87
2020-01-01 11:30:00-09:00,12,52.71766959442,-16.7,96.7,0.83
2020-01-01 12:30:00-09:00,13,24.698493757102,-16.7,96.8,0.79
2020-01-01 13:30:00-09:00,14,18.251881898672,-16.1,96.8,0.79
2020-01-01 14:30:00-09:00,15,19.127249564689997,-15.0,96.9,0.73
2020-01-01 15:30:00-09:00,16,18.883679318416,-15.0,96.9,0.83
2020-01-01 16:30:00-09:00,17,16.396329478827997,-14.4,96.9,0.83
2020-01-01 17:30:00-09:00,18,49.316909398739995,-14.4,97.0,0.83
2020-01-01 18:30:00-09:00,19,96.47548770136,-14.4,97.0,0.8
2020-01-01 19:30:00-09:00,20,148.00215742167998,-14.4,97.1,0.69
2020-01-01 20:30:00-09:00,21,181.88860750601998,-15.0,97.1,0.73
2020-01-01 21:30:00-09:00,22,187.33650763432,-15.0,97.2,0.73
2020-01-01 22:30:00-09:00,23,186.13007506,-15.0,97.2,0.73
2020-01-01 23:30:00-09:00,24,103.39493510429999,-15.0,97.3,0.76
2020-01-02 00:30:00-09:00,25,50.03131910052,-15.0,97.3,0.76
2020-01-02 01:30:00-09:00,26,22.720811868096,-15.0,97.3,0.8
2020-01-02 02:30:00-09:00,27,11.846483600226,-15.0,97.3,0.8
2020-01-02 03:30:00-09:00,28,6.7369215067359995,-15.0,97.4,0.76
2020-01-02 04:30:00-09:00,29,12.634424029972001,-15.6,97.4,0.8
2020-01-02 05:30:00-09:00,30,48.01940670652,-15.6,97.4,0.8
2020-01-02 06:30:00-09:00,31,162.81650642495998,-14.4,97.5,0.69
2020-01-02 07:30:00-09:00,32,253.52727314647998,-14.4,97.6,0.69
2020-01-02 08:30:00-09:00,33,150.83866775607999,-15.6,97.7,0.8
2020-01-02 09:30:00-09:00,34,92.50031348686,-17.2,97.8,0.83
2020-01-02 10:30:00-09:00,35,29.981288025768,-17.8,98.0,0.83
2020-01-02 11:30:00-09:00,36,3.1925151012746,-18.3,98.1,0.83
2020-01-02 12:30:00-09:00,37,0.0,-18.9,98.1,0.83
2020-01-02 13:30:00-09:00,38,0.0,-18.9,98.2,0.83
2020-01-02 14:30:00-09:00,39,0.0,-18.9,98.4,0.83
2020-01-02 15:30:00-09:00,40,0.0,-18.9,98.5,0.91
2020-01-02 16:30:00-09:00,41,0.0,-18.9,98.6,0.87
2020-01-02 17:30:00-09:00,42,34.174743818319996,-18.9,98.7,0.87
2020-01-02 18:30:00-09:00,43,117.65028813199999,-18.3,98.7,0.87
2020-01-02 19:30:00-09:00,44,121.13670722886,-18.9,98.8,0.91
2020-01-02 20:30:00-09:00,45,148.89634032748,-18.9,98.8,0.87
2020-01-02 21:30:00-09:00,46,203.96134930352,-18.9,98.8,0.83
2020-01-02 22:30:00-09:00,47,138.37885153442,-18.9,98.9,0.87
2020-01-02 23:30:00-09:00,48,54.099036683419996,-18.9,98.9,0.87
2020-01-03 00:30:00-09:00,49,20.743393832774,-18.9,98.9,0.91
2020-01-03 01:30:00-09:00,50,1.9739392477374,-19.4,99.0,0.91
2020-01-03 02:30:00-09:00,51,0.0,-19.4,99.0,0.91
2020-01-03 03:30:00-09:00,52,0.0,-18.9,99.0,0.87
2020-01-03 04:30:00-09:00,53,0.0,-20.6,99.0,0.91
2020-01-03 05:30:00-09:00,54,12.177380409828,-21.7,99.0,0.91
2020-01-03 06:30:00-09:00,55,120.11146234357999,-23.3,99.1,0.86
2020-01-03 07:30:00-09:00,56,207.60429218942,-24.4,99.0,0.86
2020-01-03 08:30:00-09:00,57,103.79170438611999,-25.6,99.1,0.78
2020-01-03 09:30:00-09:00,58,50.35944852406,-25.6,99.0,0.78
2020-01-03 10:30:00-09:00,59,2.7867816603463997,-26.7,99.0,0.82
2020-01-03 11:30:00-09:00,60,0.0,-25.0,99.0,0.82
2020-01-03 12:30:00-09:00,61,0.0,-23.3,99.0,0.82
2020-01-03 13:30:00-09:00,62,0.0,-22.8,98.9,0.82
2020-01-03 14:30:00-09:00,63,0.0,-23.9,98.9,0.82
2020-01-03 15:30:00-09:00,64,0.0,-26.1,98.8,0.82
2020-01-03 16:30:00-09:00,65,0.0,-26.1,98.8,0.86
2020-01-03 17:30:00-09:00,66,0.0,-27.2,98.7,0.86
2020-01-03 18:30:00-09:00,67,60.72594853322,-26.1,98.6,0.86
2020-01-03 19:30:00-09:00,68,68.27944240992,-27.8,98.5,0.86
2020-01-03 20:30:00-09:00,69,101.54653362774,-26.1,98.4,0.86
2020-01-03 21:30:00-09:00,70,165.56118283157997,-23.3,98.3,0.86
2020-01-03 22:30:00-09:00,71,104.531805506,-21.7,98.2,0.87
2020-01-03 23:30:00-09:00,72,21.956213309876,-21.1,98.1,0.87
2020-01-04 00:30:00-09:00,73,0.8464409689997999,-18.9,98.0,0.87
2020-01-04 01:30:00-09:00,74,0.0,-18.3,97.9,0.87
2020-01-04 02:30:00-09:00,75,0.0,-18.3,97.7,0.91
2020-01-04 03:30:00-09:00,76,0.0,-17.2,97.6,0.91
2020-01-04 04:30:00-09:00,77,0.0,-15.0,97.5,0.91
2020-01-04 05:30:00-09:00,78,6.144766492782,-14.4,97.4,0.96
2020-01-04 06:30:00-09:00,79,123.11075054767998,-15.0,97.4,0.91
2020-01-04 07:30:00-09:00,80,221.79403115026,-15.0,97.4,0.96
2020-01-04 08:30:00-09:00,81,128.33214694801998,-13.9,97.5,0.91
2020-01-04 09:30:00-09:00,82,81.55160166432,-13.3,97.5,0.87
2020-01-04 10:30:00-09:00,83,26.091586508496,-13.3,97.5,0.92
2020-01-04 11:30:00-09:00,84,4.20259130875,-12.8,97.6,0.92
2020-01-04 12:30:00-09:00,85,1.7321250238219998,-12.2,97.6,0.92
2020-01-04 13:30:00-09:00,86,0.21445431597572,-12.2,97.7,0.92
2020-01-04 14:30:00-09:00,87,0.0,-12.2,97.7,0.92
2020-01-04 15:30:00-09:00,88,0.0,-12.8,97.8,0.96
2020-01-04 16:30:00-09:00,89,3.7178795201238,-12.2,97.8,0.96
2020-01-04 17:30:00-09:00,90,55.49722364364,-12.2,97.8,0.96
2020-01-04 18:30:00-09:00,91,133.50327754648,-12.8,97.8,0.96
2020-01-04 19:30:00-09:00,92,140.65837253568,-12.2,97.8,0.96
2020-01-04 20:30:00-09:00,93,172.89014470418,-12.2,97.7,0.96
2020-01-04 21:30:00-09:00,94,229.14025401479998,-12.2,97.8,0.96
2020-01-04 22:30:00-09:00,95,162.68051857008,-12.2,97.8,0.96
2020-01-04 23:30:00-09:00,96,77.16089164836,-12.8,97.8,0.96
2020-01-05 00:30:00-09:00,97,44.941835142079995,-12.2,97.8,0.96
2020-01-05 01:30:00-09:00,98,24.893003048153997,-11.7,97.7,0.96
2020-01-05 02:30:00-09:00,99,13.7545550823,-11.7,97.7,0.96
2020-01-05 03:30:00-09:00,100,5.501167758952,-12.8,97.7,0.96
2020-01-05 04:30:00-09:00,101,11.09233337278,-12.8,97.7,0.96
2020-01-05 05:30:00-09:00,102,46.1062536073,-13.3,97.7,0.96
2020-01-05 06:30:00-09:00,103,160.13113646824,-13.3,97.7,0.96
2020-01-05 07:30:00-09:00,104,249.22740577890002,-14.4,97.7,0.96
2020-01-05 08:30:00-09:00,105,144.55500049405998,-16.7,97.7,0.91
2020-01-05 09:30:00-09:00,106,89.00012538525999,-17.2,97.7,0.87
2020-01-05 10:30:00-09:00,107,29.71380779596,-17.8,97.7,0.87
2020-01-05 11:30:00-09:00,108,4.428731767844,-18.3,97.7,0.87
2020-01-05 12:30:00-09:00,109,0.28030025098226,-18.3,97.7,0.87
2020-01-05 13:30:00-09:00,110,0.0,-17.8,97.6,0.87
2020-01-05 14:30:00-09:00,111,0.0,-17.2,97.6,0.83
2020-01-05 15:30:00-09:00,112,0.0,-17.2,97.5,0.87
2020-01-05 16:30:00-09:00,113,0.5770897996918,-16.7,97.4,0.87
2020-01-05 17:30:00-09:00,114,51.45336306608,-16.1,97.3,0.91
2020-01-05 18:30:00-09:00,115,128.26107114078,-16.1,97.3,0.96
2020-01-05 19:30:00-09:00,116,133.45832923926,-15.6,97.3,0.91
2020-01-05 20:30:00-09:00,117,164.16973830749998,-15.6,97.2,0.87
2020-01-05 21:30:00-09:00,118,218.04954219094,-16.7,97.2,0.96
2020-01-05 22:30:00-09:00,119,149.6634471821,-16.7,97.2,0.96
2020-01-05 23:30:00-09:00,120,65.18583705328,-16.1,97.3,0.91
2020-01-06 00:30:00-09:00,121,31.921013905397995,-16.1,97.5,0.96
2020-01-06 01:30:00-09:00,122,9.188809055674,-16.1,97.6,0.91
2020-01-06 02:30:00-09:00,123,0.37935955037423996,-16.7,97.7,0.91
2020-01-06 03:30:00-09:00,124,0.0,-18.3,97.9,0.95
2020-01-06 04:30:00-09:00,125,0.0,-17.8,98.1,0.91
2020-01-06 05:30:00-09:00,126,29.62368099082,-17.2,98.1,0.91
2020-01-06 06:30:00-09:00,127,145.22294128631998,-16.1,98.2,0.91
2020-01-06 07:30:00-09:00,128,234.15409191702,-17.8,98.2,0.96
2020-01-06 08:30:00-09:00,129,132.76667392911997,-17.2,98.2,0.87
2020-01-06 09:30:00-09:00,130,85.29416469434,-15.0,98.1,0.8
2020-01-06 10:30:00-09:00,131,33.011473359586,-13.9,98.0,0.84
2020-01-06 11:30:00-09:00,132,10.701000393228,-12.8,97.9,0.88
2020-01-06 12:30:00-09:00,133,4.649616746796,-13.3,97.8,0.87
2020-01-06 13:30:00-09:00,134,0.9235877455511999,-13.3,97.6,0.87
2020-01-06 14:30:00-09:00,135,3.747034740554,-10.6,97.4,0.88
2020-01-06 15:30:00-09:00,136,12.540039344097998,-10.0,97.2,0.96
2020-01-06 16:30:00-09:00,137,23.239967504663998,-9.4,97.1,0.96
2020-01-06 17:30:00-09:00,138,80.30458401231999,-7.2,96.9,0.92
2020-01-06 18:30:00-09:00,139,167.51200098702,-3.9,96.7,0.85
2020-01-06 19:30:00-09:00,140,180.86838416228,-1.7,96.7,0.82
2020-01-06 20:30:00-09:00,141,205.31411717832,-6.1,96.6,0.85
2020-01-06 21:30:00-09:00,142,258.22927300796,-3.9,96.5,0.81
2020-01-06 22:30:00-09:00,143,198.3964900035,-2.8,96.5,0.78
2020-01-06 23:30:00-09:00,144,116.55954597742,-3.9,96.5,0.81
2020-01-07 00:30:00-09:00,145,80.89156343718,-6.1,96.6,0.88
2020-01-07 01:30:00-09:00,146,59.15203142381999,-7.2,96.7,0.96
2020-01-07 02:30:00-09:00,147,47.90661596646,-5.6,96.9,0.96
2020-01-07 03:30:00-09:00,148,39.32590427222,-7.8,97.1,0.96
2020-01-07 04:30:00-09:00,149,43.48683474894,-7.2,97.3,1.0
2020-01-07 05:30:00-09:00,150,56.16554482692,-6.7,97.5,0.96
2020-01-07 06:30:00-09:00,151,97.01371509462,-7.2,97.7,0.96
2020-01-07 07:30:00-09:00,152,187.82972274697997,-7.2,97.9,0.96
2020-01-07 08:30:00-09:00,153,287.73559807095995,-7.2,98.0,0.92
2020-01-07 09:30:00-09:00,154,212.0552124146,-7.8,98.2,0.96
2020-01-07 10:30:00-09:00,155,125.51048368025998,-7.8,98.4,0.96
2020-01-07 11:30:00-09:00,156,94.20543785315999,-7.8,98.5,1.0
2020-01-07 12:30:00-09:00,157,67.31157982554001,-7.8,98.6,1.0
2020-01-07 13:30:00-09:00,158,60.68826198382,-7.8,98.7,1.0
2020-01-07 14:30:00-09:00,159,59.631080499,-7.8,98.7,1.0
2020-01-07 15:30:00-09:00,160,57.69703254117999,-7.8,98.7,0.92
2020-01-07 16:30:00-09:00,161,53.2701402119,-8.9,98.7,1.0
2020-01-07 17:30:00-09:00,162,83.81746784058,-9.4,98.8,1.0
2020-01-07 18:30:00-09:00,163,132.9084712715,-8.9,98.7,0.92
2020-01-07 19:30:00-09:00,164,183.69131163379998,-10.6,98.7,0.96
2020-01-07 20:30:00-09:00,165,214.23306136483998,-10.6,98.5,0.92
2020-01-07 21:30:00-09:00,166,218.25218998211997,-10.6,98.4,0.88
2020-01-07 22:30:00-09:00,167,217.5687747607,-10.6,98.3,0.88
2020-01-07 23:30:00-09:00,168,133.76895597604002,-12.8,98.0,0.96
2020-01-08 00:30:00-09:00,169,82.21178171468,-12.8,97.7,0.96
2020-01-08 01:30:00-09:00,170,55.56477939346,-13.3,97.6,0.96
2020-01-08 02:30:00-09:00,171,38.563584765899996,-13.9,97.4,0.96
2020-01-08 03:30:00-09:00,172,30.607486278664002,-13.9,97.1,0.96
2020-01-08 04:30:00-09:00,173,36.842399121658005,-14.4,96.9,0.91
2020-01-08 05:30:00-09:00,174,44.778312882399995,-15.0,96.8,0.91
2020-01-08 06:30:00-09:00,175,82.92862485856,-14.4,96.7,0.91
2020-01-08 07:30:00-09:00,176,170.3735182421,-16.1,96.6,0.96
2020-01-08 08:30:00-09:00,177,262.14122035056,-17.2,96.6,0.91
2020-01-08 09:30:00-09:00,178,184.37773536043997,-17.2,96.6,0.91
2020-01-08 10:30:00-09:00,179,95.73521298494,-17.2,96.6,0.91
2020-01-08 11:30:00-09:00,180,66.52169783621999,-18.3,96.7,0.95
2020-01-08 12:30:00-09:00,181,32.153374794593994,-18.3,96.7,0.91
2020-01-08 13:30:00-09:00,182,24.080607439563998,-18.3,96.6,0.87
2020-01-08 14:30:00-09:00,183,19.35805615121,-18.9,96.6,0.91
2020-01-08 15:30:00-09:00,184,16.141331861306,-18.9,96.5,0.91
2020-01-08 16:30:00-09:00,185,14.959321699342,-18.9,96.5,0.91
2020-01-08 17:30:00-09:00,186,47.047505869359995,-18.9,96.4,0.87
2020-01-08 18:30:00-09:00,187,95.33242224629998,-18.9,96.4,0.91
2020-01-08 19:30:00-09:00,188,148.13471462098,-18.9,96.3,0.91
2020-01-08 20:30:00-09:00,189,181.41888747682,-18.3,96.2,0.87
2020-01-08 21:30:00-09:00,190,188.27041111666,-17.8,96.1,0.83
2020-01-08 22:30:00-09:00,191,187.4244389944,-17.8,96.1,0.87
2020-01-08 23:30:00-09:00,192,102.02327640729999,-17.8,96.1,0.87
2020-01-09 00:30:00-09:00,193,45.59461787608,-18.3,96.1,0.83
2020-01-09 01:30:00-09:00,194,18.253122319219997,-18.9,96.0,0.83
2020-01-09 02:30:00-09:00,195,6.996459969598,-18.9,96.0,0.83
2020-01-09 03:30:00-09:00,196,1.0454336630566,-18.9,96.0,0.83
2020-01-09 04:30:00-09:00,197,5.5237689952019995,-18.3,95.9,0.83
2020-01-09 05:30:00-09:00,198,41.09496976488,-18.3,95.9,0.83
2020-01-09 06:30:00-09:00,199,154.47069965865998,-18.3,95.8,0.83
2020-01-09 07:30:00-09:00,200,242.15175496263998,-18.9,95.8,0.87
2020-01-09 08:30:00-09:00,201,142.57585691746,-18.9,95.7,0.91
2020-01-09 09:30:00-09:00,202,89.15916981423999,-18.9,95.7,0.91
2020-01-09 10:30:00-09:00,203,28.641294528204,-20.0,95.6,0.95
2020-01-09 11:30:00-09:00,204,10.854191335952,-20.0,95.6,0.91
2020-01-09 12:30:00-09:00,205,5.911996849024,-19.4,95.6,0.91
2020-01-09 13:30:00-09:00,206,3.0426323056912,-18.9,95.6,0.87
2020-01-09 14:30:00-09:00,207,0.08245669432908,-19.4,95.5,0.91
2020-01-09 15:30:00-09:00,208,0.0,-19.4,95.5,0.83
2020-01-09 16:30:00-09:00,209,0.0,-21.1,95.6,0.87
2020-01-09 17:30:00-09:00,210,31.93017304099,-20.0,95.8,0.87
2020-01-09 18:30:00-09:00,211,113.30359413012,-19.4,95.9,0.87
