datetime,hour,CoolingDemand_kW,DryBulb_C,Pressure_kPa,RHum
2020-01-01 00:30:00-09:00,1,0.0,-14.4,96.8,0.87
2020-01-01 01:30:00-09:00,2,0.0,-15.0,96.7,0.91
2020-01-01 02:30:00-09:00,3,0.0,-14.4,96.7,0.91
2020-01-01 03:30:00-09:00,4,0.0,-13.9,96.7,0.84
2020-01-01 04:30:00-09:00,5,0.0,-13.9,96.7,0.91
2020-01-01 05:30:00-09:00,6,0.0,-15.0,96.6,0.96
2020-01-01 06:30:00-09:00,7,0.0,-15.6,96.7,0.91
2020-01-01 07:30:00-09:00,8,0.0,-15.0,96.7,0.87
2020-01-01 08:30:00-09:00,9,0.0,-16.1,96.7,0.87
2020-01-01 09:30:00-09:00,10,0.0,-16.1,96.7,0.79
2020-01-01 10:30:00-09:00,11,0.0,-16.7,96.7,0.87
2020-01-01 11:30:00-09:00,12,0.0,-16.7,96.7,0.83
2020-01-01 12:30:00-09:00,13,0.0,-16.7,96.8,0.79
2020-01-01 13:30:00-09:00,14,0.0,-16.1,96.8,0.79
2020-01-01 14:30:00-09:00,15,0.0,-15.0,96.9,0.73
2020-01-01 15:30:00-09:00,16,0.0,-15.0,96.9,0.83
2020-01-01 16:30:00-09:00,17,0.0,-14.4,96.9,0.83
2020-01-01 17:30:00-09:00,18,0.0,-14.4,97.0,0.83
2020-01-01 18:30:00-09:00,19,0.0,-14.4,97.0,0.8
2020-01-01 19:30:00-09:00,20,0.0,-14.4,97.1,0.69
2020-01-01 20:30:00-09:00,21,0.0,-15.0,97.1,0.73
2020-01-01 21:30:00-09:00,22,0.0,-15.0,97.2,0.73
2020-01-01 22:30:00-09:00,23,0.0,-15.0,97.2,0.73
2020-01-01 23:30:00-09:00,24,0.0,-15.0,97.3,0.76
2020-01-02 00:30:00-09:00,25,0.0,-15.0,97.3,0.76
2020-01-02 01:30:00-09:00,26,0.0,-15.0,97.3,0.8
2020-01-02 02:30:00-09:00,27,0.0,-15.0,97.3,0.8
2020-01-02 03:30:00-09:00,28,0.0,-15.0,97.4,0.76
2020-01-02 04:30:00-09:00,29,0.0,-15.6,97.4,0.8
2020-01-02 05:30:00-09:00,30,0.0,-15.6,97.4,0.8
2020-01-02 06:30:00-09:00,31,0.0,-14.4,97.5,0.69
2020-01-02 07:30:00-09:00,32,0.0,-14.4,97.6,0.69
2020-01-02 08:30:00-09:00,33,0.0,-15.6,97.7,0.8
