datetime,hour,CoolingDemand_kW,DryBulb_C,Pressure_kPa,RHum
2020-01-01 00:30:00-09:00,1,0.0037964176829392,-14.4,96.8,0.87
2020-01-01 01:30:00-09:00,2,0.0,-15.0,96.7,0.91
2020-01-01 02:30:00-09:00,3,0.0,-14.4,96.7,0.91
2020-01-01 03:30:00-09:00,4,0.0,-13.9,96.7,0.84
2020-01-01 04:30:00-09:00,5,0.0,-13.9,96.7,0.91
2020-01-01 05:30:00-09:00,6,0.0,-15.0,96.6,0.96
2020-01-01 06:30:00-09:00,7,0.0,-15.6,96.7,0.91
2020-01-01 07:30:00-09:00,8,0.0006494324813964,-15.0,96.7,0.87
2020-01-01 08:30:00-09:00,9,0.24711309599367998,-16.1,96.7,0.87
2020-01-01 09:30:00-09:00,10,4.691787722898,-16.1,96.7,0.79
2020-01-01 10:30:00-09:00,11,5.2681531272179996,-16.7,96.7,0.87
2020-01-01 11:30:00-09:00,12,5.274335542044,-16.7,96.7,0.83
2020-01-01 12:30:00-09:00,13,4.729251125696,-16.7,96.8,0.79
2020-01-01 13:30:00-09:00,14,4.897397629202,-16.1,96.8,0.79
2020-01-01 14:30:00-09:00,15,5.134873910514,-15.0,96.9,0.73
2020-01-01 15:30:00-09:00,16,5.275266542994,-15.0,96.9,0.83
2020-01-01 16:30:00-09:00,17,2.0591548125314,-14.4,96.9,0.83
2020-01-01 17:30:00-09:00,18,0.0,-14.4,97.0,0.83
2020-01-01 18:30:00-09:00,19,0.06941255978152,-14.4,97.0,0.8
2020-01-01 19:30:00-09:00,20,0.14223798610727997,-14.4,97.1,0.69
2020-01-01 20:30:00-09:00,21,0.21279482450412,-15.0,97.1,0.73
2020-01-01 21:30:00-09:00,22,0.2167548273311,-15.0,97.2,0.73
2020-01-01 22:30:00-09:00,23,0.11981712651953999,-15.0,97.2,0.73
2020-01-01 23:30:00-09:00,24,0.028632764509136,-15.0,97.3,0.76
2020-01-02 00:30:00-09:00,25,0.0021451002204531996,-15.0,97.3,0.76
2020-01-02 01:30:00-09:00,26,0.0,-15.0,97.3,0.8
2020-01-02 02:30:00-09:00,27,0.0,-15.0,97.3,0.8
2020-01-02 03:30:00-09:00,28,0.0,-15.0,97.4,0.76
2020-01-02 04:30:00-09:00,29,0.0,-15.6,97.4,0.8
2020-01-02 05:30:00-09:00,30,0.0,-15.6,97.4,0.8
2020-01-02 06:30:00-09:00,31,0.014150196876455998,-14.4,97.5,0.69
2020-01-02 07:30:00-09:00,32,0.14000030502236,-14.4,97.6,0.69
2020-01-02 08:30:00-09:00,33,0.11397813353118,-15.6,97.7,0.8
2020-01-02 09:30:00-09:00,34,4.557700485442,-17.2,97.8,0.83
2020-01-02 10:30:00-09:00,35,5.0524250045,-17.8,98.0,0.83
2020-01-02 11:30:00-09:00,36,4.991054139392,-18.3,98.1,0.83
2020-01-02 12:30:00-09:00,37,4.349420661859999,-18.9,98.1,0.83
2020-01-02 13:30:00-09:00,38,4.400050095391999,-18.9,98.2,0.83
2020-01-02 14:30:00-09:00,39,4.463394940724,-18.9,98.4,0.83
2020-01-02 15:30:00-09:00,40,4.523784209934,-18.9,98.5,0.91
2020-01-02 16:30:00-09:00,41,1.1607232447746,-18.9,98.6,0.87
2020-01-02 17:30:00-09:00,42,0.0,-18.9,98.7,0.87
2020-01-02 18:30:00-09:00,43,0.005113089548712,-18.3,98.7,0.87
2020-01-02 19:30:00-09:00,44,0.057807482508599996,-18.9,98.8,0.91
2020-01-02 20:30:00-09:00,45,0.15424750765692,-18.9,98.8,0.87
2020-01-02 21:30:00-09:00,46,0.17898308285488,-18.9,98.8,0.83
2020-01-02 22:30:00-09:00,47,0.06569562293917999,-18.9,98.9,0.87
2020-01-02 23:30:00-09:00,48,0.0,-18.9,98.9,0.87
2020-01-03 00:30:00-09:00,49,0.0,-18.9,98.9,0.91
2020-01-03 01:30:00-09:00,50,0.0,-19.4,99.0,0.91
2020-01-03 02:30:00-09:00,51,0.0,-19.4,99.0,0.91
2020-01-03 03:30:00-09:00,52,0.0,-18.9,99.0,0.87
2020-01-03 04:30:00-09:00,53,0.0,-20.6,99.0,0.91
2020-01-03 05:30:00-09:00,54,0.0,-21.7,99.0,0.91
2020-01-03 06:30:00-09:00,55,0.0,-23.3,99.1,0.86
2020-01-03 07:30:00-09:00,56,0.013848001012488,-24.4,99.0,0.86
2020-01-03 08:30:00-09:00,57,0.0,-25.6,99.1,0.78
2020-01-03 09:30:00-09:00,58,2.6043665048976,-25.6,99.0,0.78
2020-01-03 10:30:00-09:00,59,3.1395835460463997,-26.7,99.0,0.82
2020-01-03 11:30:00-09:00,60,3.3085993086723997,-25.0,99.0,0.82
2020-01-03 12:30:00-09:00,61,3.2291177027797997,-23.3,99.0,0.82
2020-01-03 13:30:00-09:00,62,3.5110477727334,-22.8,98.9,0.82
2020-01-03 14:30:00-09:00,63,3.4717054378345997,-23.9,98.9,0.82
2020-01-03 15:30:00-09:00,64,3.17771216853,-26.1,98.8,0.82
2020-01-03 16:30:00-09:00,65,0.28143852640241995,-26.1,98.8,0.86
2020-01-03 17:30:00-09:00,66,0.0,-27.2,98.7,0.86
2020-01-03 18:30:00-09:00,67,0.0,-26.1,98.6,0.86
2020-01-03 19:30:00-09:00,68,0.0,-27.8,98.5,0.86
2020-01-03 20:30:00-09:00,69,0.008783702644762,-26.1,98.4,0.86
2020-01-03 21:30:00-09:00,70,0.07335281130138,-23.3,98.3,0.86
2020-01-03 22:30:00-09:00,71,0.0,-21.7,98.2,0.87
2020-01-03 23:30:00-09:00,72,0.0,-21.1,98.1,0.87
2020-01-04 00:30:00-09:00,73,0.0,-18.9,98.0,0.87
2020-01-04 01:30:00-09:00,74,0.0,-18.3,97.9,0.87
2020-01-04 02:30:00-09:00,75,0.0,-18.3,97.7,0.91
2020-01-04 03:30:00-09:00,76,0.0,-17.2,97.6,0.91
2020-01-04 04:30:00-09:00,77,0.0,-15.0,97.5,0.91
2020-01-04 05:30:00-09:00,78,0.0,-14.4,97.4,0.96
2020-01-04 06:30:00-09:00,79,0.0,-15.0,97.4,0.91
2020-01-04 07:30:00-09:00,80,0.0016920445511744,-15.0,97.4,0.96
2020-01-04 08:30:00-09:00,81,0.1266649823781,-13.9,97.5,0.91
2020-01-04 09:30:00-09:00,82,5.066329230339999,-13.3,97.5,0.87
2020-01-04 10:30:00-09:00,83,5.810235911254,-13.3,97.5,0.92
2020-01-04 11:30:00-09:00,84,5.959656035166,-12.8,97.6,0.92
2020-01-04 12:30:00-09:00,85,5.49209616339,-12.2,97.6,0.92
2020-01-04 13:30:00-09:00,86,5.603529254308,-12.2,97.7,0.92
2020-01-04 14:30:00-09:00,87,5.66547080372,-12.2,97.7,0.92
2020-01-04 15:30:00-09:00,88,5.665282862978,-12.8,97.8,0.96
2020-01-04 16:30:00-09:00,89,2.4432991676574,-12.2,97.8,0.96
2020-01-04 17:30:00-09:00,90,0.0,-12.2,97.8,0.96
2020-01-04 18:30:00-09:00,91,0.0014521912844194,-12.8,97.8,0.96
2020-01-04 19:30:00-09:00,92,0.0429248721886,-12.2,97.8,0.96
2020-01-04 20:30:00-09:00,93,0.16364341742878,-12.2,97.7,0.96
2020-01-04 21:30:00-09:00,94,0.19356269946884,-12.2,97.8,0.96
2020-01-04 22:30:00-09:00,95,0.0757240013621,-12.2,97.8,0.96
2020-01-04 23:30:00-09:00,96,0.0,-12.8,97.8,0.96
2020-01-05 00:30:00-09:00,97,0.0,-12.2,97.8,0.96
2020-01-05 01:30:00-09:00,98,0.0,-11.7,97.7,0.96
2020-01-05 02:30:00-09:00,99,0.0,-11.7,97.7,0.96
2020-01-05 03:30:00-09:00,100,0.0,-12.8,97.7,0.96
2020-01-05 04:30:00-09:00,101,0.0,-12.8,97.7,0.96
2020-01-05 05:30:00-09:00,102,0.0,-13.3,97.7,0.96
2020-01-05 06:30:00-09:00,103,0.0,-13.3,97.7,0.96
2020-01-05 07:30:00-09:00,104,0.10105651175198,-14.4,97.7,0.96
2020-01-05 08:30:00-09:00,105,0.08426407775405999,-16.7,97.7,0.91
2020-01-05 09:30:00-09:00,106,4.449741438807999,-17.2,97.7,0.87
2020-01-05 10:30:00-09:00,107,5.03694211673,-17.8,97.7,0.87
2020-01-05 11:30:00-09:00,108,4.981002130606,-18.3,97.7,0.87
2020-01-05 12:30:00-09:00,109,4.415014644048,-18.3,97.7,0.87
2020-01-05 13:30:00-09:00,110,4.5671612389659995,-17.8,97.6,0.87
2020-01-05 14:30:00-09:00,111,4.731910558888,-17.2,97.6,0.83
2020-01-05 15:30:00-09:00,112,4.833001675484,-17.2,97.5,0.87
2020-01-05 16:30:00-09:00,113,1.5693109083274,-16.7,97.4,0.87
2020-01-05 17:30:00-09:00,114,0.0,-16.1,97.3,0.91
2020-01-05 18:30:00-09:00,115,0.0015171783908412,-16.1,97.3,0.96
2020-01-05 19:30:00-09:00,116,0.050137674508659996,-15.6,97.3,0.91
2020-01-05 20:30:00-09:00,117,0.15878991290186,-15.6,97.2,0.87
2020-01-05 21:30:00-09:00,118,0.18240416649176,-16.7,97.2,0.96
2020-01-05 22:30:00-09:00,119,0.06457278838734,-16.7,97.2,0.96
2020-01-05 23:30:00-09:00,120,0.0,-16.1,97.3,0.91
2020-01-06 00:30:00-09:00,121,0.0,-16.1,97.5,0.96
2020-01-06 01:30:00-09:00,122,0.0,-16.1,97.6,0.91
2020-01-06 02:30:00-09:00,123,0.0,-16.7,97.7,0.91
2020-01-06 03:30:00-09:00,124,0.0,-18.3,97.9,0.95
2020-01-06 04:30:00-09:00,125,0.0,-17.8,98.1,0.91
2020-01-06 05:30:00-09:00,126,0.0,-17.2,98.1,0.91
2020-01-06 06:30:00-09:00,127,0.0,-16.1,98.2,0.91
2020-01-06 07:30:00-09:00,128,0.060221724246,-17.8,98.2,0.96
2020-01-06 08:30:00-09:00,129,0.06671960852117999,-17.2,98.2,0.87
2020-01-06 09:30:00-09:00,130,4.59931205355,-15.0,98.1,0.8
2020-01-06 10:30:00-09:00,131,5.628327176356,-13.9,98.0,0.84
2020-01-06 11:30:00-09:00,132,5.92703869538,-12.8,97.9,0.88
2020-01-06 12:30:00-09:00,133,5.380874804102,-13.3,97.8,0.87
2020-01-06 13:30:00-09:00,134,5.425664985874,-13.3,97.6,0.87
2020-01-06 14:30:00-09:00,135,5.802724058068,-10.6,97.4,0.88
2020-01-06 15:30:00-09:00,136,6.124440531992,-10.0,97.2,0.96
2020-01-06 16:30:00-09:00,137,3.031306015036,-9.4,97.1,0.96
2020-01-06 17:30:00-09:00,138,0.0,-7.2,96.9,0.92
2020-01-06 18:30:00-09:00,139,0.0686844527772,-3.9,96.7,0.85
2020-01-06 19:30:00-09:00,140,0.16186924067468,-1.7,96.7,0.82
2020-01-06 20:30:00-09:00,141,0.24203281236419996,-6.1,96.6,0.85
2020-01-06 21:30:00-09:00,142,0.26068585226068,-3.9,96.5,0.81
2020-01-06 22:30:00-09:00,143,0.15845340686738,-2.8,96.5,0.78
2020-01-06 23:30:00-09:00,144,0.06858185026045999,-3.9,96.5,0.81
2020-01-07 00:30:00-09:00,145,0.034022833753414,-6.1,96.6,0.88
2020-01-07 01:30:00-09:00,146,0.011898243382062,-7.2,96.7,0.96
2020-01-07 02:30:00-09:00,147,0.0,-5.6,96.9,0.96
2020-01-07 03:30:00-09:00,148,0.0,-7.8,97.1,0.96
2020-01-07 04:30:00-09:00,149,0.0,-7.2,97.3,1.0
2020-01-07 05:30:00-09:00,150,0.0,-6.7,97.5,0.96
2020-01-07 06:30:00-09:00,151,0.0,-7.2,97.7,0.96
2020-01-07 07:30:00-09:00,152,0.06652442078816,-7.2,97.9,0.96
2020-01-07 08:30:00-09:00,153,0.5157830343214,-7.2,98.0,0.92
2020-01-07 09:30:00-09:00,154,6.773011963568,-7.8,98.2,0.96
2020-01-07 10:30:00-09:00,155,7.223246457685999,-7.8,98.4,0.96
2020-01-07 11:30:00-09:00,156,7.275303578236,-7.8,98.5,1.0
2020-01-07 12:30:00-09:00,157,6.623862464179999,-7.8,98.6,1.0
