datetime,hour,CoolingDemand_kW,DryBulb_C,Pressure_kPa,RHum
2020-01-01 00:30:00-07:00,1,208.28686113146,-16.7,88.2,0.96
2020-01-01 01:30:00-07:00,2,41.62657759614,-16.7,88.2,0.91
2020-01-01 02:30:00-07:00,3,70.88495476396,-15.6,88.1,0.87
2020-01-01 03:30:00-07:00,4,44.83423304589999,-17.2,88.1,0.87
2020-01-01 04:30:00-07:00,5,89.20991772363999,-14.4,88.1,0.91
2020-01-01 05:30:00-07:00,6,126.77563715715998,-14.4,88.0,0.87
2020-01-01 06:30:00-07:00,7,72.51542993716,-16.7,87.9,0.91
2020-01-01 07:30:00-07:00,8,38.091579693339995,-16.7,87.9,0.87
2020-01-01 08:30:00-07:00,9,79.40356249998,-15.0,87.8,0.83
2020-01-01 09:30:00-07:00,10,188.02480590742,-11.1,87.7,0.84
2020-01-01 10:30:00-07:00,11,236.4321022089,-11.7,87.6,0.84
2020-01-01 11:30:00-07:00,12,313.91513480531995,-9.4,87.4,0.74
2020-01-01 12:30:00-07:00,13,452.5605336032,-7.2,87.2,0.65
2020-01-01 13:30:00-07:00,14,593.5236944846,-5.0,87.2,0.6
2020-01-01 14:30:00-07:00,15,723.2222965354,-3.3,87.1,0.55
2020-01-01 15:30:00-07:00,16,776.7888378664,-3.3,87.1,0.6
2020-01-01 16:30:00-07:00,17,783.1267401386,-3.3,87.1,0.66
2020-01-01 17:30:00-07:00,18,652.4261427638,-6.7,87.1,0.81
2020-01-01 18:30:00-07:00,19,656.5071873666,-4.4,87.2,0.78
2020-01-01 19:30:00-07:00,20,728.1340064245999,-3.9,87.1,0.75
2020-01-01 20:30:00-07:00,21,634.8880771715999,-6.7,87.1,0.81
2020-01-01 21:30:00-07:00,22,524.2885642476,-7.8,87.0,0.88
2020-01-01 22:30:00-07:00,23,494.920884723,-7.8,87.1,0.84
2020-01-01 23:30:00-07:00,24,532.759509534,-6.7,87.1,0.88
2020-01-02 00:30:00-07:00,25,556.4402976982,-6.7,87.1,0.88
2020-01-02 01:30:00-07:00,26,580.5620541302,-6.1,87.2,0.81
2020-01-02 02:30:00-07:00,27,678.4716061836,-3.9,87.3,0.81
2020-01-02 03:30:00-07:00,28,757.7924149127999,-3.3,87.4,0.78
2020-01-02 04:30:00-07:00,29,604.816354737,-7.8,87.5,0.88
2020-01-02 05:30:00-07:00,30,520.0765588843999,-7.2,87.7,0.84
2020-01-02 06:30:00-07:00,31,758.4464772473999,-1.1,87.8,0.82
2020-01-02 07:30:00-07:00,32,955.7745166168,0.0,87.9,0.69
2020-01-02 08:30:00-07:00,33,1042.1061911489999,1.1,88.0,0.59
2020-01-02 09:30:00-07:00,34,1123.7338615385997,2.2,88.0,0.52
2020-01-02 10:30:00-07:00,35,1224.9424913334,3.9,88.1,0.45
2020-01-02 11:30:00-07:00,36,1258.3261293419998,3.9,88.2,0.47
2020-01-02 12:30:00-07:00,37,1228.3946572314,2.8,88.2,0.46
2020-01-02 13:30:00-07:00,38,1242.8344851598,3.9,88.2,0.45
2020-01-02 14:30:00-07:00,39,1248.9499491386,3.3,88.2,0.43
2020-01-02 15:30:00-07:00,40,1236.1206842124,3.3,88.2,0.44
2020-01-02 16:30:00-07:00,41,1121.3686438329999,0.6,88.2,0.52
2020-01-02 17:30:00-07:00,42,958.1338416586,-1.7,88.3,0.61
2020-01-02 18:30:00-07:00,43,923.455039048,-1.1,88.3,0.56
2020-01-02 19:30:00-07:00,44,867.7763458108,-2.8,88.3,0.66
2020-01-02 20:30:00-07:00,45,780.0699523504,-3.9,88.3,0.69
2020-01-02 21:30:00-07:00,46,684.9104080774,-5.6,88.2,0.74
2020-01-02 22:30:00-07:00,47,686.4425865796,-4.4,88.1,0.75
2020-01-02 23:30:00-07:00,48,688.772894848,-5.0,88.1,0.81
