datetime,hour,CoolingDemand_kW,DryBulb_C,Pressure_kPa,RHum
2020-01-01 00:30:00-07:00,1,15.527726681033998,-16.7,88.2,0.96
2020-01-01 01:30:00-07:00,2,12.566529631865999,-16.7,88.2,0.91
2020-01-01 02:30:00-07:00,3,20.452653434175996,-15.6,88.1,0.87
2020-01-01 03:30:00-07:00,4,18.924561078778,-17.2,88.1,0.87
2020-01-01 04:30:00-07:00,5,19.300709093258,-14.4,88.1,0.91
2020-01-01 05:30:00-07:00,6,25.02301409268,-14.4,88.0,0.87
2020-01-01 06:30:00-07:00,7,39.65313051936,-16.7,87.9,0.91
2020-01-01 07:30:00-07:00,8,50.90897929206,-16.7,87.9,0.87
2020-01-01 08:30:00-07:00,9,54.668824349299996,-15.0,87.8,0.83
2020-01-01 09:30:00-07:00,10,58.38401625557999,-11.1,87.7,0.84
2020-01-01 10:30:00-07:00,11,63.20926626288,-11.7,87.6,0.84
2020-01-01 11:30:00-07:00,12,65.54559788354,-9.4,87.4,0.74
2020-01-01 12:30:00-07:00,13,63.40896882149999,-7.2,87.2,0.65
2020-01-01 13:30:00-07:00,14,64.01768326178001,-5.0,87.2,0.6
2020-01-01 14:30:00-07:00,15,64.40143785101999,-3.3,87.1,0.55
2020-01-01 15:30:00-07:00,16,63.57676777521999,-3.3,87.1,0.6
2020-01-01 16:30:00-07:00,17,58.328918325059995,-3.3,87.1,0.66
2020-01-01 17:30:00-07:00,18,50.02537793846,-6.7,87.1,0.81
2020-01-01 18:30:00-07:00,19,36.3674067524,-4.4,87.2,0.78
2020-01-01 19:30:00-07:00,20,32.20630815399,-3.9,87.1,0.75
2020-01-01 20:30:00-07:00,21,27.044106131708,-6.7,87.1,0.81
2020-01-01 21:30:00-07:00,22,18.994689819656,-7.8,87.0,0.88
2020-01-01 22:30:00-07:00,23,15.803456487364,-7.8,87.1,0.84
2020-01-01 23:30:00-07:00,24,21.072901229148,-6.7,87.1,0.88
2020-01-02 00:30:00-07:00,25,15.022762001168,-6.7,87.1,0.88
2020-01-02 01:30:00-07:00,26,17.559715520490002,-6.1,87.2,0.81
2020-01-02 02:30:00-07:00,27,12.320227581286,-3.9,87.3,0.81
