datetime,hour,CoolingDemand_kW,DryBulb_C,Pressure_kPa,RHum
2020-01-01 00:30:00-07:00,1,0.10208512987788,-16.7,88.2,0.96
2020-01-01 01:30:00-07:00,2,0.05786012518729999,-16.7,88.2,0.91
2020-01-01 02:30:00-07:00,3,0.022688682709787997,-15.6,88.1,0.87
2020-01-01 03:30:00-07:00,4,0.0011465702126882,-17.2,88.1,0.87
2020-01-01 04:30:00-07:00,5,0.0,-14.4,88.1,0.91
2020-01-01 05:30:00-07:00,6,0.0,-14.4,88.0,0.87
2020-01-01 06:30:00-07:00,7,0.0,-16.7,87.9,0.91
2020-01-01 07:30:00-07:00,8,0.05634528236756,-16.7,87.9,0.87
2020-01-01 08:30:00-07:00,9,0.4507639414034,-15.0,87.8,0.83
2020-01-01 09:30:00-07:00,10,0.30592247553206,-11.1,87.7,0.84
2020-01-01 10:30:00-07:00,11,0.023943945774764,-11.7,87.6,0.84
2020-01-01 11:30:00-07:00,12,0.026452122285827998,-9.4,87.4,0.74
2020-01-01 12:30:00-07:00,13,0.051790057260979995,-7.2,87.2,0.65
2020-01-01 13:30:00-07:00,14,0.2469074084856,-5.0,87.2,0.6
2020-01-01 14:30:00-07:00,15,0.13708778591489998,-3.3,87.1,0.55
2020-01-01 15:30:00-07:00,16,0.12335548181088,-3.3,87.1,0.6
2020-01-01 16:30:00-07:00,17,0.09131461031343999,-3.3,87.1,0.66
2020-01-01 17:30:00-07:00,18,0.20932610662388,-6.7,87.1,0.81
2020-01-01 18:30:00-07:00,19,1.3602688780777998,-4.4,87.2,0.78
2020-01-01 19:30:00-07:00,20,3.2877396966987997,-3.9,87.1,0.75
2020-01-01 20:30:00-07:00,21,5.440689699474,-6.7,87.1,0.81
2020-01-01 21:30:00-07:00,22,5.009288137862,-7.8,87.0,0.88
2020-01-01 22:30:00-07:00,23,1.0704164003921999,-7.8,87.1,0.84
2020-01-01 23:30:00-07:00,24,0.16015488425246,-6.7,87.1,0.88
2020-01-02 00:30:00-07:00,25,0.12873058349694,-6.7,87.1,0.88
2020-01-02 01:30:00-07:00,26,0.10106436802207999,-6.1,87.2,0.81
2020-01-02 02:30:00-07:00,27,0.08060367044816,-3.9,87.3,0.81
2020-01-02 03:30:00-07:00,28,0.06510232748492,-3.3,87.4,0.78
2020-01-02 04:30:00-07:00,29,0.037854116240828,-7.8,87.5,0.88
2020-01-02 05:30:00-07:00,30,0.030469854327259994,-7.2,87.7,0.84
2020-01-02 06:30:00-07:00,31,0.35794205661013995,-1.1,87.8,0.82
2020-01-02 07:30:00-07:00,32,3.8638316601019995,0.0,87.9,0.69
2020-01-02 08:30:00-07:00,33,0.26712554479506,1.1,88.0,0.59
2020-01-02 09:30:00-07:00,34,0.5186376239917999,2.2,88.0,0.52
2020-01-02 10:30:00-07:00,35,0.11315543814019999,3.9,88.1,0.45
2020-01-02 11:30:00-07:00,36,0.48206370664599996,3.9,88.2,0.47
2020-01-02 12:30:00-07:00,37,2.1315689356078,2.8,88.2,0.46
2020-01-02 13:30:00-07:00,38,3.229994389205,3.9,88.2,0.45
2020-01-02 14:30:00-07:00,39,3.2594079222922,3.3,88.2,0.43
2020-01-02 15:30:00-07:00,40,2.7750055834284,3.3,88.2,0.44
2020-01-02 16:30:00-07:00,41,1.5400213458208,0.6,88.2,0.52
2020-01-02 17:30:00-07:00,42,2.7430478438081995,-1.7,88.3,0.61
2020-01-02 18:30:00-07:00,43,4.26564652382,-1.1,88.3,0.56
2020-01-02 19:30:00-07:00,44,5.327837421568,-2.8,88.3,0.66
2020-01-02 20:30:00-07:00,45,7.239737816739999,-3.9,88.3,0.69
2020-01-02 21:30:00-07:00,46,7.78921627014,-5.6,88.2,0.74
2020-01-02 22:30:00-07:00,47,3.3997827735424,-4.4,88.1,0.75
2020-01-02 23:30:00-07:00,48,0.5726186612706,-5.0,88.1,0.81
2020-01-03 00:30:00-07:00,49,0.20075720518296,-5.6,88.0,0.81
