datetime,hour,CoolingDemand_kW,DryBulb_C,Pressure_kPa,RHum
2020-01-01 00:30:00-06:00,1,1794.3640085478,2.8,101.6,0.93
2020-01-01 01:30:00-06:00,2,1703.945036433,2.8,101.6,0.93
2020-01-01 02:30:00-06:00,3,1636.1185724242,2.2,101.6,0.96
2020-01-01 03:30:00-06:00,4,1531.0956492334,1.7,101.7,0.92
2020-01-01 04:30:00-06:00,5,1463.4283657919998,1.7,101.7,0.96
2020-01-01 05:30:00-06:00,6,1401.6029627264,1.1,101.7,0.96
2020-01-01 06:30:00-06:00,7,1383.444616583,1.7,101.8,0.92
2020-01-01 07:30:00-06:00,8,1382.8565064252,1.1,101.9,0.96
2020-01-01 08:30:00-06:00,9,1767.426657749,6.7,101.9,0.83
2020-01-01 09:30:00-06:00,10,2194.8934277559997,10.6,102.1,0.72
2020-01-01 10:30:00-06:00,11,2300.5731477842,12.8,102.0,0.51
2020-01-01 11:30:00-06:00,12,2338.2191644576,14.4,102.0,0.44
2020-01-01 12:30:00-06:00,13,2370.223275588,16.7,101.9,0.4
2020-01-01 13:30:00-06:00,14,2388.2586093511995,17.2,101.8,0.33
2020-01-01 14:30:00-06:00,15,2378.9067223844,16.7,101.8,0.31
2020-01-01 15:30:00-06:00,16,2372.126502111,16.7,101.8,0.31
2020-01-01 16:30:00-06:00,17,2370.9575722512,15.0,101.8,0.38
2020-01-01 17:30:00-06:00,18,2349.7705330838003,11.7,101.8,0.49
2020-01-01 18:30:00-06:00,19,2304.4628056188,7.2,101.9,0.71
2020-01-01 19:30:00-06:00,20,2250.5889999434,6.1,102.0,0.76
2020-01-01 20:30:00-06:00,21,2218.4645714194,6.7,102.0,0.68
2020-01-01 21:30:00-06:00,22,2193.7525716768,4.4,102.0,0.82
2020-01-01 22:30:00-06:00,23,2145.4139935629996,5.0,102.1,0.73
2020-01-01 23:30:00-06:00,24,2012.8860837586,3.3,102.1,0.86
2020-01-02 00:30:00-06:00,25,1980.0880727635997,5.0,102.0,0.76
