datetime,hour,CoolingDemand_kW,DryBulb_C,Pressure_kPa,RHum
2020-01-01 00:30:00-06:00,1,70.3002825984,2.8,101.6,0.93
2020-01-01 01:30:00-06:00,2,80.50178617664,2.8,101.6,0.93
2020-01-01 02:30:00-06:00,3,80.59239111944,2.2,101.6,0.96
2020-01-01 03:30:00-06:00,4,78.19033993289999,1.7,101.7,0.92
2020-01-01 04:30:00-06:00,5,83.61834586382,1.7,101.7,0.96
2020-01-01 05:30:00-06:00,6,90.35363361481998,1.1,101.7,0.96
2020-01-01 06:30:00-06:00,7,181.75951577714,1.7,101.8,0.92
2020-01-01 07:30:00-06:00,8,225.9263859743,1.1,101.9,0.96
2020-01-01 08:30:00-06:00,9,400.75605029239995,6.7,101.9,0.83
2020-01-01 09:30:00-06:00,10,472.74321043419997,10.6,102.1,0.72
2020-01-01 10:30:00-06:00,11,388.4262033644,12.8,102.0,0.51
2020-01-01 11:30:00-06:00,12,441.1714625552,14.4,102.0,0.44
2020-01-01 12:30:00-06:00,13,555.2918770388,16.7,101.9,0.4
2020-01-01 13:30:00-06:00,14,573.4213175892,17.2,101.8,0.33
2020-01-01 14:30:00-06:00,15,572.5716062468,16.7,101.8,0.31
2020-01-01 15:30:00-06:00,16,575.5850547347999,16.7,101.8,0.31
2020-01-01 16:30:00-06:00,17,523.2272018693999,15.0,101.8,0.38
2020-01-01 17:30:00-06:00,18,347.44395498122,11.7,101.8,0.49
2020-01-01 18:30:00-06:00,19,270.19212966308,7.2,101.9,0.71
2020-01-01 19:30:00-06:00,20,293.50719180718,6.1,102.0,0.76
2020-01-01 20:30:00-06:00,21,334.71678022384,6.7,102.0,0.68
2020-01-01 21:30:00-06:00,22,321.11472660588,4.4,102.0,0.82
2020-01-01 22:30:00-06:00,23,312.37303031628,5.0,102.1,0.73
2020-01-01 23:30:00-06:00,24,240.83357002638,3.3,102.1,0.86
2020-01-02 00:30:00-06:00,25,71.10581178578,5.0,102.0,0.76
2020-01-02 01:30:00-06:00,26,78.92108454077999,2.2,102.1,0.89
2020-01-02 02:30:00-06:00,27,79.8723669093,3.3,102.0,0.79
2020-01-02 03:30:00-06:00,28,77.89424533092,2.8,102.0,0.82
2020-01-02 04:30:00-06:00,29,82.34733155268,2.2,102.0,0.82
2020-01-02 05:30:00-06:00,30,109.39908917074,1.1,101.9,0.85
2020-01-02 06:30:00-06:00,31,210.03606632767998,1.7,101.9,0.82
2020-01-02 07:30:00-06:00,32,449.2134927748,2.2,102.0,0.85
2020-01-02 08:30:00-06:00,33,325.84358208043994,5.6,102.0,0.73
2020-01-02 09:30:00-06:00,34,294.12688063112,8.3,102.0,0.58
2020-01-02 10:30:00-06:00,35,242.23762332894,10.0,102.0,0.54
2020-01-02 11:30:00-06:00,36,222.37127941542,12.2,101.8,0.53
2020-01-02 12:30:00-06:00,37,245.55027350525998,13.9,101.7,0.53
2020-01-02 13:30:00-06:00,38,277.07324983586,13.3,101.6,0.57
2020-01-02 14:30:00-06:00,39,312.24715547588,13.9,101.4,0.58
2020-01-02 15:30:00-06:00,40,347.79272926554,13.3,101.4,0.62
2020-01-02 16:30:00-06:00,41,227.07662474522,12.2,101.4,0.69
2020-01-02 17:30:00-06:00,42,216.71415408657998,11.1,101.3,0.8
2020-01-02 18:30:00-06:00,43,277.5919596391,10.6,101.2,0.83
2020-01-02 19:30:00-06:00,44,291.55847033214,10.6,101.2,0.86
2020-01-02 20:30:00-06:00,45,316.2602793324,11.7,101.2,0.83
2020-01-02 21:30:00-06:00,46,368.08876318822,11.7,101.2,0.9
2020-01-02 22:30:00-06:00,47,329.80273531747997,12.2,101.2,0.86
2020-01-02 23:30:00-06:00,48,242.86638949256,11.7,101.2,0.9
2020-01-03 00:30:00-06:00,49,47.41110049492,11.7,101.1,0.93
2020-01-03 01:30:00-06:00,50,74.28336515021999,11.7,101.1,0.96
2020-01-03 02:30:00-06:00,51,90.75320466475999,12.8,101.0,0.93
2020-01-03 03:30:00-06:00,52,106.10950440086,13.3,101.0,0.93
2020-01-03 04:30:00-06:00,53,123.58994398562,13.9,100.9,0.97
2020-01-03 05:30:00-06:00,54,162.29442142334,14.4,100.9,0.97
2020-01-03 06:30:00-06:00,55,411.55976476899997,15.0,100.9,0.9
2020-01-03 07:30:00-06:00,56,565.4725888114,15.6,101.0,0.87
2020-01-03 08:30:00-06:00,57,497.5921445942,15.0,101.0,0.81
2020-01-03 09:30:00-06:00,58,338.68975058729995,12.2,101.1,0.67
2020-01-03 10:30:00-06:00,59,266.12317140488,12.2,101.2,0.57
2020-01-03 11:30:00-06:00,60,287.76498093256,13.9,101.1,0.55
2020-01-03 12:30:00-06:00,61,296.82377290641995,13.3,101.1,0.57
2020-01-03 13:30:00-06:00,62,216.96398351376,11.1,101.1,0.64
2020-01-03 14:30:00-06:00,63,180.67420989002,9.4,101.2,0.74
2020-01-03 15:30:00-06:00,64,171.08989391263998,8.9,101.2,0.8
2020-01-03 16:30:00-06:00,65,199.28148824774,8.9,101.3,0.8
2020-01-03 17:30:00-06:00,66,193.62746998814,8.3,101.4,0.8
2020-01-03 18:30:00-06:00,67,211.87608294843997,8.3,101.5,0.71
2020-01-03 19:30:00-06:00,68,261.5464948537,8.3,101.7,0.68
2020-01-03 20:30:00-06:00,69,280.2702537739,8.3,101.7,0.68
2020-01-03 21:30:00-06:00,70,325.97858344848,8.3,101.7,0.66
2020-01-03 22:30:00-06:00,71,285.62409706714,7.8,101.6,0.63
2020-01-03 23:30:00-06:00,72,200.01178039341997,7.2,101.6,0.66
2020-01-04 00:30:00-06:00,73,36.537164552236,6.7,101.6,0.68
2020-01-04 01:30:00-06:00,74,49.49584099585999,7.2,101.7,0.66
2020-01-04 02:30:00-06:00,75,53.12952343718,5.0,101.7,0.76
2020-01-04 03:30:00-06:00,76,55.62031271582,5.6,101.7,0.73
2020-01-04 04:30:00-06:00,77,64.56543515174,5.0,101.8,0.7
2020-01-04 05:30:00-06:00,78,91.46517057096,3.9,101.8,0.76
2020-01-04 06:30:00-06:00,79,282.30170043802,4.4,101.9,0.73
2020-01-04 07:30:00-06:00,80,272.64300578498,3.9,102.0,0.76
2020-01-04 08:30:00-06:00,81,250.10867116039998,4.4,102.0,0.73
2020-01-04 09:30:00-06:00,82,239.64983904194,5.0,102.1,0.7
2020-01-04 10:30:00-06:00,83,229.77546776724,6.7,102.2,0.65
2020-01-04 11:30:00-06:00,84,225.3363745302,7.8,102.1,0.63
2020-01-04 12:30:00-06:00,85,237.39661265102,8.3,102.1,0.61
2020-01-04 13:30:00-06:00,86,271.09986799956,9.4,102.0,0.56
2020-01-04 14:30:00-06:00,87,279.84050405723997,9.4,102.0,0.59
2020-01-04 15:30:00-06:00,88,282.68506666042,10.0,102.0,0.57
2020-01-04 16:30:00-06:00,89,258.1302084037,8.9,102.0,0.63
2020-01-04 17:30:00-06:00,90,219.24631818056,6.7,102.0,0.74
2020-01-04 18:30:00-06:00,91,235.4227111862,5.0,102.0,0.83
2020-01-04 19:30:00-06:00,92,246.48271252269998,4.4,102.1,0.86
2020-01-04 20:30:00-06:00,93,253.87903650928,3.3,102.1,0.89
2020-01-04 21:30:00-06:00,94,306.40565235534,3.9,102.2,0.86
2020-01-04 22:30:00-06:00,95,277.44797624107997,3.9,102.2,0.89
2020-01-04 23:30:00-06:00,96,197.4214050236,3.3,102.2,0.93
2020-01-05 00:30:00-06:00,97,45.72439696454,2.2,102.2,0.93
2020-01-05 01:30:00-06:00,98,48.46873778442,1.1,102.2,0.96
2020-01-05 02:30:00-06:00,99,47.88014854085999,1.1,102.2,0.96
2020-01-05 03:30:00-06:00,100,47.913063606959994,1.1,102.1,0.92
2020-01-05 04:30:00-06:00,101,53.65175960584,0.6,102.1,0.92
2020-01-05 05:30:00-06:00,102,78.844627788,-0.6,102.1,0.96
2020-01-05 06:30:00-06:00,103,174.89847347436,0.6,102.1,0.96
2020-01-05 07:30:00-06:00,104,422.35230455899995,1.7,102.1,0.92
2020-01-05 08:30:00-06:00,105,331.87042276095997,4.4,102.2,0.89
2020-01-05 09:30:00-06:00,106,323.98455533116,6.7,102.2,0.8
2020-01-05 10:30:00-06:00,107,303.83101130542,9.4,102.2,0.66
2020-01-05 11:30:00-06:00,108,313.21679982629996,11.1,102.1,0.55
2020-01-05 12:30:00-06:00,109,340.5543255604,12.8,102.0,0.49
2020-01-05 13:30:00-06:00,110,391.0220517264,13.9,101.9,0.44
2020-01-05 14:30:00-06:00,111,436.5184226294,13.9,101.8,0.47
2020-01-05 15:30:00-06:00,112,445.7032820516,14.4,101.8,0.48
2020-01-05 16:30:00-06:00,113,402.2511828872,13.3,101.8,0.55
2020-01-05 17:30:00-06:00,114,330.90510309705996,10.6,101.8,0.72
