datetime,hour,CoolingDemand_kW,DryBulb_C,Pressure_kPa,RHum
2020-01-01 00:30:00-06:00,1,562.0527947561999,2.8,101.6,0.93
2020-01-01 01:30:00-06:00,2,443.65482306639996,2.8,101.6,0.93
2020-01-01 02:30:00-06:00,3,539.3894231026,2.2,101.6,0.96
2020-01-01 03:30:00-06:00,4,416.9902197566,1.7,101.7,0.92
2020-01-01 04:30:00-06:00,5,509.8136660317999,1.7,101.7,0.96
2020-01-01 05:30:00-06:00,6,400.8420932554,1.1,101.7,0.96
2020-01-01 06:30:00-06:00,7,492.57758125259994,1.7,101.8,0.92
2020-01-01 07:30:00-06:00,8,388.1056516778,1.1,101.9,0.96
2020-01-01 08:30:00-06:00,9,502.0552591634,6.7,101.9,0.83
2020-01-01 09:30:00-06:00,10,482.20741631519996,10.6,102.1,0.72
2020-01-01 10:30:00-06:00,11,15.125027823049999,12.8,102.0,0.51
2020-01-01 11:30:00-06:00,12,19.56312789969,14.4,102.0,0.44
2020-01-01 12:30:00-06:00,13,87.27222850588,16.7,101.9,0.4
2020-01-01 13:30:00-06:00,14,52.427516437979996,17.2,101.8,0.33
2020-01-01 14:30:00-06:00,15,69.5133221209,16.7,101.8,0.31
2020-01-01 15:30:00-06:00,16,0.0,16.7,101.8,0.31
2020-01-01 16:30:00-06:00,17,0.0,15.0,101.8,0.38
2020-01-01 17:30:00-06:00,18,0.0,11.7,101.8,0.49
2020-01-01 18:30:00-06:00,19,33.695732630584,7.2,101.9,0.71
2020-01-01 19:30:00-06:00,20,454.3542460338,6.1,102.0,0.76
2020-01-01 20:30:00-06:00,21,678.6135061104,6.7,102.0,0.68
2020-01-01 21:30:00-06:00,22,528.8966371508,4.4,102.0,0.82
2020-01-01 22:30:00-06:00,23,605.1261944744,5.0,102.1,0.73
2020-01-01 23:30:00-06:00,24,468.3373453578,3.3,102.1,0.86
2020-01-02 00:30:00-06:00,25,562.9146183174,5.0,102.0,0.76
2020-01-02 01:30:00-06:00,26,446.06178981399995,2.2,102.1,0.89
2020-01-02 02:30:00-06:00,27,537.1493879571999,3.3,102.0,0.79
2020-01-02 03:30:00-06:00,28,423.57113090779995,2.8,102.0,0.82
2020-01-02 04:30:00-06:00,29,517.3189884845999,2.2,102.0,0.82
2020-01-02 05:30:00-06:00,30,407.7284485776,1.1,101.9,0.85
2020-01-02 06:30:00-06:00,31,797.4550616612,1.7,101.9,0.82
2020-01-02 07:30:00-06:00,32,0.0,2.2,102.0,0.85
2020-01-02 08:30:00-06:00,33,244.27244004168,5.6,102.0,0.73
2020-01-02 09:30:00-06:00,34,138.16319962948,8.3,102.0,0.58
2020-01-02 10:30:00-06:00,35,323.60000604792,10.0,102.0,0.54
2020-01-02 11:30:00-06:00,36,579.0799937405999,12.2,101.8,0.53
2020-01-02 12:30:00-06:00,37,916.6885568879999,13.9,101.7,0.53
2020-01-02 13:30:00-06:00,38,1118.5075341454,13.3,101.6,0.57
2020-01-02 14:30:00-06:00,39,1171.0101268941999,13.9,101.4,0.58
2020-01-02 15:30:00-06:00,40,1232.8716450078,13.3,101.4,0.62
2020-01-02 16:30:00-06:00,41,1139.587917797,12.2,101.4,0.69
2020-01-02 17:30:00-06:00,42,965.8822600446,11.1,101.3,0.8
2020-01-02 18:30:00-06:00,43,840.9901640356,10.6,101.2,0.83
2020-01-02 19:30:00-06:00,44,799.00339285,10.6,101.2,0.86
2020-01-02 20:30:00-06:00,45,883.3063401971999,11.7,101.2,0.83
2020-01-02 21:30:00-06:00,46,1000.5785846793999,11.7,101.2,0.9
2020-01-02 22:30:00-06:00,47,0.0,12.2,101.2,0.86
2020-01-02 23:30:00-06:00,48,0.0,11.7,101.2,0.9
2020-01-03 00:30:00-06:00,49,0.0,11.7,101.1,0.93
2020-01-03 01:30:00-06:00,50,0.0,11.7,101.1,0.96
2020-01-03 02:30:00-06:00,51,0.0,12.8,101.0,0.93
2020-01-03 03:30:00-06:00,52,0.0,13.3,101.0,0.93
2020-01-03 04:30:00-06:00,53,0.0,13.9,100.9,0.97
2020-01-03 05:30:00-06:00,54,0.0,14.4,100.9,0.97
2020-01-03 06:30:00-06:00,55,1413.4732339037998,15.0,100.9,0.9
2020-01-03 07:30:00-06:00,56,1512.144683757,15.6,101.0,0.87
2020-01-03 08:30:00-06:00,57,1509.6261271974,15.0,101.0,0.81
