datetime,hour,CoolingDemand_kW,DryBulb_C,Pressure_kPa,RHum
2020-01-01 00:30:00-06:00,1,237.4325030928,2.8,101.6,0.93
2020-01-01 01:30:00-06:00,2,414.941546269,2.8,101.6,0.93
2020-01-01 02:30:00-06:00,3,391.92827789239993,2.2,101.6,0.96
2020-01-01 03:30:00-06:00,4,360.21957841657996,1.7,101.7,0.92
2020-01-01 04:30:00-06:00,5,352.4907641314,1.7,101.7,0.96
2020-01-01 05:30:00-06:00,6,331.78846914364,1.1,101.7,0.96
2020-01-01 06:30:00-06:00,7,326.94983544475997,1.7,101.8,0.92
2020-01-01 07:30:00-06:00,8,319.61836705644,1.1,101.9,0.96
2020-01-01 08:30:00-06:00,9,347.5875728276,6.7,101.9,0.83
2020-01-01 09:30:00-06:00,10,355.58969581542,10.6,102.1,0.72
2020-01-01 10:30:00-06:00,11,0.0,12.8,102.0,0.51
2020-01-01 11:30:00-06:00,12,0.0,14.4,102.0,0.44
2020-01-01 12:30:00-06:00,13,0.0,16.7,101.9,0.4
2020-01-01 13:30:00-06:00,14,0.0,17.2,101.8,0.33
2020-01-01 14:30:00-06:00,15,0.0,16.7,101.8,0.31
2020-01-01 15:30:00-06:00,16,0.0,16.7,101.8,0.31
2020-01-01 16:30:00-06:00,17,0.0,15.0,101.8,0.38
2020-01-01 17:30:00-06:00,18,0.0,11.7,101.8,0.49
2020-01-01 18:30:00-06:00,19,0.0,7.2,101.9,0.71
2020-01-01 19:30:00-06:00,20,0.0,6.1,102.0,0.76
2020-01-01 20:30:00-06:00,21,0.0,6.7,102.0,0.68
2020-01-01 21:30:00-06:00,22,0.0,4.4,102.0,0.82
2020-01-01 22:30:00-06:00,23,0.0,5.0,102.1,0.73
2020-01-01 23:30:00-06:00,24,37.353792701032,3.3,102.1,0.86
2020-01-02 00:30:00-06:00,25,238.81476113018,5.0,102.0,0.76
2020-01-02 01:30:00-06:00,26,356.00972969474,2.2,102.1,0.89
2020-01-02 02:30:00-06:00,27,393.43708042099996,3.3,102.0,0.79
