datetime,hour,CoolingDemand_kW,DryBulb_C,Pressure_kPa,RHum
2020-01-01 00:30:00-06:00,1,3.5621941709991995,2.8,101.6,0.93
2020-01-01 01:30:00-06:00,2,2.5461560781865997,2.8,101.6,0.93
2020-01-01 02:30:00-06:00,3,1.3392893070429999,2.2,101.6,0.96
2020-01-01 03:30:00-06:00,4,0.6515907501216,1.7,101.7,0.92
2020-01-01 04:30:00-06:00,5,0.2812400356771,1.7,101.7,0.96
2020-01-01 05:30:00-06:00,6,0.14172864758321999,1.1,101.7,0.96
2020-01-01 06:30:00-06:00,7,0.6564213202371999,1.7,101.8,0.92
2020-01-01 07:30:00-06:00,8,5.755792727574,1.1,101.9,0.96
2020-01-01 08:30:00-06:00,9,19.739597920878,6.7,101.9,0.83
2020-01-01 09:30:00-06:00,10,29.234759928382,10.6,102.1,0.72
2020-01-01 10:30:00-06:00,11,27.930497751132,12.8,102.0,0.51
2020-01-01 11:30:00-06:00,12,31.461916089196,14.4,102.0,0.44
2020-01-01 12:30:00-06:00,13,35.322684789318,16.7,101.9,0.4
2020-01-01 13:30:00-06:00,14,36.907701640502,17.2,101.8,0.33
2020-01-01 14:30:00-06:00,15,36.710597804184,16.7,101.8,0.31
2020-01-01 15:30:00-06:00,16,34.921473924504,16.7,101.8,0.31
2020-01-01 16:30:00-06:00,17,28.660894734404,15.0,101.8,0.38
2020-01-01 17:30:00-06:00,18,19.934937705616,11.7,101.8,0.49
2020-01-01 18:30:00-06:00,19,19.328201170466,7.2,101.9,0.71
2020-01-01 19:30:00-06:00,20,19.179497427683998,6.1,102.0,0.76
2020-01-01 20:30:00-06:00,21,22.372160837156,6.7,102.0,0.68
2020-01-01 21:30:00-06:00,22,20.384826726762,4.4,102.0,0.82
2020-01-01 22:30:00-06:00,23,11.423596271531999,5.0,102.1,0.73
2020-01-01 23:30:00-06:00,24,5.4428444986699995,3.3,102.1,0.86
2020-01-02 00:30:00-06:00,25,3.7010992897551995,5.0,102.0,0.76
2020-01-02 01:30:00-06:00,26,2.3521001413846,2.2,102.1,0.89
2020-01-02 02:30:00-06:00,27,1.4138250103918,3.3,102.0,0.79
2020-01-02 03:30:00-06:00,28,0.7724231214999999,2.8,102.0,0.82
2020-01-02 04:30:00-06:00,29,0.34779401961634,2.2,102.0,0.82
2020-01-02 05:30:00-06:00,30,0.24419426719749998,1.1,101.9,0.85
2020-01-02 06:30:00-06:00,31,5.694554121276,1.7,101.9,0.82
2020-01-02 07:30:00-06:00,32,11.822656479833999,2.2,102.0,0.85
2020-01-02 08:30:00-06:00,33,8.716710931069999,5.6,102.0,0.73
2020-01-02 09:30:00-06:00,34,18.683285276722,8.3,102.0,0.58
2020-01-02 10:30:00-06:00,35,17.674724349924,10.0,102.0,0.54
2020-01-02 11:30:00-06:00,36,19.521149754169997,12.2,101.8,0.53
2020-01-02 12:30:00-06:00,37,21.89050177503,13.9,101.7,0.53
2020-01-02 13:30:00-06:00,38,21.864270861277998,13.3,101.6,0.57
2020-01-02 14:30:00-06:00,39,24.004618749389998,13.9,101.4,0.58
2020-01-02 15:30:00-06:00,40,23.952481478062,13.3,101.4,0.62
2020-01-02 16:30:00-06:00,41,18.752540288501997,12.2,101.4,0.69
2020-01-02 17:30:00-06:00,42,14.007319378907999,11.1,101.3,0.8
2020-01-02 18:30:00-06:00,43,15.430605155854,10.6,101.2,0.83
2020-01-02 19:30:00-06:00,44,17.825868089122,10.6,101.2,0.86
2020-01-02 20:30:00-06:00,45,24.152570378881997,11.7,101.2,0.83
2020-01-02 21:30:00-06:00,46,26.911467754832,11.7,101.2,0.9
2020-01-02 22:30:00-06:00,47,16.970096050303997,12.2,101.2,0.86
2020-01-02 23:30:00-06:00,48,9.718161334082,11.7,101.2,0.9
2020-01-03 00:30:00-06:00,49,7.162235124257999,11.7,101.1,0.93
2020-01-03 01:30:00-06:00,50,5.769884542085999,11.7,101.1,0.96
2020-01-03 02:30:00-06:00,51,5.186323029467999,12.8,101.0,0.93
2020-01-03 03:30:00-06:00,52,5.266774018677999,13.3,101.0,0.93
2020-01-03 04:30:00-06:00,53,5.3426023301939995,13.9,100.9,0.97
2020-01-03 05:30:00-06:00,54,6.62736075501,14.4,100.9,0.97
2020-01-03 06:30:00-06:00,55,18.395111172708,15.0,100.9,0.9
2020-01-03 07:30:00-06:00,56,32.105039850386,15.6,101.0,0.87
2020-01-03 08:30:00-06:00,57,24.708384040775996,15.0,101.0,0.81
2020-01-03 09:30:00-06:00,58,29.310261179711997,12.2,101.1,0.67
2020-01-03 10:30:00-06:00,59,25.359691700846,12.2,101.2,0.57
2020-01-03 11:30:00-06:00,60,29.620907418357998,13.9,101.1,0.55
2020-01-03 12:30:00-06:00,61,27.051418270573997,13.3,101.1,0.57
2020-01-03 13:30:00-06:00,62,23.339902587806,11.1,101.1,0.64
2020-01-03 14:30:00-06:00,63,19.827466602541996,9.4,101.2,0.74
2020-01-03 15:30:00-06:00,64,18.466888538531997,8.9,101.2,0.8
2020-01-03 16:30:00-06:00,65,14.946133176788,8.9,101.3,0.8
2020-01-03 17:30:00-06:00,66,10.91780649569,8.3,101.4,0.8
2020-01-03 18:30:00-06:00,67,13.535073038723999,8.3,101.5,0.71
2020-01-03 19:30:00-06:00,68,16.156358106078,8.3,101.7,0.68
2020-01-03 20:30:00-06:00,69,21.356841587557998,8.3,101.7,0.68
2020-01-03 21:30:00-06:00,70,22.556391304793998,8.3,101.7,0.66
2020-01-03 22:30:00-06:00,71,12.051437514164,7.8,101.6,0.63
2020-01-03 23:30:00-06:00,72,5.772666122895999,7.2,101.6,0.66
2020-01-04 00:30:00-06:00,73,3.5658123613178,6.7,101.6,0.68
2020-01-04 01:30:00-06:00,74,2.5801914758628,7.2,101.7,0.66
2020-01-04 02:30:00-06:00,75,1.3625016876372,5.0,101.7,0.76
2020-01-04 03:30:00-06:00,76,0.7636371881108001,5.6,101.7,0.73
2020-01-04 04:30:00-06:00,77,0.4443913335754,5.0,101.8,0.7
2020-01-04 05:30:00-06:00,78,0.3927757545536,3.9,101.8,0.76
2020-01-04 06:30:00-06:00,79,7.1521983509639995,4.4,101.9,0.73
2020-01-04 07:30:00-06:00,80,13.255171398898,3.9,102.0,0.76
2020-01-04 08:30:00-06:00,81,8.784893614998,4.4,102.0,0.73
2020-01-04 09:30:00-06:00,82,18.047949119708,5.0,102.1,0.7
2020-01-04 10:30:00-06:00,83,17.681971989224,6.7,102.2,0.65
2020-01-04 11:30:00-06:00,84,19.854363068928,7.8,102.1,0.63
2020-01-04 12:30:00-06:00,85,21.79071503207,8.3,102.1,0.61
2020-01-04 13:30:00-06:00,86,23.63709762012,9.4,102.0,0.56
2020-01-04 14:30:00-06:00,87,24.773064628325997,9.4,102.0,0.59
2020-01-04 15:30:00-06:00,88,25.320651160867996,10.0,102.0,0.57
2020-01-04 16:30:00-06:00,89,21.197620077209997,8.9,102.0,0.63
2020-01-04 17:30:00-06:00,90,13.748423635619998,6.7,102.0,0.74
2020-01-04 18:30:00-06:00,91,12.688381541352,5.0,102.0,0.83
2020-01-04 19:30:00-06:00,92,12.813793776553998,4.4,102.1,0.86
2020-01-04 20:30:00-06:00,93,15.882193927297998,3.3,102.1,0.89
2020-01-04 21:30:00-06:00,94,16.279764020433998,3.9,102.2,0.86
2020-01-04 22:30:00-06:00,95,8.80023257963,3.9,102.2,0.89
2020-01-04 23:30:00-06:00,96,3.4952345679607997,3.3,102.2,0.93
2020-01-05 00:30:00-06:00,97,1.8424189279171999,2.2,102.2,0.93
2020-01-05 01:30:00-06:00,98,0.8065806805768,1.1,102.2,0.96
2020-01-05 02:30:00-06:00,99,0.22771224702273998,1.1,102.2,0.96
2020-01-05 03:30:00-06:00,100,0.16074246761968,1.1,102.1,0.92
2020-01-05 04:30:00-06:00,101,0.13353280300498,0.6,102.1,0.92
2020-01-05 05:30:00-06:00,102,0.11999203998336,-0.6,102.1,0.96
2020-01-05 06:30:00-06:00,103,3.1180433163958,0.6,102.1,0.96
2020-01-05 07:30:00-06:00,104,10.682194703606,1.7,102.1,0.92
2020-01-05 08:30:00-06:00,105,8.431086912131999,4.4,102.2,0.89
2020-01-05 09:30:00-06:00,106,20.43232098234,6.7,102.2,0.8
2020-01-05 10:30:00-06:00,107,21.894218110658,9.4,102.2,0.66
2020-01-05 11:30:00-06:00,108,24.688928884527996,11.1,102.1,0.55
2020-01-05 12:30:00-06:00,109,27.894589795265997,12.8,102.0,0.49
2020-01-05 13:30:00-06:00,110,29.838776437363997,13.9,101.9,0.44
2020-01-05 14:30:00-06:00,111,30.643462042604,13.9,101.8,0.47
2020-01-05 15:30:00-06:00,112,31.145073850495997,14.4,101.8,0.48
2020-01-05 16:30:00-06:00,113,27.027007063658,13.3,101.8,0.55
2020-01-05 17:30:00-06:00,114,19.83667332751,10.6,101.8,0.72
2020-01-05 18:30:00-06:00,115,18.735729016416,10.0,101.7,0.77
2020-01-05 19:30:00-06:00,116,19.15249296887,8.9,101.7,0.86
2020-01-05 20:30:00-06:00,117,22.724680726718,8.9,101.7,0.83
2020-01-05 21:30:00-06:00,118,23.040812550098,8.3,101.7,0.86
2020-01-05 22:30:00-06:00,119,12.411253631345998,6.7,101.7,0.93
2020-01-05 23:30:00-06:00,120,5.50560275704,5.0,101.6,0.96
2020-01-06 00:30:00-06:00,121,3.824712670948,7.8,101.6,0.96
2020-01-06 01:30:00-06:00,122,3.4389817029467995,8.9,101.5,0.93
