datetime,hour,CoolingDemand_kW,DryBulb_C,Pressure_kPa,RHum
2020-01-01 00:30:00-08:00,1,248.75502005464,5.6,94.4,0.35
2020-01-01 01:30:00-08:00,2,221.16846882098,6.7,94.4,0.35
2020-01-01 02:30:00-08:00,3,202.68404153155998,6.1,94.4,0.37
2020-01-01 03:30:00-08:00,4,192.34168041516,6.1,94.4,0.37
2020-01-01 04:30:00-08:00,5,192.4173609826,5.6,94.4,0.38
2020-01-01 05:30:00-08:00,6,195.73602652129998,5.6,94.5,0.38
2020-01-01 06:30:00-08:00,7,230.55905974348,5.0,94.5,0.38
2020-01-01 07:30:00-08:00,8,383.0770556202,4.4,94.6,0.4
2020-01-01 08:30:00-08:00,9,427.208721906,7.2,94.7,0.34
2020-01-01 09:30:00-08:00,10,425.4293961272,10.6,94.8,0.26
2020-01-01 10:30:00-08:00,11,430.6324886864,12.2,94.8,0.23
2020-01-01 11:30:00-08:00,12,414.914389493,13.9,94.7,0.21
2020-01-01 12:30:00-08:00,13,422.4880071532,15.0,94.7,0.19
2020-01-01 13:30:00-08:00,14,425.1284018056,16.1,94.6,0.19
2020-01-01 14:30:00-08:00,15,425.731654306,16.7,94.6,0.18
2020-01-01 15:30:00-08:00,16,431.026375509,16.1,94.4,0.18
2020-01-01 16:30:00-08:00,17,442.4443275336,15.0,94.6,0.2
2020-01-01 17:30:00-08:00,18,315.03831690858,11.7,94.6,0.24
2020-01-01 18:30:00-08:00,19,258.35024387388,9.4,94.6,0.29
2020-01-01 19:30:00-08:00,20,364.79309572148,9.4,94.7,0.29
2020-01-01 20:30:00-08:00,21,430.57734189699994,7.8,94.7,0.3
2020-01-01 21:30:00-08:00,22,437.6477522902,7.2,94.7,0.27
2020-01-01 22:30:00-08:00,23,427.63136168319994,7.2,94.8,0.3
2020-01-01 23:30:00-08:00,24,312.6372707772,6.1,94.8,0.32
2020-01-02 00:30:00-08:00,25,249.10623798938002,6.7,94.9,0.29
2020-01-02 01:30:00-08:00,26,213.59048172394,5.6,94.9,0.35
2020-01-02 02:30:00-08:00,27,193.26497841024,5.0,94.9,0.31
2020-01-02 03:30:00-08:00,28,179.8098311351,3.9,94.9,0.37
2020-01-02 04:30:00-08:00,29,187.38571944767997,7.2,95.0,0.28
2020-01-02 05:30:00-08:00,30,230.12056126971999,9.4,95.2,0.27
2020-01-02 06:30:00-08:00,31,344.14501842578,6.1,95.2,0.3
