datetime,hour,CoolingDemand_kW,DryBulb_C,Pressure_kPa,RHum
2020-01-01 00:30:00-08:00,1,0.30107137374779996,5.6,94.4,0.35
2020-01-01 01:30:00-08:00,2,0.19640409768852,6.7,94.4,0.35
2020-01-01 02:30:00-08:00,3,0.10815712311676,6.1,94.4,0.37
2020-01-01 03:30:00-08:00,4,0.028891505741573998,6.1,94.4,0.37
2020-01-01 04:30:00-08:00,5,0.0006798717795713999,5.6,94.4,0.38
2020-01-01 05:30:00-08:00,6,0.0038395539329739996,5.6,94.5,0.38
2020-01-01 06:30:00-08:00,7,0.10732930827951999,5.0,94.5,0.38
2020-01-01 07:30:00-08:00,8,0.4435451497008,4.4,94.6,0.4
2020-01-01 08:30:00-08:00,9,1.0543324004299999,7.2,94.7,0.34
2020-01-01 09:30:00-08:00,10,2.3859739054072,10.6,94.8,0.26
2020-01-01 10:30:00-08:00,11,4.100401783648,12.2,94.8,0.23
2020-01-01 11:30:00-08:00,12,5.620634936904,13.9,94.7,0.21
2020-01-01 12:30:00-08:00,13,6.630400447172,15.0,94.7,0.19
2020-01-01 13:30:00-08:00,14,7.78855867976,16.1,94.6,0.19
2020-01-01 14:30:00-08:00,15,8.821500241751998,16.7,94.6,0.18
2020-01-01 15:30:00-08:00,16,8.322356447599999,16.1,94.4,0.18
2020-01-01 16:30:00-08:00,17,6.535252803681999,15.0,94.6,0.2
2020-01-01 17:30:00-08:00,18,5.0084053792039995,11.7,94.6,0.24
2020-01-01 18:30:00-08:00,19,3.8398107289559995,9.4,94.6,0.29
2020-01-01 19:30:00-08:00,20,3.0926126594637995,9.4,94.7,0.29
2020-01-01 20:30:00-08:00,21,2.4345335475634,7.8,94.7,0.3
2020-01-01 21:30:00-08:00,22,1.7459556409336,7.2,94.7,0.27
2020-01-01 22:30:00-08:00,23,0.9876994829963999,7.2,94.8,0.3
2020-01-01 23:30:00-08:00,24,0.5674153928474,6.1,94.8,0.32
2020-01-02 00:30:00-08:00,25,0.3276318020602,6.7,94.9,0.29
