datetime,hour,CoolingDemand_kW,DryBulb_C,Pressure_kPa,RHum
2020-01-01 00:30:00-08:00,1,56.50894713332,5.6,94.4,0.35
2020-01-01 01:30:00-08:00,2,41.41041711022,6.7,94.4,0.35
2020-01-01 02:30:00-08:00,3,49.78347770832,6.1,94.4,0.37
2020-01-01 03:30:00-08:00,4,37.239252550412004,6.1,94.4,0.37
2020-01-01 04:30:00-08:00,5,60.07507859914,5.6,94.4,0.38
2020-01-01 05:30:00-08:00,6,79.68559824576,5.6,94.5,0.38
2020-01-01 06:30:00-08:00,7,77.22105423218,5.0,94.5,0.38
2020-01-01 07:30:00-08:00,8,78.10112765589999,4.4,94.6,0.4
2020-01-01 08:30:00-08:00,9,89.00087375574,7.2,94.7,0.34
2020-01-01 09:30:00-08:00,10,101.39559076303999,10.6,94.8,0.26
2020-01-01 10:30:00-08:00,11,120.79922790721999,12.2,94.8,0.23
2020-01-01 11:30:00-08:00,12,136.11617295471999,13.9,94.7,0.21
2020-01-01 12:30:00-08:00,13,144.23819715026,15.0,94.7,0.19
2020-01-01 13:30:00-08:00,14,152.22919077179998,16.1,94.6,0.19
2020-01-01 14:30:00-08:00,15,160.47806167674,16.7,94.6,0.18
2020-01-01 15:30:00-08:00,16,158.9264575506,16.1,94.4,0.18
2020-01-01 16:30:00-08:00,17,145.53354413896,15.0,94.6,0.2
2020-01-01 17:30:00-08:00,18,123.58283686272,11.7,94.6,0.24
2020-01-01 18:30:00-08:00,19,97.56290927116,9.4,94.6,0.29
2020-01-01 19:30:00-08:00,20,92.64681699434,9.4,94.7,0.29
2020-01-01 20:30:00-08:00,21,78.18796089312,7.8,94.7,0.3
2020-01-01 21:30:00-08:00,22,50.704046125779996,7.2,94.7,0.27
2020-01-01 22:30:00-08:00,23,71.63165515764,7.2,94.8,0.3
2020-01-01 23:30:00-08:00,24,59.57851213424,6.1,94.8,0.32
2020-01-02 00:30:00-08:00,25,58.733485635899996,6.7,94.9,0.29
2020-01-02 01:30:00-08:00,26,39.185914147140004,5.6,94.9,0.35
2020-01-02 02:30:00-08:00,27,45.99550998158,5.0,94.9,0.31
2020-01-02 03:30:00-08:00,28,35.842735428295995,3.9,94.9,0.37
2020-01-02 04:30:00-08:00,29,50.62274294078,7.2,95.0,0.28
2020-01-02 05:30:00-08:00,30,61.459262672600005,9.4,95.2,0.27
2020-01-02 06:30:00-08:00,31,61.627787551720004,6.1,95.2,0.3
2020-01-02 07:30:00-08:00,32,63.83559214706,8.9,95.4,0.25
2020-01-02 08:30:00-08:00,33,72.98710104672,12.2,95.5,0.19
2020-01-02 09:30:00-08:00,34,86.19675829479999,13.3,95.4,0.18
2020-01-02 10:30:00-08:00,35,99.81224801735999,15.6,95.6,0.16
2020-01-02 11:30:00-08:00,36,117.69481180593999,16.1,95.6,0.13
2020-01-02 12:30:00-08:00,37,130.79098902892,16.7,95.5,0.13
2020-01-02 13:30:00-08:00,38,143.05886747021998,17.2,95.5,0.13
2020-01-02 14:30:00-08:00,39,158.28005466738,17.8,95.5,0.12
2020-01-02 15:30:00-08:00,40,150.88153939408,17.2,95.2,0.12
2020-01-02 16:30:00-08:00,41,128.09685941214,16.1,95.4,0.13
2020-01-02 17:30:00-08:00,42,102.37371376086,13.9,95.4,0.15
2020-01-02 18:30:00-08:00,43,75.4393209136,14.4,95.5,0.15
2020-01-02 19:30:00-08:00,44,68.8427324976,12.8,95.5,0.16
2020-01-02 20:30:00-08:00,45,67.75563671244,10.0,95.5,0.19
2020-01-02 21:30:00-08:00,46,51.78082255836,12.2,95.4,0.15
2020-01-02 22:30:00-08:00,47,42.91688534252,12.8,95.6,0.15
2020-01-02 23:30:00-08:00,48,53.286525437979996,12.8,95.6,0.15
2020-01-03 00:30:00-08:00,49,39.44465711196,5.6,95.4,0.29
2020-01-03 01:30:00-08:00,50,49.43672676782,4.4,95.4,0.27
2020-01-03 02:30:00-08:00,51,39.30000694124,3.9,95.4,0.28
2020-01-03 03:30:00-08:00,52,46.041084463439994,3.3,95.4,0.29
2020-01-03 04:30:00-08:00,53,49.47517605816,3.3,95.4,0.29
2020-01-03 05:30:00-08:00,54,59.55380574872,2.8,95.5,0.27
2020-01-03 06:30:00-08:00,55,60.78645122008,2.8,95.5,0.27
2020-01-03 07:30:00-08:00,56,64.84662057988,3.9,95.6,0.28
2020-01-03 08:30:00-08:00,57,75.7992286815,7.8,95.7,0.23
2020-01-03 09:30:00-08:00,58,86.39652072431998,11.7,95.6,0.16
2020-01-03 10:30:00-08:00,59,95.45794226246001,13.3,95.7,0.13
2020-01-03 11:30:00-08:00,60,115.28058992657999,15.0,95.6,0.13
2020-01-03 12:30:00-08:00,61,133.9794568001,15.6,95.5,0.12
2020-01-03 13:30:00-08:00,62,145.19606022274,16.7,95.5,0.11
2020-01-03 14:30:00-08:00,63,157.82260152039999,17.8,95.4,0.12
2020-01-03 15:30:00-08:00,64,164.07933261693998,16.1,95.1,0.11
2020-01-03 16:30:00-08:00,65,149.07701299948,14.4,95.3,0.12
2020-01-03 17:30:00-08:00,66,126.95597604171999,11.7,95.3,0.14
2020-01-03 18:30:00-08:00,67,81.30476734697999,8.9,95.3,0.17
2020-01-03 19:30:00-08:00,68,70.73521804586,8.3,95.2,0.17
2020-01-03 20:30:00-08:00,69,68.60787443163998,8.3,95.2,0.17
2020-01-03 21:30:00-08:00,70,51.803936338039996,6.7,95.0,0.16
2020-01-03 22:30:00-08:00,71,41.57313553842,6.7,95.1,0.17
2020-01-03 23:30:00-08:00,72,51.13607990084,6.1,95.0,0.19
2020-01-04 00:30:00-08:00,73,39.668399045899996,4.4,95.0,0.2
2020-01-04 01:30:00-08:00,74,48.252117556259996,5.6,95.0,0.19
2020-01-04 02:30:00-08:00,75,36.692145914702,5.0,94.9,0.19
2020-01-04 03:30:00-08:00,76,46.485184415359996,3.3,94.9,0.21
2020-01-04 04:30:00-08:00,77,52.09548652154,2.8,94.9,0.26
2020-01-04 05:30:00-08:00,78,62.44627723493999,2.2,94.9,0.24
2020-01-04 06:30:00-08:00,79,63.34707433599999,2.8,94.9,0.23
2020-01-04 07:30:00-08:00,80,67.8968992869,4.4,95.0,0.22
2020-01-04 08:30:00-08:00,81,77.44395028992,8.9,95.1,0.18
2020-01-04 09:30:00-08:00,82,85.26203254717998,11.1,95.0,0.15
2020-01-04 10:30:00-08:00,83,94.33369402246,12.8,95.1,0.12
2020-01-04 11:30:00-08:00,84,111.04775266697999,15.0,95.1,0.11
2020-01-04 12:30:00-08:00,85,121.94127771462,16.1,95.0,0.11
2020-01-04 13:30:00-08:00,86,133.342379943,16.7,94.9,0.1
2020-01-04 14:30:00-08:00,87,139.51275882608,17.8,94.9,0.1
2020-01-04 15:30:00-08:00,88,138.84302246694,17.8,94.5,0.11
2020-01-04 16:30:00-08:00,89,126.44553048874,16.1,94.8,0.12
2020-01-04 17:30:00-08:00,90,114.96403081828,14.4,94.8,0.12
2020-01-04 18:30:00-08:00,91,84.72287287332,9.4,94.7,0.14
2020-01-04 19:30:00-08:00,92,78.11017102395999,8.9,94.7,0.15
2020-01-04 20:30:00-08:00,93,72.93839542604,8.3,94.7,0.15
2020-01-04 21:30:00-08:00,94,54.09639295806,6.7,94.6,0.15
2020-01-04 22:30:00-08:00,95,49.17647847024,5.6,94.6,0.2
2020-01-04 23:30:00-08:00,96,61.742115987999995,5.6,94.6,0.19
2020-01-05 00:30:00-08:00,97,46.92030115436,5.0,94.6,0.2
2020-01-05 01:30:00-08:00,98,58.551906356479996,4.4,94.5,0.21
2020-01-05 02:30:00-08:00,99,45.54594702958,3.9,94.5,0.22
2020-01-05 03:30:00-08:00,100,56.90207409576,4.4,94.5,0.23
2020-01-05 04:30:00-08:00,101,64.79545641354,3.3,94.5,0.21
2020-01-05 05:30:00-08:00,102,75.34074089712,3.3,94.5,0.23
2020-01-05 06:30:00-08:00,103,76.33660064422,3.3,94.6,0.25
2020-01-05 07:30:00-08:00,104,76.36125850981999,5.6,94.6,0.25
2020-01-05 08:30:00-08:00,105,80.5568131851,8.9,94.7,0.2
2020-01-05 09:30:00-08:00,106,92.02183657501999,10.6,94.6,0.18
2020-01-05 10:30:00-08:00,107,107.92025530984,12.8,94.8,0.14
2020-01-05 11:30:00-08:00,108,120.54673083253999,14.4,94.7,0.13
2020-01-05 12:30:00-08:00,109,134.4092433437,15.0,94.6,0.11
2020-01-05 13:30:00-08:00,110,149.1055910188,16.1,94.5,0.11
2020-01-05 14:30:00-08:00,111,155.72271676812,16.1,94.5,0.12
2020-01-05 15:30:00-08:00,112,160.37158181708,16.1,94.2,0.12
2020-01-05 16:30:00-08:00,113,148.9974635464,14.4,94.4,0.14
2020-01-05 17:30:00-08:00,114,119.83485063229999,13.9,94.4,0.16
2020-01-05 18:30:00-08:00,115,78.19570252976,11.1,94.4,0.2
2020-01-05 19:30:00-08:00,116,68.84356900338,11.1,94.4,0.21
2020-01-05 20:30:00-08:00,117,67.74292737684,8.9,94.3,0.21
2020-01-05 21:30:00-08:00,118,50.98809173564,8.9,94.2,0.21
2020-01-05 22:30:00-08:00,119,42.732004276539996,10.0,94.3,0.22
2020-01-05 23:30:00-08:00,120,51.78210044744,8.9,94.2,0.28
2020-01-06 00:30:00-08:00,121,39.487995047199995,8.3,94.2,0.28
2020-01-06 01:30:00-08:00,122,49.23604656838,8.3,94.1,0.28
2020-01-06 02:30:00-08:00,123,37.45129488707,7.8,94.1,0.25
2020-01-06 03:30:00-08:00,124,45.769046059,7.8,94.0,0.25
2020-01-06 04:30:00-08:00,125,51.37434942554,7.2,94.1,0.23
2020-01-06 05:30:00-08:00,126,49.316363770799995,7.2,94.1,0.27
2020-01-06 06:30:00-08:00,127,48.547399478079996,7.2,94.1,0.28
2020-01-06 07:30:00-08:00,128,64.87820549094,7.2,94.2,0.27
2020-01-06 08:30:00-08:00,129,73.27474829734,9.4,94.2,0.26
2020-01-06 09:30:00-08:00,130,83.97303347254,12.8,94.1,0.18
2020-01-06 10:30:00-08:00,131,92.7830652845,13.9,94.3,0.19
2020-01-06 11:30:00-08:00,132,106.8112631225,15.0,94.2,0.14
