datetime,hour,CoolingDemand_kW,DryBulb_C,Pressure_kPa,RHum
2020-01-01 00:30:00-08:00,1,9.529462138834,5.6,94.4,0.35
2020-01-01 01:30:00-08:00,2,8.523908844358001,6.7,94.4,0.35
2020-01-01 02:30:00-08:00,3,6.955950909512,6.1,94.4,0.37
2020-01-01 03:30:00-08:00,4,6.081721180625999,6.1,94.4,0.37
2020-01-01 04:30:00-08:00,5,5.370750459276,5.6,94.4,0.38
2020-01-01 05:30:00-08:00,6,4.809102163913999,5.6,94.5,0.38
2020-01-01 06:30:00-08:00,7,6.689933258816,5.0,94.5,0.38
2020-01-01 07:30:00-08:00,8,12.778417548684,4.4,94.6,0.4
2020-01-01 08:30:00-08:00,9,24.252956966053997,7.2,94.7,0.34
2020-01-01 09:30:00-08:00,10,24.882384832414,10.6,94.8,0.26
2020-01-01 10:30:00-08:00,11,21.432502791565998,12.2,94.8,0.23
2020-01-01 11:30:00-08:00,12,23.916739601842,13.9,94.7,0.21
2020-01-01 12:30:00-08:00,13,26.462493656114,15.0,94.7,0.19
2020-01-01 13:30:00-08:00,14,28.735073881146,16.1,94.6,0.19
2020-01-01 14:30:00-08:00,15,31.588813167025997,16.7,94.6,0.18
2020-01-01 15:30:00-08:00,16,30.320544494054,16.1,94.4,0.18
2020-01-01 16:30:00-08:00,17,25.190387871734,15.0,94.6,0.2
2020-01-01 17:30:00-08:00,18,24.782976375767998,11.7,94.6,0.24
2020-01-01 18:30:00-08:00,19,26.521332450654,9.4,94.6,0.29
2020-01-01 19:30:00-08:00,20,28.360055897974,9.4,94.7,0.29
2020-01-01 20:30:00-08:00,21,31.034057974118003,7.8,94.7,0.3
2020-01-01 21:30:00-08:00,22,29.710121025434,7.2,94.7,0.27
2020-01-01 22:30:00-08:00,23,20.71919199765,7.2,94.8,0.3
2020-01-01 23:30:00-08:00,24,12.361784291986,6.1,94.8,0.32
2020-01-02 00:30:00-08:00,25,9.514571249264,6.7,94.9,0.29
2020-01-02 01:30:00-08:00,26,7.881352828248,5.6,94.9,0.35
2020-01-02 02:30:00-08:00,27,6.388201086465999,5.0,94.9,0.31
2020-01-02 03:30:00-08:00,28,5.313594098966,3.9,94.9,0.37
2020-01-02 04:30:00-08:00,29,5.0911723519439995,7.2,95.0,0.28
2020-01-02 05:30:00-08:00,30,5.934403809704,9.4,95.2,0.27
2020-01-02 06:30:00-08:00,31,12.658259505423999,6.1,95.2,0.3
2020-01-02 07:30:00-08:00,32,20.555012904702,8.9,95.4,0.25
2020-01-02 08:30:00-08:00,33,17.181580789402,12.2,95.5,0.19
2020-01-02 09:30:00-08:00,34,20.914111128353998,13.3,95.4,0.18
2020-01-02 10:30:00-08:00,35,19.765461364598,15.6,95.6,0.16
2020-01-02 11:30:00-08:00,36,23.170882501843998,16.1,95.6,0.13
2020-01-02 12:30:00-08:00,37,27.67151714651,16.7,95.5,0.13
2020-01-02 13:30:00-08:00,38,29.088532402096,17.2,95.5,0.13
2020-01-02 14:30:00-08:00,39,32.240475981517996,17.8,95.5,0.12
2020-01-02 15:30:00-08:00,40,31.181053497162,17.2,95.2,0.12
2020-01-02 16:30:00-08:00,41,24.64648075288,16.1,95.4,0.13
2020-01-02 17:30:00-08:00,42,25.838587598671996,13.9,95.4,0.15
2020-01-02 18:30:00-08:00,43,27.15613152627,14.4,95.5,0.15
2020-01-02 19:30:00-08:00,44,28.963246932234,12.8,95.5,0.16
2020-01-02 20:30:00-08:00,45,31.45025013263,10.0,95.5,0.19
2020-01-02 21:30:00-08:00,46,32.384020273008,12.2,95.4,0.15
2020-01-02 22:30:00-08:00,47,23.949689251779997,12.8,95.6,0.15
2020-01-02 23:30:00-08:00,48,15.8033405521,12.8,95.6,0.15
2020-01-03 00:30:00-08:00,49,10.445444623878,5.6,95.4,0.29
2020-01-03 01:30:00-08:00,50,7.605842417768,4.4,95.4,0.27
2020-01-03 02:30:00-08:00,51,6.107986434028,3.9,95.4,0.28
2020-01-03 03:30:00-08:00,52,5.040343285753999,3.3,95.4,0.29
2020-01-03 04:30:00-08:00,53,4.311744750028,3.3,95.4,0.29
2020-01-03 05:30:00-08:00,54,4.358846591082,2.8,95.5,0.27
2020-01-03 06:30:00-08:00,55,10.853421791302,2.8,95.5,0.27
2020-01-03 07:30:00-08:00,56,17.597966326037998,3.9,95.6,0.28
2020-01-03 08:30:00-08:00,57,14.166968667378,7.8,95.7,0.23
2020-01-03 09:30:00-08:00,58,18.374764777152,11.7,95.6,0.16
2020-01-03 10:30:00-08:00,59,18.242244491508,13.3,95.7,0.13
2020-01-03 11:30:00-08:00,60,20.988652715562,15.0,95.6,0.13
2020-01-03 12:30:00-08:00,61,24.728797320018,15.6,95.5,0.12
2020-01-03 13:30:00-08:00,62,27.953810148489996,16.7,95.5,0.11
2020-01-03 14:30:00-08:00,63,32.12662586336,17.8,95.4,0.12
2020-01-03 15:30:00-08:00,64,30.136657777494,16.1,95.1,0.11
2020-01-03 16:30:00-08:00,65,24.220878728543997,14.4,95.3,0.12
2020-01-03 17:30:00-08:00,66,25.042820140965997,11.7,95.3,0.14
2020-01-03 18:30:00-08:00,67,24.362639176267997,8.9,95.3,0.17
2020-01-03 19:30:00-08:00,68,25.092978941115998,8.3,95.2,0.17
2020-01-03 20:30:00-08:00,69,28.556924385661997,8.3,95.2,0.17
2020-01-03 21:30:00-08:00,70,28.213885306898,6.7,95.0,0.16
2020-01-03 22:30:00-08:00,71,18.594989084418,6.7,95.1,0.17
2020-01-03 23:30:00-08:00,72,10.957360267126,6.1,95.0,0.19
2020-01-04 00:30:00-08:00,73,7.9844741144519995,4.4,95.0,0.2
2020-01-04 01:30:00-08:00,74,6.7230900361899995,5.6,95.0,0.19
2020-01-04 02:30:00-08:00,75,5.663568699546,5.0,94.9,0.19
2020-01-04 03:30:00-08:00,76,4.603278932184,3.3,94.9,0.21
2020-01-04 04:30:00-08:00,77,3.807278515706,2.8,94.9,0.26
2020-01-04 05:30:00-08:00,78,3.8160436547959997,2.2,94.9,0.24
2020-01-04 06:30:00-08:00,79,10.279980180739999,2.8,94.9,0.23
2020-01-04 07:30:00-08:00,80,16.773650425133997,4.4,95.0,0.22
2020-01-04 08:30:00-08:00,81,13.527088470553998,8.9,95.1,0.18
2020-01-04 09:30:00-08:00,82,17.107223204957997,11.1,95.0,0.15
2020-01-04 10:30:00-08:00,83,16.543482345584,12.8,95.1,0.12
2020-01-04 11:30:00-08:00,84,20.093153497514,15.0,95.1,0.11
2020-01-04 12:30:00-08:00,85,24.201450821602,16.1,95.0,0.11
2020-01-04 13:30:00-08:00,86,27.100975269664,16.7,94.9,0.1
2020-01-04 14:30:00-08:00,87,31.091511906538,17.8,94.9,0.1
2020-01-04 15:30:00-08:00,88,32.572733651869996,17.8,94.5,0.11
2020-01-04 16:30:00-08:00,89,25.514819610084,16.1,94.8,0.12
2020-01-04 17:30:00-08:00,90,26.551575124004,14.4,94.8,0.12
2020-01-04 18:30:00-08:00,91,25.036766533334,9.4,94.7,0.14
2020-01-04 19:30:00-08:00,92,25.271700662336,8.9,94.7,0.15
2020-01-04 20:30:00-08:00,93,28.522657949768,8.3,94.7,0.15
2020-01-04 21:30:00-08:00,94,27.92071636668,6.7,94.6,0.15
2020-01-04 22:30:00-08:00,95,17.836405333625997,5.6,94.6,0.2
2020-01-04 23:30:00-08:00,96,10.401601971992,5.6,94.6,0.19
2020-01-05 00:30:00-08:00,97,7.895890105816,5.0,94.6,0.2
2020-01-05 01:30:00-08:00,98,6.447965956016,4.4,94.5,0.21
2020-01-05 02:30:00-08:00,99,5.198134754832,3.9,94.5,0.22
2020-01-05 03:30:00-08:00,100,4.5064939959179995,4.4,94.5,0.23
2020-01-05 04:30:00-08:00,101,3.8283523069200003,3.3,94.5,0.21
2020-01-05 05:30:00-08:00,102,3.8654479555220003,3.3,94.5,0.23
2020-01-05 06:30:00-08:00,103,10.351856751568,3.3,94.6,0.25
2020-01-05 07:30:00-08:00,104,16.96068643186,5.6,94.6,0.25
2020-01-05 08:30:00-08:00,105,13.268565921808,8.9,94.7,0.2
2020-01-05 09:30:00-08:00,106,14.6671380821,10.6,94.6,0.18
2020-01-05 10:30:00-08:00,107,15.412179533188,12.8,94.8,0.14
2020-01-05 11:30:00-08:00,108,17.533172697494,14.4,94.7,0.13
2020-01-05 12:30:00-08:00,109,16.766277548359998,15.0,94.6,0.11
2020-01-05 13:30:00-08:00,110,21.387850790904,16.1,94.5,0.11
2020-01-05 14:30:00-08:00,111,22.66565032056,16.1,94.5,0.12
2020-01-05 15:30:00-08:00,112,20.803884699277997,16.1,94.2,0.12
2020-01-05 16:30:00-08:00,113,18.223069947248,14.4,94.4,0.14
2020-01-05 17:30:00-08:00,114,21.478083008158,13.9,94.4,0.16
2020-01-05 18:30:00-08:00,115,22.429120023369997,11.1,94.4,0.2
2020-01-05 19:30:00-08:00,116,24.270613692958,11.1,94.4,0.21
2020-01-05 20:30:00-08:00,117,27.691939495173997,8.9,94.3,0.21
2020-01-05 21:30:00-08:00,118,27.948644501754,8.9,94.2,0.21
2020-01-05 22:30:00-08:00,119,19.492459766634,10.0,94.3,0.22
2020-01-05 23:30:00-08:00,120,11.909314863777999,8.9,94.2,0.28
2020-01-06 00:30:00-08:00,121,8.906102016448001,8.3,94.2,0.28
2020-01-06 01:30:00-08:00,122,7.585018380452,8.3,94.1,0.28
