datetime,hour,CoolingDemand_kW,DryBulb_C,Pressure_kPa,RHum
2020-01-01 00:30:00-08:00,1,1900.766391106,12.2,100.8,0.93
2020-01-01 01:30:00-08:00,2,1902.0364584446,12.2,100.9,0.86
2020-01-01 02:30:00-08:00,3,1892.3181269518,11.7,100.8,0.86
2020-01-01 03:30:00-08:00,4,1882.2750016119999,11.1,100.8,0.9
2020-01-01 04:30:00-08:00,5,1874.1818699499997,11.1,100.8,0.86
2020-01-01 05:30:00-08:00,6,1868.6121612985999,10.6,100.9,0.93
2020-01-01 06:30:00-08:00,7,1865.9590011504,10.0,101.0,0.96
2020-01-01 07:30:00-08:00,8,1863.7746949126,10.6,101.0,0.93
2020-01-01 08:30:00-08:00,9,1875.42879834,12.8,101.1,0.83
2020-01-01 09:30:00-08:00,10,1895.9352258039999,13.3,101.1,0.83
2020-01-01 10:30:00-08:00,11,1908.1031649919998,13.9,101.0,0.78
2020-01-01 11:30:00-08:00,12,1913.0283993015998,14.4,100.9,0.78
2020-01-01 12:30:00-08:00,13,1878.3764312612,15.6,100.9,0.72
2020-01-01 13:30:00-08:00,14,1813.4199971664,15.6,100.9,0.78
2020-01-01 14:30:00-08:00,15,1754.322213919,16.7,101.0,0.75
2020-01-01 15:30:00-08:00,16,1737.9234052444,16.7,101.0,0.75
2020-01-01 16:30:00-08:00,17,1806.2235385273998,15.0,101.0,0.81
2020-01-01 17:30:00-08:00,18,1867.0392499427999,15.0,101.1,0.78
2020-01-01 18:30:00-08:00,19,1864.3178779895998,14.4,101.1,0.84
2020-01-01 19:30:00-08:00,20,1863.9035863032,14.4,101.1,0.84
2020-01-01 20:30:00-08:00,21,1911.6341526597998,13.9,101.2,0.83
2020-01-01 21:30:00-08:00,22,1925.5486437552,12.8,101.2,0.86
2020-01-01 22:30:00-08:00,23,1912.6799821846,12.8,101.3,0.86
2020-01-01 23:30:00-08:00,24,1904.8843306991998,12.2,101.3,0.86
2020-01-02 00:30:00-08:00,25,1898.9151645962,12.2,101.3,0.9
2020-01-02 01:30:00-08:00,26,1899.5837302578,11.7,101.3,0.93
2020-01-02 02:30:00-08:00,27,1893.5852023756,11.1,101.3,0.93
2020-01-02 03:30:00-08:00,28,1891.0167740992,11.7,101.3,0.96
2020-01-02 04:30:00-08:00,29,1897.7454017687999,11.7,101.3,0.93
2020-01-02 05:30:00-08:00,30,1897.15789716,11.7,101.3,0.93
2020-01-02 06:30:00-08:00,31,1896.9673190393999,11.1,101.3,1.0
2020-01-02 07:30:00-08:00,32,1894.748064289,11.1,101.4,0.96
2020-01-02 08:30:00-08:00,33,1894.3337052856,11.7,101.5,0.96
2020-01-02 09:30:00-08:00,34,1902.2178585391998,12.2,101.5,0.93
2020-01-02 10:30:00-08:00,35,1911.4294157581999,12.8,101.4,0.93
2020-01-02 11:30:00-08:00,36,1879.2694595445998,12.8,101.3,1.0
2020-01-02 12:30:00-08:00,37,1861.638108995,12.8,101.3,1.0
2020-01-02 13:30:00-08:00,38,1865.3425853778,12.8,101.3,1.0
2020-01-02 14:30:00-08:00,39,1865.596170622,12.8,101.3,1.0
2020-01-02 15:30:00-08:00,40,1864.327935404,12.8,101.2,1.0
2020-01-02 16:30:00-08:00,41,1862.7700014898,12.8,101.1,1.0
2020-01-02 17:30:00-08:00,42,1862.3511325703998,12.8,101.1,1.0
2020-01-02 18:30:00-08:00,43,1865.8924456666,12.8,101.1,1.0
2020-01-02 19:30:00-08:00,44,1867.002462006,12.8,101.1,1.0
2020-01-02 20:30:00-08:00,45,1865.7286103082,12.8,101.0,1.0
2020-01-02 21:30:00-08:00,46,1865.7717406882,12.8,101.0,1.0
2020-01-02 22:30:00-08:00,47,1865.7640514642,12.8,100.9,1.0
2020-01-02 23:30:00-08:00,48,1864.1386157826,12.8,100.7,1.0
2020-01-03 00:30:00-08:00,49,1782.3664563779998,13.9,100.6,1.0
2020-01-03 01:30:00-08:00,50,1772.9618883163998,13.9,100.7,0.96
2020-01-03 02:30:00-08:00,51,1879.7289139992,13.3,100.7,0.9
2020-01-03 03:30:00-08:00,52,1924.8919322848,12.8,100.7,0.75
2020-01-03 04:30:00-08:00,53,1879.5556542646,11.7,100.7,0.64
2020-01-03 05:30:00-08:00,54,1836.8369228002,11.7,100.8,0.57
2020-01-03 06:30:00-08:00,55,1809.8342821456,11.7,100.9,0.51
2020-01-03 07:30:00-08:00,56,1795.0701898584,11.7,101.0,0.53
2020-01-03 08:30:00-08:00,57,1796.0149767676,12.8,101.1,0.49
2020-01-03 09:30:00-08:00,58,1807.9414899399999,14.4,101.2,0.44
2020-01-03 10:30:00-08:00,59,1826.6926156431998,14.4,101.2,0.51
2020-01-03 11:30:00-08:00,60,1843.6226425818,15.0,101.1,0.48
2020-01-03 12:30:00-08:00,61,1855.8485959061998,15.0,101.0,0.54
2020-01-03 13:30:00-08:00,62,1870.6463506986,15.0,101.0,0.58
