datetime,hour,CoolingDemand_kW,DryBulb_C,Pressure_kPa,RHum
2020-01-01 00:30:00-08:00,1,211.79736813154,12.2,100.8,0.93
2020-01-01 01:30:00-08:00,2,216.06164332618,12.2,100.9,0.86
2020-01-01 02:30:00-08:00,3,210.01993973339998,11.7,100.8,0.86
2020-01-01 03:30:00-08:00,4,205.9027709189,11.1,100.8,0.9
2020-01-01 04:30:00-08:00,5,211.71353492402,11.1,100.8,0.86
2020-01-01 05:30:00-08:00,6,218.70670393017997,10.6,100.9,0.93
2020-01-01 06:30:00-08:00,7,257.82591006988,10.0,101.0,0.96
2020-01-01 07:30:00-08:00,8,371.77427305585996,10.6,101.0,0.93
2020-01-01 08:30:00-08:00,9,444.49760194339996,12.8,101.1,0.83
2020-01-01 09:30:00-08:00,10,443.40448820539996,13.3,101.1,0.83
2020-01-01 10:30:00-08:00,11,451.92359451699997,13.9,101.0,0.78
2020-01-01 11:30:00-08:00,12,455.598727049,14.4,100.9,0.78
2020-01-01 12:30:00-08:00,13,456.78828541779995,15.6,100.9,0.72
2020-01-01 13:30:00-08:00,14,457.8159931264,15.6,100.9,0.78
2020-01-01 14:30:00-08:00,15,453.80806520519997,16.7,101.0,0.75
2020-01-01 15:30:00-08:00,16,457.2980457392,16.7,101.0,0.75
2020-01-01 16:30:00-08:00,17,463.0165166842,15.0,101.0,0.81
2020-01-01 17:30:00-08:00,18,466.00750764339995,15.0,101.1,0.78
2020-01-01 18:30:00-08:00,19,464.0077584452,14.4,101.1,0.84
2020-01-01 19:30:00-08:00,20,458.81864268879997,14.4,101.1,0.84
2020-01-01 20:30:00-08:00,21,455.45224279459995,13.9,101.2,0.83
2020-01-01 21:30:00-08:00,22,454.583264487,12.8,101.2,0.86
2020-01-01 22:30:00-08:00,23,450.262241566,12.8,101.3,0.86
2020-01-01 23:30:00-08:00,24,327.74255854474,12.2,101.3,0.86
2020-01-02 00:30:00-08:00,25,211.83939378884,12.2,101.3,0.9
2020-01-02 01:30:00-08:00,26,211.59247211064,11.7,101.3,0.93
2020-01-02 02:30:00-08:00,27,207.11399949335998,11.1,101.3,0.93
2020-01-02 03:30:00-08:00,28,207.73899186671997,11.7,101.3,0.96
2020-01-02 04:30:00-08:00,29,216.58058481275998,11.7,101.3,0.93
2020-01-02 05:30:00-08:00,30,253.16966288821996,11.7,101.3,0.93
2020-01-02 06:30:00-08:00,31,378.95364198716,11.1,101.3,1.0
2020-01-02 07:30:00-08:00,32,447.9123110362,11.1,101.4,0.96
2020-01-02 08:30:00-08:00,33,389.41852783279995,11.7,101.5,0.96
2020-01-02 09:30:00-08:00,34,372.79338489086,12.2,101.5,0.93
2020-01-02 10:30:00-08:00,35,422.87540002659995,12.8,101.4,0.93
2020-01-02 11:30:00-08:00,36,363.60568837688,12.8,101.3,1.0
2020-01-02 12:30:00-08:00,37,339.3461597563,12.8,101.3,1.0
2020-01-02 13:30:00-08:00,38,288.20783700046,12.8,101.3,1.0
2020-01-02 14:30:00-08:00,39,273.91925183504,12.8,101.3,1.0
2020-01-02 15:30:00-08:00,40,264.80970815368,12.8,101.2,1.0
2020-01-02 16:30:00-08:00,41,258.69052992758,12.8,101.1,1.0
2020-01-02 17:30:00-08:00,42,288.96227205436,12.8,101.1,1.0
2020-01-02 18:30:00-08:00,43,360.59521633996,12.8,101.1,1.0
2020-01-02 19:30:00-08:00,44,390.4635864098,12.8,101.1,1.0
2020-01-02 20:30:00-08:00,45,423.30055122,12.8,101.0,1.0
2020-01-02 21:30:00-08:00,46,454.08921997,12.8,101.0,1.0
2020-01-02 22:30:00-08:00,47,421.0692090116,12.8,100.9,1.0
2020-01-02 23:30:00-08:00,48,328.49474952232,12.8,100.7,1.0
2020-01-03 00:30:00-08:00,49,123.85806302559999,13.9,100.6,1.0
2020-01-03 01:30:00-08:00,50,152.47876651136,13.9,100.7,0.96
2020-01-03 02:30:00-08:00,51,165.609952852,13.3,100.7,0.9
2020-01-03 03:30:00-08:00,52,279.02336316958,12.8,100.7,0.75
2020-01-03 04:30:00-08:00,53,149.57963606549998,11.7,100.7,0.64
2020-01-03 05:30:00-08:00,54,191.12110327906,11.7,100.8,0.57
2020-01-03 06:30:00-08:00,55,322.89086969581996,11.7,100.9,0.51
2020-01-03 07:30:00-08:00,56,443.0260399468,11.7,101.0,0.53
2020-01-03 08:30:00-08:00,57,449.7553197914,12.8,101.1,0.49
2020-01-03 09:30:00-08:00,58,442.4061121648,14.4,101.2,0.44
2020-01-03 10:30:00-08:00,59,449.7575520748,14.4,101.2,0.51
2020-01-03 11:30:00-08:00,60,449.1473869754,15.0,101.1,0.48
2020-01-03 12:30:00-08:00,61,449.59481953339997,15.0,101.0,0.54
2020-01-03 13:30:00-08:00,62,445.1787155584,15.0,101.0,0.58
2020-01-03 14:30:00-08:00,63,449.39806986699995,15.0,101.0,0.6
2020-01-03 15:30:00-08:00,64,450.09122306,16.1,101.0,0.58
2020-01-03 16:30:00-08:00,65,457.5506581948,15.6,101.1,0.62
2020-01-03 17:30:00-08:00,66,460.0942330766,15.6,101.2,0.6
2020-01-03 18:30:00-08:00,67,457.4245022874,15.0,101.2,0.67
2020-01-03 19:30:00-08:00,68,445.91649889639996,13.9,101.3,0.47
2020-01-03 20:30:00-08:00,69,458.2396553316,13.3,101.3,0.49
2020-01-03 21:30:00-08:00,70,454.04627093359994,12.8,101.3,0.51
