datetime,hour,CoolingDemand_kW,DryBulb_C,Pressure_kPa,RHum
2020-01-01 00:30:00-08:00,1,1.1717464381045999,12.2,100.8,0.93
2020-01-01 01:30:00-08:00,2,0.8844393369301999,12.2,100.9,0.86
2020-01-01 02:30:00-08:00,3,0.6605069927573999,11.7,100.8,0.86
2020-01-01 03:30:00-08:00,4,0.468285999526,11.1,100.8,0.9
2020-01-01 04:30:00-08:00,5,0.3993009107558,11.1,100.8,0.86
2020-01-01 05:30:00-08:00,6,0.521869416847,10.6,100.9,0.93
2020-01-01 06:30:00-08:00,7,0.8107890782884,10.0,101.0,0.96
2020-01-01 07:30:00-08:00,8,1.0383839324989999,10.6,101.0,0.93
2020-01-01 08:30:00-08:00,9,1.1254631419899999,12.8,101.1,0.83
2020-01-01 09:30:00-08:00,10,2.0820050414937996,13.3,101.1,0.83
2020-01-01 10:30:00-08:00,11,3.5600473062981997,13.9,101.0,0.78
2020-01-01 11:30:00-08:00,12,4.415820270989999,14.4,100.9,0.78
2020-01-01 12:30:00-08:00,13,5.186074180084,15.6,100.9,0.72
2020-01-01 13:30:00-08:00,14,6.271453034765999,15.6,100.9,0.78
2020-01-01 14:30:00-08:00,15,7.188240797303999,16.7,101.0,0.75
2020-01-01 15:30:00-08:00,16,6.607257223914,16.7,101.0,0.75
2020-01-01 16:30:00-08:00,17,6.120601704352,15.0,101.0,0.81
2020-01-01 17:30:00-08:00,18,6.291008105667999,15.0,101.1,0.78
2020-01-01 18:30:00-08:00,19,6.633036020961999,14.4,101.1,0.84
2020-01-01 19:30:00-08:00,20,6.133735916356,14.4,101.1,0.84
2020-01-01 20:30:00-08:00,21,5.571353300329999,13.9,101.2,0.83
2020-01-01 21:30:00-08:00,22,4.564470200224,12.8,101.2,0.86
2020-01-01 22:30:00-08:00,23,3.1792556409134,12.8,101.3,0.86
2020-01-01 23:30:00-08:00,24,2.04414780084,12.2,101.3,0.86
2020-01-02 00:30:00-08:00,25,1.2068816164402,12.2,101.3,0.9
2020-01-02 01:30:00-08:00,26,0.8708723234131999,11.7,101.3,0.93
2020-01-02 02:30:00-08:00,27,0.6144727927456001,11.1,101.3,0.93
2020-01-02 03:30:00-08:00,28,0.5272345695527999,11.7,101.3,0.96
2020-01-02 04:30:00-08:00,29,0.5490855040107999,11.7,101.3,0.93
2020-01-02 05:30:00-08:00,30,0.7548205747946,11.7,101.3,0.93
2020-01-02 06:30:00-08:00,31,1.1176877688322,11.1,101.3,1.0
2020-01-02 07:30:00-08:00,32,1.2353756133294,11.1,101.4,0.96
2020-01-02 08:30:00-08:00,33,0.9902689055846,11.7,101.5,0.96
2020-01-02 09:30:00-08:00,34,0.9899871483107999,12.2,101.5,0.93
2020-01-02 10:30:00-08:00,35,1.3456950518628,12.8,101.4,0.93
2020-01-02 11:30:00-08:00,36,1.6918569351386,12.8,101.3,1.0
2020-01-02 12:30:00-08:00,37,1.7755830446441998,12.8,101.3,1.0
2020-01-02 13:30:00-08:00,38,1.6034684880838,12.8,101.3,1.0
2020-01-02 14:30:00-08:00,39,1.671704501075,12.8,101.3,1.0
2020-01-02 15:30:00-08:00,40,1.5151192046345998,12.8,101.2,1.0
2020-01-02 16:30:00-08:00,41,1.947510068518,12.8,101.1,1.0
2020-01-02 17:30:00-08:00,42,2.9138797623374,12.8,101.1,1.0
2020-01-02 18:30:00-08:00,43,3.8856409243299996,12.8,101.1,1.0
2020-01-02 19:30:00-08:00,44,3.7816555061331996,12.8,101.1,1.0
2020-01-02 20:30:00-08:00,45,3.654371507728,12.8,101.0,1.0
2020-01-02 21:30:00-08:00,46,3.2664433417344,12.8,101.0,1.0
2020-01-02 22:30:00-08:00,47,2.2130542073092,12.8,100.9,1.0
2020-01-02 23:30:00-08:00,48,1.4225909923522,12.8,100.7,1.0
2020-01-03 00:30:00-08:00,49,1.0548717235392,13.9,100.6,1.0
2020-01-03 01:30:00-08:00,50,0.9343394358846,13.9,100.7,0.96
2020-01-03 02:30:00-08:00,51,0.742645903063,13.3,100.7,0.9
2020-01-03 03:30:00-08:00,52,0.5502489120754,12.8,100.7,0.75
2020-01-03 04:30:00-08:00,53,0.37356974047314,11.7,100.7,0.64
2020-01-03 05:30:00-08:00,54,0.44944081364259997,11.7,100.8,0.57
2020-01-03 06:30:00-08:00,55,0.7672069958946,11.7,100.9,0.51
2020-01-03 07:30:00-08:00,56,1.2669590320875999,11.7,101.0,0.53
2020-01-03 08:30:00-08:00,57,2.248478260178,12.8,101.1,0.49
2020-01-03 09:30:00-08:00,58,4.125512327629999,14.4,101.2,0.44
2020-01-03 10:30:00-08:00,59,6.144266539207999,14.4,101.2,0.51
2020-01-03 11:30:00-08:00,60,7.601988300371999,15.0,101.1,0.48
2020-01-03 12:30:00-08:00,61,8.22511569875,15.0,101.0,0.54
2020-01-03 13:30:00-08:00,62,8.27658822882,15.0,101.0,0.58
2020-01-03 14:30:00-08:00,63,8.834296787162,15.0,101.0,0.6
2020-01-03 15:30:00-08:00,64,9.164538395596,16.1,101.0,0.58
2020-01-03 16:30:00-08:00,65,8.672599139662,15.6,101.1,0.62
2020-01-03 17:30:00-08:00,66,7.633025396553999,15.6,101.2,0.6
2020-01-03 18:30:00-08:00,67,7.659857707464,15.0,101.2,0.67
2020-01-03 19:30:00-08:00,68,6.212612472656,13.9,101.3,0.47
2020-01-03 20:30:00-08:00,69,5.083384752518,13.3,101.3,0.49
2020-01-03 21:30:00-08:00,70,4.2344479144900005,12.8,101.3,0.51
2020-01-03 22:30:00-08:00,71,2.9187827733995997,12.2,101.3,0.53
2020-01-03 23:30:00-08:00,72,1.88522643125,11.7,101.3,0.55
2020-01-04 00:30:00-08:00,73,0.9459794333129999,10.6,101.3,0.57
2020-01-04 01:30:00-08:00,74,0.5281088873505999,9.4,101.3,0.66
2020-01-04 02:30:00-08:00,75,0.28579169720752,7.2,101.3,0.8
2020-01-04 03:30:00-08:00,76,0.15077682073409998,7.2,101.2,0.8
2020-01-04 04:30:00-08:00,77,0.11515262135267999,7.8,101.2,0.74
2020-01-04 05:30:00-08:00,78,0.14455935853622,7.2,101.2,0.71
2020-01-04 06:30:00-08:00,79,0.27037600751005997,7.8,101.3,0.68
2020-01-04 07:30:00-08:00,80,0.581868589096,8.9,101.3,0.68
2020-01-04 08:30:00-08:00,81,1.1565297341215999,10.6,101.3,0.66
2020-01-04 09:30:00-08:00,82,3.0625566199331997,12.8,101.3,0.64
2020-01-04 10:30:00-08:00,83,4.875347867116,13.9,101.2,0.69
2020-01-04 11:30:00-08:00,84,6.70528670768,15.0,101.1,0.62
2020-01-04 12:30:00-08:00,85,7.314141500884,15.6,101.0,0.56
2020-01-04 13:30:00-08:00,86,7.745042720828,15.6,100.9,0.6
2020-01-04 14:30:00-08:00,87,8.079431154426,15.0,100.9,0.65
2020-01-04 15:30:00-08:00,88,7.35601075501,15.0,100.9,0.6
2020-01-04 16:30:00-08:00,89,6.47131020961,13.9,100.9,0.67
2020-01-04 17:30:00-08:00,90,5.463889556412,12.8,100.9,0.69
2020-01-04 18:30:00-08:00,91,5.17423734299,11.7,100.9,0.74
2020-01-04 19:30:00-08:00,92,4.564174934942,12.2,100.9,0.64
2020-01-04 20:30:00-08:00,93,4.205314537292,12.2,100.9,0.64
2020-01-04 21:30:00-08:00,94,3.5939409180096,11.7,100.9,0.74
2020-01-04 22:30:00-08:00,95,2.4207269919187997,10.6,100.9,0.77
2020-01-04 23:30:00-08:00,96,1.3575021098426,10.0,100.8,0.8
2020-01-05 00:30:00-08:00,97,0.6966029987711999,10.0,100.9,0.8
2020-01-05 01:30:00-08:00,98,0.43538991646279995,8.9,100.9,0.83
2020-01-05 02:30:00-08:00,99,0.2768039961022,8.3,100.8,0.86
2020-01-05 03:30:00-08:00,100,0.17924602844831997,8.3,100.7,0.86
2020-01-05 04:30:00-08:00,101,0.11956541736269999,7.8,100.7,0.83
2020-01-05 05:30:00-08:00,102,0.15507313602887998,7.8,100.7,0.86
2020-01-05 06:30:00-08:00,103,0.36139327654602,9.4,100.7,0.8
2020-01-05 07:30:00-08:00,104,0.5175883999004001,8.3,100.7,0.89
2020-01-05 08:30:00-08:00,105,0.32311069865158,9.4,100.8,0.86
2020-01-05 09:30:00-08:00,106,0.3883184718748,10.0,100.9,0.86
2020-01-05 10:30:00-08:00,107,1.4413473148442,11.7,100.8,0.8
2020-01-05 11:30:00-08:00,108,2.734647485513,13.3,100.6,0.75
2020-01-05 12:30:00-08:00,109,2.609002172504,13.3,100.6,0.69
2020-01-05 13:30:00-08:00,110,2.7764529663822,13.3,100.5,0.64
2020-01-05 14:30:00-08:00,111,2.2977431978192,13.3,100.6,0.72
2020-01-05 15:30:00-08:00,112,1.6206330455162,11.1,100.6,0.86
2020-01-05 16:30:00-08:00,113,1.4822087008982,10.6,100.6,0.9
2020-01-05 17:30:00-08:00,114,1.9360551879034,10.6,100.6,0.9
2020-01-05 18:30:00-08:00,115,2.4137468265286,10.6,100.7,0.93
2020-01-05 19:30:00-08:00,116,2.196210925604,10.0,100.7,0.96
2020-01-05 20:30:00-08:00,117,1.8558962706948,9.4,100.9,0.96
2020-01-05 21:30:00-08:00,118,1.3447398944571998,8.3,100.9,0.96
2020-01-05 22:30:00-08:00,119,0.8348832786023999,8.3,100.9,0.96
2020-01-05 23:30:00-08:00,120,0.38778488605499994,8.3,101.0,0.93
2020-01-06 00:30:00-08:00,121,0.12183156700186,8.3,101.0,0.96
2020-01-06 01:30:00-08:00,122,0.022045138659022,8.3,101.0,1.0
2020-01-06 02:30:00-08:00,123,0.0,8.3,101.0,0.96
2020-01-06 03:30:00-08:00,124,0.0,8.3,101.0,0.96
2020-01-06 04:30:00-08:00,125,0.0,8.3,101.1,0.96
2020-01-06 05:30:00-08:00,126,0.0,8.3,101.1,0.96
2020-01-06 06:30:00-08:00,127,0.0873238474414,8.3,101.1,0.93
2020-01-06 07:30:00-08:00,128,0.14826733535248,8.3,101.2,0.93
2020-01-06 08:30:00-08:00,129,0.0,8.3,101.4,0.96
2020-01-06 09:30:00-08:00,130,0.0,8.3,101.4,1.0
2020-01-06 10:30:00-08:00,131,0.08425729166314,8.9,101.4,1.0
2020-01-06 11:30:00-08:00,132,0.33365638188055996,10.6,101.3,0.96
2020-01-06 12:30:00-08:00,133,0.25860521127232,10.6,101.2,0.96
2020-01-06 13:30:00-08:00,134,0.31358995521576,10.6,101.3,0.96
2020-01-06 14:30:00-08:00,135,0.23662187405994,11.1,101.3,0.96
2020-01-06 15:30:00-08:00,136,0.23752357222536,11.1,101.3,0.9
