datetime,hour,CoolingDemand_kW,DryBulb_C,Pressure_kPa,RHum
2020-01-01 00:30:00-08:00,1,17.681881935304,12.2,100.8,0.93
2020-01-01 01:30:00-08:00,2,15.100651016735998,12.2,100.9,0.86
2020-01-01 02:30:00-08:00,3,11.937411086797999,11.7,100.8,0.86
2020-01-01 03:30:00-08:00,4,10.49687701185,11.1,100.8,0.9
2020-01-01 04:30:00-08:00,5,9.722337706944,11.1,100.8,0.86
2020-01-01 05:30:00-08:00,6,9.129382141518,10.6,100.9,0.93
2020-01-01 06:30:00-08:00,7,11.760846978332,10.0,101.0,0.96
2020-01-01 07:30:00-08:00,8,19.719842249914,10.6,101.0,0.93
2020-01-01 08:30:00-08:00,9,34.825295501335994,12.8,101.1,0.83
2020-01-01 09:30:00-08:00,10,31.766853272935997,13.3,101.1,0.83
2020-01-01 10:30:00-08:00,11,24.313166084598,13.9,101.0,0.78
2020-01-01 11:30:00-08:00,12,24.75996134,14.4,100.9,0.78
2020-01-01 12:30:00-08:00,13,26.595147029613997,15.6,100.9,0.72
2020-01-01 13:30:00-08:00,14,28.971141371548,15.6,100.9,0.78
2020-01-01 14:30:00-08:00,15,33.894159499943996,16.7,101.0,0.75
2020-01-01 15:30:00-08:00,16,34.106987419266,16.7,101.0,0.75
2020-01-01 16:30:00-08:00,17,27.740210462582,15.0,101.0,0.81
2020-01-01 17:30:00-08:00,18,29.867463853477997,15.0,101.1,0.78
2020-01-01 18:30:00-08:00,19,34.861715441538,14.4,101.1,0.84
2020-01-01 19:30:00-08:00,20,38.83817035783999,14.4,101.1,0.84
2020-01-01 20:30:00-08:00,21,43.4770269877,13.9,101.2,0.83
2020-01-01 21:30:00-08:00,22,42.25885001899999,12.8,101.2,0.86
2020-01-01 22:30:00-08:00,23,31.769855207158002,12.8,101.3,0.86
2020-01-01 23:30:00-08:00,24,21.582189764853997,12.2,101.3,0.86
2020-01-02 00:30:00-08:00,25,17.354019758695998,12.2,101.3,0.9
2020-01-02 01:30:00-08:00,26,13.988437547014,11.7,101.3,0.93
2020-01-02 02:30:00-08:00,27,11.492074620654,11.1,101.3,0.93
2020-01-02 03:30:00-08:00,28,10.660562877337998,11.7,101.3,0.96
2020-01-02 04:30:00-08:00,29,10.208263067222001,11.7,101.3,0.93
2020-01-02 05:30:00-08:00,30,10.781660014294,11.7,101.3,0.93
2020-01-02 06:30:00-08:00,31,21.95153922354,11.1,101.3,1.0
2020-01-02 07:30:00-08:00,32,32.71401031464,11.1,101.4,0.96
2020-01-02 08:30:00-08:00,33,21.716479405966002,11.7,101.5,0.96
2020-01-02 09:30:00-08:00,34,21.240490067567997,12.2,101.5,0.93
2020-01-02 10:30:00-08:00,35,15.707069365877999,12.8,101.4,0.93
2020-01-02 11:30:00-08:00,36,15.833518661891999,12.8,101.3,1.0
2020-01-02 12:30:00-08:00,37,16.549982187254,12.8,101.3,1.0
2020-01-02 13:30:00-08:00,38,16.003649488195997,12.8,101.3,1.0
2020-01-02 14:30:00-08:00,39,16.32890435378,12.8,101.3,1.0
2020-01-02 15:30:00-08:00,40,16.035560753553998,12.8,101.2,1.0
2020-01-02 16:30:00-08:00,41,16.690745739786,12.8,101.1,1.0
2020-01-02 17:30:00-08:00,42,23.0857808772,12.8,101.1,1.0
2020-01-02 18:30:00-08:00,43,27.158510199349998,12.8,101.1,1.0
2020-01-02 19:30:00-08:00,44,31.569659623047997,12.8,101.1,1.0
2020-01-02 20:30:00-08:00,45,38.00021545506,12.8,101.0,1.0
2020-01-02 21:30:00-08:00,46,39.43713614626,12.8,101.0,1.0
2020-01-02 22:30:00-08:00,47,28.40397547744,12.8,100.9,1.0
2020-01-02 23:30:00-08:00,48,18.7205500615,12.8,100.7,1.0
2020-01-03 00:30:00-08:00,49,15.800618184752,13.9,100.6,1.0
2020-01-03 01:30:00-08:00,50,14.003840751785999,13.9,100.7,0.96
2020-01-03 02:30:00-08:00,51,11.79606971056,13.3,100.7,0.9
2020-01-03 03:30:00-08:00,52,10.270042990854,12.8,100.7,0.75
2020-01-03 04:30:00-08:00,53,8.99342111973,11.7,100.7,0.64
2020-01-03 05:30:00-08:00,54,9.040067479446,11.7,100.8,0.57
2020-01-03 06:30:00-08:00,55,19.858310285602,11.7,100.9,0.51
2020-01-03 07:30:00-08:00,56,31.030264354394,11.7,101.0,0.53
2020-01-03 08:30:00-08:00,57,23.978105997922,12.8,101.1,0.49
2020-01-03 09:30:00-08:00,58,27.336162378801998,14.4,101.2,0.44
2020-01-03 10:30:00-08:00,59,25.37698614658,14.4,101.2,0.51
