datetime,hour,CoolingDemand_kW,DryBulb_C,Pressure_kPa,RHum
2020-01-01 00:30:00-05:00,1,0.017152033882334,19.4,102.0,0.9
2020-01-01 01:30:00-05:00,2,0.0,18.9,101.9,0.93
2020-01-01 02:30:00-05:00,3,0.0,18.9,101.9,0.93
2020-01-01 03:30:00-05:00,4,0.0,18.9,101.9,0.93
2020-01-01 04:30:00-05:00,5,0.0,19.4,101.9,0.9
2020-01-01 05:30:00-05:00,6,0.16277232076406,18.9,101.9,0.96
2020-01-01 06:30:00-05:00,7,0.15888038662724,18.9,102.0,0.93
2020-01-01 07:30:00-05:00,8,3.3445112155997996,19.4,102.0,0.93
2020-01-01 08:30:00-05:00,9,22.719615723893998,22.8,102.1,0.81
2020-01-01 09:30:00-05:00,10,26.900953421515997,25.0,102.1,0.71
2020-01-01 10:30:00-05:00,11,42.68668434072,26.7,102.1,0.64
2020-01-01 11:30:00-05:00,12,46.675863324119995,26.1,102.0,0.65
2020-01-01 12:30:00-05:00,13,54.273851420579994,27.2,101.9,0.61
2020-01-01 13:30:00-05:00,14,51.16546351636,26.1,101.9,0.69
2020-01-01 14:30:00-05:00,15,43.608500111599994,26.1,101.8,0.69
2020-01-01 15:30:00-05:00,16,40.59592440684,25.6,101.9,0.74
2020-01-01 16:30:00-05:00,17,43.78400740864,25.0,101.9,0.74
2020-01-01 17:30:00-05:00,18,42.500094833119995,23.9,101.9,0.82
2020-01-01 18:30:00-05:00,19,43.54032873479999,23.3,101.9,0.82
2020-01-01 19:30:00-05:00,20,36.83427374445,22.8,102.0,0.84
2020-01-01 20:30:00-05:00,21,35.917343718234,22.8,102.0,0.84
2020-01-01 21:30:00-05:00,22,27.452723090882,23.3,102.1,0.82
2020-01-01 22:30:00-05:00,23,19.743612528651997,22.2,102.0,0.87
2020-01-01 23:30:00-05:00,24,9.138189690812,20.6,102.0,0.9
2020-01-02 00:30:00-05:00,25,0.0,20.0,102.0,0.93
2020-01-02 01:30:00-05:00,26,0.0,19.4,102.0,0.97
2020-01-02 02:30:00-05:00,27,0.0,18.9,101.9,0.96
2020-01-02 03:30:00-05:00,28,0.0,18.9,101.9,0.96
2020-01-02 04:30:00-05:00,29,0.0,18.3,101.9,1.0
2020-01-02 05:30:00-05:00,30,0.12412496207368,19.4,102.0,0.97
2020-01-02 06:30:00-05:00,31,0.20259417360066,18.9,102.0,1.0
2020-01-02 07:30:00-05:00,32,4.735299155042,20.0,102.1,0.96
2020-01-02 08:30:00-05:00,33,15.057872567503999,20.6,102.1,0.9
2020-01-02 09:30:00-05:00,34,25.873447017801997,24.4,102.2,0.71
2020-01-02 10:30:00-05:00,35,38.58227691612,26.1,102.2,0.65
2020-01-02 11:30:00-05:00,36,49.86059902676,27.2,102.1,0.53
2020-01-02 12:30:00-05:00,37,54.012906176399994,27.2,102.0,0.47
2020-01-02 13:30:00-05:00,38,69.6458988579,28.9,101.9,0.72
2020-01-02 14:30:00-05:00,39,70.91964594512,28.9,101.9,0.63
2020-01-02 15:30:00-05:00,40,43.891975529179994,25.6,101.9,0.64
2020-01-02 16:30:00-05:00,41,39.45726224624,25.0,101.9,0.66
2020-01-02 17:30:00-05:00,42,40.7112656043,23.9,102.0,0.71
2020-01-02 18:30:00-05:00,43,44.544341587859996,23.3,102.0,0.74
2020-01-02 19:30:00-05:00,44,35.201074244356,22.2,102.1,0.79
2020-01-02 20:30:00-05:00,45,32.029628554328,22.2,102.1,0.79
2020-01-02 21:30:00-05:00,46,24.100704970802,22.2,102.1,0.79
