datetime,hour,CoolingDemand_kW,DryBulb_C,Pressure_kPa,RHum
2020-01-01 00:30:00-05:00,1,382.9389864886,19.4,102.0,0.9
2020-01-01 01:30:00-05:00,2,412.770511402,18.9,101.9,0.93
2020-01-01 02:30:00-05:00,3,232.06927829001998,18.9,101.9,0.93
2020-01-01 03:30:00-05:00,4,350.88122351045996,18.9,101.9,0.93
2020-01-01 04:30:00-05:00,5,321.51075422535996,19.4,101.9,0.9
2020-01-01 05:30:00-05:00,6,411.27730205179995,18.9,101.9,0.96
2020-01-01 06:30:00-05:00,7,419.886303299,18.9,102.0,0.93
2020-01-01 07:30:00-05:00,8,545.8250168349999,19.4,102.0,0.93
2020-01-01 08:30:00-05:00,9,526.1730697134,22.8,102.1,0.81
2020-01-01 09:30:00-05:00,10,514.6306841276,25.0,102.1,0.71
2020-01-01 10:30:00-05:00,11,515.8881241878,26.7,102.1,0.64
2020-01-01 11:30:00-05:00,12,523.8187471246,26.1,102.0,0.65
2020-01-01 12:30:00-05:00,13,526.454771606,27.2,101.9,0.61
2020-01-01 13:30:00-05:00,14,519.2738519497999,26.1,101.9,0.69
2020-01-01 14:30:00-05:00,15,517.855339591,26.1,101.8,0.69
2020-01-01 15:30:00-05:00,16,515.3054060932,25.6,101.9,0.74
2020-01-01 16:30:00-05:00,17,520.3868201672,25.0,101.9,0.74
2020-01-01 17:30:00-05:00,18,530.0911530072,23.9,101.9,0.82
2020-01-01 18:30:00-05:00,19,526.7625273702,23.3,101.9,0.82
2020-01-01 19:30:00-05:00,20,524.2741050994,22.8,102.0,0.84
2020-01-01 20:30:00-05:00,21,522.1890945678,22.8,102.0,0.84
2020-01-01 21:30:00-05:00,22,519.2556650852,23.3,102.1,0.82
2020-01-01 22:30:00-05:00,23,520.5948743776,22.2,102.0,0.87
2020-01-01 23:30:00-05:00,24,533.878792428,20.6,102.0,0.9
2020-01-02 00:30:00-05:00,25,396.89449201379995,20.0,102.0,0.93
2020-01-02 01:30:00-05:00,26,403.1993268608,19.4,102.0,0.97
2020-01-02 02:30:00-05:00,27,350.3326601457,18.9,101.9,0.96
2020-01-02 03:30:00-05:00,28,338.46390273364,18.9,101.9,0.96
2020-01-02 04:30:00-05:00,29,330.09058170634,18.3,101.9,1.0
2020-01-02 05:30:00-05:00,30,372.10287756185994,19.4,102.0,0.97
