datetime,hour,CoolingDemand_kW,DryBulb_C,Pressure_kPa,RHum
2020-01-01 00:30:00-05:00,1,15.805409384086,19.4,102.0,0.9
2020-01-01 01:30:00-05:00,2,11.246048262581999,18.9,101.9,0.93
2020-01-01 02:30:00-05:00,3,8.768573739835999,18.9,101.9,0.93
2020-01-01 03:30:00-05:00,4,7.477150078996,18.9,101.9,0.93
2020-01-01 04:30:00-05:00,5,7.332532533404,19.4,101.9,0.9
2020-01-01 05:30:00-05:00,6,8.012653376629999,18.9,101.9,0.96
2020-01-01 06:30:00-05:00,7,9.83395364744,18.9,102.0,0.93
2020-01-01 07:30:00-05:00,8,13.065047713039998,19.4,102.0,0.93
2020-01-01 08:30:00-05:00,9,21.953817115756,22.8,102.1,0.81
2020-01-01 09:30:00-05:00,10,36.507391564244,25.0,102.1,0.71
2020-01-01 10:30:00-05:00,11,49.26775639076,26.7,102.1,0.64
2020-01-01 11:30:00-05:00,12,52.37081275096,26.1,102.0,0.65
2020-01-01 12:30:00-05:00,13,56.37904631338,27.2,101.9,0.61
2020-01-01 13:30:00-05:00,14,58.568792171,26.1,101.9,0.69
2020-01-01 14:30:00-05:00,15,58.12249787716,26.1,101.8,0.69
2020-01-01 15:30:00-05:00,16,57.977169354,25.6,101.9,0.74
2020-01-01 16:30:00-05:00,17,55.952720349219994,25.0,101.9,0.74
2020-01-01 17:30:00-05:00,18,52.84212238362,23.9,101.9,0.82
2020-01-01 18:30:00-05:00,19,49.288944909179996,23.3,101.9,0.82
2020-01-01 19:30:00-05:00,20,44.10724770734,22.8,102.0,0.84
2020-01-01 20:30:00-05:00,21,40.76021639604,22.8,102.0,0.84
2020-01-01 21:30:00-05:00,22,38.724845616319996,23.3,102.1,0.82
2020-01-01 22:30:00-05:00,23,32.738470560707995,22.2,102.0,0.87
2020-01-01 23:30:00-05:00,24,23.997151562392,20.6,102.0,0.9
2020-01-02 00:30:00-05:00,25,16.782382407248,20.0,102.0,0.93
2020-01-02 01:30:00-05:00,26,12.845919611191999,19.4,102.0,0.97
2020-01-02 02:30:00-05:00,27,9.726968754784,18.9,101.9,0.96
2020-01-02 03:30:00-05:00,28,7.945408305955999,18.9,101.9,0.96
2020-01-02 04:30:00-05:00,29,6.948762392208,18.3,101.9,1.0
2020-01-02 05:30:00-05:00,30,7.97091660141,19.4,102.0,0.97
2020-01-02 06:30:00-05:00,31,10.317143842236,18.9,102.0,1.0
2020-01-02 07:30:00-05:00,32,13.561434645838,20.0,102.1,0.96
2020-01-02 08:30:00-05:00,33,20.479624357685996,20.6,102.1,0.9
2020-01-02 09:30:00-05:00,34,33.454809992206,24.4,102.2,0.71
2020-01-02 10:30:00-05:00,35,48.85835429204,26.1,102.2,0.65
2020-01-02 11:30:00-05:00,36,56.859827453259996,27.2,102.1,0.53
2020-01-02 12:30:00-05:00,37,59.06188181678,27.2,102.0,0.47
2020-01-02 13:30:00-05:00,38,67.5467759718,28.9,101.9,0.72
2020-01-02 14:30:00-05:00,39,78.12369555987999,28.9,101.9,0.63
2020-01-02 15:30:00-05:00,40,69.21737713632,25.6,101.9,0.64
2020-01-02 16:30:00-05:00,41,61.212246665479995,25.0,101.9,0.66
2020-01-02 17:30:00-05:00,42,53.95008620052,23.9,102.0,0.71
2020-01-02 18:30:00-05:00,43,49.47378860102,23.3,102.0,0.74
2020-01-02 19:30:00-05:00,44,42.89788031018,22.2,102.1,0.79
2020-01-02 20:30:00-05:00,45,38.48267032774,22.2,102.1,0.79
2020-01-02 21:30:00-05:00,46,35.194009418306,22.2,102.1,0.79
2020-01-02 22:30:00-05:00,47,28.253722627417996,20.6,102.1,0.93
2020-01-02 23:30:00-05:00,48,21.057753265892,20.0,102.1,0.93
2020-01-03 00:30:00-05:00,49,15.803964829209997,20.0,102.1,0.93
2020-01-03 01:30:00-05:00,50,13.220236359653999,20.0,102.0,0.9
2020-01-03 02:30:00-05:00,51,11.702902657166,20.0,102.0,0.93
2020-01-03 03:30:00-05:00,52,10.666465104445999,20.0,102.0,0.96
2020-01-03 04:30:00-05:00,53,10.22415948832,20.0,102.0,0.96
2020-01-03 05:30:00-05:00,54,11.115670989218,20.0,102.1,0.93
2020-01-03 06:30:00-05:00,55,13.645783378762,20.0,102.1,0.93
2020-01-03 07:30:00-05:00,56,17.222731107468,20.6,102.2,0.93
2020-01-03 08:30:00-05:00,57,26.705446751987996,23.3,102.3,0.79
2020-01-03 09:30:00-05:00,58,39.54793108186,25.0,102.3,0.71
2020-01-03 10:30:00-05:00,59,48.324201289179996,26.1,102.2,0.67
2020-01-03 11:30:00-05:00,60,54.542320829679994,26.1,102.2,0.65
2020-01-03 12:30:00-05:00,61,56.79962351366,26.1,102.1,0.65
2020-01-03 13:30:00-05:00,62,59.410928028339995,26.7,102.0,0.6
2020-01-03 14:30:00-05:00,63,62.10150741114,26.7,102.0,0.6
2020-01-03 15:30:00-05:00,64,63.3031984777,26.7,102.0,0.58
2020-01-03 16:30:00-05:00,65,58.61970925906,25.0,102.0,0.6
2020-01-03 17:30:00-05:00,66,51.28103145374,23.9,102.1,0.74
2020-01-03 18:30:00-05:00,67,48.34978740282,23.3,102.1,0.79
2020-01-03 19:30:00-05:00,68,43.69352933529999,22.8,102.1,0.81
2020-01-03 20:30:00-05:00,69,40.58754446026,22.8,102.1,0.81
2020-01-03 21:30:00-05:00,70,37.04916979119999,22.2,102.2,0.87
2020-01-03 22:30:00-05:00,71,30.716719823334,21.7,102.1,0.87
2020-01-03 23:30:00-05:00,72,23.305030709274,20.6,102.1,0.9
2020-01-04 00:30:00-05:00,73,17.481703471714,20.6,102.0,0.9
2020-01-04 01:30:00-05:00,74,13.993754635948,20.0,102.0,0.9
2020-01-04 02:30:00-05:00,75,11.471247490631999,20.0,102.0,0.9
2020-01-04 03:30:00-05:00,76,10.673099838174,20.6,102.0,0.93
2020-01-04 04:30:00-05:00,77,10.564106903499999,20.6,102.0,0.9
2020-01-04 05:30:00-05:00,78,10.488049952824,19.4,102.0,0.97
2020-01-04 06:30:00-05:00,79,12.273365817772,19.4,102.0,0.97
2020-01-04 07:30:00-05:00,80,14.48661674662,20.0,102.1,0.93
2020-01-04 08:30:00-05:00,81,19.00931329213,21.7,102.1,0.9
2020-01-04 09:30:00-05:00,82,24.762611316625996,23.3,102.2,0.85
2020-01-04 10:30:00-05:00,83,36.70707046794,24.4,102.1,0.76
2020-01-04 11:30:00-05:00,84,45.868887189839995,25.6,102.0,0.71
2020-01-04 12:30:00-05:00,85,48.96825932502,25.6,101.9,0.67
2020-01-04 13:30:00-05:00,86,49.84026999006,25.6,101.8,0.69
2020-01-04 14:30:00-05:00,87,45.83627679519999,25.0,101.8,0.69
2020-01-04 15:30:00-05:00,88,41.2494742039,23.9,101.9,0.79
2020-01-04 16:30:00-05:00,89,36.773880143734,22.2,101.9,0.82
2020-01-04 17:30:00-05:00,90,30.859809134896,20.6,102.0,1.0
2020-01-04 18:30:00-05:00,91,26.764566963584,18.9,102.1,0.93
2020-01-04 19:30:00-05:00,92,20.857439689577998,18.3,102.2,0.93
2020-01-04 20:30:00-05:00,93,19.953802425236,18.3,102.2,0.9
2020-01-04 21:30:00-05:00,94,18.997377523974,18.9,102.2,0.84
2020-01-04 22:30:00-05:00,95,15.7891909861,18.9,102.1,0.81
2020-01-04 23:30:00-05:00,96,12.19763906479,18.9,102.0,0.84
2020-01-05 00:30:00-05:00,97,8.993064832946,18.9,102.1,0.84
2020-01-05 01:30:00-05:00,98,6.766928731744,17.8,102.1,0.93
2020-01-05 02:30:00-05:00,99,5.4583836174339995,17.8,102.1,0.96
2020-01-05 03:30:00-05:00,100,4.5988672998019995,17.2,102.1,0.93
2020-01-05 04:30:00-05:00,101,3.98208394108,16.7,102.2,0.96
2020-01-05 05:30:00-05:00,102,4.42048873477,16.7,102.2,0.93
2020-01-05 06:30:00-05:00,103,5.743371329032,16.7,102.2,0.9
2020-01-05 07:30:00-05:00,104,6.355646296732,16.7,102.3,0.93
2020-01-05 08:30:00-05:00,105,7.540001879799999,17.2,102.3,0.87
2020-01-05 09:30:00-05:00,106,13.829307772732,19.4,102.4,0.79
2020-01-05 10:30:00-05:00,107,22.916823159916,20.6,102.3,0.73
2020-01-05 11:30:00-05:00,108,29.375314824585995,22.8,102.3,0.68
2020-01-05 12:30:00-05:00,109,32.402854270008,22.8,102.1,0.68
2020-01-05 13:30:00-05:00,110,34.29858377741599,23.9,102.1,0.66
2020-01-05 14:30:00-05:00,111,34.379752347377995,22.8,102.1,0.71
2020-01-05 15:30:00-05:00,112,30.162549360859998,22.2,102.1,0.73
2020-01-05 16:30:00-05:00,113,30.209395799619998,22.2,102.1,0.73
2020-01-05 17:30:00-05:00,114,29.962319603425996,21.7,102.2,0.79
2020-01-05 18:30:00-05:00,115,31.523752505679997,22.2,102.2,0.73
2020-01-05 19:30:00-05:00,116,30.507093987008,22.2,102.2,0.71
2020-01-05 20:30:00-05:00,117,29.037939163639997,22.2,102.4,0.68
2020-01-05 21:30:00-05:00,118,26.569973768531998,21.7,102.3,0.7
2020-01-05 22:30:00-05:00,119,22.577311243127998,21.7,102.3,0.7
2020-01-05 23:30:00-05:00,120,18.833827715548,21.7,102.2,0.73
2020-01-06 00:30:00-05:00,121,15.506759542975997,21.7,102.1,0.73
2020-01-06 01:30:00-05:00,122,14.0923962749,21.7,102.1,0.76
2020-01-06 02:30:00-05:00,123,12.984915198638,21.7,102.1,0.79
2020-01-06 03:30:00-05:00,124,12.833828355358,22.2,102.1,0.79
2020-01-06 04:30:00-05:00,125,13.18211043837,22.2,102.1,0.76
2020-01-06 05:30:00-05:00,126,15.528960923503998,22.8,102.1,0.76
2020-01-06 06:30:00-05:00,127,19.777277214216,22.8,102.1,0.79
2020-01-06 07:30:00-05:00,128,22.816844715886,23.3,102.1,0.76
2020-01-06 08:30:00-05:00,129,27.450946888232,23.9,102.2,0.76
2020-01-06 09:30:00-05:00,130,33.193696932768,25.0,102.2,0.74
2020-01-06 10:30:00-05:00,131,39.862045923,25.6,102.2,0.71
2020-01-06 11:30:00-05:00,132,44.81874959212,25.6,102.1,0.71
2020-01-06 12:30:00-05:00,133,47.37977404238,25.6,102.0,0.74
2020-01-06 13:30:00-05:00,134,53.33579257402,26.7,101.9,0.69
2020-01-06 14:30:00-05:00,135,56.19199553898,26.1,101.8,0.72
2020-01-06 15:30:00-05:00,136,53.19859333196,26.1,101.8,0.72
2020-01-06 16:30:00-05:00,137,51.21348504508,25.0,101.7,0.79
2020-01-06 17:30:00-05:00,138,47.1318326376,24.4,101.8,0.76
2020-01-06 18:30:00-05:00,139,46.70740604796,24.4,101.8,0.79
2020-01-06 19:30:00-05:00,140,45.42801149726,24.4,101.8,0.82
2020-01-06 20:30:00-05:00,141,44.181026244819996,24.4,101.8,0.82
2020-01-06 21:30:00-05:00,142,42.07278829074,24.4,101.8,0.82
2020-01-06 22:30:00-05:00,143,37.081344506378,23.9,101.8,0.88
2020-01-06 23:30:00-05:00,144,33.058774356322,24.4,101.8,0.85
2020-01-07 00:30:00-05:00,145,28.830283120736,23.9,101.7,0.88
2020-01-07 01:30:00-05:00,146,26.660794566759996,23.9,101.7,0.9
2020-01-07 02:30:00-05:00,147,21.007260316922,21.7,101.6,0.93
2020-01-07 03:30:00-05:00,148,17.855937957547997,22.2,101.6,0.97
2020-01-07 04:30:00-05:00,149,18.011687129014,22.2,101.6,0.93
2020-01-07 05:30:00-05:00,150,20.129753362662,22.8,101.6,0.94
2020-01-07 06:30:00-05:00,151,24.229957547412,22.8,101.5,0.9
2020-01-07 07:30:00-05:00,152,26.26870478981,22.8,101.7,0.9
2020-01-07 08:30:00-05:00,153,27.784701502654,23.9,101.7,0.88
2020-01-07 09:30:00-05:00,154,33.089641151818,25.6,101.9,0.82
2020-01-07 10:30:00-05:00,155,43.35392916183999,26.7,101.9,0.74
2020-01-07 11:30:00-05:00,156,54.273722423879995,27.8,101.8,0.65
2020-01-07 12:30:00-05:00,157,57.8165575774,28.3,101.7,0.61
2020-01-07 13:30:00-05:00,158,56.92125240924,27.8,101.6,0.65
2020-01-07 14:30:00-05:00,159,53.24113809472,27.8,101.6,0.65
2020-01-07 15:30:00-05:00,160,32.117760513709996,20.0,101.7,0.9
2020-01-07 16:30:00-05:00,161,21.201935966729998,20.0,101.8,0.96
2020-01-07 17:30:00-05:00,162,24.318431080206,20.6,101.8,0.96
2020-01-07 18:30:00-05:00,163,27.94520931,21.1,101.8,0.93
2020-01-07 19:30:00-05:00,164,27.254003974162,21.1,101.8,0.81
