datetime,hour,CoolingDemand_kW,DryBulb_C,Pressure_kPa,RHum
2020-01-01 00:30:00-05:00,1,118.990556378,19.4,102.0,0.9
2020-01-01 01:30:00-05:00,2,152.81623107646,18.9,101.9,0.93
2020-01-01 02:30:00-05:00,3,97.11685809485999,18.9,101.9,0.93
2020-01-01 03:30:00-05:00,4,155.6577881293,18.9,101.9,0.93
2020-01-01 04:30:00-05:00,5,199.63087583761998,19.4,101.9,0.9
2020-01-01 05:30:00-05:00,6,227.14228693908,18.9,101.9,0.96
2020-01-01 06:30:00-05:00,7,252.20192531927998,18.9,102.0,0.93
2020-01-01 07:30:00-05:00,8,268.55174336674,19.4,102.0,0.93
2020-01-01 08:30:00-05:00,9,282.03856022834,22.8,102.1,0.81
2020-01-01 09:30:00-05:00,10,313.09594534639996,25.0,102.1,0.71
2020-01-01 10:30:00-05:00,11,343.51908528908,26.7,102.1,0.64
2020-01-01 11:30:00-05:00,12,359.20945477174,26.1,102.0,0.65
2020-01-01 12:30:00-05:00,13,361.6767398682,27.2,101.9,0.61
2020-01-01 13:30:00-05:00,14,390.5759823842,26.1,101.9,0.69
2020-01-01 14:30:00-05:00,15,412.873535292,26.1,101.8,0.69
2020-01-01 15:30:00-05:00,16,378.77680174512,25.6,101.9,0.74
2020-01-01 16:30:00-05:00,17,353.20789549653995,25.0,101.9,0.74
2020-01-01 17:30:00-05:00,18,339.01456910466,23.9,101.9,0.82
2020-01-01 18:30:00-05:00,19,256.45262029165997,23.3,101.9,0.82
2020-01-01 19:30:00-05:00,20,242.63528989411998,22.8,102.0,0.84
2020-01-01 20:30:00-05:00,21,236.12455421654,22.8,102.0,0.84
2020-01-01 21:30:00-05:00,22,155.2736303384,23.3,102.1,0.82
2020-01-01 22:30:00-05:00,23,169.71938167716,22.2,102.0,0.87
2020-01-01 23:30:00-05:00,24,117.82107279892,20.6,102.0,0.9
2020-01-02 00:30:00-05:00,25,162.65032554924,20.0,102.0,0.93
2020-01-02 01:30:00-05:00,26,107.70968714256,19.4,102.0,0.97
2020-01-02 02:30:00-05:00,27,145.94565653828,18.9,101.9,0.96
2020-01-02 03:30:00-05:00,28,120.45584866834,18.9,101.9,0.96
2020-01-02 04:30:00-05:00,29,217.48290401028,18.3,101.9,1.0
2020-01-02 05:30:00-05:00,30,237.79577051213997,19.4,102.0,0.97
2020-01-02 06:30:00-05:00,31,260.81164172192,18.9,102.0,1.0
2020-01-02 07:30:00-05:00,32,277.41621054312,20.0,102.1,0.96
2020-01-02 08:30:00-05:00,33,304.03286367604,20.6,102.1,0.9
2020-01-02 09:30:00-05:00,34,328.9378557294,24.4,102.2,0.71
2020-01-02 10:30:00-05:00,35,345.63903805719997,26.1,102.2,0.65
2020-01-02 11:30:00-05:00,36,354.50486778514,27.2,102.1,0.53
2020-01-02 12:30:00-05:00,37,357.45240041636,27.2,102.0,0.47
2020-01-02 13:30:00-05:00,38,362.61673894384,28.9,101.9,0.72
2020-01-02 14:30:00-05:00,39,367.17744928126,28.9,101.9,0.63
2020-01-02 15:30:00-05:00,40,367.48145197051997,25.6,101.9,0.64
2020-01-02 16:30:00-05:00,41,351.68684768948,25.0,101.9,0.66
2020-01-02 17:30:00-05:00,42,336.36870981856,23.9,102.0,0.71
2020-01-02 18:30:00-05:00,43,261.32196092984,23.3,102.0,0.74
2020-01-02 19:30:00-05:00,44,251.69682236984,22.2,102.1,0.79
2020-01-02 20:30:00-05:00,45,247.39088142388,22.2,102.1,0.79
2020-01-02 21:30:00-05:00,46,160.70770356402,22.2,102.1,0.79
2020-01-02 22:30:00-05:00,47,179.29300479654,20.6,102.1,0.93
2020-01-02 23:30:00-05:00,48,114.27689291888,20.0,102.1,0.93
2020-01-03 00:30:00-05:00,49,171.11155191915998,20.0,102.1,0.93
2020-01-03 01:30:00-05:00,50,101.5151715483,20.0,102.0,0.9
2020-01-03 02:30:00-05:00,51,162.15221727006,20.0,102.0,0.93
2020-01-03 03:30:00-05:00,52,102.95977240125998,20.0,102.0,0.96
2020-01-03 04:30:00-05:00,53,226.77816671157998,20.0,102.0,0.96
2020-01-03 05:30:00-05:00,54,228.51498823524,20.0,102.1,0.93
2020-01-03 06:30:00-05:00,55,257.07004148308,20.0,102.1,0.93
2020-01-03 07:30:00-05:00,56,269.09720840682,20.6,102.2,0.93
2020-01-03 08:30:00-05:00,57,290.76543456132,23.3,102.3,0.79
2020-01-03 09:30:00-05:00,58,311.94112686221996,25.0,102.3,0.71
2020-01-03 10:30:00-05:00,59,328.76200266807996,26.1,102.2,0.67
2020-01-03 11:30:00-05:00,60,343.01426047684,26.1,102.2,0.65
2020-01-03 12:30:00-05:00,61,348.46217306534,26.1,102.1,0.65
2020-01-03 13:30:00-05:00,62,350.16191792174,26.7,102.0,0.6
2020-01-03 14:30:00-05:00,63,345.44420145672,26.7,102.0,0.6
2020-01-03 15:30:00-05:00,64,337.14094031882,26.7,102.0,0.58
2020-01-03 16:30:00-05:00,65,322.04323042806,25.0,102.0,0.6
2020-01-03 17:30:00-05:00,66,307.44863496079995,23.9,102.1,0.74
2020-01-03 18:30:00-05:00,67,219.79718414392,23.3,102.1,0.79
2020-01-03 19:30:00-05:00,68,210.99154872258,22.8,102.1,0.81
2020-01-03 20:30:00-05:00,69,184.27500920727996,22.8,102.1,0.81
2020-01-03 21:30:00-05:00,70,124.92119454243999,22.2,102.2,0.87
2020-01-03 22:30:00-05:00,71,126.94271691072,21.7,102.1,0.87
2020-01-03 23:30:00-05:00,72,113.28487361328,20.6,102.1,0.9
2020-01-04 00:30:00-05:00,73,130.92188810126,20.6,102.0,0.9
2020-01-04 01:30:00-05:00,74,105.3773242457,20.0,102.0,0.9
2020-01-04 02:30:00-05:00,75,132.34987192966,20.0,102.0,0.9
2020-01-04 03:30:00-05:00,76,94.61668989562,20.6,102.0,0.93
2020-01-04 04:30:00-05:00,77,183.80769409358,20.6,102.0,0.9
2020-01-04 05:30:00-05:00,78,189.22294982332,19.4,102.0,0.97
2020-01-04 06:30:00-05:00,79,206.02281564806,19.4,102.0,0.97
2020-01-04 07:30:00-05:00,80,213.44933161466,20.0,102.1,0.93
2020-01-04 08:30:00-05:00,81,218.26634938328,21.7,102.1,0.9
2020-01-04 09:30:00-05:00,82,237.27304009534,23.3,102.2,0.85
2020-01-04 10:30:00-05:00,83,258.29599360784,24.4,102.1,0.76
2020-01-04 11:30:00-05:00,84,283.78976939788,25.6,102.0,0.71
2020-01-04 12:30:00-05:00,85,299.8472995762,25.6,101.9,0.67
2020-01-04 13:30:00-05:00,86,312.19659727007996,25.6,101.8,0.69
2020-01-04 14:30:00-05:00,87,313.49929843411996,25.0,101.8,0.69
2020-01-04 15:30:00-05:00,88,301.32406218174,23.9,101.9,0.79
2020-01-04 16:30:00-05:00,89,296.58189612911997,22.2,101.9,0.82
2020-01-04 17:30:00-05:00,90,294.45913906284,20.6,102.0,1.0
2020-01-04 18:30:00-05:00,91,229.99886236787998,18.9,102.1,0.93
2020-01-04 19:30:00-05:00,92,237.196541994,18.3,102.2,0.93
2020-01-04 20:30:00-05:00,93,215.09320654774,18.3,102.2,0.9
2020-01-04 21:30:00-05:00,94,135.98056366306,18.9,102.2,0.84
2020-01-04 22:30:00-05:00,95,161.36867301574,18.9,102.1,0.81
2020-01-04 23:30:00-05:00,96,123.05773873432,18.9,102.0,0.84
2020-01-05 00:30:00-05:00,97,146.08456374392,18.9,102.1,0.84
2020-01-05 01:30:00-05:00,98,123.26657995132,17.8,102.1,0.93
2020-01-05 02:30:00-05:00,99,164.38431284822,17.8,102.1,0.96
2020-01-05 03:30:00-05:00,100,114.7340738616,17.2,102.1,0.93
2020-01-05 04:30:00-05:00,101,231.55426198645998,16.7,102.2,0.96
2020-01-05 05:30:00-05:00,102,246.03159596843997,16.7,102.2,0.93
2020-01-05 06:30:00-05:00,103,292.1138783956,16.7,102.2,0.9
2020-01-05 07:30:00-05:00,104,304.54356859307995,16.7,102.3,0.93
2020-01-05 08:30:00-05:00,105,315.16567970586,17.2,102.3,0.87
2020-01-05 09:30:00-05:00,106,328.88170148437996,19.4,102.4,0.79
2020-01-05 10:30:00-05:00,107,340.4822429671,20.6,102.3,0.73
2020-01-05 11:30:00-05:00,108,346.4341906488,22.8,102.3,0.68
2020-01-05 12:30:00-05:00,109,350.61801361068,22.8,102.1,0.68
2020-01-05 13:30:00-05:00,110,361.80330499684,23.9,102.1,0.66
2020-01-05 14:30:00-05:00,111,365.62045061812,22.8,102.1,0.71
2020-01-05 15:30:00-05:00,112,361.53616960396,22.2,102.1,0.73
2020-01-05 16:30:00-05:00,113,354.41002270848,22.2,102.1,0.73
2020-01-05 17:30:00-05:00,114,341.8853550602,21.7,102.2,0.79
2020-01-05 18:30:00-05:00,115,269.45170859992,22.2,102.2,0.73
2020-01-05 19:30:00-05:00,116,265.47162433322,22.2,102.2,0.71
