datetime,hour,CoolingDemand_kW,DryBulb_C,Pressure_kPa,RHum
2020-01-01 00:30:00-05:00,1,52.544897825419994,19.4,102.0,0.9
2020-01-01 01:30:00-05:00,2,45.33290163546,18.9,101.9,0.93
2020-01-01 02:30:00-05:00,3,39.39526796096,18.9,101.9,0.93
2020-01-01 03:30:00-05:00,4,36.24380618312,18.9,101.9,0.93
2020-01-01 04:30:00-05:00,5,34.926118764937996,19.4,101.9,0.9
2020-01-01 05:30:00-05:00,6,34.146672339228,18.9,101.9,0.96
2020-01-01 06:30:00-05:00,7,39.79179129272,18.9,102.0,0.93
2020-01-01 07:30:00-05:00,8,56.072385726659995,19.4,102.0,0.93
2020-01-01 08:30:00-05:00,9,97.36556019047998,22.8,102.1,0.81
2020-01-01 09:30:00-05:00,10,120.23725006974,25.0,102.1,0.71
2020-01-01 10:30:00-05:00,11,121.57254646033999,26.7,102.1,0.64
2020-01-01 11:30:00-05:00,12,121.02885160086,26.1,102.0,0.65
2020-01-01 12:30:00-05:00,13,125.0227295476,27.2,101.9,0.61
2020-01-01 13:30:00-05:00,14,129.51017250302,26.1,101.9,0.69
2020-01-01 14:30:00-05:00,15,127.54818311859998,26.1,101.8,0.69
2020-01-01 15:30:00-05:00,16,124.18811538327999,25.6,101.9,0.74
2020-01-01 16:30:00-05:00,17,114.40308690114,25.0,101.9,0.74
2020-01-01 17:30:00-05:00,18,102.96438364426,23.9,101.9,0.82
2020-01-01 18:30:00-05:00,19,99.93339524736,23.3,101.9,0.82
2020-01-01 19:30:00-05:00,20,98.9601400598,22.8,102.0,0.84
2020-01-01 20:30:00-05:00,21,100.90934584179999,22.8,102.0,0.84
2020-01-01 21:30:00-05:00,22,100.93505439789999,23.3,102.1,0.82
2020-01-01 22:30:00-05:00,23,84.1735738468,22.2,102.0,0.87
2020-01-01 23:30:00-05:00,24,63.64307125518,20.6,102.0,0.9
2020-01-02 00:30:00-05:00,25,53.39203770896,20.0,102.0,0.93
2020-01-02 01:30:00-05:00,26,46.42511363802,19.4,102.0,0.97
2020-01-02 02:30:00-05:00,27,40.67347410384,18.9,101.9,0.96
2020-01-02 03:30:00-05:00,28,37.110732261048,18.9,101.9,0.96
2020-01-02 04:30:00-05:00,29,34.102606829236,18.3,101.9,1.0
2020-01-02 05:30:00-05:00,30,36.343146159053994,19.4,102.0,0.97
2020-01-02 06:30:00-05:00,31,53.796352305359996,18.9,102.0,1.0
2020-01-02 07:30:00-05:00,32,71.17433478228,20.0,102.1,0.96
2020-01-02 08:30:00-05:00,33,76.87046068532,20.6,102.1,0.9
2020-01-02 09:30:00-05:00,34,103.14468201778,24.4,102.2,0.71
2020-01-02 10:30:00-05:00,35,112.5660164846,26.1,102.2,0.65
2020-01-02 11:30:00-05:00,36,121.32909891541999,27.2,102.1,0.53
2020-01-02 12:30:00-05:00,37,123.38075854676,27.2,102.0,0.47
2020-01-02 13:30:00-05:00,38,138.76735192656,28.9,101.9,0.72
2020-01-02 14:30:00-05:00,39,153.6270087847,28.9,101.9,0.63
2020-01-02 15:30:00-05:00,40,134.8256691329,25.6,101.9,0.64
2020-01-02 16:30:00-05:00,41,117.07333903589999,25.0,101.9,0.66
2020-01-02 17:30:00-05:00,42,105.00139495047999,23.9,102.0,0.71
2020-01-02 18:30:00-05:00,43,97.58165010204,23.3,102.0,0.74
2020-01-02 19:30:00-05:00,44,93.92459771392,22.2,102.1,0.79
2020-01-02 20:30:00-05:00,45,93.65425904302,22.2,102.1,0.79
2020-01-02 21:30:00-05:00,46,92.92067213698,22.2,102.1,0.79
2020-01-02 22:30:00-05:00,47,74.7978486535,20.6,102.1,0.93
2020-01-02 23:30:00-05:00,48,57.9153633116,20.0,102.1,0.93
2020-01-03 00:30:00-05:00,49,50.291230606,20.0,102.1,0.93
2020-01-03 01:30:00-05:00,50,45.545543999299994,20.0,102.0,0.9
2020-01-03 02:30:00-05:00,51,42.030456786260004,20.0,102.0,0.93
2020-01-03 03:30:00-05:00,52,40.131046346379996,20.0,102.0,0.96
2020-01-03 04:30:00-05:00,53,38.86326195734,20.0,102.0,0.96
2020-01-03 05:30:00-05:00,54,40.46210167834,20.0,102.1,0.93
2020-01-03 06:30:00-05:00,55,57.729223877139994,20.0,102.1,0.93
2020-01-03 07:30:00-05:00,56,75.2928733197,20.6,102.2,0.93
2020-01-03 08:30:00-05:00,57,88.12705110174,23.3,102.3,0.79
2020-01-03 09:30:00-05:00,58,111.4185656669,25.0,102.3,0.71
2020-01-03 10:30:00-05:00,59,111.42340504024,26.1,102.2,0.67
2020-01-03 11:30:00-05:00,60,116.85892461463999,26.1,102.2,0.65
2020-01-03 12:30:00-05:00,61,120.02783085905999,26.1,102.1,0.65
2020-01-03 13:30:00-05:00,62,123.24051024245999,26.7,102.0,0.6
2020-01-03 14:30:00-05:00,63,126.03325896822,26.7,102.0,0.6
2020-01-03 15:30:00-05:00,64,124.99659444833999,26.7,102.0,0.58
2020-01-03 16:30:00-05:00,65,112.30874415094,25.0,102.0,0.6
2020-01-03 17:30:00-05:00,66,101.62066797936,23.9,102.1,0.74
2020-01-03 18:30:00-05:00,67,97.11962140584,23.3,102.1,0.79
2020-01-03 19:30:00-05:00,68,96.57703122308,22.8,102.1,0.81
2020-01-03 20:30:00-05:00,69,98.23359505878,22.8,102.1,0.81
2020-01-03 21:30:00-05:00,70,96.58993268325999,22.2,102.2,0.87
2020-01-03 22:30:00-05:00,71,79.22984629152,21.7,102.1,0.87
2020-01-03 23:30:00-05:00,72,60.68830468252,20.6,102.1,0.9
2020-01-04 00:30:00-05:00,73,52.418674932,20.6,102.0,0.9
2020-01-04 01:30:00-05:00,74,46.564100040599996,20.0,102.0,0.9
2020-01-04 02:30:00-05:00,75,41.873005018979995,20.0,102.0,0.9
2020-01-04 03:30:00-05:00,76,40.348962533,20.6,102.0,0.93
2020-01-04 04:30:00-05:00,77,39.51529970856,20.6,102.0,0.9
2020-01-04 05:30:00-05:00,78,39.5588022883,19.4,102.0,0.97
2020-01-04 06:30:00-05:00,79,56.0768123307,19.4,102.0,0.97
2020-01-04 07:30:00-05:00,80,71.66140189698,20.0,102.1,0.93
2020-01-04 08:30:00-05:00,81,77.35725216246,21.7,102.1,0.9
2020-01-04 09:30:00-05:00,82,95.37293912044,23.3,102.2,0.85
2020-01-04 10:30:00-05:00,83,99.88840108021999,24.4,102.1,0.76
2020-01-04 11:30:00-05:00,84,108.54793458416,25.6,102.0,0.71
2020-01-04 12:30:00-05:00,85,110.88704542981999,25.6,101.9,0.67
2020-01-04 13:30:00-05:00,86,112.08602544984,25.6,101.8,0.69
2020-01-04 14:30:00-05:00,87,107.50000030662,25.0,101.8,0.69
2020-01-04 15:30:00-05:00,88,100.6448242489,23.9,101.9,0.79
2020-01-04 16:30:00-05:00,89,89.27542882456,22.2,101.9,0.82
2020-01-04 17:30:00-05:00,90,77.29028722752,20.6,102.0,1.0
2020-01-04 18:30:00-05:00,91,68.71023832623999,18.9,102.1,0.93
2020-01-04 19:30:00-05:00,92,66.24283975227999,18.3,102.2,0.93
2020-01-04 20:30:00-05:00,93,70.95933141878,18.3,102.2,0.9
2020-01-04 21:30:00-05:00,94,71.31113967212,18.9,102.2,0.84
2020-01-04 22:30:00-05:00,95,57.86906687952,18.9,102.1,0.81
2020-01-04 23:30:00-05:00,96,45.82628741106,18.9,102.0,0.84
2020-01-05 00:30:00-05:00,97,40.50455196892,18.9,102.1,0.84
2020-01-05 01:30:00-05:00,98,35.626802092924,17.8,102.1,0.93
2020-01-05 02:30:00-05:00,99,32.017392276662,17.8,102.1,0.96
2020-01-05 03:30:00-05:00,100,29.311755442882,17.2,102.1,0.93
2020-01-05 04:30:00-05:00,101,26.764501153892,16.7,102.2,0.96
2020-01-05 05:30:00-05:00,102,27.417134154781998,16.7,102.2,0.93
2020-01-05 06:30:00-05:00,103,43.18024010096,16.7,102.2,0.9
2020-01-05 07:30:00-05:00,104,55.438722005619994,16.7,102.3,0.93
2020-01-05 08:30:00-05:00,105,52.41018813436,17.2,102.3,0.87
2020-01-05 09:30:00-05:00,106,69.31081782038,19.4,102.4,0.79
2020-01-05 10:30:00-05:00,107,73.95907921121999,20.6,102.3,0.73
2020-01-05 11:30:00-05:00,108,81.6794517261,22.8,102.3,0.68
2020-01-05 12:30:00-05:00,109,86.1516336995,22.8,102.1,0.68
2020-01-05 13:30:00-05:00,110,90.31663682621999,23.9,102.1,0.66
2020-01-05 14:30:00-05:00,111,90.37133719884,22.8,102.1,0.71
2020-01-05 15:30:00-05:00,112,83.21621082429999,22.2,102.1,0.73
2020-01-05 16:30:00-05:00,113,78.46887360513999,22.2,102.1,0.73
2020-01-05 17:30:00-05:00,114,74.67065426804,21.7,102.2,0.79
2020-01-05 18:30:00-05:00,115,74.61301489106,22.2,102.2,0.73
2020-01-05 19:30:00-05:00,116,78.36449635083999,22.2,102.2,0.71
2020-01-05 20:30:00-05:00,117,82.29676751882,22.2,102.4,0.68
2020-01-05 21:30:00-05:00,118,81.27322520948,21.7,102.3,0.7
2020-01-05 22:30:00-05:00,119,66.99351264164,21.7,102.3,0.7
2020-01-05 23:30:00-05:00,120,54.113408236679994,21.7,102.2,0.73
2020-01-06 00:30:00-05:00,121,48.84819755704,21.7,102.1,0.73
2020-01-06 01:30:00-05:00,122,45.726831530679995,21.7,102.1,0.76
2020-01-06 02:30:00-05:00,123,43.1615080344,21.7,102.1,0.79
2020-01-06 03:30:00-05:00,124,42.65124754332,22.2,102.1,0.79
2020-01-06 04:30:00-05:00,125,42.39736470554,22.2,102.1,0.76
2020-01-06 05:30:00-05:00,126,46.78046912903999,22.8,102.1,0.76
2020-01-06 06:30:00-05:00,127,67.63717356228,22.8,102.1,0.79
2020-01-06 07:30:00-05:00,128,86.4191963887,23.3,102.1,0.76
2020-01-06 08:30:00-05:00,129,92.19680767039999,23.9,102.2,0.76
2020-01-06 09:30:00-05:00,130,106.7730364829,25.0,102.2,0.74
2020-01-06 10:30:00-05:00,131,104.18725529864,25.6,102.2,0.71
2020-01-06 11:30:00-05:00,132,107.17302174424,25.6,102.1,0.71
2020-01-06 12:30:00-05:00,133,110.96998307385999,25.6,102.0,0.74
2020-01-06 13:30:00-05:00,134,118.81522603327998,26.7,101.9,0.69
2020-01-06 14:30:00-05:00,135,121.5529677648,26.1,101.8,0.72
2020-01-06 15:30:00-05:00,136,116.62475469334,26.1,101.8,0.72
2020-01-06 16:30:00-05:00,137,109.46109815973999,25.0,101.7,0.79
2020-01-06 17:30:00-05:00,138,101.19077680238,24.4,101.8,0.76
2020-01-06 18:30:00-05:00,139,98.74011400906,24.4,101.8,0.79
2020-01-06 19:30:00-05:00,140,103.35781164535999,24.4,101.8,0.82
2020-01-06 20:30:00-05:00,141,108.36948301862,24.4,101.8,0.82
2020-01-06 21:30:00-05:00,142,109.2902695462,24.4,101.8,0.82
2020-01-06 22:30:00-05:00,143,93.24338375459999,23.9,101.8,0.88
2020-01-06 23:30:00-05:00,144,79.78264890473999,24.4,101.8,0.85
2020-01-07 00:30:00-05:00,145,73.67866572116,23.9,101.7,0.88
2020-01-07 01:30:00-05:00,146,70.20833667892,23.9,101.7,0.9
2020-01-07 02:30:00-05:00,147,56.89754263034,21.7,101.6,0.93
2020-01-07 03:30:00-05:00,148,51.29838894098,22.2,101.6,0.97
2020-01-07 04:30:00-05:00,149,50.66299894986,22.2,101.6,0.93
2020-01-07 05:30:00-05:00,150,52.59410579318,22.8,101.6,0.94
2020-01-07 06:30:00-05:00,151,62.069462871839995,22.8,101.5,0.9
2020-01-07 07:30:00-05:00,152,78.21252846312,22.8,101.7,0.9
2020-01-07 08:30:00-05:00,153,115.3206849897,23.9,101.7,0.88
2020-01-07 09:30:00-05:00,154,124.45736743468,25.6,101.9,0.82
