datetime,hour,CoolingDemand_kW,DryBulb_C,Pressure_kPa,RHum
2020-01-01 00:30:00-06:00,1,97.4132658537,-8.3,99.1,0.71
2020-01-01 01:30:00-06:00,2,63.7614322051,-7.8,99.1,0.71
2020-01-01 02:30:00-06:00,3,49.79615976828,-7.2,99.0,0.71
2020-01-01 03:30:00-06:00,4,44.208590477719994,-6.7,98.9,0.71
2020-01-01 04:30:00-06:00,5,50.106342861899996,-6.1,98.8,0.71
2020-01-01 05:30:00-06:00,6,55.51883521378,-6.1,98.8,0.71
2020-01-01 06:30:00-06:00,7,92.8103256523,-5.6,98.6,0.68
2020-01-01 07:30:00-06:00,8,186.23750404376,-5.0,98.5,0.65
2020-01-01 08:30:00-06:00,9,287.55475192022,-4.4,98.4,0.65
2020-01-01 09:30:00-06:00,10,220.39684007276,-3.3,98.4,0.62
2020-01-01 10:30:00-06:00,11,144.18782364232,-2.2,98.3,0.62
2020-01-01 11:30:00-06:00,12,112.8332647086,-1.7,98.1,0.63
2020-01-01 12:30:00-06:00,13,89.0621288711,-0.6,97.9,0.66
2020-01-01 13:30:00-06:00,14,87.33734917732,0.0,97.8,0.69
2020-01-01 14:30:00-06:00,15,92.56060077261999,0.6,97.9,0.76
2020-01-01 15:30:00-06:00,16,91.66236733586,0.6,97.8,0.87
2020-01-01 16:30:00-06:00,17,86.99491723094,0.6,97.8,0.87
2020-01-01 17:30:00-06:00,18,119.55522303277999,0.6,97.9,0.87
2020-01-01 18:30:00-06:00,19,167.58221690061998,0.6,97.9,0.87
2020-01-01 19:30:00-06:00,20,214.72513318784,0.0,97.9,0.87
2020-01-01 20:30:00-06:00,21,241.14392506734,-1.1,97.9,0.91
2020-01-01 21:30:00-06:00,22,244.09245979238,-1.7,98.0,0.96
2020-01-01 22:30:00-06:00,23,239.64107589385998,-2.2,98.0,0.95
2020-01-01 23:30:00-06:00,24,158.7799204477,-3.9,98.0,0.96
2020-01-02 00:30:00-06:00,25,106.24103414324,-4.4,97.9,0.95
2020-01-02 01:30:00-06:00,26,77.26150628971999,-4.4,98.0,1.0
2020-01-02 02:30:00-06:00,27,64.27596076536,-5.6,97.9,0.96
2020-01-02 03:30:00-06:00,28,54.47246434402,-6.1,97.9,0.95
2020-01-02 04:30:00-06:00,29,58.27026819178,-5.0,97.8,0.91
2020-01-02 05:30:00-06:00,30,94.04797235724,-3.9,97.8,0.91
2020-01-02 06:30:00-06:00,31,207.95301836308,-3.9,97.7,0.96
2020-01-02 07:30:00-06:00,32,298.02568443074,-3.3,97.7,0.95
2020-01-02 08:30:00-06:00,33,205.66208904438,-2.2,97.6,0.91
2020-01-02 09:30:00-06:00,34,197.64849434296,-1.7,97.6,0.91
2020-01-02 10:30:00-06:00,35,171.91345810636,-1.1,97.5,0.91
2020-01-02 11:30:00-06:00,36,134.28240174606,0.0,97.3,0.87
2020-01-02 12:30:00-06:00,37,141.82132319389999,1.7,97.1,0.81
2020-01-02 13:30:00-06:00,38,117.90162027602,1.7,97.0,0.84
2020-01-02 14:30:00-06:00,39,113.44737195421999,1.7,97.0,0.84
2020-01-02 15:30:00-06:00,40,109.02146251127999,1.7,97.0,0.84
2020-01-02 16:30:00-06:00,41,111.58724990737998,1.7,97.0,0.84
2020-01-02 17:30:00-06:00,42,160.22484151906,2.2,97.1,0.81
2020-01-02 18:30:00-06:00,43,227.57930696964,1.7,97.3,0.84
2020-01-02 19:30:00-06:00,44,223.2708531175,1.7,97.3,0.84
2020-01-02 20:30:00-06:00,45,243.29689112281997,-1.7,97.5,0.8
2020-01-02 21:30:00-06:00,46,291.5296357068,-2.2,97.6,0.75
2020-01-02 22:30:00-06:00,47,214.63816215729997,-5.0,97.7,0.68
2020-01-02 23:30:00-06:00,48,119.84645145356,-7.2,97.9,0.64
2020-01-03 00:30:00-06:00,49,81.90790819464,-8.3,98.0,0.64
2020-01-03 01:30:00-06:00,50,56.34354146824,-9.4,98.1,0.7
2020-01-03 02:30:00-06:00,51,41.47883473348,-10.6,98.2,0.67
2020-01-03 03:30:00-06:00,52,30.121592241938,-11.1,98.2,0.66
2020-01-03 04:30:00-06:00,53,29.882896267177998,-11.7,98.2,0.67
2020-01-03 05:30:00-06:00,54,58.84551890942,-11.7,98.5,0.63
2020-01-03 06:30:00-06:00,55,167.59027018856,-12.2,98.5,0.63
2020-01-03 07:30:00-06:00,56,254.89327753240002,-12.8,98.6,0.67
2020-01-03 08:30:00-06:00,57,163.10395906504,-12.2,98.7,0.63
2020-01-03 09:30:00-06:00,58,177.63270873232,-11.7,98.8,0.63
2020-01-03 10:30:00-06:00,59,192.480158331,-10.6,98.9,0.57
2020-01-03 11:30:00-06:00,60,208.70139375001997,-10.0,98.9,0.54
2020-01-03 12:30:00-06:00,61,240.29485202195997,-8.3,98.9,0.49
2020-01-03 13:30:00-06:00,62,253.20407573039998,-7.8,98.9,0.5
