datetime,hour,CoolingDemand_kW,DryBulb_C,Pressure_kPa,RHum
2020-01-01 00:30:00-06:00,1,15.113424858057998,-8.3,99.1,0.71
2020-01-01 01:30:00-06:00,2,15.869997552672,-7.8,99.1,0.71
2020-01-01 02:30:00-06:00,3,18.13708173062,-7.2,99.0,0.71
2020-01-01 03:30:00-06:00,4,12.059271164383999,-6.7,98.9,0.71
2020-01-01 04:30:00-06:00,5,18.822459666708,-6.1,98.8,0.71
2020-01-01 05:30:00-06:00,6,35.37429721312,-6.1,98.8,0.71
2020-01-01 06:30:00-06:00,7,38.0776957044,-5.6,98.6,0.68
2020-01-01 07:30:00-06:00,8,39.41734161148,-5.0,98.5,0.65
2020-01-01 08:30:00-06:00,9,42.83180209194,-4.4,98.4,0.65
2020-01-01 09:30:00-06:00,10,45.690262319599995,-3.3,98.4,0.62
2020-01-01 10:30:00-06:00,11,47.80055650954,-2.2,98.3,0.62
2020-01-01 11:30:00-06:00,12,51.23329117062,-1.7,98.1,0.63
2020-01-01 12:30:00-06:00,13,56.62971106074,-0.6,97.9,0.66
2020-01-01 13:30:00-06:00,14,59.154743311299995,0.0,97.8,0.69
2020-01-01 14:30:00-06:00,15,59.18281696307999,0.6,97.9,0.76
2020-01-01 15:30:00-06:00,16,59.183396349839995,0.6,97.8,0.87
2020-01-01 16:30:00-06:00,17,59.18114697214,0.6,97.8,0.87
2020-01-01 17:30:00-06:00,18,60.231699118319995,0.6,97.9,0.87
2020-01-01 18:30:00-06:00,19,47.602128055959994,0.6,97.9,0.87
2020-01-01 19:30:00-06:00,20,45.36820385434,0.0,97.9,0.87
2020-01-01 20:30:00-06:00,21,37.592953309544,-1.1,97.9,0.91
2020-01-01 21:30:00-06:00,22,26.251910140215998,-1.7,98.0,0.96
2020-01-01 22:30:00-06:00,23,17.621879658284,-2.2,98.0,0.95
2020-01-01 23:30:00-06:00,24,14.332284536444,-3.9,98.0,0.96
2020-01-02 00:30:00-06:00,25,6.941611393633999,-4.4,97.9,0.95
2020-01-02 01:30:00-06:00,26,5.52399895034,-4.4,98.0,1.0
2020-01-02 02:30:00-06:00,27,1.1251493848629999,-5.6,97.9,0.96
2020-01-02 03:30:00-06:00,28,0.5176125614745999,-6.1,97.9,0.95
2020-01-02 04:30:00-06:00,29,0.0,-5.0,97.8,0.91
2020-01-02 05:30:00-06:00,30,7.663633943669999,-3.9,97.8,0.91
2020-01-02 06:30:00-06:00,31,7.41932840074,-3.9,97.7,0.96
2020-01-02 07:30:00-06:00,32,5.311407602488,-3.3,97.7,0.95
2020-01-02 08:30:00-06:00,33,5.711378923223999,-2.2,97.6,0.91
2020-01-02 09:30:00-06:00,34,7.784717637138,-1.7,97.6,0.91
2020-01-02 10:30:00-06:00,35,11.024400417024,-1.1,97.5,0.91
2020-01-02 11:30:00-06:00,36,14.086633437682,0.0,97.3,0.87
2020-01-02 12:30:00-06:00,37,18.82362247997,1.7,97.1,0.81
2020-01-02 13:30:00-06:00,38,22.616088597005998,1.7,97.0,0.84
2020-01-02 14:30:00-06:00,39,23.437457179796,1.7,97.0,0.84
2020-01-02 15:30:00-06:00,40,22.312709516968,1.7,97.0,0.84
2020-01-02 16:30:00-06:00,41,19.075389222124,1.7,97.0,0.84
2020-01-02 17:30:00-06:00,42,17.34641929103,2.2,97.1,0.81
2020-01-02 18:30:00-06:00,43,3.4213599199802,1.7,97.3,0.84
2020-01-02 19:30:00-06:00,44,0.0,1.7,97.3,0.84
2020-01-02 20:30:00-06:00,45,0.0,-1.7,97.5,0.8
2020-01-02 21:30:00-06:00,46,0.4914190601172,-2.2,97.6,0.75
2020-01-02 22:30:00-06:00,47,0.28555244876824,-5.0,97.7,0.68
2020-01-02 23:30:00-06:00,48,0.36640677089099993,-7.2,97.9,0.64
2020-01-03 00:30:00-06:00,49,0.08540271858716,-8.3,98.0,0.64
2020-01-03 01:30:00-06:00,50,0.0,-9.4,98.1,0.7
2020-01-03 02:30:00-06:00,51,0.0,-10.6,98.2,0.67
2020-01-03 03:30:00-06:00,52,0.0,-11.1,98.2,0.66
2020-01-03 04:30:00-06:00,53,0.0,-11.7,98.2,0.67
2020-01-03 05:30:00-06:00,54,0.0,-11.7,98.5,0.63
2020-01-03 06:30:00-06:00,55,0.0,-12.2,98.5,0.63
2020-01-03 07:30:00-06:00,56,0.0,-12.8,98.6,0.67
2020-01-03 08:30:00-06:00,57,0.0,-12.2,98.7,0.63
2020-01-03 09:30:00-06:00,58,0.0,-11.7,98.8,0.63
2020-01-03 10:30:00-06:00,59,0.0,-10.6,98.9,0.57
2020-01-03 11:30:00-06:00,60,0.0,-10.0,98.9,0.54
2020-01-03 12:30:00-06:00,61,0.0,-8.3,98.9,0.49
2020-01-03 13:30:00-06:00,62,1.2908762729033998,-7.8,98.9,0.5
2020-01-03 14:30:00-06:00,63,2.5125945045662,-7.8,98.9,0.5
2020-01-03 15:30:00-06:00,64,2.5202962613956,-8.3,99.0,0.52
2020-01-03 16:30:00-06:00,65,2.5335806125662,-9.4,99.0,0.54
2020-01-03 17:30:00-06:00,66,2.5401148993096,-9.4,99.1,0.54
2020-01-03 18:30:00-06:00,67,0.071217123312,-10.0,99.1,0.52
2020-01-03 19:30:00-06:00,68,0.0,-10.6,99.2,0.52
2020-01-03 20:30:00-06:00,69,0.0,-11.1,99.3,0.52
2020-01-03 21:30:00-06:00,70,0.0,-11.1,99.3,0.49
2020-01-03 22:30:00-06:00,71,0.0,-11.7,99.3,0.51
2020-01-03 23:30:00-06:00,72,0.0,-12.2,99.4,0.48
2020-01-04 00:30:00-06:00,73,0.0,-12.8,99.3,0.51
2020-01-04 01:30:00-06:00,74,0.0,-12.8,99.3,0.54
2020-01-04 02:30:00-06:00,75,0.0,-13.3,99.4,0.53
2020-01-04 03:30:00-06:00,76,0.0,-13.9,99.3,0.56
2020-01-04 04:30:00-06:00,77,0.0,-15.0,99.2,0.59
2020-01-04 05:30:00-06:00,78,0.0,-15.6,99.5,0.62
2020-01-04 06:30:00-06:00,79,0.0,-15.6,99.4,0.62
2020-01-04 07:30:00-06:00,80,0.0,-16.1,99.5,0.65
2020-01-04 08:30:00-06:00,81,0.0,-15.6,99.6,0.62
2020-01-04 09:30:00-06:00,82,0.0,-15.0,99.6,0.62
2020-01-04 10:30:00-06:00,83,0.0,-14.4,99.5,0.63
2020-01-04 11:30:00-06:00,84,0.0,-13.9,99.5,0.6
2020-01-04 12:30:00-06:00,85,0.0,-13.9,99.3,0.6
2020-01-04 13:30:00-06:00,86,0.0,-13.3,99.3,0.57
2020-01-04 14:30:00-06:00,87,0.0,-13.3,99.3,0.53
2020-01-04 15:30:00-06:00,88,0.0,-13.3,99.4,0.48
2020-01-04 16:30:00-06:00,89,0.0,-13.3,99.4,0.43
2020-01-04 17:30:00-06:00,90,0.0,-13.3,99.6,0.5
2020-01-04 18:30:00-06:00,91,0.0,-13.9,99.5,0.66
2020-01-04 19:30:00-06:00,92,0.0,-14.4,99.5,0.73
2020-01-04 20:30:00-06:00,93,0.0,-15.0,99.5,0.73
2020-01-04 21:30:00-06:00,94,0.0,-15.0,99.6,0.73
2020-01-04 22:30:00-06:00,95,0.0,-15.0,99.6,0.73
2020-01-04 23:30:00-06:00,96,0.0,-15.6,99.7,0.78
2020-01-05 00:30:00-06:00,97,0.0,-15.6,99.6,0.73
2020-01-05 01:30:00-06:00,98,0.0,-16.7,99.6,0.66
2020-01-05 02:30:00-06:00,99,0.0,-18.3,99.7,0.55
2020-01-05 03:30:00-06:00,100,0.0,-20.0,99.7,0.55
2020-01-05 04:30:00-06:00,101,0.0,-20.0,99.7,0.55
2020-01-05 05:30:00-06:00,102,0.0,-20.6,99.9,0.61
2020-01-05 06:30:00-06:00,103,0.0,-20.6,99.8,0.61
2020-01-05 07:30:00-06:00,104,0.0,-21.1,99.8,0.64
2020-01-05 08:30:00-06:00,105,0.0,-20.6,99.9,0.55
2020-01-05 09:30:00-06:00,106,0.0,-19.4,100.0,0.49
2020-01-05 10:30:00-06:00,107,0.0,-19.4,100.0,0.49
2020-01-05 11:30:00-06:00,108,1.2920936793594,-18.9,100.0,0.47
2020-01-05 12:30:00-06:00,109,4.967071832586,-18.9,99.8,0.47
2020-01-05 13:30:00-06:00,110,6.680811400236,-18.9,99.8,0.47
2020-01-05 14:30:00-06:00,111,7.799401832092,-18.9,99.8,0.49
2020-01-05 15:30:00-06:00,112,8.574653799447999,-19.4,99.8,0.49
2020-01-05 16:30:00-06:00,113,7.47221804942,-20.0,99.8,0.52
2020-01-05 17:30:00-06:00,114,6.683230100274,-20.0,99.9,0.52
2020-01-05 18:30:00-06:00,115,0.22297423215966,-20.0,99.8,0.55
2020-01-05 19:30:00-06:00,116,0.0,-20.0,99.7,0.58
2020-01-05 20:30:00-06:00,117,0.0,-20.0,99.7,0.58
2020-01-05 21:30:00-06:00,118,0.08967013103786,-20.0,99.6,0.58
2020-01-05 22:30:00-06:00,119,0.0,-20.0,99.5,0.61
2020-01-05 23:30:00-06:00,120,0.0,-19.4,99.6,0.58
2020-01-06 00:30:00-06:00,121,0.0,-19.4,99.4,0.61
2020-01-06 01:30:00-06:00,122,0.0,-18.9,99.4,0.62
2020-01-06 02:30:00-06:00,123,0.0,-18.3,99.3,0.62
2020-01-06 03:30:00-06:00,124,0.0,-17.8,99.2,0.59
2020-01-06 04:30:00-06:00,125,0.0,-17.8,99.1,0.62
2020-01-06 05:30:00-06:00,126,0.0,-17.8,99.2,0.66
2020-01-06 06:30:00-06:00,127,0.0,-17.2,99.1,0.62
2020-01-06 07:30:00-06:00,128,0.0,-16.7,99.1,0.59
2020-01-06 08:30:00-06:00,129,0.0,-16.1,99.2,0.59
2020-01-06 09:30:00-06:00,130,2.4429831758492,-15.0,99.2,0.56
2020-01-06 10:30:00-06:00,131,6.794458825253999,-13.9,99.3,0.53
2020-01-06 11:30:00-06:00,132,12.315624503915998,-13.3,99.3,0.53
2020-01-06 12:30:00-06:00,133,17.463121375878,-12.2,99.2,0.51
2020-01-06 13:30:00-06:00,134,21.683204192168,-12.2,99.2,0.54
2020-01-06 14:30:00-06:00,135,24.764385522148,-11.7,99.2,0.54
2020-01-06 15:30:00-06:00,136,13.150984309366,-11.7,99.3,0.63
2020-01-06 16:30:00-06:00,137,9.580731416442,-12.2,99.3,0.54
2020-01-06 17:30:00-06:00,138,7.772167138307999,-12.2,99.4,0.51
2020-01-06 18:30:00-06:00,139,5.7080892735980004,-12.2,99.3,0.54
2020-01-06 19:30:00-06:00,140,5.954997612012,-12.2,99.3,0.57
2020-01-06 20:30:00-06:00,141,5.554733086505999,-12.8,99.3,0.6
2020-01-06 21:30:00-06:00,142,4.724542733188,-13.3,99.3,0.63
2020-01-06 22:30:00-06:00,143,2.3953214394018,-13.3,99.3,0.63
2020-01-06 23:30:00-06:00,144,1.0210039026444,-13.3,99.4,0.63
2020-01-07 00:30:00-06:00,145,0.29439644585686,-13.9,99.3,0.66
2020-01-07 01:30:00-06:00,146,0.27120127625572,-13.9,99.3,0.66
2020-01-07 02:30:00-06:00,147,0.04362344076692,-14.4,99.4,0.7
2020-01-07 03:30:00-06:00,148,0.0,-14.4,99.4,0.7
2020-01-07 04:30:00-06:00,149,0.0,-14.4,99.4,0.7
2020-01-07 05:30:00-06:00,150,0.0,-14.4,99.5,0.7
2020-01-07 06:30:00-06:00,151,0.0,-14.4,99.3,0.7
2020-01-07 07:30:00-06:00,152,0.15770407277654,-15.0,99.3,0.73
2020-01-07 08:30:00-06:00,153,0.2490740778708,-13.9,99.4,0.7
2020-01-07 09:30:00-06:00,154,1.6402311108152,-12.8,99.4,0.67
2020-01-07 10:30:00-06:00,155,3.0690478077225998,-11.7,99.4,0.57
2020-01-07 11:30:00-06:00,156,6.039775376792,-10.0,99.4,0.52
2020-01-07 12:30:00-06:00,157,6.696431257486,-8.9,99.2,0.49
2020-01-07 13:30:00-06:00,158,10.367209215168,-7.8,99.1,0.47
2020-01-07 14:30:00-06:00,159,7.944771208367999,-7.2,99.2,0.47
2020-01-07 15:30:00-06:00,160,11.21655255508,-7.2,99.1,0.47
2020-01-07 16:30:00-06:00,161,7.681917348448,-8.3,99.0,0.52
2020-01-07 17:30:00-06:00,162,7.2412326603979995,-8.3,99.1,0.55
2020-01-07 18:30:00-06:00,163,4.05876379604,-8.9,99.0,0.58
2020-01-07 19:30:00-06:00,164,4.3843636605839995,-8.3,99.1,0.55
2020-01-07 20:30:00-06:00,165,2.6465783410202,-8.9,99.1,0.58
2020-01-07 21:30:00-06:00,166,1.487870140516,-8.9,99.1,0.58
2020-01-07 22:30:00-06:00,167,0.18523834247247997,-10.0,99.1,0.6
2020-01-07 23:30:00-06:00,168,1.7463374165557999,-10.6,99.1,0.63
2020-01-08 00:30:00-06:00,169,2.039529112196,-10.6,99.0,0.63
2020-01-08 01:30:00-06:00,170,2.7111818606676,-11.7,99.1,0.74
2020-01-08 02:30:00-06:00,171,2.0351607658951996,-11.7,99.2,0.74
2020-01-08 03:30:00-06:00,172,2.698703001805,-12.2,99.2,0.73
2020-01-08 04:30:00-06:00,173,3.7881742251468,-11.7,99.1,0.7
2020-01-08 05:30:00-06:00,174,17.121010402806,-11.7,99.2,0.7
2020-01-08 06:30:00-06:00,175,17.264652146207997,-11.1,99.2,0.66
2020-01-08 07:30:00-06:00,176,17.27550439593,-10.6,99.3,0.67
2020-01-08 08:30:00-06:00,177,17.268401938822,-10.6,99.4,0.67
2020-01-08 09:30:00-06:00,178,18.383278604647998,-9.4,99.5,0.6
2020-01-08 10:30:00-06:00,179,20.535636901655998,-8.9,99.5,0.58
2020-01-08 11:30:00-06:00,180,23.940473978180002,-8.3,99.6,0.55
2020-01-08 12:30:00-06:00,181,25.686693821971996,-7.2,99.5,0.53
2020-01-08 13:30:00-06:00,182,28.104330138588,-7.2,99.5,0.5
2020-01-08 14:30:00-06:00,183,29.872975243897997,-7.2,99.5,0.53
2020-01-08 15:30:00-06:00,184,29.863977420624,-6.7,99.6,0.53
2020-01-08 16:30:00-06:00,185,29.864550966973997,-7.8,99.6,0.55
2020-01-08 17:30:00-06:00,186,28.515133944105997,-8.3,99.7,0.58
2020-01-08 18:30:00-06:00,187,14.881087296834,-8.9,99.7,0.61
2020-01-08 19:30:00-06:00,188,12.257104335538,-8.9,99.7,0.61
2020-01-08 20:30:00-06:00,189,12.336854734252,-9.4,99.7,0.64
2020-01-08 21:30:00-06:00,190,11.930142110459999,-10.0,99.8,0.67
2020-01-08 22:30:00-06:00,191,9.933058725766,-10.0,99.8,0.7
2020-01-08 23:30:00-06:00,192,13.076612187414,-9.4,99.9,0.67
2020-01-09 00:30:00-06:00,193,9.986258990245998,-9.4,99.9,0.67
2020-01-09 01:30:00-06:00,194,12.7795296161,-9.4,99.9,0.74
2020-01-09 02:30:00-06:00,195,9.803192229781999,-9.4,100.0,0.7
2020-01-09 03:30:00-06:00,196,12.54957814947,-9.4,99.9,0.67
2020-01-09 04:30:00-06:00,197,14.329841896064,-8.9,100.0,0.64
2020-01-09 05:30:00-06:00,198,28.90349435576,-9.4,100.1,0.67
2020-01-09 06:30:00-06:00,199,30.904733326442,-9.4,100.0,0.64
2020-01-09 07:30:00-06:00,200,31.706812260767997,-9.4,100.0,0.67
2020-01-09 08:30:00-06:00,201,33.045184390406,-9.4,100.1,0.67
2020-01-09 09:30:00-06:00,202,33.97351171125,-8.9,100.1,0.64
2020-01-09 10:30:00-06:00,203,35.304445114294,-8.3,100.1,0.64
2020-01-09 11:30:00-06:00,204,37.39041249774999,-7.2,100.2,0.61
2020-01-09 12:30:00-06:00,205,39.52001226221999,-7.2,100.0,0.58
2020-01-09 13:30:00-06:00,206,41.5693735559,-6.1,100.0,0.53
2020-01-09 14:30:00-06:00,207,42.3413262849,-6.1,100.0,0.53
2020-01-09 15:30:00-06:00,208,43.6899176918,-6.1,100.0,0.5
2020-01-09 16:30:00-06:00,209,44.64815074177999,-6.1,100.0,0.53
2020-01-09 17:30:00-06:00,210,43.29052324572,-6.7,100.1,0.56
2020-01-09 18:30:00-06:00,211,29.701923777876,-6.7,100.0,0.58
2020-01-09 19:30:00-06:00,212,27.138836736522,-7.2,100.0,0.61
2020-01-09 20:30:00-06:00,213,26.068736170313997,-6.7,100.0,0.61
2020-01-09 21:30:00-06:00,214,22.407561720603997,-6.7,99.9,0.61
2020-01-09 22:30:00-06:00,215,18.519805264606,-6.7,99.9,0.61
