datetime,hour,CoolingDemand_kW,DryBulb_C,Pressure_kPa,RHum
2020-01-01 00:30:00-06:00,1,0.17442696031559998,-8.3,99.1,0.71
2020-01-01 01:30:00-06:00,2,0.1383771911875,-7.8,99.1,0.71
2020-01-01 02:30:00-06:00,3,0.1027033772254,-7.2,99.0,0.71
2020-01-01 03:30:00-06:00,4,0.07962682471242,-6.7,98.9,0.71
2020-01-01 04:30:00-06:00,5,0.06137359920078,-6.1,98.8,0.71
2020-01-01 05:30:00-06:00,6,0.04379375420002,-6.1,98.8,0.71
2020-01-01 06:30:00-06:00,7,0.0751491818221,-5.6,98.6,0.68
2020-01-01 07:30:00-06:00,8,0.17278844852619998,-5.0,98.5,0.65
2020-01-01 08:30:00-06:00,9,2.1538315100628003,-4.4,98.4,0.65
2020-01-01 09:30:00-06:00,10,8.331409968765998,-3.3,98.4,0.62
2020-01-01 10:30:00-06:00,11,8.80845031656,-2.2,98.3,0.62
2020-01-01 11:30:00-06:00,12,9.01629788847,-1.7,98.1,0.63
2020-01-01 12:30:00-06:00,13,8.485619251982,-0.6,97.9,0.66
2020-01-01 13:30:00-06:00,14,8.611228706575998,0.0,97.8,0.69
2020-01-01 14:30:00-06:00,15,8.873731796931999,0.6,97.9,0.76
2020-01-01 15:30:00-06:00,16,8.908424619882,0.6,97.8,0.87
2020-01-01 16:30:00-06:00,17,5.858864675376,0.6,97.8,0.87
2020-01-01 17:30:00-06:00,18,0.30005589556628,0.6,97.9,0.87
2020-01-01 18:30:00-06:00,19,0.8856956877926,0.6,97.9,0.87
2020-01-01 19:30:00-06:00,20,1.8704060495817998,0.0,97.9,0.87
2020-01-01 20:30:00-06:00,21,4.630830335485999,-1.1,97.9,0.91
2020-01-01 21:30:00-06:00,22,5.540798537425999,-1.7,98.0,0.96
2020-01-01 22:30:00-06:00,23,1.1147644830164,-2.2,98.0,0.95
2020-01-01 23:30:00-06:00,24,0.2662067264771,-3.9,98.0,0.96
2020-01-02 00:30:00-06:00,25,0.18467731051731998,-4.4,97.9,0.95
2020-01-02 01:30:00-06:00,26,0.15106083134139997,-4.4,98.0,1.0
2020-01-02 02:30:00-06:00,27,0.11827437158411999,-5.6,97.9,0.96
2020-01-02 03:30:00-06:00,28,0.09082520989804,-6.1,97.9,0.95
2020-01-02 04:30:00-06:00,29,0.07187258914658,-5.0,97.8,0.91
2020-01-02 05:30:00-06:00,30,0.07254679804111999,-3.9,97.8,0.91
2020-01-02 06:30:00-06:00,31,0.3959617718108,-3.9,97.7,0.96
2020-01-02 07:30:00-06:00,32,2.0037805214975997,-3.3,97.7,0.95
2020-01-02 08:30:00-06:00,33,1.303957107132,-2.2,97.6,0.91
2020-01-02 09:30:00-06:00,34,8.635956417164,-1.7,97.6,0.91
2020-01-02 10:30:00-06:00,35,9.36739180717,-1.1,97.5,0.91
2020-01-02 11:30:00-06:00,36,9.605786917538,0.0,97.3,0.87
2020-01-02 12:30:00-06:00,37,9.262898193298,1.7,97.1,0.81
2020-01-02 13:30:00-06:00,38,9.178432595325999,1.7,97.0,0.84
2020-01-02 14:30:00-06:00,39,9.174346776616,1.7,97.0,0.84
2020-01-02 15:30:00-06:00,40,9.200981377554,1.7,97.0,0.84
2020-01-02 16:30:00-06:00,41,6.166391030155999,1.7,97.0,0.84
2020-01-02 17:30:00-06:00,42,0.6586497388206,2.2,97.1,0.81
2020-01-02 18:30:00-06:00,43,1.6642691975818,1.7,97.3,0.84
2020-01-02 19:30:00-06:00,44,2.7965418669271997,1.7,97.3,0.84
2020-01-02 20:30:00-06:00,45,6.136249172477999,-1.7,97.5,0.8
2020-01-02 21:30:00-06:00,46,6.991524205647999,-2.2,97.6,0.75
2020-01-02 22:30:00-06:00,47,1.2922761287708,-5.0,97.7,0.68
2020-01-02 23:30:00-06:00,48,0.20617936001144,-7.2,97.9,0.64
2020-01-03 00:30:00-06:00,49,0.15354871151142,-8.3,98.0,0.64
2020-01-03 01:30:00-06:00,50,0.11918343672289998,-9.4,98.1,0.7
2020-01-03 02:30:00-06:00,51,0.08450335548867999,-10.6,98.2,0.67
2020-01-03 03:30:00-06:00,52,0.05551201088612,-11.1,98.2,0.66
2020-01-03 04:30:00-06:00,53,0.030665103229867995,-11.7,98.2,0.67
2020-01-03 05:30:00-06:00,54,0.020488551434612,-11.7,98.5,0.63
2020-01-03 06:30:00-06:00,55,0.13430566267542,-12.2,98.5,0.63
2020-01-03 07:30:00-06:00,56,0.5573892058594,-12.8,98.6,0.67
2020-01-03 08:30:00-06:00,57,0.35263937455952,-12.2,98.7,0.63
2020-01-03 09:30:00-06:00,58,6.250618253101999,-11.7,98.8,0.63
2020-01-03 10:30:00-06:00,59,6.975244695339999,-10.6,98.9,0.57
2020-01-03 11:30:00-06:00,60,7.389545658794,-10.0,98.9,0.54
2020-01-03 12:30:00-06:00,61,7.454175805296,-8.3,98.9,0.49
2020-01-03 13:30:00-06:00,62,8.187783667879998,-7.8,98.9,0.5
2020-01-03 14:30:00-06:00,63,8.233621482899999,-7.8,98.9,0.5
2020-01-03 15:30:00-06:00,64,7.80097018675,-8.3,99.0,0.52
2020-01-03 16:30:00-06:00,65,3.9629369904439997,-9.4,99.0,0.54
2020-01-03 17:30:00-06:00,66,0.6957231519695999,-9.4,99.1,0.54
2020-01-03 18:30:00-06:00,67,1.1877080841277998,-10.0,99.1,0.52
2020-01-03 19:30:00-06:00,68,1.8772758346582,-10.6,99.2,0.52
2020-01-03 20:30:00-06:00,69,4.016495552744,-11.1,99.3,0.52
2020-01-03 21:30:00-06:00,70,4.374170191212,-11.1,99.3,0.49
2020-01-03 22:30:00-06:00,71,0.6444926588108,-11.7,99.3,0.51
2020-01-03 23:30:00-06:00,72,0.09941778720437999,-12.2,99.4,0.48
2020-01-04 00:30:00-06:00,73,0.0629922035156,-12.8,99.3,0.51
2020-01-04 01:30:00-06:00,74,0.035342392602018,-12.8,99.3,0.54
2020-01-04 02:30:00-06:00,75,0.006171200591166,-13.3,99.4,0.53
2020-01-04 03:30:00-06:00,76,0.0,-13.9,99.3,0.56
