datetime,hour,CoolingDemand_kW,DryBulb_C,Pressure_kPa,RHum
2020-01-01 00:30:00-07:00,1,1977.0694731475999,10.0,97.7,0.74
2020-01-01 01:30:00-07:00,2,1721.1371074918,8.9,97.7,0.8
2020-01-01 02:30:00-07:00,3,1783.9663247741998,8.9,97.7,0.8
2020-01-01 03:30:00-07:00,4,1818.9544828311998,8.9,97.7,0.77
2020-01-01 04:30:00-07:00,5,1804.2161988747998,8.3,97.8,0.8
2020-01-01 05:30:00-07:00,6,1764.9148174006,7.8,97.8,0.79
2020-01-01 06:30:00-07:00,7,1716.4372260337998,7.2,97.8,0.82
2020-01-01 07:30:00-07:00,8,1719.3458442561998,7.8,97.9,0.79
2020-01-01 08:30:00-07:00,9,1760.684804092,8.3,98.0,0.76
2020-01-01 09:30:00-07:00,10,1984.0350322194001,11.7,98.0,0.59
2020-01-01 10:30:00-07:00,11,2113.098772625,15.0,98.1,0.42
2020-01-01 11:30:00-07:00,12,2145.722599163,16.7,98.0,0.38
2020-01-01 12:30:00-07:00,13,2160.046902691,16.7,97.9,0.38
2020-01-01 13:30:00-07:00,14,2135.3114405438,17.8,97.8,0.37
2020-01-01 14:30:00-07:00,15,2125.8752413961997,17.8,97.8,0.37
2020-01-01 15:30:00-07:00,16,2113.429931662,18.3,97.8,0.34
2020-01-01 16:30:00-07:00,17,2086.075664988,18.9,97.8,0.33
2020-01-01 17:30:00-07:00,18,2128.3445590111996,17.2,97.9,0.36
2020-01-01 18:30:00-07:00,19,2186.1160241318,15.0,97.9,0.45
2020-01-01 19:30:00-07:00,20,2171.9619783042,15.0,97.9,0.44
2020-01-01 20:30:00-07:00,21,2162.801643968,14.4,97.9,0.46
2020-01-01 21:30:00-07:00,22,2152.2018893348,13.3,98.0,0.49
2020-01-01 22:30:00-07:00,23,2138.6334984622,13.9,98.0,0.42
2020-01-01 23:30:00-07:00,24,2123.2188889288,12.8,97.9,0.43
2020-01-02 00:30:00-07:00,25,2109.6733279811997,13.3,97.9,0.42
2020-01-02 01:30:00-07:00,26,2104.3610619768,12.8,97.9,0.41
2020-01-02 02:30:00-07:00,27,2093.9033551588,12.8,98.0,0.39
2020-01-02 03:30:00-07:00,28,2085.8522911003997,12.8,98.0,0.38
2020-01-02 04:30:00-07:00,29,2073.9899335901996,11.1,98.0,0.42
2020-01-02 05:30:00-07:00,30,2056.819289276,11.1,97.9,0.42
2020-01-02 06:30:00-07:00,31,2053.9110431838,12.8,98.0,0.34
2020-01-02 07:30:00-07:00,32,2057.352787958,12.2,98.1,0.36
2020-01-02 08:30:00-07:00,33,2057.6127860936,12.8,98.2,0.34
2020-01-02 09:30:00-07:00,34,2070.6665832462,15.0,98.2,0.3
2020-01-02 10:30:00-07:00,35,2096.4722254398002,16.1,98.2,0.28
2020-01-02 11:30:00-07:00,36,2091.9929966552,17.2,98.1,0.25
2020-01-02 12:30:00-07:00,37,2075.0675004186,17.2,98.1,0.22
2020-01-02 13:30:00-07:00,38,2075.2459520476,17.2,98.0,0.25
2020-01-02 14:30:00-07:00,39,2048.1240903488,18.3,98.0,0.23
2020-01-02 15:30:00-07:00,40,2035.0394948308,18.3,97.9,0.23
2020-01-02 16:30:00-07:00,41,2055.2584249956,17.8,98.0,0.25
2020-01-02 17:30:00-07:00,42,2101.7286109166,16.7,98.0,0.28
2020-01-02 18:30:00-07:00,43,2137.1612261848,16.1,98.0,0.3
2020-01-02 19:30:00-07:00,44,2127.7842541678,14.4,98.0,0.34
2020-01-02 20:30:00-07:00,45,2110.9407259185996,13.9,97.9,0.35
2020-01-02 21:30:00-07:00,46,2094.2895952907998,12.2,97.9,0.39
2020-01-02 22:30:00-07:00,47,2076.4748657357995,12.2,97.9,0.39
