datetime,hour,CoolingDemand_kW,DryBulb_C,Pressure_kPa,RHum
2020-01-01 00:30:00-07:00,1,176.08948544423998,10.0,97.7,0.74
2020-01-01 01:30:00-07:00,2,171.26251100302,8.9,97.7,0.8
2020-01-01 02:30:00-07:00,3,162.8605705554,8.9,97.7,0.8
2020-01-01 03:30:00-07:00,4,161.54883018316,8.9,97.7,0.77
2020-01-01 04:30:00-07:00,5,166.50277623483998,8.3,97.8,0.8
2020-01-01 05:30:00-07:00,6,170.39560959263997,7.8,97.8,0.79
2020-01-01 06:30:00-07:00,7,199.91526406193998,7.2,97.8,0.82
2020-01-01 07:30:00-07:00,8,296.22783500701996,7.8,97.9,0.79
2020-01-01 08:30:00-07:00,9,472.44887450299996,8.3,98.0,0.76
2020-01-01 09:30:00-07:00,10,493.06994493459996,11.7,98.0,0.59
2020-01-01 10:30:00-07:00,11,499.0275507384,15.0,98.1,0.42
2020-01-01 11:30:00-07:00,12,504.41841313460003,16.7,98.0,0.38
2020-01-01 12:30:00-07:00,13,506.93407163179995,16.7,97.9,0.38
2020-01-01 13:30:00-07:00,14,504.60195706379994,17.8,97.8,0.37
2020-01-01 14:30:00-07:00,15,505.66634797359995,17.8,97.8,0.37
2020-01-01 15:30:00-07:00,16,511.58556859799995,18.3,97.8,0.34
2020-01-01 16:30:00-07:00,17,513.8534752994,18.9,97.8,0.33
2020-01-01 17:30:00-07:00,18,521.0438447386,17.2,97.9,0.36
2020-01-01 18:30:00-07:00,19,519.2359101354,15.0,97.9,0.45
2020-01-01 19:30:00-07:00,20,516.4240638074,15.0,97.9,0.44
2020-01-01 20:30:00-07:00,21,513.2153332396,14.4,97.9,0.46
2020-01-01 21:30:00-07:00,22,502.8156740474,13.3,98.0,0.49
2020-01-01 22:30:00-07:00,23,501.66670544319993,13.9,98.0,0.42
2020-01-01 23:30:00-07:00,24,367.59512448272,12.8,97.9,0.43
2020-01-02 00:30:00-07:00,25,182.01613544673998,13.3,97.9,0.42
2020-01-02 01:30:00-07:00,26,187.47070299651998,12.8,97.9,0.41
2020-01-02 02:30:00-07:00,27,186.21716003012,12.8,98.0,0.39
2020-01-02 03:30:00-07:00,28,184.08607217216,12.8,98.0,0.38
2020-01-02 04:30:00-07:00,29,187.92275734822,11.1,98.0,0.42
2020-01-02 05:30:00-07:00,30,217.39463980782,11.1,97.9,0.42
2020-01-02 06:30:00-07:00,31,390.4443786638,12.8,98.0,0.34
2020-01-02 07:30:00-07:00,32,465.9135393434,12.2,98.1,0.36
2020-01-02 08:30:00-07:00,33,399.3215919366,12.8,98.2,0.34
2020-01-02 09:30:00-07:00,34,508.23255967579996,15.0,98.2,0.3
2020-01-02 10:30:00-07:00,35,515.9343989576,16.1,98.2,0.28
2020-01-02 11:30:00-07:00,36,518.3136775447999,17.2,98.1,0.25
2020-01-02 12:30:00-07:00,37,524.4716299734,17.2,98.1,0.22
2020-01-02 13:30:00-07:00,38,526.5589536068001,17.2,98.0,0.25
2020-01-02 14:30:00-07:00,39,524.2503189347999,18.3,98.0,0.23
2020-01-02 15:30:00-07:00,40,525.8685966475999,18.3,97.9,0.23
2020-01-02 16:30:00-07:00,41,524.155948838,17.8,98.0,0.25
2020-01-02 17:30:00-07:00,42,525.843609132,16.7,98.0,0.28
2020-01-02 18:30:00-07:00,43,522.6787255482001,16.1,98.0,0.3
2020-01-02 19:30:00-07:00,44,487.7090843858,14.4,98.0,0.34
2020-01-02 20:30:00-07:00,45,454.16394617199995,13.9,97.9,0.35
2020-01-02 21:30:00-07:00,46,367.25202827392,12.2,97.9,0.39
2020-01-02 22:30:00-07:00,47,270.21228225133996,12.2,97.9,0.39
2020-01-02 23:30:00-07:00,48,182.22279241613998,11.7,97.8,0.44
2020-01-03 00:30:00-07:00,49,287.05676358385995,11.7,97.8,0.41
2020-01-03 01:30:00-07:00,50,227.18704035494,11.1,97.8,0.44
2020-01-03 02:30:00-07:00,51,193.97306041168,11.1,97.8,0.42
2020-01-03 03:30:00-07:00,52,179.09853630472,11.1,97.8,0.42
2020-01-03 04:30:00-07:00,53,177.74845383139998,10.0,97.9,0.5
2020-01-03 05:30:00-07:00,54,204.95333865258,10.0,97.8,0.5
2020-01-03 06:30:00-07:00,55,310.38832239056,10.0,97.8,0.47
2020-01-03 07:30:00-07:00,56,410.0614975352,10.6,97.9,0.46
2020-01-03 08:30:00-07:00,57,361.44749460212,12.2,98.0,0.41
2020-01-03 09:30:00-07:00,58,506.9163929032,15.0,98.1,0.33
2020-01-03 10:30:00-07:00,59,516.1005431998,16.1,98.1,0.3
2020-01-03 11:30:00-07:00,60,525.4995299581999,17.2,97.9,0.28
2020-01-03 12:30:00-07:00,61,530.674155661,17.2,97.8,0.28
2020-01-03 13:30:00-07:00,62,528.8049691466,17.8,97.7,0.27
2020-01-03 14:30:00-07:00,63,528.3873152809999,18.3,97.7,0.28
2020-01-03 15:30:00-07:00,64,527.7013974324,18.3,97.7,0.28
2020-01-03 16:30:00-07:00,65,524.0050240822,18.3,97.7,0.28
2020-01-03 17:30:00-07:00,66,526.5578935892,17.2,97.7,0.31
2020-01-03 18:30:00-07:00,67,522.6680285748,17.2,97.7,0.31
2020-01-03 19:30:00-07:00,68,521.851721767,15.6,97.7,0.37
2020-01-03 20:30:00-07:00,69,470.26095798020003,13.9,97.7,0.44
2020-01-03 21:30:00-07:00,70,500.1875699402,14.4,97.8,0.39
2020-01-03 22:30:00-07:00,71,373.61505492632,11.7,97.8,0.52
2020-01-03 23:30:00-07:00,72,212.72443792871996,12.2,97.7,0.45
2020-01-04 00:30:00-07:00,73,179.16328599584,11.1,97.7,0.5
2020-01-04 01:30:00-07:00,74,161.70962211548,10.6,97.8,0.5
2020-01-04 02:30:00-07:00,75,153.35719180592,10.0,97.8,0.54
2020-01-04 03:30:00-07:00,76,145.05060475488,8.9,97.7,0.61
2020-01-04 04:30:00-07:00,77,142.67745947978,7.8,97.8,0.65
2020-01-04 05:30:00-07:00,78,171.04087702255998,7.8,97.7,0.65
2020-01-04 06:30:00-07:00,79,274.2516020474,7.2,97.7,0.68
2020-01-04 07:30:00-07:00,80,370.5087857444,7.2,97.8,0.65
2020-01-04 08:30:00-07:00,81,339.13251802627997,8.9,97.9,0.63
2020-01-04 09:30:00-07:00,82,374.68331185693995,11.1,98.0,0.54
2020-01-04 10:30:00-07:00,83,391.6757035888,12.2,98.1,0.5
2020-01-04 11:30:00-07:00,84,508.2210332118,13.9,98.0,0.45
2020-01-04 12:30:00-07:00,85,508.45746147499995,16.1,97.9,0.39
2020-01-04 13:30:00-07:00,86,510.023563056,17.2,97.9,0.36
2020-01-04 14:30:00-07:00,87,509.566008989,18.3,97.9,0.33
