datetime,hour,CoolingDemand_kW,DryBulb_C,Pressure_kPa,RHum
2020-01-01 00:30:00-07:00,1,0.0,10.0,97.7,0.74
2020-01-01 01:30:00-07:00,2,0.0,8.9,97.7,0.8
2020-01-01 02:30:00-07:00,3,0.0,8.9,97.7,0.8
2020-01-01 03:30:00-07:00,4,0.0,8.9,97.7,0.77
2020-01-01 04:30:00-07:00,5,0.0,8.3,97.8,0.8
2020-01-01 05:30:00-07:00,6,0.0,7.8,97.8,0.79
2020-01-01 06:30:00-07:00,7,0.0,7.2,97.8,0.82
2020-01-01 07:30:00-07:00,8,0.0,7.8,97.9,0.79
2020-01-01 08:30:00-07:00,9,0.0,8.3,98.0,0.76
2020-01-01 09:30:00-07:00,10,0.0,11.7,98.0,0.59
2020-01-01 10:30:00-07:00,11,0.0,15.0,98.1,0.42
2020-01-01 11:30:00-07:00,12,684.4984353334,16.7,98.0,0.38
2020-01-01 12:30:00-07:00,13,772.7232799431999,16.7,97.9,0.38
2020-01-01 13:30:00-07:00,14,1018.6973931147999,17.8,97.8,0.37
2020-01-01 14:30:00-07:00,15,832.4161300958,17.8,97.8,0.37
2020-01-01 15:30:00-07:00,16,837.3490138586,18.3,97.8,0.34
2020-01-01 16:30:00-07:00,17,419.3201300472,18.9,97.8,0.33
2020-01-01 17:30:00-07:00,18,0.0,17.2,97.9,0.36
2020-01-01 18:30:00-07:00,19,0.0,15.0,97.9,0.45
2020-01-01 19:30:00-07:00,20,0.0,15.0,97.9,0.44
2020-01-01 20:30:00-07:00,21,0.0,14.4,97.9,0.46
2020-01-01 21:30:00-07:00,22,0.0,13.3,98.0,0.49
2020-01-01 22:30:00-07:00,23,0.0,13.9,98.0,0.42
2020-01-01 23:30:00-07:00,24,0.0,12.8,97.9,0.43
2020-01-02 00:30:00-07:00,25,0.0,13.3,97.9,0.42
2020-01-02 01:30:00-07:00,26,0.0,12.8,97.9,0.41
2020-01-02 02:30:00-07:00,27,0.0,12.8,98.0,0.39
2020-01-02 03:30:00-07:00,28,0.0,12.8,98.0,0.38
