datetime,hour,CoolingDemand_kW,DryBulb_C,Pressure_kPa,RHum
2020-01-01 00:30:00-07:00,1,0.48578712611619995,10.0,97.7,0.74
2020-01-01 01:30:00-07:00,2,0.17766502755752,8.9,97.7,0.8
2020-01-01 02:30:00-07:00,3,0.012076568718442,8.9,97.7,0.8
2020-01-01 03:30:00-07:00,4,0.0,8.9,97.7,0.77
2020-01-01 04:30:00-07:00,5,0.0,8.3,97.8,0.8
2020-01-01 05:30:00-07:00,6,0.0,7.8,97.8,0.79
2020-01-01 06:30:00-07:00,7,0.0,7.2,97.8,0.82
2020-01-01 07:30:00-07:00,8,0.020136986315722,7.8,97.9,0.79
2020-01-01 08:30:00-07:00,9,0.33354661800428,8.3,98.0,0.76
2020-01-01 09:30:00-07:00,10,1.6504014740553998,11.7,98.0,0.59
2020-01-01 10:30:00-07:00,11,4.295519168712,15.0,98.1,0.42
2020-01-01 11:30:00-07:00,12,6.788002091961999,16.7,98.0,0.38
2020-01-01 12:30:00-07:00,13,8.44438687664,16.7,97.9,0.38
2020-01-01 13:30:00-07:00,14,10.711079523488,17.8,97.8,0.37
2020-01-01 14:30:00-07:00,15,11.487005140708,17.8,97.8,0.37
2020-01-01 15:30:00-07:00,16,9.88717110977,18.3,97.8,0.34
2020-01-01 16:30:00-07:00,17,10.597731825179999,18.9,97.8,0.33
2020-01-01 17:30:00-07:00,18,9.04074454399,17.2,97.9,0.36
2020-01-01 18:30:00-07:00,19,6.731197006197999,15.0,97.9,0.45
2020-01-01 19:30:00-07:00,20,4.87833395226,15.0,97.9,0.44
2020-01-01 20:30:00-07:00,21,4.007780937618,14.4,97.9,0.46
2020-01-01 21:30:00-07:00,22,3.0470312958646,13.3,98.0,0.49
2020-01-01 22:30:00-07:00,23,1.9278249798218,13.9,98.0,0.42
2020-01-01 23:30:00-07:00,24,0.966939788048,12.8,97.9,0.43
2020-01-02 00:30:00-07:00,25,0.6320466961036,13.3,97.9,0.42
2020-01-02 01:30:00-07:00,26,0.4655610961492,12.8,97.9,0.41
2020-01-02 02:30:00-07:00,27,0.32967775899277996,12.8,98.0,0.39
2020-01-02 03:30:00-07:00,28,0.23097509385566,12.8,98.0,0.38
2020-01-02 04:30:00-07:00,29,0.12985567166462,11.1,98.0,0.42
2020-01-02 05:30:00-07:00,30,0.12705295602449998,11.1,97.9,0.42
2020-01-02 06:30:00-07:00,31,0.33739683630311995,12.8,98.0,0.34
2020-01-02 07:30:00-07:00,32,0.41121541488319996,12.2,98.1,0.36
2020-01-02 08:30:00-07:00,33,0.40273086729159996,12.8,98.2,0.34
2020-01-02 09:30:00-07:00,34,1.4124357862252,15.0,98.2,0.3
2020-01-02 10:30:00-07:00,35,3.7322769055975997,16.1,98.2,0.28
2020-01-02 11:30:00-07:00,36,5.315646270156,17.2,98.1,0.25
2020-01-02 12:30:00-07:00,37,4.7037214879219995,17.2,98.1,0.22
2020-01-02 13:30:00-07:00,38,4.197806123866,17.2,98.0,0.25
2020-01-02 14:30:00-07:00,39,4.183049085344,18.3,98.0,0.23
2020-01-02 15:30:00-07:00,40,4.089142187796,18.3,97.9,0.23
2020-01-02 16:30:00-07:00,41,5.204700352765999,17.8,98.0,0.25
2020-01-02 17:30:00-07:00,42,4.754724779361999,16.7,98.0,0.28
2020-01-02 18:30:00-07:00,43,4.48591672418,16.1,98.0,0.3
2020-01-02 19:30:00-07:00,44,3.5635328413946,14.4,98.0,0.34
2020-01-02 20:30:00-07:00,45,2.8519837701944,13.9,97.9,0.35
2020-01-02 21:30:00-07:00,46,2.0025884533846,12.2,97.9,0.39
2020-01-02 22:30:00-07:00,47,1.0402450637772,12.2,97.9,0.39
2020-01-02 23:30:00-07:00,48,0.5135648496813999,11.7,97.8,0.44
2020-01-03 00:30:00-07:00,49,0.21724813653707997,11.7,97.8,0.41
2020-01-03 01:30:00-07:00,50,0.054640364986119995,11.1,97.8,0.44
2020-01-03 02:30:00-07:00,51,0.0,11.1,97.8,0.42
2020-01-03 03:30:00-07:00,52,0.0,11.1,97.8,0.42
2020-01-03 04:30:00-07:00,53,0.0,10.0,97.9,0.5
2020-01-03 05:30:00-07:00,54,0.0,10.0,97.8,0.5
2020-01-03 06:30:00-07:00,55,0.0,10.0,97.8,0.47
2020-01-03 07:30:00-07:00,56,0.07554642675676,10.6,97.9,0.46
2020-01-03 08:30:00-07:00,57,0.3106032226783,12.2,98.0,0.41
2020-01-03 09:30:00-07:00,58,1.7632800538589999,15.0,98.1,0.33
2020-01-03 10:30:00-07:00,59,3.7647369607577996,16.1,98.1,0.3
2020-01-03 11:30:00-07:00,60,3.473128447159,17.2,97.9,0.28
2020-01-03 12:30:00-07:00,61,2.9871857108185997,17.2,97.8,0.28
2020-01-03 13:30:00-07:00,62,2.9578606450639997,17.8,97.7,0.27
2020-01-03 14:30:00-07:00,63,3.1128994443703997,18.3,97.7,0.28
2020-01-03 15:30:00-07:00,64,3.648673950805,18.3,97.7,0.28
2020-01-03 16:30:00-07:00,65,5.4856698477300005,18.3,97.7,0.28
2020-01-03 17:30:00-07:00,66,5.217730281255999,17.2,97.7,0.31
2020-01-03 18:30:00-07:00,67,5.120960372432,17.2,97.7,0.31
2020-01-03 19:30:00-07:00,68,4.067043919546,15.6,97.7,0.37
2020-01-03 20:30:00-07:00,69,3.104388328828,13.9,97.7,0.44
2020-01-03 21:30:00-07:00,70,2.4576411908856,14.4,97.8,0.39
2020-01-03 22:30:00-07:00,71,1.2107358108736,11.7,97.8,0.52
2020-01-03 23:30:00-07:00,72,0.4808508885569999,12.2,97.7,0.45
2020-01-04 00:30:00-07:00,73,0.14523642418639998,11.1,97.7,0.5
2020-01-04 01:30:00-07:00,74,0.0,10.6,97.8,0.5
2020-01-04 02:30:00-07:00,75,0.0,10.0,97.8,0.54
2020-01-04 03:30:00-07:00,76,0.0,8.9,97.7,0.61
2020-01-04 04:30:00-07:00,77,0.0,7.8,97.8,0.65
2020-01-04 05:30:00-07:00,78,0.0,7.8,97.7,0.65
2020-01-04 06:30:00-07:00,79,0.0,7.2,97.7,0.68
2020-01-04 07:30:00-07:00,80,0.0,7.2,97.8,0.65
2020-01-04 08:30:00-07:00,81,0.13741826403711999,8.9,97.9,0.63
2020-01-04 09:30:00-07:00,82,1.2025264238356,11.1,98.0,0.54
2020-01-04 10:30:00-07:00,83,3.5210929666069997,12.2,98.1,0.5
2020-01-04 11:30:00-07:00,84,5.87294323374,13.9,98.0,0.45
2020-01-04 12:30:00-07:00,85,7.728136921917999,16.1,97.9,0.39
2020-01-04 13:30:00-07:00,86,9.379003208922,17.2,97.9,0.36
2020-01-04 14:30:00-07:00,87,11.193112225972,18.3,97.9,0.33
2020-01-04 15:30:00-07:00,88,12.275745760318,18.9,97.9,0.32
2020-01-04 16:30:00-07:00,89,12.68770220399,18.9,97.9,0.3
2020-01-04 17:30:00-07:00,90,9.341057687508,17.2,97.9,0.34
2020-01-04 18:30:00-07:00,91,6.976319460398,16.1,98.0,0.36
2020-01-04 19:30:00-07:00,92,4.897218686023999,15.0,98.1,0.39
2020-01-04 20:30:00-07:00,93,3.8311289901379997,14.4,98.2,0.44
2020-01-04 21:30:00-07:00,94,2.6770832075187996,12.2,98.2,0.5
2020-01-04 22:30:00-07:00,95,1.2362616445435999,11.1,98.4,0.57
2020-01-04 23:30:00-07:00,96,0.6094256789535999,9.4,98.3,0.63
2020-01-05 00:30:00-07:00,97,0.25737941291646,10.0,98.3,0.58
2020-01-05 01:30:00-07:00,98,0.08054260247862,9.4,98.4,0.61
2020-01-05 02:30:00-07:00,99,0.0,8.3,98.4,0.65
2020-01-05 03:30:00-07:00,100,0.0,7.2,98.5,0.63
2020-01-05 04:30:00-07:00,101,0.0,7.8,98.6,0.5
2020-01-05 05:30:00-07:00,102,0.0,6.7,98.6,0.57
2020-01-05 06:30:00-07:00,103,0.0,6.7,98.7,0.54
