datetime,hour,CoolingDemand_kW,DryBulb_C,Pressure_kPa,RHum
2020-01-01 00:30:00-07:00,1,72.99055416942,10.0,97.7,0.74
2020-01-01 01:30:00-07:00,2,63.661092001259995,8.9,97.7,0.8
2020-01-01 02:30:00-07:00,3,80.35783307184,8.9,97.7,0.8
2020-01-01 03:30:00-07:00,4,64.15694383587999,8.9,97.7,0.77
2020-01-01 04:30:00-07:00,5,88.4408147028,8.3,97.8,0.8
2020-01-01 05:30:00-07:00,6,96.68127135057999,7.8,97.8,0.79
2020-01-01 06:30:00-07:00,7,103.31442747932,7.2,97.8,0.82
2020-01-01 07:30:00-07:00,8,105.71748374951999,7.8,97.9,0.79
2020-01-01 08:30:00-07:00,9,106.84029245261999,8.3,98.0,0.76
2020-01-01 09:30:00-07:00,10,123.27355133594,11.7,98.0,0.59
2020-01-01 10:30:00-07:00,11,141.50630087666,15.0,98.1,0.42
2020-01-01 11:30:00-07:00,12,156.05639041066,16.7,98.0,0.38
2020-01-01 12:30:00-07:00,13,161.82173219953998,16.7,97.9,0.38
2020-01-01 13:30:00-07:00,14,162.1069396708,17.8,97.8,0.37
2020-01-01 14:30:00-07:00,15,171.21328923023998,17.8,97.8,0.37
2020-01-01 15:30:00-07:00,16,177.46805136209997,18.3,97.8,0.34
2020-01-01 16:30:00-07:00,17,174.39472100046,18.9,97.8,0.33
2020-01-01 17:30:00-07:00,18,161.99178897532,17.2,97.9,0.36
2020-01-01 18:30:00-07:00,19,122.43359793145999,15.0,97.9,0.45
2020-01-01 19:30:00-07:00,20,115.49943261589999,15.0,97.9,0.44
2020-01-01 20:30:00-07:00,21,100.52505627108,14.4,97.9,0.46
2020-01-01 21:30:00-07:00,22,54.7464182878,13.3,98.0,0.49
2020-01-01 22:30:00-07:00,23,66.18096496864,13.9,98.0,0.42
2020-01-01 23:30:00-07:00,24,60.88119518672,12.8,97.9,0.43
2020-01-02 00:30:00-07:00,25,74.30304871435999,13.3,97.9,0.42
2020-01-02 01:30:00-07:00,26,58.85305526169999,12.8,97.9,0.41
2020-01-02 02:30:00-07:00,27,71.56639493537999,12.8,98.0,0.39
2020-01-02 03:30:00-07:00,28,57.916526914159995,12.8,98.0,0.38
2020-01-02 04:30:00-07:00,29,81.47222741366,11.1,98.0,0.42
2020-01-02 05:30:00-07:00,30,91.71940446299999,11.1,97.9,0.42
2020-01-02 06:30:00-07:00,31,92.77518901651999,12.8,98.0,0.34
2020-01-02 07:30:00-07:00,32,94.38617271102,12.2,98.1,0.36
2020-01-02 08:30:00-07:00,33,99.86222546308,12.8,98.2,0.34
2020-01-02 09:30:00-07:00,34,120.85964403805998,15.0,98.2,0.3
2020-01-02 10:30:00-07:00,35,141.50414613377998,16.1,98.2,0.28
2020-01-02 11:30:00-07:00,36,155.03888830088,17.2,98.1,0.25
2020-01-02 12:30:00-07:00,37,161.07927160722,17.2,98.1,0.22
2020-01-02 13:30:00-07:00,38,166.02488879039998,17.2,98.0,0.25
2020-01-02 14:30:00-07:00,39,173.75208149321998,18.3,98.0,0.23
2020-01-02 15:30:00-07:00,40,177.21777172232,18.3,97.9,0.23
2020-01-02 16:30:00-07:00,41,178.66922822976,17.8,98.0,0.25
