datetime,hour,CoolingDemand_kW,DryBulb_C,Pressure_kPa,RHum
2020-01-01 00:30:00-07:00,1,12.825950259236,10.0,97.7,0.74
2020-01-01 01:30:00-07:00,2,9.640161993722,8.9,97.7,0.8
2020-01-01 02:30:00-07:00,3,7.411978843121999,8.9,97.7,0.8
2020-01-01 03:30:00-07:00,4,6.347007812364,8.9,97.7,0.77
2020-01-01 04:30:00-07:00,5,5.409834477562,8.3,97.8,0.8
2020-01-01 05:30:00-07:00,6,4.5317701742239995,7.8,97.8,0.79
2020-01-01 06:30:00-07:00,7,6.405067072054,7.2,97.8,0.82
2020-01-01 07:30:00-07:00,8,12.28251842922,7.8,97.9,0.79
2020-01-01 08:30:00-07:00,9,28.329897673391997,8.3,98.0,0.76
2020-01-01 09:30:00-07:00,10,38.354231725759995,11.7,98.0,0.59
2020-01-01 10:30:00-07:00,11,37.573522721588,15.0,98.1,0.42
2020-01-01 11:30:00-07:00,12,42.27665082184,16.7,98.0,0.38
2020-01-01 12:30:00-07:00,13,45.609222445339995,16.7,97.9,0.38
2020-01-01 13:30:00-07:00,14,48.740425496739995,17.8,97.8,0.37
2020-01-01 14:30:00-07:00,15,50.09178137058,17.8,97.8,0.37
2020-01-01 15:30:00-07:00,16,47.6692958102,18.3,97.8,0.34
2020-01-01 16:30:00-07:00,17,44.77063448042,18.9,97.8,0.33
2020-01-01 17:30:00-07:00,18,36.360519638214,17.2,97.9,0.36
2020-01-01 18:30:00-07:00,19,37.063353748264,15.0,97.9,0.45
2020-01-01 19:30:00-07:00,20,38.45751608144,15.0,97.9,0.44
2020-01-01 20:30:00-07:00,21,41.86790569942,14.4,97.9,0.46
2020-01-01 21:30:00-07:00,22,40.042874533699994,13.3,98.0,0.49
2020-01-01 22:30:00-07:00,23,29.37615313719,13.9,98.0,0.42
2020-01-01 23:30:00-07:00,24,18.676839521858,12.8,97.9,0.43
2020-01-02 00:30:00-07:00,25,14.133728524008,13.3,97.9,0.42
2020-01-02 01:30:00-07:00,26,11.0773471604,12.8,97.9,0.41
2020-01-02 02:30:00-07:00,27,9.080745113232,12.8,98.0,0.39
2020-01-02 03:30:00-07:00,28,8.168836971506,12.8,98.0,0.38
2020-01-02 04:30:00-07:00,29,7.15402988834,11.1,98.0,0.42
2020-01-02 05:30:00-07:00,30,7.029182943607999,11.1,97.9,0.42
2020-01-02 06:30:00-07:00,31,15.897380100998,12.8,98.0,0.34
2020-01-02 07:30:00-07:00,32,25.509861836191998,12.2,98.1,0.36
2020-01-02 08:30:00-07:00,33,21.228566262078,12.8,98.2,0.34
2020-01-02 09:30:00-07:00,34,32.777596743223995,15.0,98.2,0.3
2020-01-02 10:30:00-07:00,35,33.602812694381996,16.1,98.2,0.28
2020-01-02 11:30:00-07:00,36,36.040085837532,17.2,98.1,0.25
2020-01-02 12:30:00-07:00,37,35.231317010768,17.2,98.1,0.22
2020-01-02 13:30:00-07:00,38,33.402637498374,17.2,98.0,0.25
